quarantined_key,dict,raw_form,count
bhar,pwg,BHAR,640
bhar,mw,Bhar,131
bhar,pwg,BHĀR,2
burn,pwg,BURN,226
burn,pw,BURN,1
burn,pwkvn,BURN,1
mahav,pwg,MAHĀV,12
mahav,ben,Mahāv,8
mahav,mw,Mahāv,6
mahav,bhs,Mahāv,4
mahav,sch,Mahāv,4
mahav,pw,{{MAHĀV,1
maitr,mw,Maitr,8
maitr,pwg,MAITR,5
maitr,sch,Maitr,5
maitr,pw,MAITR,1
maitr,pwkvn,MAITR,1
ratnam,pwg,RATNAM,1419
ratnam,pw,RATNAM,25
ratnam,pwkvn,RATNAM,1
ratnam,sch,Ratnam,1
samk,pwg,ŚAṂK,1140
samk,mw,Śaṃk,587
samk,pwkvn,ŚAṂK,24
samk,sch,Śaṃk,21
samk,pw,ŚAṂK,14
samk,pwg,ŚĀṂK,8
