prefix,n_members,total_freq,representative,members,status
nyay,3,839,nyayam,nyayam:391 | nyayas:350 | nyayad:98,unreviewed
rvii,2,831,rvii,rvii:527 | rviii:304,unreviewed
siva,4,823,sivab,sivab:402 | sivap:185 | sivag:177 | sivamahimna:59,unreviewed
lass,2,819,lass,lass:754 | lassen:65,unreviewed
vait,2,818,vaitan,vaitan:548 | vait:270,unreviewed
sbrx,5,807,sbrxiv,sbrxiv:392 | sbrxi:114 | sbrxiii:114 | sbrx:100 | sbrxii:87,unreviewed
svet,2,789,svetasvup,svetasvup:574 | svetup:215,unreviewed
jaim,3,773,jaim,jaim:635 | jaimup:108 | jaimbr:30,unreviewed
mall,3,751,mallin,mallin:377 | malli:268 | mall:106,unreviewed
bhpi,5,727,bhpiii,bhpiii:206 | bhpiv:173 | bhpix:161 | bhpi:125 | bhpii:62,unreviewed
yoga,2,725,yogas,yogas:703 | yogayatra:22,unreviewed
veti,3,718,vetinlaiii,vetinlaiii:420 | vetinla:162 | vetinlaii:136,unreviewed
mnii,2,711,mniii,mniii:380 | mnii:331,unreviewed
prav,4,708,pravaradhy,pravaradhy:443 | pravar:201 | pravari:33 | pravarii:31,unreviewed
caur,2,612,caurap,caurap:550 | caurapa:62,unreviewed
medk,2,602,medk,medk:557 | medkh:45,unreviewed
liai,2,597,liai,liai:411 | liaii:186,unreviewed
hcar,3,589,hcar,hcar:541 | hcarv:24 | hcarvii:24,unreviewed
kasi,2,584,kasikh,kasikh:540 | kasi:44,unreviewed
aufr,3,584,aufrecht,aufrecht:484 | aufrechthalayind:61 | aufr:39,unreviewed
avpr,2,573,avprat,avprat:551 | avprayasc:22,unreviewed
mang,3,567,mangrhy,mangrhy:366 | mangr:180 | mangri:21,unreviewed
grhy,3,565,grhyas,grhyas:233 | grhy:199 | grhyasamgr:133,unreviewed
zach,2,564,zachbeitr,zachbeitr:413 | zach:151,unreviewed
mahi,2,560,mahidh,mahidh:529 | mahidhzuvs:31,unreviewed
baud,3,552,baudh,baudh:506 | baudhp:25 | baudhgrhyparis:21,unreviewed
sukh,2,540,sukh,sukh:465 | sukhi:75,unreviewed
srng,5,527,srngarat,srngarat:177 | srngt:163 | srngarasarv:91 | srngar:55 | srngbh:41,unreviewed
sams,2,527,samskk,samskk:339 | samskarak:188,unreviewed
buhl,3,518,buhlerrepno,buhlerrepno:414 | buhler:64 | buhlerrep:40,unreviewed
madh,4,504,madhus,madhus:384 | madhk:56 | madhyam:44 | madhava:20,unreviewed
avxi,5,499,avxii,avxii:155 | avxi:140 | avxix:109 | avxiv:50 | avxiii:45,unreviewed
sbri,5,495,sbriii,sbriii:137 | sbri:135 | sbriv:92 | sbrii:83 | sbrix:48,unreviewed
mudr,2,491,mudrar,mudrar:327 | mudr:164,unreviewed
bham,2,487,bhamv,bhamv:345 | bham:142,unreviewed
mund,2,484,mundup,mundup:432 | mund:52,unreviewed
hpar,2,483,hparis,hparis:459 | hparisii:24,unreviewed
hiou,3,482,hiouenthsang,hiouenthsang:256 | hiouenthsangi:188 | hiouenthsangii:38,unreviewed
avvi,3,477,avvi,avvi:215 | avviii:149 | avvii:113,unreviewed
vayu,3,467,vayup,vayup:399 | vayupi:36 | vayupii:32,unreviewed
bhpv,4,455,bhpv,bhpv:206 | bhpviii:93 | bhpvi:88 | bhpvii:68,unreviewed
kali,2,453,kalid,kalid:334 | kalikap:119,unreviewed
mnxi,2,441,mnxi,mnxi:299 | mnxii:142,unreviewed
srut,3,436,srut,srut:329 | srutab:61 | srutbr:46,unreviewed
avpa,2,436,avparis,avparis:321 | avpaipp:115,unreviewed
mats,2,435,matsyap,matsyap:343 | matsyop:92,unreviewed
sama,3,428,samadh,samadh:231 | samavbr:117 | samavidhbr:80,unreviewed
kuva,2,407,kuvalay,kuvalay:218 | kuval:189,unreviewed
medd,2,394,medd,medd:222 | meddh:172,unreviewed
samg,2,387,samgit,samgit:334 | samgitadam:53,unreviewed
tark,3,386,tarkas,tarkas:305 | tarkak:61 | tarkasamgr:20,unreviewed
vajr,2,376,vajracch,vajracch:348 | vajras:28,unreviewed
rama,4,372,ramatup,ramatup:227 | raman:94 | ramaraksa:26 | ramatupi:25,unreviewed
inda,2,372,indantiq,indantiq:295 | indant:77,unreviewed
pady,9,357,padyacv,padyacv:50 | padyacii:49 | padyacix:46 | padyaciv:40 | padyaci:40 | padyacx:37 | padyacviii:33 | padyacvii:32 | padyacvi:30,unreviewed
vagb,2,352,vagbh,vagbh:328 | vagbhata:24,unreviewed
karm,2,347,karmav,karmav:325 | karmapr:22,unreviewed
laii,2,342,laiii,laiii:176 | laii:166,unreviewed
cand,4,327,candis,candis:135 | candak:109 | cand:46 | candr:37,unreviewed
sulb,2,322,sulbas,sulbas:297 | sulb:25,unreviewed
hara,2,322,haravijaya,haravijaya:218 | harav:104,unreviewed
mull,2,314,mullersl,mullersl:258 | muller:56,unreviewed
vama,2,309,vamana,vamana:270 | vamanap:39,unreviewed
muir,4,305,muirst,muirst:215 | muirstiv:38 | muirsti:31 | muirsanskrittextsi:21,unreviewed
bhpx,3,295,bhpx,bhpx:208 | bhpxi:49 | bhpxii:38,unreviewed
bada,3,292,badar,badar:209 | badarsch:45 | badarii:38,unreviewed
arya,2,285,aryabh,aryabh:178 | aryav:107,unreviewed
vaij,2,284,vaij,vaij:235 | vaijaao:49,unreviewed
dhan,3,279,dhanv,dhanv:209 | dhanamj:40 | dhanamjaya:30,unreviewed
unii,2,279,uniii,uniii:166 | unii:113,unreviewed
kala,2,278,kalac,kalac:154 | kalacakra:124,unreviewed
bhad,2,275,bhadrab,bhadrab:196 | bhad:79,unreviewed
sisi,5,275,sisix,sisix:84 | sisii:61 | sisi:52 | sisiv:41 | sisiii:37,unreviewed
meda,2,268,medavy,medavy:226 | medanh:42,unreviewed
kaps,2,264,kaps,kaps:241 | kapsi:23,unreviewed
tbri,3,257,tbri,tbri:103 | tbrii:91 | tbriii:63,unreviewed
camp,2,256,campaka,campaka:178 | campak:78,unreviewed
mack,2,241,mackcolli,mackcolli:147 | mackcoll:94,unreviewed
tant,4,238,tantras,tantras:126 | tantrasara:51 | tantr:41 | tantra:20,unreviewed
gola,2,238,goladhy,goladhy:218 | goladhybhuvanak:20,unreviewed
rasa,2,234,rasas,rasas:176 | rasar:58,unreviewed
sbrv,4,215,sbrvi,sbrvi:77 | sbrv:70 | sbrvii:38 | sbrviii:30,unreviewed
avii,2,212,aviii,aviii:116 | avii:96,unreviewed
zfdk,2,211,zfdkdm,zfdkdm:178 | zfdkdmiv:33,unreviewed
jyot,2,206,jyot,jyot:168 | jyotistattva:38,unreviewed
durg,2,205,durga,durga:123 | durgad:82,unreviewed
niri,5,202,nirii,nirii:44 | niriv:43 | niriii:41 | niri:39 | nirix:35,unreviewed
pisc,4,200,pischel,pischel:75 | pischelvedischestudien:74 | pischeldegrpr:28 | pischelvedstudieni:23,unreviewed
ksit,2,199,ksitis,ksitis:171 | ksitisav:28,unreviewed
gani,2,198,ganit,ganit:148 | ganitadhy:50,unreviewed
vsxx,5,196,vsxxx,vsxxx:82 | vsxxiv:49 | vsxxiii:23 | vsxxv:21 | vsxx:21,unreviewed
pada,3,193,padap,padap:75 | pada:73 | padaravindas:45,unreviewed
kadi,2,192,kadii,kadii:171 | kadiii:21,unreviewed
nirv,4,191,nirvi,nirvi:72 | nirv:54 | nirvii:41 | nirviii:24,unreviewed
samh,2,190,samhitopan,samhitopan:148 | samhup:42,unreviewed
lagh,2,184,laghuj,laghuj:150 | laghuk:34,unreviewed
