group,members,tree,kind,n_quartets,n_recovered,recovery
tradition:English-Sanskrit,AE BOR,B_whamming_nj,convention,435,378,0.869
tradition:English-Sanskrit,AE BOR,B_hamming_upgma,convention,435,326,0.7494
tradition:English-Sanskrit,AE BOR,B_hamming_nj,convention,435,214,0.492
tradition:English-Sanskrit,AE BOR,A_jaccard_upgma,convention,435,378,0.869
tradition:English-Sanskrit,AE BOR,A_jaccard_nj,convention,435,435,1.0
tradition:English-Sanskrit,AE BOR,C_chamming_upgma,convention,435,235,0.5402
tradition:English-Sanskrit,AE BOR,C_chamming_nj,convention,435,277,0.6368
tradition:English-Sanskrit,AE BOR,bayesian_map,convention,435,378,0.869
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,canonical_consensus,convention,12540,5506,0.4391
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,B_whamming_upgma,convention,12540,5506,0.4391
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,B_whamming_nj,convention,12540,5376,0.4287
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,B_hamming_upgma,convention,12540,5311,0.4235
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,B_hamming_nj,convention,12540,5542,0.4419
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,A_jaccard_upgma,convention,12540,4922,0.3925
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,A_jaccard_nj,convention,12540,5295,0.4222
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,C_chamming_upgma,convention,12540,4501,0.3589
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,C_chamming_nj,convention,12540,5473,0.4364
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,bayesian_map,convention,12540,4660,0.3716
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,preview_common_convention,convention,10098,4295,0.4253
tradition:Sanskrit-English,AP AP90 BEN CAE GST LRV MD MW MW72 SHS WIL YAT,preview_common_lemma,content,10098,4066,0.4027
