dict,L,k1,layers,is_verbal,n_subentries,subentry_categories,n_caus,n_pass,n_desid,n_intens,n_den,n_periphr,n_comp,max_depth,n_preverb_sub,preverbs,xref_out,is_root,root_signal,gana,pada,transitivity,causative,set,anit,vet
acc,2719,upasargamaRqanakavikalpadrumaskanDa,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,3534,kavikalpadruma,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,3535,kavikalpadrumaskanDaupasargamaRqana,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,10101,durgAdAsa,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,10102,durgAdAsavidyAvAcaspati,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,10103,durgAdAsa,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,30362,kavikalpadruma,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,32025,kavikalpadruma,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,33670,durgAdAsavAcaspati,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
acc,42454,kavikalpadruma,root,,,,,,,,,,,,,,0,1,citation,,,,0,0,0,0
ae,1,a,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,5,abate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,16,abhor,sub,1,2,desid,0,0,2,0,0,0,0,1,,,0,0,,,,,,,,
ae,17,abide,sub,1,1,desid,0,0,1,0,0,0,0,1,,,0,0,,,,,,,,
ae,33,abound,sub,1,3,"pass,comp",0,1,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,34,about,sub,1,4,"desid,comp",0,0,1,0,0,0,3,1,,,0,0,,,,,,,,
ae,43,abscond,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,48,absorb,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,56,abut,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,69,accompany,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,72,accord,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,81,accrue,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,84,accumulate,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,94,ache,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,108,across,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,109,act,sub,0,2,"den,comp",0,0,0,0,1,0,1,1,,,0,0,,,,,,,,
ae,114,adamant,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,117,addict,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,123,adhere,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,156,advance,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,173,affect,sub,0,2,comp,0,0,0,0,0,0,2,1,,,0,0,,,,,,,,
ae,193,after,sub,0,3,comp,0,0,0,0,0,0,3,1,,,0,0,,,,,,,,
ae,195,against,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,200,agent,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,217,agree,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,229,aim,sub,1,2,desid,0,0,2,0,0,0,0,1,,,0,0,,,,,,,,
ae,263,all,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,285,almost,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,289,alone,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,290,along,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,301,alternate,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,320,ambient,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,325,ambrosia,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,331,amend,sub,1,1,pass,0,1,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,345,amount,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,369,and,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,376,anent,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,408,another,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,466,apparent,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,469,appear,sub,1,3,pass,0,3,0,0,0,0,0,1,,,0,0,,,,,,,,
ae,477,apply,sub,1,3,"pass,comp",0,2,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,493,apropos,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,494,apt,sub,1,2,"pass,comp",0,1,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,496,aquatic,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,525,arise,sub,0,1,comp,0,0,0,0,0,0,1,1,,,0,0,,,,,,,,
ae,557,as,sub,0,3,comp,0,0,0,0,0,0,3,1,,,0,0,,,,,,,,
