feature,root,skd,vcp,krm,yat,shs
gana,BUza,curadi,bhvadi,bhvadi|curadi,,
gana,Bida,rudhadi,bhvadi,,,
gana,Capa,curadi,bhvadi,,,
gana,Cfda,curadi|rudhadi,bhvadi|rudhadi,,,bhvadi
gana,Cfpa,,bhvadi,curadi,,bhvadi
gana,Cuqa,,bhvadi|tudadi,tudadi,,bhvadi
gana,Cura,tudadi,tudadi,tudadi,,bhvadi
gana,Cuwa,curadi,tudadi,tudadi,,tudadi
gana,DU,svadi|tudadi,tudadi,tudadi,svadi,
gana,DUpa,curadi,bhvadi|curadi,bhvadi|curadi,,bhvadi
gana,Dana,juhotyadi,bhvadi,juhotyadi,,bhvadi
gana,Df,curadi|tudadi,bhvadi|curadi|tudadi,,bhvadi,bhvadi
gana,Dfza,curadi|svadi,bhvadi|curadi|svadi,curadi,,bhvadi
gana,Drasa,curadi|kryadi,,kryadi,,curadi
gana,Dru,tudadi,tudadi,,tudadi,bhvadi
gana,Gf,curadi|juhotyadi,juhotyadi,,bhvadi,
gana,GuRa,tudadi,bhvadi|tudadi,bhvadi,,
gana,Gura,tudadi,tudadi,tudadi,bhvadi,
gana,Guza,curadi,bhvadi,,bhvadi,
gana,I,,divadi,,adadi,
gana,Iqa,,adadi,curadi,,
gana,Ira,curadi,adadi|bhvadi,adadi|curadi,,
gana,JF,divadi,,kryadi,bhvadi,
gana,Kida,rudhadi|tudadi,divadi|tudadi,divadi,,
gana,Kuqa,curadi,bhvadi|curadi,tudadi,,
gana,Rada,curadi,bhvadi,bhvadi|curadi,,
gana,SIka,bhvadi|curadi,bhvadi,curadi,bhvadi,
gana,SIla,curadi,bhvadi|curadi,bhvadi|curadi,bhvadi,
gana,Saka,bhvadi|divadi|svadi,bhvadi,divadi,divadi,
gana,Samba,bhvadi,bhvadi,curadi,bhvadi,
gana,Sawa,bhvadi|curadi,curadi,bhvadi,,
gana,Si,svadi,bhvadi,,svadi,
gana,Siza,adadi|bhvadi|curadi,bhvadi|rudhadi,curadi,,
gana,Sraga,svadi,bhvadi,,bhvadi,
gana,Srama,divadi,bhvadi,,,
gana,Urjja,curadi,bhvadi,,,
gana,aGa,curadi,bhvadi,,curadi,
gana,aha,curadi,bhvadi|curadi|svadi,svadi,,
gana,aka,curadi,,bhvadi,,
gana,arha,curadi,bhvadi|curadi,curadi,bhvadi,
gana,bila,curadi,tudadi,curadi|tudadi,curadi,
gana,bukka,curadi,bhvadi,bhvadi|curadi,,
gana,buwa,curadi,bhvadi,,,
gana,byuza,curadi,curadi,,divadi,
