dict,L,k1,root_signal,dhatupatha_source,gana,pada,transitivity,causative,set,anit,vet,anubandhas,gloss_snippet
krm,1938,stena,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1897. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1939,stoma,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1923. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1941,sTuqa,annotation,(annotation-only),tudadi,parasmaipada,sakarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1388. <s>saka</s>. <s>sew</s>. <s>para</s
krm,1942,sTUla,annotation,(annotation-only),curadi,,akarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1904. <s>aka</s>. <s>sew</s>. <s>Atma</s>.
krm,1943,sniwa,annotation,(annotation-only),curadi,ubhayapada,akarmaka,0,1,0,0,,"(X<s>-curAdiH-aka</s>. <s>sew</s>. <s>uBa</s>.) <div n=""NI"">"
krm,1944,spadi,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-14. <s>aka</s>. <s>sew</s>. <s>Atma</s>.) <
krm,1945,sparDa,annotation,(annotation-only),bhvadi,,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-3. <s>aka</s>. <s>sew</s>. <s>Atma</s>.) <d
krm,1946,spaSa,annotation,(annotation-only),bhvadi,ubhayapada,sakarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-887. <s>saka</s>. <s>sew</s>. <s>uBa</s>.)
krm,1947,spaSa,annotation,(annotation-only),curadi,,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1681. <s>saka</s>. <s>sew</s>. <s>Atma</s>
krm,1950,spfha,both,dhatupatha,curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1872. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1951,sPara,annotation,(annotation-only),tudadi,,,0,1,0,0,,(VI<s>-tudAdiH</s>-1389. (<s>pA</s>.) <s>aka</s>. <s>sew</s>
krm,1952,sPala,annotation,(annotation-only),tudadi,,,0,1,0,0,,(VI<s>-tudAdiH</s>-1389. (<s>pA</s>.) <s>aka</s>. <s>sew</s>
krm,1953,sPAyI,annotation,(annotation-only),bhvadi,,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-487. <s>aka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1954,sPiwa,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1572. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1955,sPiwwa,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1635. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1956,sPuwa,annotation,(annotation-only),bhvadi,,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-260. <s>aka</s>. <s>sew</s>. <s>Atma</s>.)
krm,1957,sPuwa,annotation,(annotation-only),tudadi,parasmaipada,akarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1373. <s>aka</s>. <s>sew</s>. <s>para</s>
krm,1958,sPuwa,annotation,(annotation-only),curadi,ubhayapada,sakarmaka,0,1,0,0,,(X<s>-curAdiH</s>-1723. <s>saka</s>. <s>sew</s>. <s>uBa</s>.
krm,1959,sPuwir,annotation,(annotation-only),bhvadi,parasmaipada,akarmaka,0,1,0,0,,(I<s>-BvAdiH</s>-329. <s>aka</s>. <s>sew</s>. <s>para</s>.)
krm,1960,sPuqa,annotation,(annotation-only),tudadi,parasmaipada,sakarmaka,0,1,0,0,,(VI<s>-tudAdiH</s>-1391. <s>saka</s>. <s>sew</s>. <s>para</s
