dict,L,k1,quote
ap,3627,aBirUpa,prAptarUpABirUpO dvO vidvAMse sundare'pi ca
ap,3738,aBizaNgaH,aBizaNgastu SapaTe SApe saNge parABave
ap,3864.002,aBIkaH,… aTa krUre ca kAmuke . BayahIne kavO puMsyAdaBIkaH
ap,3891,aBISuH,aBISuH pragraharaSimanoH .
ap,3904.022,aBUtatadBAvaH,payoDarIBUtacatuHsamudrAm
ap,3984,aByAsaH,anyAyaSca kfte'ByAsaH .
ap,4113,am,aM suKaM kaSmalaM duHKaM pUrRaM dUraM gataM varam
ap,4229.006,amftam,amftaM vAri surayornirvARe cAtisundare . ayAcite yajYaSeze puMsi
ap,4261,ambaram,aMbaraM vyomni vAsasi . suganDini ca kArpAse … .
ap,4265,ambazWaH,ambazWAnAM dArvihomiko brAhmaRaH .
ap,4298.002,ayaH,ayaH puMsi gatAvapi .
ap,4311,ayatna,ayatnaSItalaM vAri suKaM ca svedavarjitam
ap,4346,ayi,ayi praSnAnunayayoH …
ap,4376.002,araH,aravyaktirnazwA sTitamiva javAccakravalayam
ap,4427,aravindam,sUryAMSuBirBinnamivAravindam
ap,4452.024,arikeliH,arikeliH SatrulIlA
ap,4465.006,arizwam,… arizwaM sUtikAgfhe . aSuBe nimbavfkze ca SuBe takrANkayoH
ap,4478.004,aruRA,aruRaH kapile kuzWe sanDyArAge'rkasAraTO .
ap,4516.002,arkaH,arko'rkaparRe sPawike tAmre sUrye
ap,4526.002,arGatantram,raktabilvAkzatEH puzpErdaDidUrvANkuSEstilEH .
ap,4526.002,arGatantram,arGaH pUjAviDO mUlye … .
ap,4526.028,arGabalAbalam,arGasya hrAsaM vfdDiM vA … .
ap,4551.002,arjunaH,arjunaH PAlguno
ap,4551.008,arjunAH,arjunaH kakuBe pArTe
ap,4564,arTaH,arTo'BiDeyarEvastuprayojananivfttizu .
ap,4564.084,arTaguRAH,BAvikatvaM suSabdatvaM paryAyoktiH suDarmitA . catvAro'rTaguRAH
ap,4574.022,arTisAt,arTI tu yAcako vidyAt yasyArTaH sa ca arTavAn
ap,4582.006,arDam,arDaM KaRqe samAMSake
ap,4582.089,arDacandraH,arDacandrastadAkAre bARe barhe SiKaRqinaH
ap,4582.128,arDanArISaH,… patirapi jagatAmarDanArISvaro'BUt
ap,4586,arDin,yezAmarDaM te arDinaH .
ap,4604.002,aryaH,aryaH svAmivESyayoH
ap,4604.002,aryaH,… aryastu bAhuje
ap,4667,alaMkAraH,kAvyaSoBAkarAn DarmAnalaMkArAn pracakzate . alaMkarizRavaste
ap,4698,aliH,… aliH paNktO ca vfScike . BfNge vayasyAM
ap,4867.002,avagItam,… avagItaM tu garhite . janyopaSlizwayorvAcyaliNgaHkutsitakUjite .
ap,4984.002,avadAtaH,avadAtaH site pIte
ap,5044,avanam,avanaM KaRqane trARe gatO tfpte ca yAcane . SravaRe
ap,5047,avanata,liKannAste BUmiM bahiravanataH
ap,5073,avantiH,ayoDyA maTurA mAyA kASI kAYciravantikA . purI dvArAvatI cEva saptEtA
ap,5073,avantiH,Avantya eva nipuRAH sudfSo ratakarmaRi
ap,5187,avaroDaH,avaroDastiroDAne rAjadArezu tadgfhe
ap,5229,avalepaH,avalepastu garve syAllepane dUzaRe'pi ca
ap,5275,avaSyaMBAvin,avaSyaMBAviBAvAmAM pratIkAro Baved yadi . tadA
ap,5299,avazwamBaH,avazwamBaH suvarRe ca stamBaprAramBayorapi .
ap,5347,avasAyaH,aTAvasAyaH SezaH
ap,5484,avikzita,rakzogaRaM kziptumavikzitAtmA
ap,5582.002,aviratam,BajAmastvAM gOrIM nagapatikiSorImaviratam
ap,5585.020,aviralaDArAsAraH,aviralamadaDArADOtakumBaH
ap,5838.002,aSokaH,asUta sadyaH kusumAnyaSokaH … pAdena
ap,5894.002,aSvataraH,aSvataraH suravAjinoH … .
ap,5898,aSvatTAman,aSvatTAmA balirvyAso hanUmAMSca viBIzaRaH .
ap,5908.002,aSvinO,tvAzwrI tu saviturBAryA
ap,5923.023,azwANgam,urasA SirasA dfzwyA vacasA manasA taTA . padByAM karAByAM
ap,5948.002,astakam,udaye savitA rakto raktaScAstamane taTA .
ap,5990,asakO,avyayasarvanAmnAm akac prAkweH
ap,6135.042,asiDenuH,syAcCastrI cAsiputrI ca cCurikA cAsiDenukA .
ap,6225,asTi,"anasTa, puruzAsTa"
ap,6263,asyavAmIyam,sakfjvaptvAsyavAmIyaM SivasaMkalpameva ca
ap,6309,ahaha,ahahetyadBute Kede …
ap,6348,AH,AH svayaMBUriBo vAjI KedaH SaMkaravAsavO . pArijAtaH
ap,6365,AkalpakaH,‘AkalpakastamomohagranTizUtkalikAmudoH’
ap,6382.033,AkASagaNgA,uBO yadi vyomni pfTak pravAhAvAkASagaNgApayasaH
ap,6382.064,AkASayAnam,vAyubanDakavastreRa subadDo yAnamastake .
ap,6397,AkUtam,cirayati mayi vyaktAkUtA manAk
ap,6407,AkftiH,Akftistu SarIre syAdrUpasAmAnyayorapi
ap,6410,AkarzaH,AkarzaH SAriPalake dyUte'kze kArmuke'pi ca
ap,6428,AkrandaH,… Akrando
ap,6589.002,ANgirasaH,ANgIrasastvabdaBede muniBede tadIritam .
ap,6618,AcAryaH,Acinoti ca SAstrArTam AcAre sTApayatyapi . svayamAcarate
ap,6703,AwiH,AwirAqI SarAqI
ap,6708,AqambaraH,… Aqambaro'striyAm . turyaSabde ca
ap,6730,AtaYcanam,AtaYcanaM pratIvApe javanApyAyanArTayoH
ap,6780,Atman,"AtmasaMpanna, Atmavat"
ap,6780.036,AtmASin,matsyA iva janA nityaM Bakzayanti parasparam
ap,6780.078,AtmaGozaH,AtmaGozo vAyase syAdAtmastutipare'pi ca
ap,6853,AdarSaH,AdarSo darpaRe wIkA pratipustakayorapi
ap,6902,ADAraH,ADAra AlavAle'mbubanDe ca kiraRe'pi ca
ap,6934,AnakaH,… AnakaH svanadambude . BeryAM mfdaNge pawahe …
ap,6940,AnandaH,vijYAnamAnandaM brahma
ap,7049,AnvIkzikI,AnvIkzikI trayI vArtA daRqanItiSceti
ap,7057.038,Aptavacanam,AptaSrutirAptavacanam tu
ap,7247.034,AmajvaraH,svedyamAmajvaraM prAjYaH ko'mBasA
ap,7748,AvfttiH,tasmAdAvfttiH staraRamantrasya .
ap,7803,ASis,varaH Kalveza nASIH
ap,7845.002,ASravaH,avidyA'smitArAgadvezABiniveSAH kleSAH
ap,7884,Asanam,"padma˚, vIra˚, Badra˚"
ap,7884,Asanam,anAyAsena yena syAdajasraM brahmacintanam . AsanaM
ap,7884,Asanam,mastakadvitayaM dantAvAsanaM
ap,7952.002,AstikaH,agastyo mADavaScEva
ap,7954.002,AstIkaH,sarpApasarpa BadraM te gacCa sarpa
ap,8011,Ahan,AjaGne vizamavilocanasya vakzaH
ap,8075,iH,iH kAmaH sTARurindro'rko varuRaH pAdapo dvipaH . SuciH SrImAnajo
ap,8154,idAnIm,yAvantyetarhIRi tAvanti paMcadaSakftva idAnIni
ap,8159.002,inaH,ino BAgo DAmaniDiraMSumAlyabjinIpatiH
ap,8176.058,indrakoSaH,awwAlakapratolImaDye triDAnuzkADizWAnaM-indrakoSaM
ap,8184.004,indriyam,mA BUvannapaTavarAstavendriyASvAH
ap,8262,izwApUrtam,izwApUrte putrapaSUMSca
ap,8269.048,izumAtra,yadA hi dvijavarasyezumAtrAvalokanAnugaterna samAhitA
ap,8285.020,ihAmutra,ihAmutrArTaBogavirAgaH .
ap,8350.002,ISvaraH,ISvarastu parjanyavad drazwavyaH
ap,8364,IhA,hantuM kroDavaSAdIhAM cakrAte nO parasparam
ap,8367,uH,urgOrIpatiruH kAlaH seturnATaH parAyaRaH .
ap,8381.001,ukzA,vidalitamahAkUlAmukzRAM vizARaviGawwanEH
ap,8390.002,ugraH,kzatriyAcCUdrakanyAyAM kUrAcAravihAravAn . kzatraSUdravapurjanturugro
ap,8434,ucciNgawaH,ucciNgawastfRagaQa matsyakopanayoH pumAn
ap,8444,ucCAdanam,snApanocCAdanena ca
ap,8576,utkalikA,jalayantrajalAkArakIlAlotkalikAkulAH
ap,8677.036,uttarAyanam,BAnormakarasaMkAnteH zaRmAsA
ap,8773.002,utpIqaH,ApAtotpIqahelAhftakusumarajaHpiYjaro'yaM jalOGaH
ap,8801.002,utPullam,utPullaM karaRe strIRAmuttAne'pi vikasvare
ap,8807,utsaNgaH,viSAlataramutsaNgaM kuru
ap,8818,utsAdanam,aByaNgotsAdanaM mUrDni tElaM jentAkamAtapaM
ap,8847,utsargaH,utsfzwA vE vedAH
ap,8911,udaram,"kfSodarI, udaraBaraRam"
ap,9022,udGaH,matallikAmacarcikA prakARqamudGatallajO . praSastavAcakAnyamUni
ap,9022,udGaH,… udGAn saMGasamAgatAn
ap,9120,udDyaH,ujJatyudakamiti udDyaH
ap,9171,udyAnam,dUrIkftAH Kalu guRErudyAnalatA
ap,9362,unmardanam,sarvasuraByunmardanaM Bavati
ap,9474,upaGnaH,apaSyatAM dASaraTI
ap,9547,upatApin,puruzaM somyopatApinaM jYAtayaH paryupAsate
ap,9668,upanizkramaRam,caturTe mAsi kartavyaM SiSornizkramaRaM
ap,9951,upaSAyaH,niSopaSAyaH kartavyaH PaloccAyaSca saMhatEH
ap,10032,upasargaH,DAtvarTaM bADate kaScitkaScittamanuvartate . tameva viSinazwapanya
ap,10122,upAMSu,tasmAt yat kiMcit prAjApatyaM kriyate upAMSveva tat kriyate iti .
ap,10239.002,upottamam,upottamaM riti
ap,10282.034,uraSCadaH,uracCadamanirBidya drutamutpatitAH SarAH
ap,10393,uSanas,kavInAmuSanA kaviH
ap,10444,UH,UH pareto'RqajastvazwA vivasvAnagnisAraTiH . vahnirniSAkaraH
