dict,L,k1,quote
ap,25684.038,manaHkAraH,manasaH EkAgryakaraRaM manaskAraH
ap,25783.050,mayUraSiKA,nIlakaRWaSiKA laGvI
ap,25859.028,malayAnilaH,apagatadAkziRya dakziRAnilahataka pUrRAste manoraTAH kftaM kartavyaM
ap,25929.032,mahadOzaDiH,saralAsaktamAtaNgagrEveyasPuritatvizaH .
ap,25943.194,mahOzaDiH,sahadevI taTA vyAGrI balA cAtibalA tvacA . SaNKapuzpI taTA siMhI
ap,25943.704,mahAyamakam,baBO marutvAn vikftaH samudraH
ap,26148.002,mArIcaH,svAyaMBuvAnmarIceryaH prabaBUva prajApatiH
ap,26367.088,muKapiRqaH,ko na yAti vaSaM loke muKapiRqena
ap,26545.034,mUzikavizARam,"SaSavizARa, Kapuzpa"
ap,26898,yantram,yantraM tilapIqanakam
ap,26936,yavanikA,eza bARAsanahastABiryavanIBiH
ap,27011,yAnam,"mahAyAna, hInayAna"
ap,27127.028,yogAKyA,ezA yogAKyA yogamAtrApekzA na BUtavartamAnaBavizyatsaMbanDApekzA
ap,27261,raTaH,AtmAnaM raTinaM vidDi SarIraM raTameva tu
ap,27325,raSanA,aSnute jaGanam
ap,27379.098,rAjakaliH,aSaraRyaH prajAnAM yaH sa rAjA kalirucyate
ap,27427.002,rAmaH,rAkAroccAramAtreRa muKAnniryAti pAtakam .
ap,27479,riwiH,BfNga(ge)riwiH
ap,28368.022,vatsarAdiH,mAsAnAM mArgaSIrzo'ham
ap,28517,varAhaH,vasati daSanaSiKare
ap,28705,valgUyati,bfhaspatiM yaH suBftaM biBarti valgUyati
ap,29018.024,vAruRavratam,taTA pApAnnigfhRIyAd
ap,29166,vikawa,‘vikawaH sundare prokto viSAlavikarAlayoH’
ap,29242.002,vikeSI,yAmAhuH sarvaBUtaprakftiH
ap,29593.002,vidUzakaH,SfNgArasya sahAyA viwacewavidUzakAdyAH syuH . BaktA narmasu nipuRAH kupitavaDUmAnaBaYjanAH
ap,29652,viDAnam,viDIyate aneneti viDAnaM
ap,29700.002,vinaSanaH,himavadvinDyayormaDyaM yat prAgvinaSanAdapi . pratyageva prayAgAcca
ap,30282,vivAraH,vivftamUzmaRAM svarARAM
ap,30718,vfdDa,"vayovfdDa, DarmavfdDa"
ap,30785,veRaH,vEdehakena tvambuzWapAmutpanno veRa ucyate
ap,30960.002,vEdUryam,mArjArekzaRapiNgalacCavijuz
ap,31003,vEBrAjam,devodyAnAni vEBrAjam
ap,31074,vESyaH,UrU tadasya yadvESyaH
ap,31423,vyAsaH,jAtaH sa yamunAdvIpe
ap,31438,vyAhftiH,BUrBuvaH suvariti vA etAstisro vyAhftayaH
ap,31474,vyUhaH,"daRqavyUhaH, Sakawa˚, varAha˚"
ap,31537.030,SakawaBedaH,yadi rohiRyAH SakawaM Binatti ravinandano gaganabITyAm . dvAdaSa
ap,31591,SaNKinI,"citriRI, hastinI"
ap,31597,SawA,"jawA, siMhakeSara"
ap,31654,SabdaH,‘Sabdo'kzare yaSogItyoH’
ap,31803,SAkawAyanaH,vyAkaraRe Sakawasya ca tokam
ap,32107.044,SivaGarmajaH,purA dakzavinASAya kupitasya
ap,32290.002,SUraH,SUraH syAd yAdave Bawe
ap,32693.002,SvetaH,tasmAt pratyakzo'pi
ap,32887,saMvartiH,"kamalinIsaMvartikA, amBojasaMvartikA"
ap,33307,saMjayaH,Darmakzetre kurukzetre samavetA
ap,33695,samajaH,paSUnAM samajo'nyezAM samAjo'Ta saDarmiRAm
ap,33797,samAjaH,paSUnAM samajo'nyezAM samAjo'Ta saDarmiRAm
ap,34377,saras,saras-vatI
ap,34710,sAntapanam,gomUtraM gomayaM kzIraM
ap,35088.230,sutarman,yajYo vE sutarmA
ap,35885,sPawaH,Pawa-wA
ap,35982.052,smftiviroDaH,smftyorviroDe nyAyastu balavAn vyavahArataH
ap,36042,sruGnaH,na hi devadattaH sruGne saMniDIyamAnastadahareva pAwaliputre
ap,36196,haMsaH,BavedvarRAgamAd haMsaH
ap,36334.032,hastAmalakam,karatalAmalakaPalavadaKilaM jagadAlokayatAm
ap90,271,aMgaM,"˚rAjaH, ˚patiH, ˚ISvaraH"
ap90,338,acCa,˚Balla
ap90,376,ajara,vfdDatvaM jarayA vinA
ap90,431,aMjanaH,anekArTasya Sabdasya
ap90,633,atimukta,ka idAnIM
ap90,701,atiSva,sevAM lAGavakAriRIM kftaDiyaH sTAne SvavfttiM
ap90,792,atri,aTa nayanasamutTaM
ap90,886,adriH,"˚ISa, ˚iMdra"
ap90,906,aDara,˚aMbara
ap90,906,aDara,aDaraMKalu biMbanAmakaM
ap90,1048,aDyayanaM,yaTA paSurBAravAhI na tasya Bajate
ap90,1828,anuyuktin,"gfhItin, aDItin"
ap90,2099,aMtar,˚puraM
ap90,2099,aMtar,ete BagavatyO BUmidevAnAM
ap90,2138,aMtraM,"ajAMtrI, CagalAMtrI"
ap90,2143,aMdikA,-aMtikA
ap90,2147,aMDa,aMDatAmisrA hyasUryA nAma te
ap90,2158,annaM,annAdretaH saMBavati
ap90,2430,apara,"anuttama, anuttara"
ap90,2918,apsaras,yA tapoviSezapariSaMkitasya
ap90,2984,aBAva,atra saptamasTABAvakaTanAdeva zaRRAM BAvatvaM prAptaM
ap90,3548,aBUta,payoDarIBUtacatuHsamudrAM
ap90,4034,araviMdaM,sUryAMSuBirBinnamivAraviMdaM
ap90,4634,avaMtiH,AvaMtya eva
ap90,5280,aSoka,asUta sadyaH kusumAnyaSokaH…
ap90,5345,aSvin,tvAzwrI tu
ap90,5610,asTi,"anasTa, puruzAsTa"
ap90,6115,Atman,"AtmasaMpanna, Atmavat"
ap90,6115,Atman,matsyA iva janA nityaM
ap90,7037,ASis,varaH KalvezanASIH
ap90,7066,ASramaH,sakilASramamaMtyamASritaH
ap90,7114,AsanaM,"padma˚, vIra˚, Badra˚, vajra˚"
ap90,7225,Ahan,AjaGne vizamavilocanasya vakzaH
ap90,7377,iMdriya,mA BUvannapaTaharAstaveMdriyASvAH
ap90,7978,utsargaH,utsfzwA vE vedAH
ap90,8255,udyAnaM,dUrIkftAH Kalu
ap90,8984,upasargaH,DAtvarTaM bADate
ap90,9471,ftuH,paMcartavo hemaMtaSiSirayoH
ap90,9738,ozaDiH,saMjIvana˚
ap90,10352,karIraH,kiM puzpEH kiM PalEstasya
ap90,10389,karRa,"zawkarRa, catuzkarRa"
ap90,10433,karman,"upasarga, gati"
ap90,10975,kIrtiH,"nAmaSeza, AleKyaSeza"
ap90,11400,kftrima,kftrimaH syAtsvayaM kftaH
ap90,11443,kfzRa,bahiriva malinataraM tava kfzRa manopi
ap90,11494,keSaH,"kacapakza, kacahasta"
ap90,11504,kesarin,"kuMjara, siMha"
ap90,12250,gaqqarikA,iti gaqqarikApravAhenEzAM
ap90,12596,gupta,SarmA devaSca viprasya
ap90,14067,jozA,"yozA, yozit"
ap90,15013,trasa,jAlAMtaragate BAnO sUkzmaM
ap90,15023,tri,vAgdaMqo'Ta manodaMqaH
ap90,15096,tvazwf,Aropya cakraBramimuzRatejAstvazwreva
ap90,15264,daSan,DftiH kzamA damo'steyaM
ap90,15626,deva,vitanvati kzemamadevamAtfkAH
ap90,15901,dvEtaM,advEta; kiM SAstraM
ap90,16071,DIH,"kuDI, suDI"
ap90,16369,naraH,sTAne Kalu nArAyaRamfziM
ap90,16369,naraH,tava karakamalavare naKamadButaSfMgaM
ap90,17588,paMcan,havirBujAmeDavatAM caturRAM maDye
ap90,17719,pad,padByAM SUdro ajAyata
ap90,18531,paSuH,"nfpaSu, narapaSu"
ap90,18957,piMqiH,"gehenardin, gehesUra"
ap90,21619,baliH,Calayasi vikramaRe balimadButavAmana
ap90,21873,brAhma,brAhme muhUrte kila tasya devI
ap90,23989,raTaH,AtmAnaM raTinaM bidDi
ap90,24167,riwiH,BfMga(ge)riwiH
ap90,25665,vikeSa,yAmAhuH sarvaBUtaprakftiH
ap90,26486,vivAraH,vivftamUzmaRAM svarARAM ca
ap90,27146,vESyaH,UrU tadasya yadvESyaH
ap90,27559,SaMKinI,"citriRI, hastinI"
ap90,27565,SawA,"jawA, siMhakeSara"
ap90,27685,Sarman,"varman, dAsa, gfpta"
ap90,28164,SUlaH,ayaH SUla
ap90,30261,siMhaH,BavedvarRAgamAdDaMsaH siMho varRaviparyayAt
ap90,30975,sPawaH,Pawa-wA
ap90,31109,sruGnaH,na hi devadattaH sruGne
ap90,31231,haMsaH,BavedvarRAgamAd haMsaH
ap90,31338,hastaH,karatalAmalakaPalavadaKilaM jagadAlokayatAM
bur,1734,ave,*u
cae,3237,avasecana,pAdA-vasecana
cae,17371,nEmittika,nimitta˚
cae,17825,padapAWa,krama˚
cae,27238,rocakin,a˚
cae,28356,varDana,nABi˚
