dict,label,records,normalized,kind,ab,lang,total,rate_per_1000_records
mw,MW,286525,APABHRAMSA,middle_indic,0,6,6,0.02
mw,MW,286525,EPIC,register,0,328,328,1.14
mw,MW,286525,FIGURATIVE,register,245,0,245,0.86
mw,MW,286525,LITERAL,register,217,19,236,0.82
mw,MW,286525,PALI,middle_indic,0,31,31,0.11
mw,MW,286525,POETIC,register,3,0,3,0.01
mw,MW,286525,PRAKRIT,middle_indic,0,227,227,0.79
mw,MW,286525,VEDIC,register,0,612,612,2.14
pwg,PWG,123366,CLASSICAL,register,0,89,89,0.72
pwg,PWG,123366,EPIC,register,0,97,97,0.79
pwg,PWG,123366,FIGURATIVE,register,1,0,1,0.01
pwg,PWG,123366,LEXICOGRAPHERS_ONLY,register,41,0,41,0.33
pwg,PWG,123366,LITERAL,register,4,2,6,0.05
pwg,PWG,123366,LITURGICAL,register,11,0,11,0.09
pwg,PWG,123366,POETIC,register,2,0,2,0.02
pwg,PWG,123366,POST_VEDIC,register,0,9,9,0.07
pwg,PWG,123366,PRAKRIT,middle_indic,0,10,10,0.08
pwg,PWG,123366,VEDIC,register,0,543,543,4.4
pw,PW (PWK),170556,APABHRAMSA,middle_indic,0,1,1,0.01
pw,PW (PWK),170556,CLASSICAL,register,0,5,5,0.03
pw,PW (PWK),170556,EPIC,register,0,2,2,0.01
pw,PW (PWK),170556,FIGURATIVE,register,1,0,1,0.01
pw,PW (PWK),170556,LITURGICAL,register,4,0,4,0.02
pw,PW (PWK),170556,PALI,middle_indic,0,31,31,0.18
pw,PW (PWK),170556,PRAKRIT,middle_indic,0,161,161,0.94
pw,PW (PWK),170556,VEDIC,register,0,52,52,0.3
ap,AP,90847,EPIC,register,9,0,9,0.1
ap,AP,90847,FIGURATIVE,register,416,0,416,4.58
ap,AP,90847,LITERAL,register,98,0,98,1.08
ap,AP,90847,PALI,middle_indic,0,1,1,0.01
ap,AP,90847,POETIC,register,1,0,1,0.01
ap,AP,90847,VEDIC,register,1916,0,1916,21.09
wil,WIL,44577,FIGURATIVE,register,15,0,15,0.34
wil,WIL,44577,LITERAL,register,13,0,13,0.29
