dict,L,k1,kind,target
ap,11919.040,kARqapfzWaH,cf,kARqaspfzWaH
ap,11942,kAdambaH,cf,kAdambamArgaRaSarAH
ap,11958.020,kAntANGridohadaH,cf,kAntAcaraRadohadaH
ap,11989,kAmaH,cf,arTa
ap,12120,kArzRiH,cf,aBimanyu
ap,12177.006,kASmIram,cf,kastUrikAM
ap,12306,kIrtiH,cf,KaqgAdipraBavA
ap,12331.028,kukkuwamaRqapaH,cf,muktimaRqapa
ap,12355,kuYj,cf,kUj
ap,12394,kuwwihArikA,cf,kuwahArikA
ap,12398,kuWaH,cf,kuwa
ap,12415,kuqI,cf,kuwI
ap,12434.028,kuRqagolam,cf,paradArezu
ap,12503,kupyam,cf,syAt
ap,12530.050,kumBamaRqUkaH,cf,kUpamaRqUka
ap,12563,kururI,cf,kurarI
ap,12757,kf,cf,tfRIkf
ap,12790.002,kftrimaH,cf,kftrimaH
ap,12831.024,kfzwapacya,cf,akfzwapacya
ap,12834.002,kfzRaH,cf,bahiriva
ap,12834.026,kfzRADvan,cf,kfzRavartman
ap,12834.080,kfzRatAlu,cf,SAlihotra
ap,12851.002,kekaram,cf,Akekara
ap,12862,kedara,cf,kekara
ap,12987,koraH,cf,koraka
ap,13035,kOwavI,cf,kowwavI
ap,13045,kORqinyaH,cf,takrakORqinyanyAya
ap,13047.026,kOtukodayam,cf,utsava
ap,13069,kOmudI,cf,candrikA
ap,13167.002,krItakaH,cf,krIta
ap,13280.026,kzatrapatiH,cf,Catrapati
ap,13280.028,kzatrabanDuH,cf,brahmabanDu
ap,13325,kzArayati,cf,Akzar
ap,13444.020,kzullatAtaH,cf,Kulla
ap,13453.002,kzemaH,cf,yogakzema
ap,13513,KawakaH,cf,Gawaka
ap,13533.039,KaqgapatraH,cf,asipatra
ap,13534,KaqgArIwaH,cf,asiDArA
ap,13766.002,gaRanA,cf,kaTA
ap,13813.194,ganDahArikA,cf,ganDakArikA
ap,13844.002,gamakaH,cf,svarotTAnaprakArastu
ap,13851.020,gamBIravedin,cf,cirakAlena
ap,13910,galaH,cf,ajAgalastana
ap,13910.052,galahastaH,cf,arDacandra
ap,13991,gADa,cf,agADa
ap,14008,gAmBIryam,cf,BISokakroDaharzAdyEH
ap,14050,gir,cf,girDIH
ap,14077,guYjaH,cf,gucCa
ap,14085,guqa,cf,guqAkeSaH
ap,14097.142,guRamuzwiH,cf,patAkA
ap,14167,gulaH,cf,guqa
ap,14220,gfBam,cf,gfham
ap,14245,gez,cf,gavez
ap,14268,go,cf,caradgava
ap,14268.424,gosAvitrI,cf,gAyatrI
ap,14290.006,golaH,cf,kuRqa
ap,14420.044,GawadAsI,cf,kumBadAsI
ap,14635,caRqAla,cf,karmacARqAla
ap,14677,candrikA,cf,kOmudI
ap,14684,capala,cf,cApala
ap,14748,carpawaH,cf,capewa
ap,14777,calukaH,cf,culuka
ap,14888,ci,cf,cAy
ap,14889,cayaH,cf,agnicaya
ap,14992,cillakA,cf,JillikA
ap,15110.002,cUlA,cf,cUqA
ap,15413,jaB,cf,yaB
ap,15417,jampatI,cf,dampatI
ap,15466.098,jalocCvAsaH,cf,parIvAha
ap,15497.020,jahallakzaRA,cf,ajahatsvArTA
ap,15633.024,jinayoniH,cf,ajinayoni
ap,15687,juwikA,cf,cUqA
ap,15779,jYAnam,cf,jYAnayoga
ap,15903,JF,cf,jF
ap,16090.065,tadguRaH,cf,atadguRasaMvijYAna
ap,16113,tanu,cf,tanvaNgI
ap,16118.044,tanUhradaH,cf,tanuhrada
ap,16132,tantrA,cf,tandrA
ap,16273,talit,cf,taqit
ap,16500,tIk,cf,wIk
ap,16549,tuRqila,cf,tundila
ap,16602.048,tulApuruzaH,cf,tulAdAna
ap,16723,tara,cf,dustara
ap,16776,tElaMpAtA,cf,SyEnaMpAtA
ap,16810,tman,cf,Atman
ap,16848.177,tridaSaH,cf,indragopa
ap,16886,trEvargika,cf,trivarga
ap,16978,dakziRIkf,cf,pradakziRa
ap,16987.116,daRqapraRAmaH,cf,sAzwANganamaskAra
ap,17160,dAnam,cf,kanyAdAna
ap,17266,dAsaH,cf,gupta
ap,17305.066,divyaratnam,cf,cintAmaRi
ap,17413,dozaH,cf,dozA
ap,17464,dfQayati,cf,draQayati
ap,17482,dfmPU,cf,dfnPU
ap,17495.030,dfkkzepaH,cf,dfgjyA
ap,17504.022,dfzwAntaH,cf,dizwAnta
ap,17517.286,devamAtfka,cf,vitanvati
ap,17517.400,devasuziH,cf,udAna
ap,17663,dyu,cf,adyu
ap,17683.042,dyUtamaRqalam,cf,dyUtakaramaRqalI
ap,17684,dyUna,cf,paridyUna
ap,17770,drE,cf,drA
ap,17799.088,dvijaH,cf,brahmabanDu
ap,17799.198,dviraH,cf,dvirePa
ap,17832,dvEtam,cf,advEta
ap,17834,dvEtIyIka,cf,tArtIMyIka
ap,17847,dvEmAtfka,cf,devamAtfka
ap,17867.044,Danozman,cf,arTozman
ap,17881,Danus,cf,Danvan
ap,17890,Danvantaram,cf,daRqa
ap,17891,DanvantariH,cf,caturdaSaratna
ap,17918.056,DarmAstikAyaH,cf,astikAya
ap,18005,Di,cf,saMDA
ap,18053,DuvakA,cf,DruvakA
ap,18054,Duvitram,cf,Davitra
ap,18143,DOritakam,cf,DOrita
ap,18146,DOryam,cf,DoraRam
ap,18202,DvaR,cf,Dvan
ap,18205,Dvananam,cf,aYjana
ap,18275.002,natam,cf,natatawe
ap,18285.052,nadImAtfka,cf,devamAtfka
ap,18319.068,naBolih,cf,aBraMliha
ap,18324.002,naByam,cf,nABi
ap,18350.058,narakeSarin,cf,narasiMha
ap,18350.071,naranArAyaRO,cf,sTAne
ap,18437.006,nAgarI,cf,devanAgarI
ap,18438.004,nAgarakaH,cf,nAgarikapraRiDiH
ap,18516,nAyikA,cf,anyastrI
ap,18728,niculaH,cf,nicola
ap,18754,nid,cf,nind
ap,18768,nidfS,cf,nidarSanA
ap,18780,niDA,cf,niDyE
ap,18923,nir,cf,a
ap,19155,nirvyUQiH,cf,niryUha
ap,19200,nivedyam,cf,nEvedya
ap,19225,nivyUQam,cf,nirvyUQa
ap,19264,niSrayaRI,cf,niHSrayaRI
ap,19267,niSvAsaH,cf,niHSvAsa
ap,19275,nizaRRa,cf,vizaRRa
ap,19283.004,nizaDaH,cf,nizAda
ap,19317,nizkuhaH,cf,nizkuwa
ap,19319,nizkAraRam,cf,nikAraRa
ap,19329,nizkramaH,cf,upanizkramaRa
ap,19379,nis,cf,dus
ap,19383.002,nisUdanam,cf,nizUdana
ap,19419,nihrAdaH,cf,nirhrAda
ap,19482.028,nfkesarin,cf,narasiMha
ap,19482.084,nfsiMhaH,cf,narasiMha
ap,19645,nyAsaH,cf,arTAntaranyAsa
ap,19673,pakzaH,cf,pUrvapakza
ap,19673,pakzaH,cf,hasta
ap,19698,paNktiH,cf,paNktipAvana
ap,19717.020,pacataBfjjatA,cf,KAdatamodatA
ap,19732.031,paYcAjam,cf,paYcagavya
ap,19732.048,paYcAvasTaH,cf,paYcatva
ap,19732.050,paYcAvikam,cf,paYcagavya
ap,19732.241,paYcaBujaH,cf,paYcakoRa
ap,19732.296,paYcavargaH,cf,mahAyajYa
ap,19732.338,paYcaSuklam,cf,triSuklam
ap,19749,paYcAlikA,cf,pAYcAlikA
ap,19762,pawaccaraH,cf,pAwaccara
ap,19772.020,pawikzepaH,cf,apawIkzepa
ap,19776,pawu,cf,aGawitaGawanApawIyasI
ap,19847,patAkaH,cf,tripatAka
ap,19887.078,padakramaH,cf,krama
ap,19914,pan,cf,paR
ap,19929.056,payovrataH,cf,aditipayovratam
ap,19945.098,paramahaMsaH,cf,kuwIcaka
ap,20017,parAvasuH,cf,parABava
ap,20041,pari,cf,akzapari
ap,20048,parikartf,cf,parivettf
ap,20258,paridAyin,cf,parivettf
ap,20640,parihAraH,cf,parigraha
ap,20709,paryaNkaH,cf,avasakTikA
ap,20784,paryuzita,cf,aparyuzita
ap,20798,parSuH,cf,paraSu
ap,20832,paliGaH,cf,pariGa
ap,20908,pAkalaH,cf,kUwapAkala
ap,21062.030,pAnIyaSAlA,cf,prapA
ap,21100,pArayati,cf,vaktuM
ap,21117.002,pAramitA,cf,dAnapAramitA
ap,21235.077,pArSvasTaH,cf,pAripArSvaka
ap,21379.002,piRqIraH,cf,qiRqIra
ap,21450,pizwapaH,cf,vizwapa
ap,21607.074,puruzapaSuH,cf,narapaSu
ap,21701.002,pUrakaH,cf,recaka
ap,21710.002,pUrtam,cf,izwapUrta
ap,21715.120,pUrvanipAtaH,cf,paranipAta
ap,21726,pUlaH,cf,pUladAnam
ap,21730,pUz,cf,puz
ap,21861,pEzwI,cf,gOqI
ap,21863.002,pogaRqaH,cf,apogaRqa
ap,21976,pyAna,cf,pIna
ap,22157,pracAraH,cf,aDyakzapracAraH
ap,22272,praRam,cf,daRqapraRAma
ap,22345.222,pratipakzita,cf,satpratipakza
ap,22663,pratizWA,cf,prARapratizWA
ap,22933,praTukaH,cf,pfTuka
ap,23211,pramARam,cf,anuBava
ap,23226,pramApaRam,cf,pramApaRanizRAtEH
ap,23267,pramlAna,cf,parimlAna
ap,23328,pralaB,cf,vipralaB
ap,23736,prahAsaH,cf,praBAsa
ap,23751,prahutaH,cf,ahutaM
ap,23937.042,prAptapaYcatva,cf,paYcatva
ap,24100.062,pretapakzaH,cf,pitfpakza
ap,24220,prozaDaH,cf,pozaDa
ap,24287,PaRikArAH,cf,karRikArAH
ap,24292,Param,cf,Palaka
ap,24299,Palakam,cf,tawa
ap,24299.022,Palakapuram,cf,Palapura
ap,24307,PalAyozit,cf,PaqiNgA
ap,24342,PiNgakaH,cf,kaliNga
ap,24356,PuliNgaH,cf,PiraNga
ap,24364.022,PeRASaniH,cf,namuci
ap,24415,banDana,cf,nibanDana
ap,24420,banDuH,cf,kzatrabanDu
ap,24431,banDUra,cf,banDura
ap,24490,baliH,cf,cirajIvin
ap,24530.040,bahUdakaH,cf,kuwIcaka
ap,24530.062,bahukramaH,cf,kama
ap,24561,bARaH,cf,uzA
ap,24561.060,bARavAraH,cf,vArabARaH
ap,24619.020,bAhAbAhavi,cf,bAhUbAhavi
ap,24773.026,boDapUrva,cf,aboDapUrva
ap,24789.197,brahmadEtyaH,cf,brahmagraha
ap,24789.392,brahmavedin,cf,brahmavid
ap,24789.430,brahmasAyujyam,cf,brahmaBUya
ap,24820,BaH,cf,aNga
ap,24894,BaRqaH,cf,Baqa
ap,24948.041,BartfvratA,cf,pativratA
ap,25007.056,BasmarogaH,cf,BasmAgni
ap,25028,BAgIraTI,cf,BAgIraTI
ap,25151.002,BikzukI,cf,BikzuRI
ap,25168.002,BinduH,cf,bindu
ap,25242,BUman,cf,puMBUman
ap,25245,BUmiH,cf,BUmikA
ap,25280,BfNgaH,cf,Bramara
ap,25287,Bfj,cf,Brasj
ap,25414.034,BrAtfdvitIyA,cf,yamadvitIyA
ap,25462,makuwam,cf,mukuwa
ap,25512,macarcikA,cf,udGaH
ap,25526,maYjariH,cf,maYjarIpiYjarita
ap,25554,maRiH,cf,ratna
ap,25592,matallikA,cf,udDaH
ap,25669.002,maDyamaH,cf,maDyamavyAyoga
ap,25684,manas,cf,kAma
ap,25684.088,manodaRqaH,cf,tridaRqin
ap,25706,manuH,cf,matsyAvatAra
ap,25708.024,manuzyakAraH,cf,puruzakAra
ap,25732.042,mandodarI,cf,ahalyA
ap,25775.002,mayaH,cf,tripura
ap,25809,maruttaH,cf,tadapyeza
ap,25926,mahaH,cf,mahas
ap,25943.730,mahAraTaH,cf,manoraTa
ap,25958,mahizI,cf,mAhizika
ap,25971,mAMsala,cf,aMsala
ap,26151.030,mArutavratam,cf,praviSya
ap,26168,mArj,cf,mfj
ap,26265.002,mitram,cf,maRqala
ap,26285,miTunecaraH,cf,dvandvacara
ap,26321,mIQa,cf,devamIQa
ap,26421.032,mudrAmArgaH,cf,brahmaranDra
ap,26513.002,mUrcCanam,cf,mUrcCA
ap,26549,mUzyAyaRa,cf,AmuzyAyaRa
ap,26588.052,mftyulokaH,cf,martyaloka
ap,26672,meruH,cf,dvIpa
ap,26857,yajus,cf,mantra
ap,26908.064,yamadvitIyA,cf,BrAtfdvitIyA
ap,26912,yamanikA,cf,javanikA
ap,26930,yavaH,cf,java
ap,26936,yavanikA,cf,javanikA
ap,26946.042,yaSaHSeza,cf,kIrtiSeza
ap,26992,yAtikaH,cf,yAtrika
ap,27029,yAmalam,cf,rudrayAmala
ap,27059,yukta,cf,yuktacetas
ap,27068,yugalakam,cf,yugma
ap,27127.168,yogaSAyin,cf,yoganidrA
ap,27156.002,yOktikaH,cf,narmasaciva
ap,27176,yvAgulI,cf,yavAgU
ap,27218,raNGas,cf,raMhas
ap,27261.054,raTakaraH,cf,yogAdrUQirbalIyasI
ap,27341.002,rasikaH,cf,arasika
ap,27345,rasonaH,cf,lasona
ap,27379.322,rAjavidyA,cf,rAjanaya
ap,27379.352,rAjasUyaH,cf,samrAw
ap,27395,rAjilaH,cf,quRquBa
ap,27413,rAtriMmanya,cf,rajaniMmanya
ap,27540,ruRw,cf,luRw
ap,27548.026,rudrAvAsaH,cf,pitfsadmagocaraH
ap,27553,ruD,cf,ruh
ap,27670,roDas,cf,tawa
ap,27723,lakuwaH,cf,laguqa
ap,27740,lakzya,cf,alakzya
ap,27770,laNgUlam,cf,lANgUla
ap,27776,laC,cf,lakz
ap,27778,lajj,cf,lasj
ap,27788,laYjaH,cf,kakzA
ap,27883,laS,cf,las
ap,27908,lAkzA,cf,alakta
ap,27914,lAGavam,cf,budDilAGava
ap,27932,lAq,cf,laq
ap,27993,liKyaH,cf,likzA
ap,27998,liNgam,cf,paYcakoza
ap,28035.052,lIlAkalahaH,cf,praRayakalaha
ap,28047,luw,cf,luW
ap,28084,luh,cf,luB
ap,28096,leKaH,cf,leKAkIrRa
ap,28326,vawuH,cf,bawu
ap,28352.004,vaRqA,cf,raRqA
ap,28385,vadya,cf,avadya
ap,28459.020,vaprABiGAtaH,cf,tawAGAta
ap,28620,varDApanam,cf,pUrRapAtra
ap,28631,varman,cf,dAsa
ap,28692,valkalaH,cf,cIraparigrahAH
ap,28717,vallaBAyitam,cf,puruzAyita
ap,28764,vasizWaH,cf,viSvAmitra
ap,28786.038,vastragranTiH,cf,nIvi
ap,28816.034,vahnigarBaH,cf,agnigarBa
ap,28821,vA,cf,ca
ap,28841.054,vAgguliH,cf,tAmbUlakaraNkavAhin
ap,28841.070,vAgdaRqaH,cf,tridaRqa
ap,28860,vAcya,cf,lakzya
ap,28860.002,vAcyam,cf,lakzya
ap,28883,vAq,cf,bAq
ap,28992.074,vAyuBakzaH,cf,pavanASana
ap,29006,vAralA,cf,varaRwA
ap,29091,vAsanA,cf,BAvanA
ap,29094.002,vAsitam,cf,vAsanA
ap,29098.002,vAsantaH,cf,malayasamIra
ap,29098.004,vAsantI,cf,vasantotsava
ap,29203,vikAlikA,cf,mAnaranDrA
ap,29220,vikAraH,cf,vikfti
ap,29247,vikramaH,cf,trivikrama
ap,29381,viciH,cf,vIci
ap,29560.002,viTurA,cf,viDurA
ap,29612,vidyA,cf,avidyA
ap,29648,viDA,cf,kf
ap,29713,vinAhaH,cf,vInAha
ap,29825.032,viparItaratam,cf,puruzAyita
ap,30096,viraRam,cf,vIraRa
ap,30247.020,vilomotpanna,cf,pratilomaja
ap,30281,vivAkaH,cf,prAqvivAka
ap,30296.002,vivfktA,cf,viviktA
ap,30317,viSam,cf,bisa
ap,30350.006,viSezakaH,cf,viSezokti
ap,30396.036,viSvakarman,cf,tvazwf
ap,30471,vizwapaH,cf,trivizwapa
ap,30505,visaMkawa,cf,viSaMkawa
ap,30666.028,vIrAsanam,cf,paryaNka
ap,30709,vft,cf,vAvft
ap,30747,vfzaBaH,cf,fzaBa
ap,30758.024,vfzwijIvana,cf,devamAtfka
ap,30789,veRuH,cf,triveRu
ap,30789.024,veRudalam,cf,veRuvEdala
ap,30851,velliH,cf,valli
ap,31103,vowA,cf,powA
ap,31134.020,vyaNgArTaH,cf,vyaNgaya
ap,31143,vyajanam,cf,bAlavyajana
ap,31240,vyaBicArin,cf,viBAva
ap,31244,vyaya,cf,avyaya
ap,31342,vyAqaH,cf,vyAla
ap,31355,vyADiH,cf,ADi
ap,31398,vyAyogaH,cf,maDyamavyAyoga
ap,31410,vyAvahArika,cf,prAtiBAsika
ap,31423,vyAsaH,cf,cirajIvin
ap,31495,vratika,cf,yajamAna
ap,31505,vrI,cf,vf
ap,31520,vlekz,cf,vekz
ap,31568.032,SakragopaH,cf,indragopa
ap,31571,SakrukaH,cf,sakrukaH
ap,31587.030,SaNKakzIram,cf,Kapuzpa
ap,31607.002,SaRqam,cf,zaRqa
ap,31634.026,SaniprasUH,cf,saMjYA
ap,31638,SantanuH,cf,BIzma
ap,31695,SaraH,cf,SarAgni
ap,31736,Sarman,cf,varman
ap,31739,SarmizWA,cf,devayAnI
ap,31755.022,SalAkApari,cf,pari
ap,31789,Sas,cf,SaMs
ap,31802.004,SAkawam,cf,SAkaSAkawa
ap,31833,SAkvaraH,cf,SAkkara
ap,31916,SAyakaH,cf,sAyaka
ap,31920,SAraNgaH,cf,sAraNga
ap,31921,SAraNgI,cf,sAraNgI
ap,31946,SArdUlaH,cf,kuYjara
ap,31953.032,SAlavezwaH,cf,sAlaH
ap,32015,SikTam,cf,sikTa
ap,32078.040,SiroDarA,cf,kambuSiroDiH
ap,32188.038,Sukladeha,cf,SuklavfttiH
ap,32219,SutudriH,cf,Satadru
ap,32299,SUlaH,cf,ayaHSUla
ap,32321.036,SfNgArasahAyaH,cf,narmasaciva
ap,32406.002,SoRaH,cf,lohita
ap,32466,SOryam,cf,AraBawI
ap,32492.002,SyAmakam,cf,SyAmAka
ap,32549.040,SrAdDamitraH,cf,SrAdDam
ap,32576,Sru,cf,Su
ap,32579,SrutiH,cf,karRa
ap,32582,SruvA,cf,sruvA
ap,32608,SrOzaw,cf,vazaw
ap,32634,SlIla,cf,aSlIla
ap,32645,SloR,cf,SroR
ap,32704,zaRqaH,cf,KaRqa
ap,32708.067,zaqguRam,cf,zANguRya
ap,32960,saMsftiH,cf,saMsAra
ap,32980.024,saMskArarahita,cf,vrAtya
ap,33473,saMtiH,cf,sati
ap,33623,sapatrAkaraRam,cf,nizpatrAkaraRa
ap,33665,saParaH,cf,SaPara
ap,34054.028,samudrAruH,cf,rAmasetu
ap,34119,saMpAtaH,cf,qIna
ap,34353.024,sarajam,cf,Saraja
ap,34368,saratniH,cf,rali
ap,34386.002,sarAvaH,cf,SarAva
ap,34392,sariram,cf,salila
ap,34421.164,sarvanAman,cf,suw
ap,34447,sallakA,cf,SallakI
ap,34482.004,savyam,cf,apasavya
ap,34579,sAkam,cf,SAka
ap,34602,sAgaraH,cf,sagara
ap,34619,sAMgamaH,cf,saMgama
ap,34758,sAmaYjasyam,cf,asamaYjasa
ap,34936.020,sAvitrIpatitaH,cf,vrAtya
ap,34977,siMhaH,cf,BavedvarRAgamAdDaMsaH
ap,35101,suw,cf,sarvanAmasTAna
ap,35117,sudi,cf,vadi
ap,35155,suziH,cf,Suzi
ap,35172.006,sUkzmam,cf,sAvadya
ap,35236.112,sUryavilokanam,cf,upanizkramaRam
ap,35306,senA,cf,devasenA
ap,35308,sePaH,cf,SePa
ap,35368.008,sotprAsam,cf,vyAjastuti
ap,35404.022,somAyanam,cf,cAndrAyaRa
ap,35404.136,somasutA,cf,somodBavA
ap,35445,sOtrAntikAH,cf,sOgata
ap,35455,sOnikaH,cf,SOnika
ap,35563.030,skanDacApaH,cf,Sikya
ap,35565,skanDikaH,cf,skanDavAha
ap,35585.046,stanatawaH,cf,tawa
ap,35620.002,stavakaH,cf,stabaka
ap,35723.026,sTAnAseDaH,cf,AseDa
ap,35732,sTApanam,cf,puMsavana
ap,35742.020,sTAyiBAvaH,cf,vyaBicAriBAva
ap,35799.002,snAtaH,cf,snAtaka
ap,36054.006,svaH,cf,Dana
ap,36078.002,svanitam,cf,stanita
ap,36111,svaSuraH,cf,SvaSura
ap,36196,haMsaH,cf,mAnasa
ap,36196,haMsaH,cf,kavihaMsa
ap,36218,haQakkaH,cf,QakkA
ap,36219,haRqA,cf,haYjA
ap,36299,halA,cf,haRqA
ap,36348,hahA,cf,hAhA
ap,36477,hI,cf,hi
ap,36478.004,hInA,cf,dInA
ap,36580,hevAkaH,cf,hevAkin
ap,36664,hriRIyA,cf,hraRIyA
ap90,29,aMhriH,cf,aMGri
ap90,269,aMg,cf,aMk
ap90,431,aMjanaH,cf,dAridryaM
ap90,1236,anarTa,cf,CidrezvanarTA
ap90,1243,analaH,cf,nAgnistfpyati
