dict,L,k1,kind,target
ae,6113,lecture,cf,paropadeSe pAMqityaM
ae,10814,unite,cf,bahUnAmapyasArARAM saMhatiH kAryasADikA
ap,30,aMhriH,cf,aNGri
ap,224.020,agastyodayaH,cf,prasasAdodayAdamBaH
ap,268.002,aGam,cf,aMhoduHKavyasanezvaGam
ap,303,aNg,cf,aNk
ap,394.002,ajaH,cf,candramA
ap,1010,aDara,cf,ambara
ap,1051,aDikzip,cf,aDikzipadabjanetra
ap,1204,aDyavasAyaH,cf,prativizayADyavasAyo
ap,1370.002,anarTaH,cf,CidrezvanarTA
ap,1370.020,anarTAntaram,cf,AramBo
ap,1634,anIkaH,cf,anIkastu
ap,2131,anuvfttiH,cf,vAcAnuvfttiH
ap,2261.002,anuhAryaH,cf,anvAhArya
ap,2286,anUzara,cf,uttama
ap,2298.050,anekapaH,cf,dvipa
ap,2380,anduH,cf,nUpura
ap,2400,annaMBawwaH,cf,kASIgamanamAtreRa
ap,2401,anya,cf,itara
ap,2553,apaGanaH,cf,aNga
ap,2588,apaWa,cf,apaca
ap,2742,aparihvfta,cf,aparihvftASca
ap,2828,apaScima,cf,uttama
ap,3011,aputrikA,cf,akftA
ap,3461,aBiniDAnam,cf,avagraha
ap,3524,aBipre,cf,aBipreta
ap,3583,aBimarSaH,cf,AtmAnaM
ap,3745,aBizikta,cf,mUrDABizikta
ap,3768.020,aBizyandiramaRam,cf,SAKAnagaram
ap,3785,aBisatvan,cf,aBivIra
ap,3855,aBihAraH,cf,aBihAro'Biyoge
ap,3897,aBukta,cf,pIta
ap,4144.004,amarA,cf,amarAvatI
ap,4219,amUdfS,cf,anyAdfSa
ap,4299,ayana,cf,sAyana
ap,4323.086,ayaHSUlam,cf,AyaHSUlika
ap,4406,aram,cf,alam
ap,4465.034,arizwapuram,cf,arizwASritapuram
ap,4516.086,arkabanDuH,cf,SudDodano
ap,4564.040,arTAgamaH,cf,arTAgamo
ap,4577,ard,cf,ardeH
ap,4661,alam,cf,Ala
ap,4972.002,avatIrRam,cf,padmAvatIrRapUrRA
ap,5349,avasAyin,cf,antyAvasAyin
ap,5751.002,avyApAraH,cf,avyApArezu
ap,5820.004,aSuciH,cf,vESAKe
ap,5850.032,aSmaganDA,cf,aSvaganDA
ap,5923.166,azwavargaH,cf,jIvakarzaBakO
ap,6295.002,ahatam,cf,aprahata
ap,6382,AkASaH,cf,SrutivizayaguRA
ap,6382,AkASaH,cf,AkASaBAzitam
ap,6487,AKuH,cf,potrimUzikayorAKuH
ap,6621,AcAryAnI,cf,AcAryAnI
ap,6697,AYjalikyam,cf,AYjAnikyam
ap,6713,AQakika,cf,Acitika
ap,6780.084,AtmajA,cf,nagAtmajA
ap,6881.020,AhitAgni,cf,agnyAhita
ap,6954,AnamaH,cf,durAnama
ap,6970,AnayaH,cf,upanaya
ap,6972,AnAyin,cf,jAlamAnAyavfndayoH
ap,7141,ApracC,cf,ApfcCa
ap,7154.020,Aplavavratin,cf,snAtaka
ap,7370,AyAsaH,cf,anAyAsa
ap,7402.006,ArA,cf,ara
ap,7423,AramBaH,cf,AramBasya
ap,7589.004,AliH,cf,Avali
ap,7604,Alimpanam,cf,AdIpana
ap,7684,AvAlam,cf,AlavAlam
ap,7803,ASis,cf,ASI
ap,7834,ASramaH,cf,sa
ap,7834.036,ASramalakzaRam,cf,meKalAjinadaRqena
ap,7896.002,AsaNgaH,cf,uttarAsaNga
ap,8033.002,Ahutam,cf,paYcamahAyajYa
ap,8087.068,ikzumehaH,cf,maDumeha
ap,8095,iNg,cf,iNgya
ap,8098.002,iNgitam,cf,iNgitaM
ap,8137,itihAsaH,cf,AryAdibahuvyAKyAnaM
ap,8171.076,induvratam,cf,cAndrAyaRa
ap,8196.026,iBAnanaH,cf,gajAnana
ap,8211,iraRam,cf,iriRa
ap,8263,izwiH,cf,upasaMKyAna
ap,8285.034,ihalokaH,cf,Sreyo
ap,8288,IH,cf,IrISvaro
ap,8314,Int,cf,ata
ap,8381.022,ukzataraH,cf,vatsatara
ap,8433,uccayaH,cf,Siloccaya
ap,8486,ucCvAsaH,cf,aDyAya
ap,8492,ujjayanI,cf,avanti
ap,8654,uttaMsaH,cf,karRottaMsa
ap,8670.022,uttamADama,cf,BakzayitvA
ap,8801,utPulla,cf,uttAna
ap,8856.002,utsarpiRI,cf,avasarpiRI
ap,8870.102,udakavAdyam,cf,jalataraNga
ap,8870.106,udakaSAntiH,cf,SAntyudakam
ap,8897.050,udapAnaH,cf,kUpamaRqUka
ap,8911.042,udarapozaRam,cf,udaraMBari
ap,9004,udgE,cf,udgAtf
ap,9245,udvartanam,cf,sAyaRa
ap,9245,udvartanam,cf,udvftta
ap,9465,upagrahaH,cf,kriyate
ap,9477,upacakzus,cf,upanetram
ap,9564.002,upadA,cf,AtaScopasarge
ap,9564.002,upadA,cf,prIRayitvopadABiH
ap,9822,uparavaH,cf,pIWapAdacatuzwayAkAro
ap,9827,uparizwAt,cf,uparyuparizwAn
ap,9892.002,upoQA,cf,vAvAtA
ap,9992,upasaMKyAnam,cf,izwi
ap,10028.002,upasaraH,cf,upasaro
ap,10125,upAkaraRam,cf,upAkarman
ap,10126,upAkarman,cf,SrAvaRI
ap,10310,urRanABaH,cf,UrRanABa
ap,10333,ulUkaH,cf,kaTamulUkaSabda
ap,10341,ulUluDvaniH,cf,uccErulUluDvanimuccacAra
ap,10348,ullaH,cf,ulliH
ap,10422,uzA,cf,uKA
ap,10475,Urjita,cf,bARAkzarEreva
ap,10483.174,UrDvasrotas,cf,UrDvaretas
ap,10517.002,UhinI,cf,akzOhiRI
ap,10520,f,cf,kimaBIrurarAryase
ap,10543,fj,cf,arj
ap,10563.002,fRam,cf,jAyamAno
ap,10606,fllarI,cf,JallarI
ap,10628,x,cf,xrmlecCo
ap,10632.069,ekArTaH,cf,ekArTanAmamAlA
ap,10632.138,ekakuRqalaH,cf,ekakuRqala
ap,10632.208,ekatAlaH,cf,tOryatrikam
ap,10632.320,ekapari,cf,akzapari
ap,10666.022,eqamUka,cf,aneqamUka
ap,10680,etarhi,cf,idAnIm
ap,10686,ediDizuHpatiH,cf,agrediDizuH
ap,11209,kawaMkawerI,cf,dAruharidrA
ap,11263,kaq,cf,kaRq
ap,11357,katamAlaH,cf,KatamAla
ap,11403,kanana,cf,kARa
ap,11419,kanerA,cf,kaRerA
ap,11427,kandawwam,cf,kandowa
ap,11485.032,kapolaBittiH,cf,gaRqaBitti
ap,11537.114,karapIqanam,cf,pARipIqana
ap,11598.024,karkarAnDukaH,cf,anDakUpa
ap,11630,karRewiriwirA,cf,karRecuracurA
ap,11667.080,karmakzetram,cf,karmaBUmi
ap,11667.134,karmapravacanIyaH,cf,upasarga
ap,11667.168,karmaSIla,cf,karmaSIlastu
ap,11756.002,kalpaH,cf,kalpadruma
ap,11756.042,kalpalatA,cf,kalpataru
ap,11783.022,kavacahara,cf,varmahara
ap,11808.022,kavyavAh,cf,kavyavAhanaH
ap,11839,kasaH,cf,kaza
ap,11860.072,kAkaDvajaH,cf,Orva
ap,11882,kAgaH,cf,kAka
ap,11891,kAcana,cf,kacela
