src,target
ARi,aRi
Adinava,AdInava
Akzit,anAkzit
Ali,ali
Alin,alin
Anuzak,anuzak
ArAt,Are
AwIkana,AwIlaka
Awi,Aqi
Ayu,Ayus
BAluka,Balla
BAtu,BAnu
BAvitra,Bavitra
BI,Byas
BUHKAra,BuHKAra
BaMsas,Basad
BakkikA,PaqiNgA
Bakz,biBakzayizu
Bala,bal
Bas,psA
BastrakA,BastrAkA
Bavanti,BavantI
Bavitra,BAvitra
Bela,Beqa
BfNgariwi,BfNgin
BfRqi,BaRqi
BogapAla,Bogika
BojyA,BojA
BrAS,BlAS
BuHKAra,BUHKAra
BuRq,huRq
Buj,buBukzA
Cadis,CAdizeya
DUmana,DUpana
DUr,DUrv
Darmya,DArmyAyaRa
DraR,Dvan
GAwarI,apaGAwilA
Ga,pariGa
GaRqa,GuRqa
GagG,kaK
Gas,jakz
Gasi,GAsi
Gaww,Gaw
GiRR,GuRR
GuR,GUrR
Int,ant
JallarI,JalarI
KEmaKA,KaRvaKA
KaRqu,KARqava
KadikA,KAjika
KakKara,hikkala
Kal,Kall
KalUrikA,KuralI
Kalati,kulva
Kaq,KaRq
Karpara,karpara
Kaz,kaz
Koqa,Kora
Kuqaka,Kulaka
KuralI,KalUrikA
OGa,oGa
OtaTya,OcaTya
PalAyozit,PaqiNgA
SAK,SlAK
SAPeya,SApeya
SArvarin,Sarvarin
SUlaka,SUkala
SaRqila,SARqila
SalAtura,SAlAturIya
Salka,Sakala
Samba,Sambin
Samira,SamIra
Sarkowa,SArkowa
SarzIkA,sarzIkA
SatruMtapa,SAtruMtapi
SatvarI,SarvarI
SayA,SayyA
SayARqa,SayaRqa
SevalinI,SEvalinI
SfNKalatodin,SArNKalatodi
SilUza,SElUza
SitAman,SitIman
SlAK,SAK
SlaNg,SraNg
SlaNk,SraNk
SrOzaw,vazaw
SraT,SlaT
Srutarvan,SrOtarvaRa
Sudi,vadi
Suj,Svaj
SulkaSAlA,SOlkaSAlika
Suzkala,SOzkala
Svitya,SvEtya
Turv,turv
UrDvaMdama,OrDvaMdamika
Uzman,uzman
aBilApa,aBIlApalap
aMhaspati,AMhaspatya
aMhri,aNGri
aNGri,aMhri
aNg,aNk
aNgati,aNkati
aSna,aSan
aSri,aSra
aSvaka,aSmaka
aSvala,ASvalAyana
aSvameDika,ASvameDika
abliNga,abdEvata
agAra,AgAra
agarI,garI
agaru,aguru
ak,ag
akzadyUta,AkzadyUtika
amAvAsya,AmAvAsya
amBas,aBra
ama,amu
amahIyu,AmahIyava
ant,and
antra,Antra
anuzak,Anuzak
apAzWa,apazWa
apUpa,pUpa
apazWa,apAzWa
arDagaNgA,arDajAhnavI
aratni,ratni
are,arare
avaSyam,AvaSyaka
bAlIvardineya,balIvardineya
bAlandana,BAlandana
bAlbajika,balbajika
bODeya,boDeya
baDyoga,bADyoga
bahutarakaRiSa,gucCakaRiSa
balIha,balhika
banDitra,vaDitra
biboDayizu,buboDayizu
bilvakIyA,bElvaka
bilvaka,bElvaki
boDitavya,boDayitavya
buD,uzarbuD
buboDayizu,biboDayizu
cAwu,cawu
cElaka,celuka
cEtyaSEla,cEtika
cOqi,cOli
cUqa,cUla
caR,can
cak,kan
cal,car
camp,kamp
ced,ned
celaka,cElaki
ci,apaciti
cikina,cikka
cikkira,cikura
cirBiwa,indracirBiwI
ciri,jiri
citravana,citraka
cuww,puww
dAlmi,dalmi
dAqI,doqI
dAqaka,dAQA
dArvan,darvA
dArvawa,darBawa
dESika,deSika
dEvatya,devatya
dIvana,devana
dOlmi,dalmi
dUrSa,dUSya
daNG,daG
dalmi,darma
dava,dAva
dfQadasyu,dfQasyu
dfgBU,dfnPU
diRqi,QuRQi
dihlA,dilha
dohya,duhya
doqI,qodI
drANkz,DrANkz
drAq,DrAq
drek,Drek
duRquBa,dunduBa
duh,duDukzu
dul,tul
durv,Durv
dvEtIyaka,dvitIyaka
dvIpikA,dvIpaSatru
dyUna,dyuta
ekAtmya,EkAtmya
fkzalA,fcCarA
gAh,gAD
gArgI,gargI
gaRakAri,gARagAri
gaRanIya,gaReya
gavalgaRa,gAvalgaRi
gaya,SaMgaya
gfhakanyA,kanyakA
glev,gev
gluc,gluYc
goDenu,gODenuka
goRI,gORika
gopA,gopa
gotama,gOtama
gud,gUrd
guq,guRq
guwikA,guqa
hAlAhala,halAhala
hEraRvatI,hiraRvatI
hasira,haMsira
havizkft,hAvizkfta
helA,avahelA
hfdika,hArdikya
hintAla,tAla
hiruk,huruk
hlag,hrag
hmal,hval
hrag,hlag
indUra,undura
irA,iqA
jEvAtfka,jIvAtu
jaja,jAjin
jalAladInAhakavarasAha,jallAladIndra
janaSruta,jAnaSruti
jaza,Jaza
jiri,ciri
juNg,yuNg
kANguka,kaNgu
kARUka,kARa
kARvya,kARva
kAYc,kac
kAcana,kacela
kAhakA,kAhalA
kAkAla,kAka
kAkud,kakud
kAlakIla,kalakala
kAtalAyana,kAtarAyaRa
kAtala,kAtara
kAtfRa,kattfRa
kAtu,kAwa
kAvawa,karvawa
kIna,kIra
kORakutsya,kURakucCa
kOWuma,kOTuma
kaDapriya,aDapriya
kaRIci,kanIci
kaRa,kanizWa
kaRq,kaq
kaRqIra,gaRqIra
kaRqikA,kARqa
kaSIkA,kaSa
kaSmIra,kASmIra
kaSya,kASya
kaWara,kaWina
kaYc,kac
kab,kav
kac,kaYc
kadaka,kandaka
kadvara,kaNkara
kakuYjala,kapiYjala
kakzapa,kacCapa
kalAkula,halAhala
kalAmaka,kalama
kalAvikala,kalaviNka
kalala,kalana
kalamba,kaqamba
kalawa,kuwala
kalka,kaluza
kanIci,kaRIci
kaq,kaRq
karPara,karkara
karakAyu,kanakAyu
karavI,karvarI
karawu,karewavyA
karcUra,karbura
karkawu,karawu
karowaka,karkowaka
karv,Karv
karvawa,kAvawa
katr,kart
kavaqa,kavala
kavarakI,vandi
kavasa,kavaca
kavayI,kavikA
kavela,kavAra
kavi,kavikA
kawvara,kawura
kekara,kedara
kep,gep
kev,sev
kevawa,avawa
kfka,kfkAwa
kfmuka,kArmuka
kfpaRa,kArpaRya
kfvi,krivi
kfzRa,kArzRa
kiMSuka,palASa
kiRvin,kinDin
kis,nakis
kiwi,kira
klind,kland
knaMs,kuMS
knaT,kraT
knas,knaMs
knasa,caknasa
koNka,kONka
koWara,kowara
kolUka,ulUka
kollaka,konva
konvaSira,kolvagireya
kraMS,knaMs
kraT,knaT
krakaRa,kfkaRa
krumuka,kfmuka
kuRqapAyin,kORqapAyina
kuTumin,kuWumi
kuYjala,kAYjika
kujamBala,kumBila
kujjiSa,kuqiSa
kumodaka,kOmodakI
kunAla,kuRAla
kundr,kud
kuru,kOrava
kutsa,kOtsa
kuva,kuvala
kuwuNgaka,kuwaNka
kuwwAra,kuwIra
kuzumBa,kusumBa
kziv,zWiv
kzmIl,mIl
kzomaka,kzema
kzow,Kow
lANgulinI,lANgUlinI
lAkzA,rAkzA
lAlasiMha,lalla
lAlika,lAvika
lOhitya,lohitya
lOq,low
lUma,lUna
lUz,luz
laK,laNK
laRq,olaRq
lagAlikA,nagAnikA
lagaqa,laqaha
laguqa,lakuwa
lahika,kahika
lahoqa,kahoqa
lamPa,Jampa
laq,lal
laqqa,lawwa
latu,lAtavya
law,raw
lawwa,laqqa
leRqa,laRqa
leta,lota
liNK,laK
limpawa,lampawa
loca,lota
luh,luB
mAWa,mAca
mAca,mAWa
mAhA,mahA
mAlavarti,mAnavartika
mAmuKI,mAmakI
mAn,man
mAnTAla,manTAvala
mAnasottara,uttaramAnasa
mArgava,mArgAra
mArza,mAriza
mOkali,mOkuli
mU,mav
mUrvA,mOrva
maDyama,maDya
maK,maNK
maNK,maK
maNg,maNk
maNgalapura,maNgala
maNkzaRa,maNKuRa
maRqalavawa,maRqalin
maRqika,maRqaka
maS,miS
mac,maYc
mahAkalyARa,kalyARaka
mahIyatva,mAhIyatva
maha,maKa
majjA,nirmajja
makk,mask
makula,mukula
makura,mukura
makz,mrakz
mal,mall
mall,mal
mallavAstu,mAllavAstava
mallu,Balla
malva,mAlvya
manAyI,manAvI
manTya,maTya
manti,mati
marc,mfc
maruka,marUka
marula,marAla
mastakaluNga,mastuluNga
matavacas,mAtavacasa
matsyaGaRwa,matsagaRwa
mav,mavy
miS,maS
miSara,misara
mihilAropya,mahilAropya
mimata,mEmata
minv,ninv
misara,miSara
misi,miSi
mitravarDa,mEtravarDaka
mruc,mluc
muraRqa,muruRqa
murv,mUrvA
nAkra,nakra
nIDra,nIvra
nIcEs,uccEs
nIkzaRa,nekzaRa
nIv,tIv
naBaga,naBAga
naq,naw
naqa,nala
narANga,naraNga
narb,namb
narizwA,narma
narma,narman
nas,nAsA
nega,nEgeya
nekzaRa,nIkzaRa
niDruva,nEDruva
niMs,nikz
niScapraca,AcaparAca
nicCavi,licCavi
nicaka,nEcakya
nidrAyoga,yoganidrA
nigut,nEguta
nikoSya,koSya
nirRara,nirJara
nirvyUha,niryUha
nisunda,sunda
nivapana,nirvapaRa
niziDa,nEziDa
oGa,OGa
pAMsuva,pAMsura
pARqUka,pARquka
pApapurI,pApApurI
pArAruka,pArawIwa
pArGawa,pArpara
pArawIwa,pArAruka
pAruzaka,parUzaka
pAzARa,pASI
pER,peR
pEYjUza,piYjUza
pIlukuRa,pElukuRa
pOtava,potu
pUR,puR
pUpa,apUpa
pUtIka,pUtika
paT,panT
pakvaSa,pakkaRa
panT,paT
parAYja,paraYja
paraspara,anyo'nya
parikalkana,kalkana
parila,pArila
paru,parus
patama,patasa
patatra,pattra
pawAlukA,jalukA
peR,pER
pfTI,pfTi
pfkTa,rikTa
pfkkA,spfkkA
piRqala,piRqana
piWInas,pEWInasi
piYjewa,piYjawa
pijavana,pEjavana
pil,pel
pinyAsa,piRyAka
pippikA,piwwaka
