src,target
piwwaka,kiwwa
plev,peb
pluz,pruz
poTakI,powika
polikA,pUlikA
polinda,padAra
prARihitA,prARahitA
prAjika,prAcikA
prakuYca,kuYci
pramATa,pramaTa
pramaRas,pramanas
prasAtikA,prasADikA
pratyagraTa,prAtyagraTi
pravahli,pravalha
puNga,puYja
pucCawi,mucuwI
puruda,purawa
pust,bust
puzpalaka,puzkalaka
puzpasa,pupPusa
qAmBiwwa,qavitTa
rADi,kfzwarADi
rAG,lAG
rAK,lAK
rAyaBAwI,raya
rEkva,rayikva
rIQA,avalIQA
rIjyA,rIQA
rOhiz,rohiz
rUvuka,ruvuka
raK,raNK
raNK,raK
raW,raw
ramb,lamb
rap,lap
rePas,repas
rerihARa,lelihAna
riBvan,rihvan
riNg,riNK
riP,rePa
rirI,rIrI
rohidaSva,rOhidaSva
rohita,lohita
romaSa,lomaSa
roq,loq
roq,rOq
rup,lup
ruru,rOrava
ruvuka,rUvuka
sASikya,SASika
sUpat,kUpat
sUtranaqa,sOtranAqi
saMSakalA,SakalA
sag,sTag
sama,samaha
saraRqa,SaraRqa
saratni,ratni
sarira,salila
sasa,sasya
savara,Sabara
sela,selu
sigfqI,SimfqI
siw,Siw
somApa,sOmApa
srakva,sfkva
staBa,stuBa
stim,tim
stip,step
stunaka,stuBa
suKAvala,suKInala
suKInala,suKAvala
suKasupti,sOKasuptika
suSama,sOSami
surURqa,muruRqa
sussala,sOssala
sutaMgama,sOtaMgami
svard,svad
sya,tya
syagavi,segava
syumna,syUmaka
tUtuma,tumra
taRqu,tARqava
tacCIla,tAcCIlika
tadDarman,tAdDarmya
takz,tvakz
talka,tala
talukza,tarukza
taratamatas,tAratamya
tarukza,talukza
tas,taMs
tata,tAta
tati,tanti
taya,tAya
tiniSa,timiSa
trinavaha,triRava
tuB,stuB
tud,tottra
tumra,tUtuma
tutAta,tOtAtika
udvana,pravaRa
uraBra,OraBra
utkuRa,matkuRa
uza,Uza
vANkz,kANkz
vARI,vARi
vAhyakI,vAhaka
vAlvaNgiri,vAluka
vAralA,vArawA
vArtantavIya,vAratantavIya
vAtIka,vAtika
vAvuwa,vArbawa
vEBAra,vEhAra
vENki,vEki
vEhAra,vEBAra
vaDryaSva,vADryaSva
vaK,vaNK
vaNK,vaK
vaNkzu,vakzu
vaRwa,baRqa
vaSIra,vasira
vaSa,vasA
vaSika,vaSin
vaWara,vawara
vah,vanIvAhana
vakti,ukti
vakzu,vaNkzu
vasika,vaSika
veR,ven
veRa,vERa
veSika,vESika
veT,viT
vedaRqa,vitaRqa
vegasara,vesara
vehAra,vihAra
velli,valli
vennA,veRA
vezka,vezwa
vfzazaRqa,vfkaKaRqa
viKAnasa,vEKAnasa
viT,veT
vidaBft,vEdaBfta
vidaTin,vEdaTina
vipraSna,vEpraSnika
viq,biw
vokkARa,bokaRa
voraka,volaka
vuq,vruq
vyaqa,vyAqi
wik,wIk
yAmavatI,yAminI
yOw,yowaka
yOziRya,yozan
yUz,jUz
yadu,yAdava
yazwinivAsa,vAsayazwi
yuzmAka,yuzmAkam
zaww,saww
zazk,zvazk
zazwipaTika,zAzwipaTa
