dict,view,rule,units,segments,descents_raw,descent_rate_raw,descents,descent_rate,displaced,displaced_rate
mw,all,M-nasal/Hi-pos/Hf-drop/G-keep,202928,1,16990,0.083725,16990,0.083725,56506,0.278453
mw,all,M-nasal/Hi-pos/Hf-drop/G-degem,202928,1,16995,0.083749,16995,0.083749,56516,0.278503
mw,all,M-nasal/Hi-sib/Hf-slot/G-keep,202928,1,17057,0.084055,17057,0.084055,56898,0.280385
mw,all,M-nasal/Hi-sib/Hf-slot/G-degem,202928,1,17062,0.084079,17062,0.084079,56908,0.280434
mw,all,M-nasal/Hi-sib/Hf-s/G-keep,202928,1,17107,0.084301,17107,0.084301,56941,0.280597
mw,all,M-nasal/Hi-sib/Hf-s/G-degem,202928,1,17112,0.084326,17112,0.084326,56951,0.280646
mw,all,M-nasal/Hi-sib/Hf-drop/G-keep,202928,1,17066,0.084099,17066,0.084099,56910,0.280444
mw,all,M-nasal/Hi-sib/Hf-drop/G-degem,202928,1,17071,0.084124,17071,0.084124,56920,0.280494
mw,all,M-nasal/Hi-s/Hf-slot/G-keep,202928,1,17083,0.084183,17083,0.084183,57038,0.281075
mw,all,M-nasal/Hi-s/Hf-slot/G-degem,202928,1,17088,0.084208,17088,0.084208,57048,0.281124
mw,all,M-nasal/Hi-s/Hf-s/G-keep,202928,1,17061,0.084075,17061,0.084075,57052,0.281144
mw,all,M-nasal/Hi-s/Hf-s/G-degem,202928,1,17066,0.084099,17066,0.084099,57062,0.281193
mw,all,M-nasal/Hi-s/Hf-drop/G-keep,202928,1,17092,0.084227,17092,0.084227,57045,0.28111
mw,all,M-nasal/Hi-s/Hf-drop/G-degem,202928,1,17097,0.084252,17097,0.084252,57055,0.281159
mw,all,M-nasal_m/Hi-pos/Hf-slot/G-keep,202928,1,17634,0.086898,17634,0.086898,59468,0.29305
mw,all,M-nasal_m/Hi-pos/Hf-slot/G-degem,202928,1,17639,0.086923,17639,0.086923,59478,0.293099
mw,all,M-nasal_m/Hi-pos/Hf-s/G-keep,202928,1,17687,0.087159,17687,0.087159,59517,0.293291
mw,all,M-nasal_m/Hi-pos/Hf-s/G-degem,202928,1,17692,0.087184,17692,0.087184,59527,0.29334
mw,all,M-nasal_m/Hi-pos/Hf-drop/G-keep,202928,1,17641,0.086933,17641,0.086933,59479,0.293104
mw,all,M-nasal_m/Hi-pos/Hf-drop/G-degem,202928,1,17646,0.086957,17646,0.086957,59489,0.293153
mw,all,M-nasal_m/Hi-sib/Hf-slot/G-keep,202928,1,17710,0.087273,17710,0.087273,59865,0.295006
mw,all,M-nasal_m/Hi-sib/Hf-slot/G-degem,202928,1,17715,0.087297,17715,0.087297,59875,0.295055
mw,all,M-nasal_m/Hi-sib/Hf-s/G-keep,202928,1,17758,0.087509,17758,0.087509,59908,0.295218
mw,all,M-nasal_m/Hi-sib/Hf-s/G-degem,202928,1,17763,0.087534,17763,0.087534,59918,0.295267
mw,all,M-nasal_m/Hi-sib/Hf-drop/G-keep,202928,1,17717,0.087307,17717,0.087307,59876,0.29506
mw,all,M-nasal_m/Hi-sib/Hf-drop/G-degem,202928,1,17722,0.087332,17722,0.087332,59886,0.29511
mw,all,M-nasal_m/Hi-s/Hf-slot/G-keep,202928,1,17731,0.087376,17731,0.087376,60004,0.295691
mw,all,M-nasal_m/Hi-s/Hf-slot/G-degem,202928,1,17736,0.087401,17736,0.087401,60014,0.29574
mw,all,M-nasal_m/Hi-s/Hf-s/G-keep,202928,1,17707,0.087258,17707,0.087258,60018,0.29576
