dict,L,k1,is_verbal,n_subentries,subentry_categories,n_caus,n_pass,n_desid,n_intens,n_den,n_periphr,n_comp,n_dash_segments,max_depth,total_chars_subentries
ae,2049,concern,0,1,comp,0,0,0,0,0,0,1,0,1,51
ae,2052,conciliate,0,1,comp,0,0,0,0,0,0,1,0,1,59
ae,2062,concrete,1,1,pass,0,1,0,0,0,0,0,0,1,363
ae,2068,condense,1,1,pass,0,1,0,0,0,0,0,0,1,283
ae,2073,condition,0,1,comp,0,0,0,0,0,0,1,0,1,60
ae,2076,conduce,0,1,comp,0,0,0,0,0,0,1,0,1,83
ae,2082,confederate,1,1,pass,0,1,0,0,0,0,0,0,1,344
ae,2083,confer,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,2091,conflict,1,1,pass,0,1,0,0,0,0,0,0,1,141
ae,2093,conform,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,812
ae,2101,congeal,1,1,pass,0,1,0,0,0,0,0,0,1,133
ae,2111,conglutinate,1,1,pass,0,1,0,0,0,0,0,0,1,129
ae,2117,conjoin,1,1,pass,0,1,0,0,0,0,0,0,1,203
ae,2127,connubial,0,1,comp,0,0,0,0,0,0,1,0,1,57
ae,2128,conquer,0,1,comp,0,0,0,0,0,0,1,0,1,189
ae,2132,conscious,0,1,comp,0,0,0,0,0,0,1,0,1,634
ae,2141,consider,0,1,comp,0,0,0,0,0,0,1,0,1,182
ae,2143,consist,0,2,comp,0,0,0,0,0,0,2,0,1,1415
ae,2147,consolidate,1,1,pass,0,1,0,0,0,0,0,0,1,155
ae,2150,consort,1,1,pass,0,1,0,0,0,0,0,0,1,127
ae,2159,constitute,0,2,comp,0,0,0,0,0,0,2,0,1,1267
ae,2163,construct,0,1,comp,0,0,0,0,0,0,1,0,1,75
ae,2164,construe,1,1,pass,0,1,0,0,0,0,0,0,1,56
ae,2168,consume,1,2,pass,0,2,0,0,0,0,0,0,1,389
ae,2172,contain,0,4,comp,0,0,0,0,0,0,4,0,1,680
ae,2175,contemplate,0,1,comp,0,0,0,0,0,0,1,0,1,130
ae,2190,contract,1,3,pass,0,3,0,0,0,0,0,0,1,953
ae,2194,contrary,0,1,comp,0,0,0,0,0,0,1,0,1,528
ae,2195,contrast,1,1,pass,0,1,0,0,0,0,0,0,1,319
ae,2203,controversy,0,1,comp,0,0,0,0,0,0,1,0,1,124
ae,2216,converse,0,1,comp,0,0,0,0,0,0,1,0,1,562
ae,2219,convey,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,2273,correct,0,1,comp,0,0,0,0,0,0,1,0,1,524
ae,2275,correspond,1,1,pass,0,1,0,0,0,0,0,0,1,576
ae,2308,cotton,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,2314,count,1,1,pass,0,1,0,0,0,0,0,0,1,489
ae,2325,counterfeit,0,2,comp,0,0,0,0,0,0,2,0,1,780
ae,2361,crack,1,1,pass,0,1,0,0,0,0,0,0,1,378
ae,2378,crave,1,1,desid,0,0,1,0,0,0,0,0,1,235
ae,2387,create,0,1,comp,0,0,0,0,0,0,1,0,1,847
ae,2436,crowd,1,2,pass,0,2,0,0,0,0,0,0,1,485
ae,2444,crumble,1,3,"pass,desid",0,2,1,0,0,0,0,0,1,462
ae,2460,cuckold,0,1,comp,0,0,0,0,0,0,1,0,1,65
ae,2471,culinary,0,1,comp,0,0,0,0,0,0,1,0,1,59
ae,2488,cupid,0,1,comp,0,0,0,0,0,0,1,0,1,150
ae,2496,cure,0,1,comp,0,0,0,0,0,0,1,0,1,682
ae,2497,curiosity,1,2,desid,0,0,2,0,0,0,0,0,1,643
ae,2498,curl,1,1,pass,0,1,0,0,0,0,0,0,1,223
ae,2501,current,1,1,pass,0,1,0,0,0,0,0,0,1,223
ae,2517,custom,0,1,comp,0,0,0,0,0,0,1,0,1,344
ae,2518,cut,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,1323
ae,2519,cutaneous,0,1,comp,0,0,0,0,0,0,1,0,1,56
ae,2553,danger,0,1,comp,0,0,0,0,0,0,1,0,1,261
ae,2562,dash,1,1,pass,0,1,0,0,0,0,0,0,1,252
ae,2571,dawn,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,242
ae,2572,day,0,1,comp,0,0,0,0,0,0,1,0,1,98
ae,2598,decay,1,2,pass,0,2,0,0,0,0,0,0,1,597
ae,2612,decline,1,2,pass,0,2,0,0,0,0,0,0,1,1252
ae,2622,decrease,1,2,pass,0,2,0,0,0,0,0,0,1,447
ae,2649,defend,0,1,comp,0,0,0,0,0,0,1,0,1,421
ae,2651,deficient,0,1,comp,0,0,0,0,0,0,1,0,1,347
ae,2698,demand,1,1,pass,0,1,0,0,0,0,0,0,1,675
ae,2703,demi,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,2711,demon,0,1,comp,0,0,0,0,0,0,1,0,1,75
ae,2719,denizen,0,1,comp,0,0,0,0,0,0,1,0,1,129
ae,2721,denote,0,1,comp,0,0,0,0,0,0,1,0,1,319
ae,2733,denude,0,1,comp,0,0,0,0,0,0,1,0,1,96
ae,2740,depend,1,3,"pass,comp",0,1,0,0,0,0,2,0,1,1591
ae,2760,deprive,1,4,"pass,comp",0,2,0,0,0,0,2,0,1,249
ae,2768,derive,0,1,comp,0,0,0,0,0,0,1,0,1,624
ae,2773,descend,1,1,pass,0,1,0,0,0,0,0,0,1,1278
ae,2779,deserve,1,3,"pass,comp",0,2,0,0,0,0,1,0,1,489
ae,2785,desire,1,3,"desid,comp",0,0,2,0,0,0,1,0,1,782
ae,2797,despumate,1,1,pass,0,1,0,0,0,0,0,0,1,46
ae,2799,destine,1,1,pass,0,1,0,0,0,0,0,0,1,768
ae,2800,destitute,0,2,comp,0,0,0,0,0,0,2,0,1,395
ae,2801,destroy,0,2,comp,0,0,0,0,0,0,2,0,1,717
ae,2810,deteriorate,1,2,pass,0,2,0,0,0,0,0,0,1,457
ae,2812,detest,1,1,desid,0,0,1,0,0,0,0,0,1,327
ae,2822,develop,1,2,pass,0,2,0,0,0,0,0,0,1,238
ae,2831,devolve,1,1,pass,0,1,0,0,0,0,0,0,1,261
ae,2832,devote,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,1833
ae,2868,die,1,3,pass,0,3,0,0,0,0,0,0,1,2444
ae,2870,differ,1,5,"pass,comp",0,3,0,0,0,0,2,0,1,1810
ae,2871,difficult,0,1,comp,0,0,0,0,0,0,1,0,1,1018
ae,2874,diffuse,1,1,pass,0,1,0,0,0,0,0,0,1,693
ae,2876,digest,1,1,pass,0,1,0,0,0,0,0,0,1,481
ae,2883,dilapidate,1,1,pass,0,1,0,0,0,0,0,0,1,304
ae,2884,dilate,1,1,pass,0,1,0,0,0,0,0,0,1,268
ae,2924,disagree,1,2,pass,0,2,0,0,0,0,0,0,1,410
ae,2928,disappear,1,1,pass,0,1,0,0,0,0,0,0,1,505
ae,2947,discharge,1,1,pass,0,1,0,0,0,0,0,0,1,426
ae,2963,discord,1,1,pass,0,1,0,0,0,0,0,0,1,422
ae,2992,disengage,1,1,pass,0,1,0,0,0,0,0,0,1,391
ae,3002,disguise,0,2,comp,0,0,0,0,0,0,2,0,1,923
ae,3003,disgust,1,2,"pass,desid",0,1,1,0,0,0,0,0,1,146
ae,3022,dislike,1,1,pass,0,1,0,0,0,0,0,0,1,198
ae,3049,disperse,0,1,comp,0,0,0,0,0,0,1,0,1,98
ae,3058,dispose,0,2,comp,0,0,0,0,0,0,2,0,1,828
ae,3099,distinguish,0,1,comp,0,0,0,0,0,0,1,0,1,1133
ae,3109,disunite,1,1,pass,0,1,0,0,0,0,0,0,1,90
ae,3118,divaricate,1,1,pass,0,1,0,0,0,0,0,0,1,94
ae,3124,divide,1,1,pass,0,1,0,0,0,0,0,0,1,878
ae,3130,do,0,1,comp,0,0,0,0,0,0,1,0,1,317
ae,3134,doctor,0,1,comp,0,0,0,0,0,0,1,0,1,163
ae,3135,doctrine,0,1,comp,0,0,0,0,0,0,1,0,1,217
ae,3136,document,0,1,comp,0,0,0,0,0,0,1,0,1,63
ae,3141,dog,1,1,pass,0,1,0,0,0,0,0,0,1,265
ae,3152,domestic,0,3,comp,0,0,0,0,0,0,3,0,1,727
ae,3155,dominate,1,1,pass,0,1,0,0,0,0,0,0,1,131
ae,3168,door,0,1,comp,0,0,0,0,0,0,1,0,1,256
ae,3176,double,0,1,comp,0,0,0,0,0,0,1,0,1,875
ae,3189,down,0,2,comp,0,0,0,0,0,0,2,0,1,1414
ae,3199,drag,1,1,pass,0,1,0,0,0,0,0,0,1,206
ae,3200,draggle,1,1,pass,0,1,0,0,0,0,0,0,1,182
ae,3210,draw,1,1,pass,0,1,0,0,0,0,0,0,1,2568
ae,3219,dress,0,1,comp,0,0,0,0,0,0,1,0,1,630
ae,3222,drift,1,1,pass,0,1,0,0,0,0,0,0,1,376
ae,3226,drive,1,3,pass,0,3,0,0,0,0,0,0,1,1413
ae,3232,droop,1,1,pass,0,1,0,0,0,0,0,0,1,543
ae,3239,drowse,1,1,desid,0,0,1,0,0,0,0,0,1,222
ae,3255,due,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,889
ae,3278,during,0,1,comp,0,0,0,0,0,0,1,0,1,253
ae,3284,dwell,0,1,comp,0,0,0,0,0,0,1,0,1,261
ae,3292,each,0,1,comp,0,0,0,0,0,0,1,0,1,294
ae,3296,early,0,1,comp,0,0,0,0,0,0,1,0,1,517
ae,3299,earth,0,1,comp,0,0,0,0,0,0,1,0,1,665
ae,3300,ease,0,3,comp,0,0,0,0,0,0,3,0,1,1759
ae,3304,eat,0,2,comp,0,0,0,0,0,0,2,0,1,385
ae,3306,ebb,1,1,pass,0,1,0,0,0,0,0,0,1,122
ae,3338,effervesce,1,1,pass,0,1,0,0,0,0,0,0,1,274
ae,3382,element,0,1,comp,0,0,0,0,0,0,1,0,1,34
ae,3393,elite,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,3405,emaciate,1,1,pass,0,1,0,0,0,0,0,0,1,319
ae,3406,emanate,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,3414,embark,1,1,pass,0,1,0,0,0,0,0,0,1,216
ae,3442,emerge,1,1,pass,0,1,0,0,0,0,0,0,1,606
ae,3470,emulate,1,1,desid,0,0,1,0,0,0,0,0,1,387
ae,3475,enamoured,1,1,pass,0,1,0,0,0,0,0,0,1,54
ae,3485,encircle,0,1,comp,0,0,0,0,0,0,1,0,1,50
ae,3490,encounter,1,1,pass,0,1,0,0,0,0,0,0,1,386
ae,3497,end,1,3,"pass,comp",0,2,0,0,0,0,1,0,1,872
ae,3504,endow,0,1,comp,0,0,0,0,0,0,1,0,1,289
ae,3506,endure,1,2,"desid,comp",0,0,1,0,0,0,1,0,1,929
ae,3513,engage,0,1,comp,0,0,0,0,0,0,1,0,1,1127
ae,3521,engross,0,1,comp,0,0,0,0,0,0,1,0,1,122
ae,3528,enlarge,1,1,pass,0,1,0,0,0,0,0,0,1,494
ae,3553,ensue,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,273
ae,3567,entire,0,1,comp,0,0,0,0,0,0,1,0,1,244
ae,3568,entitle,1,1,pass,0,1,0,0,0,0,0,0,1,233
ae,3588,envy,0,2,comp,0,0,0,0,0,0,2,0,1,324
ae,3615,equal,0,1,comp,0,0,0,0,0,0,1,0,1,1229
ae,3618,equator,0,1,comp,0,0,0,0,0,0,1,0,1,59
ae,3624,equilibrium,1,1,pass,0,1,0,0,0,0,0,0,1,58
ae,3641,erect,0,1,comp,0,0,0,0,0,0,1,0,1,880
ae,3644,err,0,1,comp,0,0,0,0,0,0,1,0,1,530
ae,3655,escape,1,2,pass,0,2,0,0,0,0,0,0,1,1172
ae,3664,especial,0,1,comp,0,0,0,0,0,0,1,0,1,143
ae,3670,esquire,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,3682,estuate,1,1,pass,0,1,0,0,0,0,0,0,1,15
ae,3683,etcaetera,0,1,comp,0,0,0,0,0,0,1,0,1,91
ae,3687,ether,0,1,comp,0,0,0,0,0,0,1,0,1,104
ae,3704,evaporate,1,1,pass,0,1,0,0,0,0,0,0,1,383
ae,3706,even,0,1,comp,0,0,0,0,0,0,1,0,1,116
ae,3709,ever,0,2,comp,0,0,0,0,0,0,2,0,1,673
ae,3711,every,0,1,comp,0,0,0,0,0,0,1,0,1,862
ae,3715,evil,0,1,comp,0,0,0,0,0,0,1,0,1,1154
ae,3725,exact,0,1,comp,0,0,0,0,0,0,1,0,1,1016
ae,3728,examine,1,1,desid,0,0,1,0,0,0,0,0,1,462
ae,3734,excel,1,3,"pass,comp",0,1,0,0,0,0,2,0,1,1276
ae,3735,except,0,1,comp,0,0,0,0,0,0,1,0,1,1194
ae,3737,exchange,0,1,comp,0,0,0,0,0,0,1,0,1,304
ae,3743,exclude,0,1,comp,0,0,0,0,0,0,1,0,1,289
ae,3754,excuse,1,1,desid,0,0,1,0,0,0,0,0,1,882
ae,3758,exempt,0,2,comp,0,0,0,0,0,0,2,0,1,469
ae,3783,expand,1,2,pass,0,2,0,0,0,0,0,0,1,910
ae,3795,expert,0,1,comp,0,0,0,0,0,0,1,0,1,250
ae,3797,expire,1,3,pass,0,3,0,0,0,0,0,0,1,447
ae,3802,explode,1,1,pass,0,1,0,0,0,0,0,0,1,457
ae,3815,exquisite,0,1,comp,0,0,0,0,0,0,1,0,1,92
ae,3819,extend,1,3,"pass,comp",0,2,0,0,0,0,1,0,1,1468
ae,3821,exterior,0,1,comp,0,0,0,0,0,0,1,0,1,119
ae,3824,external,0,1,comp,0,0,0,0,0,0,1,0,1,143
ae,3829,extra,0,1,comp,0,0,0,0,0,0,1,0,1,76
ae,3838,extreme,0,1,comp,0,0,0,0,0,0,1,0,1,651
ae,3847,exult,1,1,pass,0,1,0,0,0,0,0,0,1,460
ae,3854,face,0,2,comp,0,0,0,0,0,0,2,0,1,406
ae,3856,facetious,0,1,comp,0,0,0,0,0,0,1,0,1,155
ae,3867,fade,1,3,pass,0,3,0,0,0,0,0,0,1,770
ae,3871,fail,1,4,pass,0,4,0,0,0,0,0,0,1,1708
ae,3873,faint,1,1,pass,0,1,0,0,0,0,0,0,1,333
ae,3874,fair,0,1,comp,0,0,0,0,0,0,1,0,1,1040
ae,3879,fall,1,6,pass,0,6,0,0,0,0,0,0,1,2790
ae,3880,fallacy,0,1,comp,0,0,0,0,0,0,1,0,1,130
ae,3883,false,0,3,comp,0,0,0,0,0,0,3,0,1,1906
ae,3886,familiar,0,2,comp,0,0,0,0,0,0,2,0,1,1031
ae,3887,family,0,1,comp,0,0,0,0,0,0,1,0,1,292
ae,3889,famish,1,1,pass,0,1,0,0,0,0,0,0,1,237
ae,3897,far,0,3,comp,0,0,0,0,0,0,3,0,1,764
ae,3914,fast,0,1,comp,0,0,0,0,0,0,1,0,1,917
ae,3919,father,0,1,comp,0,0,0,0,0,0,1,0,1,107
ae,3921,fatigue,1,1,pass,0,1,0,0,0,0,0,0,1,15
ae,3926,favour,0,1,comp,0,0,0,0,0,0,1,0,1,328
ae,3945,feed,0,2,comp,0,0,0,0,0,0,2,0,1,572
ae,3947,feign,0,2,comp,0,0,0,0,0,0,2,0,1,715
ae,3952,fellow,0,1,comp,0,0,0,0,0,0,1,0,1,1102
ae,3956,female,0,1,comp,0,0,0,0,0,0,1,0,1,334
ae,3966,ferment,1,1,pass,0,1,0,0,0,0,0,0,1,137
ae,3981,festive,0,1,comp,0,0,0,0,0,0,1,0,1,177
ae,3999,fiction,0,1,comp,0,0,0,0,0,0,1,0,1,102
ae,4014,fig,0,1,comp,0,0,0,0,0,0,1,0,1,82
ae,4018,figure,1,1,pass,0,1,0,0,0,0,0,0,1,137
ae,4022,filial,0,1,comp,0,0,0,0,0,0,1,0,1,249
ae,4025,fill,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,4033,final,0,1,comp,0,0,0,0,0,0,1,0,1,257
ae,4036,fine,0,1,comp,0,0,0,0,0,0,1,0,1,903
ae,4045,fire,1,1,pass,0,1,0,0,0,0,0,0,1,909
ae,4048,first,0,1,comp,0,0,0,0,0,0,1,0,1,630
ae,4056,fit,1,4,pass,0,4,0,0,0,0,0,0,1,1435
ae,4063,flag,1,1,pass,0,1,0,0,0,0,0,0,1,271
ae,4073,flame,1,1,pass,0,1,0,0,0,0,0,0,1,231
ae,4077,flap,1,1,pass,0,1,0,0,0,0,0,0,1,176
ae,4123,floral,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,4131,flounder,1,1,pass,0,1,0,0,0,0,0,0,1,127
ae,4133,flourish,1,1,pass,0,1,0,0,0,0,0,0,1,553
ae,4136,flower,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,716
ae,4144,flush,1,1,pass,0,1,0,0,0,0,0,0,1,501
ae,4152,foam,1,1,pass,0,1,0,0,0,0,0,0,1,85
ae,4164,fold,0,1,comp,0,0,0,0,0,0,1,0,1,118
ae,4169,follow,1,2,"pass,desid",0,1,1,0,0,0,0,0,1,979
ae,4172,fond,0,2,comp,0,0,0,0,0,0,2,0,1,881
ae,4178,for,0,6,comp,0,0,0,0,0,0,6,0,1,1785
ae,4181,forbear,1,1,desid,0,0,1,0,0,0,0,0,1,654
ae,4183,force,0,1,comp,0,0,0,0,0,0,1,0,1,198
ae,4187,fore,0,1,comp,0,0,0,0,0,0,1,0,1,891
ae,4206,forest,0,1,comp,0,0,0,0,0,0,1,0,1,286
ae,4213,forfeit,1,3,"pass,comp",0,2,0,0,0,0,1,0,1,748
ae,4214,forge,0,1,comp,0,0,0,0,0,0,1,0,1,460
ae,4216,forgive,1,1,desid,0,0,1,0,0,0,0,0,1,464
ae,4217,fork,1,2,pass,0,2,0,0,0,0,0,0,1,230
ae,4219,form,0,3,comp,0,0,0,0,0,0,3,0,1,1027
ae,4242,foul,0,1,comp,0,0,0,0,0,0,1,0,1,723
ae,4243,found,0,1,comp,0,0,0,0,0,0,1,0,1,724
ae,4265,fraternity,1,1,pass,0,1,0,0,0,0,0,0,1,64
ae,4267,fraud,0,1,comp,0,0,0,0,0,0,1,0,1,173
ae,4268,fraught,0,1,comp,0,0,0,0,0,0,1,0,1,59
ae,4272,free,0,2,comp,0,0,0,0,0,0,2,0,1,2341
ae,4273,freeze,1,1,pass,0,1,0,0,0,0,0,0,1,313
ae,4280,fret,1,4,pass,0,4,0,0,0,0,0,0,1,1074
