dict,L,k1,is_verbal,n_subentries,subentry_categories,n_caus,n_pass,n_desid,n_intens,n_den,n_periphr,n_comp,n_dash_segments,max_depth,total_chars_subentries
ae,1,a,0,2,comp,0,0,0,0,0,0,2,0,1,222
ae,5,abate,1,1,pass,0,1,0,0,0,0,0,0,1,151
ae,16,abhor,1,2,desid,0,0,2,0,0,0,0,0,1,330
ae,17,abide,1,1,desid,0,0,1,0,0,0,0,0,1,394
ae,33,abound,1,3,"pass,comp",0,1,0,0,0,0,2,0,1,426
ae,34,about,1,4,"desid,comp",0,0,1,0,0,0,3,0,1,1033
ae,43,abscond,1,1,pass,0,1,0,0,0,0,0,0,1,122
ae,48,absorb,0,1,comp,0,0,0,0,0,0,1,0,1,195
ae,56,abut,1,1,pass,0,1,0,0,0,0,0,0,1,17
ae,69,accompany,0,2,comp,0,0,0,0,0,0,2,0,1,177
ae,72,accord,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,922
ae,81,accrue,1,1,pass,0,1,0,0,0,0,0,0,1,136
ae,84,accumulate,1,1,pass,0,1,0,0,0,0,0,0,1,135
ae,94,ache,1,1,pass,0,1,0,0,0,0,0,0,1,63
ae,108,across,0,1,comp,0,0,0,0,0,0,1,0,1,241
ae,109,act,0,2,"den,comp",0,0,0,0,1,0,1,0,1,1901
ae,114,adamant,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,117,addict,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,346
ae,123,adhere,1,1,pass,0,1,0,0,0,0,0,0,1,727
ae,156,advance,1,1,pass,0,1,0,0,0,0,0,0,1,1021
ae,173,affect,0,2,comp,0,0,0,0,0,0,2,0,1,1460
ae,193,after,0,3,comp,0,0,0,0,0,0,3,0,1,1217
ae,195,against,0,1,comp,0,0,0,0,0,0,1,0,1,384
ae,200,agent,0,1,comp,0,0,0,0,0,0,1,0,1,302
ae,217,agree,0,1,comp,0,0,0,0,0,0,1,0,1,544
ae,229,aim,1,2,desid,0,0,2,0,0,0,0,0,1,537
ae,263,all,0,1,comp,0,0,0,0,0,0,1,0,1,998
ae,285,almost,0,1,comp,0,0,0,0,0,0,1,0,1,53
ae,289,alone,0,1,comp,0,0,0,0,0,0,1,0,1,16
ae,290,along,0,1,comp,0,0,0,0,0,0,1,0,1,376
ae,301,alternate,0,1,comp,0,0,0,0,0,0,1,0,1,595
ae,320,ambient,0,1,comp,0,0,0,0,0,0,1,0,1,51
ae,325,ambrosia,0,1,comp,0,0,0,0,0,0,1,0,1,16
ae,331,amend,1,1,pass,0,1,0,0,0,0,0,0,1,360
ae,345,amount,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,750
ae,369,and,0,1,comp,0,0,0,0,0,0,1,0,1,522
ae,376,anent,0,1,comp,0,0,0,0,0,0,1,0,1,16
ae,408,another,0,1,comp,0,0,0,0,0,0,1,0,1,259
ae,466,apparent,0,1,comp,0,0,0,0,0,0,1,0,1,271
ae,469,appear,1,3,pass,0,3,0,0,0,0,0,0,1,617
ae,477,apply,1,3,"pass,comp",0,2,0,0,0,0,1,0,1,1478
ae,493,apropos,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,494,apt,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,780
ae,496,aquatic,0,1,comp,0,0,0,0,0,0,1,0,1,140
ae,525,arise,0,1,comp,0,0,0,0,0,0,1,0,1,209
ae,557,as,0,3,comp,0,0,0,0,0,0,3,0,1,1861
ae,559,ascertain,1,1,desid,0,0,1,0,0,0,0,0,1,444
ae,574,aspire,1,1,desid,0,0,1,0,0,0,0,0,1,583
ae,582,assemble,0,1,comp,0,0,0,0,0,0,1,0,1,56
ae,592,assist,0,1,comp,0,0,0,0,0,0,1,0,1,54
ae,610,astrology,0,1,comp,0,0,0,0,0,0,1,0,1,16
ae,629,attach,1,1,pass,0,1,0,0,0,0,0,0,1,395
ae,636,attend,1,2,"desid,comp",0,0,1,0,0,0,1,0,1,1608
ae,654,augment,1,1,pass,0,1,0,0,0,0,0,0,1,252
ae,667,author,0,1,comp,0,0,0,0,0,0,1,0,1,294
ae,690,averse,1,1,pass,0,1,0,0,0,0,0,0,1,244
ae,702,aware,0,1,comp,0,0,0,0,0,0,1,0,1,68
ae,787,bare,0,1,comp,0,0,0,0,0,0,1,0,1,593
ae,803,base,0,1,comp,0,0,0,0,0,0,1,0,1,319
ae,843,bear,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,1034
ae,850,beauty,0,1,comp,0,0,0,0,0,0,1,0,1,129
ae,855,become,1,1,pass,0,1,0,0,0,0,0,0,1,470
ae,871,before,0,1,comp,0,0,0,0,0,0,1,0,1,490
ae,876,begin,0,1,comp,0,0,0,0,0,0,1,0,1,161
ae,877,begird,0,1,comp,0,0,0,0,0,0,1,0,1,79
ae,890,behove,1,1,pass,0,1,0,0,0,0,0,0,1,223
ae,909,belong,1,1,pass,0,1,0,0,0,0,0,0,1,77
ae,911,below,0,1,comp,0,0,0,0,0,0,1,0,1,287
ae,934,bereave,1,3,"pass,comp",0,2,0,0,0,0,1,0,1,224
ae,943,besides,0,1,comp,0,0,0,0,0,0,1,0,1,103
ae,949,besort,1,1,pass,0,1,0,0,0,0,0,0,1,44
ae,955,best,0,1,comp,0,0,0,0,0,0,1,0,1,46
ae,960,bestow,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,977,better,1,1,pass,0,1,0,0,0,0,0,0,1,155
ae,1004,big,0,1,comp,0,0,0,0,0,0,1,0,1,154
ae,1021,bind,1,1,pass,0,1,0,0,0,0,0,0,1,495
ae,1066,blend,1,1,pass,0,1,0,0,0,0,0,0,1,191
ae,1079,blossom,1,1,pass,0,1,0,0,0,0,0,0,1,251
ae,1104,body,0,2,comp,0,0,0,0,0,0,2,0,1,322
ae,1109,boil,1,2,pass,0,2,0,0,0,0,0,0,1,387
ae,1140,border,0,1,comp,0,0,0,0,0,0,1,0,1,369
ae,1149,both,0,1,comp,0,0,0,0,0,0,1,0,1,281
ae,1152,bottom,0,1,comp,0,0,0,0,0,0,1,0,1,74
ae,1184,branch,1,2,pass,0,2,0,0,0,0,0,0,1,288
ae,1200,break,1,4,pass,0,4,0,0,0,0,0,0,1,2123
ae,1238,broil,1,1,pass,0,1,0,0,0,0,0,0,1,213
ae,1258,brute,0,1,comp,0,0,0,0,0,0,1,0,1,234
ae,1308,burn,1,1,pass,0,1,0,0,0,0,0,0,1,564
ae,1312,burst,1,3,pass,0,3,0,0,0,0,0,0,1,597
ae,1334,by,0,1,comp,0,0,0,0,0,0,1,0,1,972
ae,1377,call,0,1,comp,0,0,0,0,0,0,1,0,1,248
ae,1396,can,1,2,pass,0,2,0,0,0,0,0,0,1,259
ae,1408,canine,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,1428,capable,1,1,pass,0,1,0,0,0,0,0,0,1,463
ae,1438,capillary,0,1,comp,0,0,0,0,0,0,1,0,1,62
ae,1490,carry,0,1,comp,0,0,0,0,0,0,1,0,1,58
ae,1501,case,0,1,comp,0,0,0,0,0,0,1,0,1,331
ae,1546,cause,0,1,comp,0,0,0,0,0,0,1,0,1,543
ae,1596,chafe,1,1,pass,0,1,0,0,0,0,0,0,1,332
ae,1618,change,1,1,pass,0,1,0,0,0,0,0,0,1,1073
ae,1623,chap,1,2,pass,0,2,0,0,0,0,0,0,1,99
ae,1679,chief,0,1,comp,0,0,0,0,0,0,1,0,1,410
ae,1681,child,0,2,comp,0,0,0,0,0,0,2,0,1,586
ae,1690,chink,1,1,pass,0,1,0,0,0,0,0,0,1,192
ae,1708,choose,0,1,comp,0,0,0,0,0,0,1,0,1,139
ae,1748,cinque,0,1,comp,0,0,0,0,0,0,1,0,1,15
ae,1766,circumstance,0,1,comp,0,0,0,0,0,0,1,0,1,352
ae,1781,civil,0,1,comp,0,0,0,0,0,0,1,0,1,656
ae,1810,cleave,1,2,pass,0,2,0,0,0,0,0,0,1,469
ae,1836,close,1,2,pass,0,2,0,0,0,0,0,0,1,1972
ae,1840,cloth,0,1,comp,0,0,0,0,0,0,1,0,1,318
ae,1863,coalesce,1,1,pass,0,1,0,0,0,0,0,0,1,210
ae,1894,coextend,1,1,pass,0,1,0,0,0,0,0,0,1,128
ae,1909,cohere,1,2,pass,0,2,0,0,0,0,0,0,1,523
ae,1915,coincide,1,2,pass,0,2,0,0,0,0,0,0,1,668
ae,1925,collapse,1,1,pass,0,1,0,0,0,0,0,0,1,204
ae,1950,colour,1,2,"pass,comp",0,1,0,0,0,0,1,0,1,1005
ae,1959,combine,1,1,pass,0,1,0,0,0,0,0,0,1,446
ae,1962,come,1,1,pass,0,1,0,0,0,0,0,0,1,1279
ae,1972,command,0,1,comp,0,0,0,0,0,0,1,0,1,241
ae,1994,communicate,1,1,pass,0,1,0,0,0,0,0,0,1,649
ae,1999,compare,0,1,comp,0,0,0,0,0,0,1,0,1,520
ae,2007,compel,1,1,pass,0,1,0,0,0,0,0,0,1,575
ae,2010,compete,1,1,desid,0,0,1,0,0,0,0,0,1,753
ae,2013,complain,1,1,pass,0,1,0,0,0,0,0,0,1,633
ae,2021,compliment,0,1,comp,0,0,0,0,0,0,1,0,1,243
ae,2025,comport,1,1,pass,0,1,0,0,0,0,0,0,1,141
ae,2026,compose,0,2,comp,0,0,0,0,0,0,2,0,1,1352
ae,2031,comprise,0,1,comp,0,0,0,0,0,0,1,0,1,15
