normalized,kind,raw,surface,dicts,total
APABHRAMSA,middle_indic,Apabhraṃśa,lang,"mw,pw",7
CLASSICAL,register,klass,lang,"pw,pwg",94
EPIC,register,ep,lang,"mw,pw,pwg",427
EPIC,register,epic,ab,ap,9
FIGURATIVE,register,Fig,ab,ap,29
FIGURATIVE,register,fig,ab,"ap,mw,pw,pwg,wil",649
LEXICOGRAPHERS_ONLY,register,Lexicc,ab,pwg,1
LEXICOGRAPHERS_ONLY,register,Lexicogr,ab,pwg,2
LEXICOGRAPHERS_ONLY,register,Lexicogrr,ab,pwg,38
LITERAL,register,Lit,ab,pwg,3
LITERAL,register,Lit,lang,mw,19
LITERAL,register,Litt,ab,pwg,1
LITERAL,register,lit,ab,"ap,mw,wil",325
LITERAL,register,lit,lang,pwg,2
LITERAL,register,liter,ab,wil,3
LITURGICAL,register,liturg,ab,"pw,pwg",15
PALI,middle_indic,Pāli,lang,"ap,mw,pw",63
POETIC,register,poet,ab,"ap,mw,pwg",6
POST_VEDIC,register,nachved,lang,pwg,9
PRAKRIT,middle_indic,Prākrit,lang,"pw,pwg",170
PRAKRIT,middle_indic,Prākṛt,lang,"mw,pwg",228
VEDIC,register,Ved,ab,ap,1916
VEDIC,register,Ved,lang,mw,612
VEDIC,register,ved,lang,"pw,pwg",595
