dict,view,rule,kind,sensitive_to_anusvara_visarga_policy,unit_index,prev_L,prev_pc,prev_k1,prev_iast,next_L,next_pc,next_k1,next_iast
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,26,168,"1,3",akarA,akarā,169,"1,3",akaraRa,akaraṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,41,205,"2,1",akalkA,akalkā,207,"2,1",akalkana,akalkana
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,61,243.1,"2,1",akAraRena,akāraṇena,243.2,"2,1",akAraRe,akāraṇe
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,62,243.2,"2,1",akAraRe,akāraṇe,243.3,"2,1",akAraRAt,akāraṇāt
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,68,254,"2,1",akAle,akāle,254.1,"2,1",akAlatas,akālatas
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,1,72,268.1,"1308,1",akiMcid,akiṃcid,269,"2,2",akiYcana,akiñcana
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,90,300,"2,2",akulA,akulā,300.2,"1308,1",akula,akula
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,152,546,"3,2",akzatA,akṣatā,548,"3,2",akzata,akṣata
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,161,582,"3,2",akzarA,akṣarā,583,"3,2",akzara,akṣara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,247,1194,"6,2",agrA,agrā,1195,"6,2",agra,agra
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,250,1209,"6,2",agreRa,agreṇa,1210,"6,2",agre,agre
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,251,1210,"6,2",agre,agre,1334,"6,3",agraBaRa,agrabhaṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,331,1834.2,"9,1",acireRa,acireṇa,1837,"9,1",acirA,acirā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,337,1857.1,"1309,2",acyAvin,acyāvin,1858,"9,1",acCa,accha
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,350,2037,"9,3",ajA,ajā,2038,"9,3",ajakava,ajakava
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,362,2073,"10,1",ajapA,ajapā,2074,"10,1",ajapa,ajapa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,387,2149.1,"10,2",ajiram,ajiram,2150,"10,2",ajira,ajira
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,389,2151,"10,2",ajirA,ajirā,2152,"10,2",ajira,ajira
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,469,2558,"12,2",atasI,atasī,2560,"12,2",atasi,atasi
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,514,2987,"14,1",atitF,atitṝ,2989.1,"1309,3",atitikzamARa,atitikṣamāṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,772,3474.1,"17,1",atyAyam,atyāyam,3475,"17,1",atyAyat,atyāyat
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,813,3609,"18,1",adattA,adattā,3610,"18,1",adatta,adatta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,867,3729,"18,3",adUre,adūre,3729.1,"18,3",adUrAt,adūrāt
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,868,3729.1,"18,3",adUrAt,adūrāt,3729.2,"18,3",adUratas,adūratas
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,869,3729.2,"18,3",adUratas,adūratas,3730,"18,3",adUra,adūra
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,894,3855,"19,2",adravya,adravya,3856.1,"1310,1",adyotaka,adyotaka
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,916,3960,"19,3",aDamA,adhamā,3960.1,"19,3",aDama,adhama
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,920,3974.1,"19,3",aDarAt,adharāt,3975,"19,3",aDarasmAt,adharasmāt
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,922,3976,"19,3",aDarA,adharā,3977,"19,3",aDara,adhara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,967,4247,"21,1",aDijan,adhijan,4249.1,"1310,2",aDijaNGam,adhijaṅgham
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1088,4434,"22,2",aDizu,adhiṣu,4437.1,"1310,3",aDizAdam,adhiṣādam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1170,4676.1,"1310,3",aDyAsyA,adhyāsyā,4677,"23,3",aDyAsaYj,adhyāsañj
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1184,4692.1,"23,3",aDyuzite,adhyuṣite,4693,"23,3",aDyuzita,adhyuṣita
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1202,4723,"23,3",aDvan,adhvan,4732,"23,3",aDva,adhva
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1266,4934,"25,1",anantA,anantā,4938,"25,1",ananta,ananta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1285,5066.1,"1311,1",anapakzepya,anapakṣepya,5067,"25,2",anapakarza,anapakarṣa
