dict,view,rule,kind,sensitive_to_anusvara_visarga_policy,unit_index,prev_L,prev_pc,prev_k1,prev_iast,next_L,next_pc,next_k1,next_iast
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1320,5125,"25,3",anapekzA,anapekṣā,5126,"25,3",anapekzam,anapekṣam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1447,5371.1,"27,1",anavekzam,anavekṣam,5372,"27,1",anavekza,anavekṣa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1476,5431.01,"128,1",anAkranda,anākranda,5431.1,"1311,2",anAktAkza,anāktākṣa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1597,5707.2,"1311,2",anAstika,anāstika,5708,"29,1",anAsAdita,anāsādita
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1668,5850,"29,3",anirA,anirā,5850.1,"1311,2",aniraSita,aniraśita
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1724,5967,"30,2",anizwA,aniṣṭā,5968,"30,2",anizwa,aniṣṭa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1756,6048,"31,1",anIhA,anīhā,6051,"31,1",anILa,anīḻa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1760,6060,"31,1",anukaT,anukath,6063.1,"1311,3",anukaRWI,anukaṇṭhī
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1778,6101,"31,2",anukUlA,anukūlā,6103,"31,2",anukUla,anukūla
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1784,6131,"31,2",anukfz,anukṛṣ,6139.1,"1311,3",anukalam,anukalam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1817,6220,"32,1",anuguRam,anuguṇam,6221,"32,1",anuguRa,anuguṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1901,6422,"33,2",anudA,anudā,6427.1,"1311,3",anudapAna,anudapāna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,1965,6549,"34,1",anunI,anunī,6560.1,"1312,1",anuninIzA,anuninīṣā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2000,6641,"34,3",anupamA,anupamā,6645,"34,3",anupamardana,anupamardana
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2084,6775,"35,2",anupF,anupṝ,6775.1,"1312,1",anupUraRa,anupūraṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2169,6992.4,"1312,2",anumAlinItIram,anumālinītīram,6993,"37,1",anumAdya,anumādya
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2174,7003.2,"1312,2",anumroka,anumroka,7004,"37,1",anumuh,anumuh
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2226,7170,"38,1",anulomA,anulomā,7171,"38,1",anuloma,anuloma
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2231,7185,"38,1",anuvaMSam,anuvaṃśam,7186,"38,1",anuvaMSa,anuvaṃśa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2246,7245,"38,2",anuvah,anuvah,7246.1,"1312,2",anuvas,anuvas
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2309,7361,"1312,2",anuvyApin,anuvyāpin,7362,"39,2",anuvyam,anuvyam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2556,7888.3,"1312,3",anoyukta,anoyukta,7889,"42,3",anoMkfta,anoṃkṛta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2569,7913,"42,3",ante,ante,7915,"42,3",antam,antam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2570,7915,"42,3",antam,antam,7915.1,"42,3",anta,anta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2572,7915.11,"1312,3",antena,antena,7915.12,"1312,3",antAya,antāya
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2573,7915.12,"1312,3",antAya,antāya,7915.13,"1312,3",antAt,antāt
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2574,7915.13,"1312,3",antAt,antāt,7981,"43,1",antaH,antaḥ
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2579,8197,"43,3",antaram,antaram,8197.05,"43,3",antara,antara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2581,8197.1,"43,3",antaratas,antaratas,8197.105,"43,3",antara,antara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2634,8730,"46,1",anvaYc,anvañc,8730.2,"46,1",anUci,anūci
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2723,8886,"47,2",anvAhf,anvāhṛ,8891.1,"1313,3",anvAhiRq,anvāhiṇḍ
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2773,9084.1,"48,2",apagopura,apagopura,9085,"48,2",apagE,apagai
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2819,9179,"49,1",apatfp,apatṛp,9180.1,"1313,3",apatAna,apatāna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2830,9227.1,"1313,3",apadarpa,apadarpa,9228,"49,2",apadakziRam,apadakṣiṇam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2947,9409.3,"1314,1",aparAvApa,aparāvāpa,9410,"50,3",apara,apara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2950,9422,"50,3",aparI,aparī,9422.1,"50,3",apara,apara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2953,9426,"50,3",apareRa,apareṇa,9426.05,"50,3",apara,apara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,2955,9426.2,"1314,1",aparA,aparā,9481,"50,3",aparaYj,aparañj
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3023,9598.3,"1314,1",aparihIyamARa,aparihīyamāṇa,9599,"51,2",aparihARa,aparihāṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3031,9609.2,"1314,1",aparkyapfzWa,aparkyapṛṣṭha,9609.3,"1314,1",aparuz,aparuṣ
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3051,9630,"51,3",aparvan,aparvan,9631.05,"1314,1",aparvaRi,aparvaṇi
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3053,9631.1,"51,3",aparvan,aparvan,9634.1,"1314,1",aparvata,aparvata
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3068,9658.1,"1314,2",apavAtA,apavātā,9659,"52,1",apavat,apavat
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3094,9707,"52,2",apavIRA,apavīṇā,9708,"52,2",apavIRam,apavīṇam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3103,9753,"52,3",apavyaD,apavyadh,9759.1,"1314,2",apavidyA,apavidyā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3126,9781,"52,3",apaSu,apaśu,9786.1,"1314,2",apaSastra,apaśastra
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3148,9839.1,"53,1",apasavyena,apasavyena,9839.11,"1314,2",apasavya,apasavya
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3240,10073,"54,3",apAlA,apālā,10074,"54,3",apAlaNka,apālaṅka
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3378,10404,"56,3",apodikA,apodikā,10405,"56,3",apodi,apodi
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3415,10487,"57,2",aprakASam,aprakāśam,10488,"57,2",aprakASa,aprakāśa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3437,10517,"57,2",aprajA,aprajā,10526,"57,2",aprajajYi,aprajajñi
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3447,10539,"57,3",aprati,aprati,10541,"57,3",apratA,apratā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3468,10581,"57,3",apratiBA,apratibhā,10581.1,"1314,3",apratiBawa,apratibhaṭa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3602,10878,"59,3",apvA,apvā,10879.3,"1314,3",apuza,apuṣa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3620,10952,"60,1",abalA,abalā,10955,"60,1",abala,abala
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3649,11130,"60,3",aBayA,abhayā,11131,"60,3",aBaya,abhaya
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3660,11197.1,"1315,1",aBikarRakUpam,abhikarṇakūpam,11198,"61,1",aBikam,abhikam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,3697,11296.1,"1315,1",aBigopAya,abhigopāya,11297,"61,3",aBigE,abhigai
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4034,12072,"67,2",aBimuKe,abhimukhe,12073,"67,2",aBimuKI,abhimukhī
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4057,12172.1,"1315,2",aBiraSmimAli,abhiraśmimāli,12173,"68,1",aBiram,abhiram
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4191,12525.1,"1315,2",aBiSradDA,abhiśraddhā,12526,"70,3",aBiSuc,abhiśuc
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4232,12676.1,"1315,2",aBisaMyam,abhisaṃyam,12677,"72,1",aBisaMyatta,abhisaṃyatta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4378,12945.1,"1315,2",aBihiMsana,abhihiṃsana,12946,"74,1",aBihA,abhihā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4431,13132,"75,2",aBoktf,abhoktṛ,13146.1,"1315,2",aBEzajya,abhaiṣajya
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4662,13726.1,"1315,3",aBrAja,abhrāja,13727,"79,3",aBrama,abhrama
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4692,13848,"80,2",amandam,amandam,13849,"80,2",amanda,amanda
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4705,13983,"81,1",amalA,amalā,13987,"81,1",amala,amala
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4729,14064,"81,2",amAyA,amāyā,14064.1,"81,2",amAyayA,amāyayā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4733,14072,"81,2",amArgeRa,amārgeṇa,14072.1,"81,3",amArga,amārga
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4756,14171.1,"1315,3",amutaHpradAna,amutaḥpradāna,14172,"82,1",amuKa,amukha
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4782,14350,"83,1",amocana,amocana,14351,"83,1",amoGa,amogha
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4816,14609.1,"84,1",amlI,amlī,14610,"84,1",amla,amla
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4818,14655.1,"1316,1",amlowa,amloṭa,14656,"84,2",amlAna,amlāna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4875,15013,"86,2",aram,aram,15022.1,"1316,1",arakta,arakta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4932,15271.1,"87,3",arAlI,arālī,15274,"87,3",arAli,arāli
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4943,15392,"88,2",arI|a,arīḻha,15392.1,"1316,1",arIRa,arīṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4953,15436.1,"88,2",aruRI,aruṇī,15438,"88,2",aruRa,aruṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,4964,15496.1,"88,3",aruzI,aruṣī,15498,"88,3",aruza,aruṣa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5001,15756,"90,1",arjunI,arjunī,15762,"90,1",arjuna,arjuna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5004,15797,"90,2",arRA,arṇā,15797.1,"90,2",arRa,arṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5042,16522,"94,1",alakA,alakā,16534,"94,1",alakam,alakam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5133,16827,"95,3",alpena,alpena,16829,"95,3",alpAt,alpāt
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5144,16958,"96,1",avakA,avakā,16962,"96,2",avakawa,avakaṭa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5254,17292.1,"1317,1",avaqa,avaḍa,17294,"98,3",avawaNka,avaṭaṅka
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5258,17297.1,"98,3",avadraNga,avadraṅga,17298,"98,3",avaqIna,avaḍīna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5330,17564.1,"1317,1",avaniHsaraRa,avaniḥsaraṇa,17565,"100,2",avani,avani
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5389,17802.2,"1317,1",avamohana,avamohana,17803,"102,1",avamuz,avamuṣ
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5393,17809,"102,1",avamUrDaSaya,avamūrdhaśaya,17809.1,"1317,1",avamUrDaka,avamūrdhaka
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5406,17859,"102,2",avarA,avarā,17862,"102,2",avara,avara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5408,17863,"102,2",avareRa,avareṇa,17894,"102,3",avaraNgasAha,avaraṅgasāha
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5444,18066,"103,3",avalIlA,avalīlā,18066.1,"103,3",avalIlayA,avalīlayā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5468,18124,"104,1",avavyaD,avavyadh,18125.1,"1317,1",avavisraMsita,avavisraṃsita
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5574,18500.1,"106,3",avAYcam,avāñcam,18500.2,"106,3",avAcI,avācī
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5575,18500.2,"106,3",avAcI,avācī,18500.3,"106,3",avAk,avāk
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5592,18575.1,"1317,2",avAruRa,avāruṇa,18576,"107,2",avAraRIya,avāraṇīya
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5594,18588.1,"1317,2",avAlamba,avālamba,18589,"107,2",avAruh,avāruh
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5615,18638.5,"1317,2",avikopita,avikopita,18639,"107,3",avikala,avikala
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5663,18776,"108,2",avitaTena,avitathena,18777,"108,2",avitaTa,avitatha
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5683,18809,"108,3",avidite,avidite,18809.1,"108,3",aviditam,aviditam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5689,18815,"108,3",avidUre,avidūre,18816,"108,3",avidUrAt,avidūrāt
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5695,18827,"108,3",avidyA,avidyā,18831,"108,3",avidyamAna,avidyamāna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5752,18938.1,"1317,2",avimarSa,avimarśa,18939,"109,2",avimatta,avimatta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5803,19066,"110,2",avizA,aviṣā,19067,"110,2",aviza,aviṣa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5805,19068,"110,2",avizI,aviṣī,19070,"110,2",avizakta,aviṣakta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5846,19142,"110,3",avIrA,avīrā,19144,"110,3",avIra,avīra
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5870,19206,"111,1",avelA,avelā,19208,"111,1",avelam,avelam
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5894,19255,"111,2",avyaNgA,avyaṅgā,19258,"111,2",avyaNga,avyaṅga
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5899,19261.1,"1317,3",avyatI,avyatī,19262,"111,2",avyatikrama,avyatikrama
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5900,19262,"111,2",avyatikrama,avyatikrama,19263,"111,2",avyatikIrRa,avyatikīrṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,5946,19375.1,"1317,3",avyAbADa,avyābādha,19376,"112,1",avyApanna,avyāpanna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6040,19662,"113,3",aSokA,aśokā,19665,"113,3",aSoka,aśoka
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6073,19863,"114,3",aSlIka,aślīka,19864.1,"1317,3",aSlizwa,aśliṣṭa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6078,19869.8,"114,3",aSvA,aśvā,19869.805,"114,3",aSva,aśva
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6151,20488.7,"118,1",asaNgena,asaṅgena,20488.8,"118,1",asaNgAt,asaṅgāt
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,1,6152,20488.8,"118,1",asaNgAt,asaṅgāt,20497,"118,1",asaMgata,asaṃgata
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6168,20533,"118,2",asatI,asatī,20534,"118,2",asat,asat
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6184,20629,"118,3",asaMdita,asaṃdita,20630.1,"1318,2",asaMdarSana,asaṃdarśana
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6196,20653,"119,1",asapatnA,asapatnā,20654,"119,1",asapatna,asapatna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,1,6239,20739,"119,2",asaMpramAda,asaṃpramāda,20739.1,"1318,2",asampramARa,asampramāṇa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6245,20754,"119,3",asaMbADA,asaṃbādhā,20755,"119,3",asaMbADa,asaṃbādha
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6258,20797.1,"1318,2",asammozaDarman,asammoṣadharman,20798,"119,3",asaMmfzwa,asaṃmṛṣṭa
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6286,20893.1,"120,2",asAmnA,asāmnā,20895,"120,2",asAmayika,asāmayika
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6296,20914,"120,2",asArA,asārā,20915,"120,2",asAra,asāra
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6307,20975,"120,3",asitA,asitā,20978,"120,3",asiknI,asiknī
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6373,21233,"122,1",astA,astā,21242,"122,1",asta,asta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6375,21247,"122,1",astam,astam,21248,"122,1",asta,asta
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6377,21250,"122,2",astA,astā,21276.1,"1318,3",astanA,astanā
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6397,21367,"122,3",asTAne,asthāne,21369.3,"1318,3",asTAna,asthāna
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6458,21717,"124,3",yadahar,yadahar,21761,"124,3",ahara,ahara
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,1,6472,21893.1,"1318,3",ahiMkAra,ahiṃkāra,21894,"125,2",ahiMsaka,ahiṃsaka
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6506,21992.1,"126,1",ahnAya,ahnāya,21993,"126,1",ahnavAyya,ahnavāyya
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6663,22828,"131,1",ANgI,āṅgī,22829,"131,1",ANga,āṅga
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6713,23036,"132,2",AjA,ājā,23037,"132,2",Aja,āja
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6798,23343,"134,2",Atan,ātan,23355.1,"1319,2",Atati,ātati
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6861,23763,"136,2",AdA,ādā,23804.2,"1319,2",AdaDIci,ādadhīci
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6866,23813,"136,3",AdO,ādau,23906,"137,1",Adi,ādi
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6875,23999.1,"1319,2",AdehadAham,ādehadāham,24000,"137,3",Adih,ādih
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,6987,24518,"140,2",AnilI,ānilī,24518.1,"140,2",Anila,ānila
mw,main,M-nasal/Hi-pos/Hf-slot/G-keep,isolated,0,7095,24819,"142,2",ApI,āpī,24820,"142,2",Apa,āpa
