dict,L,k1,n_preverb_sub,preverbs
cae,301,aNKay,1,pari
cae,340,ac,7,apa|A|ud|ni|pari|vi|sam
cae,384,aj,9,apa|aBi|ava|A|ud|upa|nis|vi|sam
cae,443,aYj,8,anu|aBi|A|ni|prati|vi|aBivi|sam
cae,468,at,1,sam
cae,989,an,6,apa|ud|pra|vi|sam|anusam
cae,2512,am,1,aBi
cae,2871,arTay,3,aBi|pra|sam
cae,3062,av,2,upa|pra
cae,3444,aS,4,aBi|upa|vi|sam
cae,3445,aS,3,ati|upa|sam
cae,3613,as,8,ati|api|aBi|upa|pari|pra|prati|sam
cae,3614,as,16,apa|aBi|ud|vyud|ni|upani|vini|saMni|nis|parA|pari|vipari|pra|prati|vi|sam
cae,3957,AkarRay,1,upa
cae,4319,Ap,13,anu|aBi|ava|samava|pari|pra|anupra|samanupra|saMpra|anusaMpra|vi|sam|parisam
cae,4772,As,6,aDi|ud|upa|samupa|pari|sam
cae,4880,i,43,acCa|ati|aByati|vyati|aDi|samaDi|anu|antar|apa|vyapa|api|aBi|ava|samava|A|aByA|udA|upA|paryA|pratyA|samA|ud|apod|aByud|samud|upa|aByupa|samupa|ni|nis|parA|pari|vipari|saMpari|pra|anupra|aBipra|prati|vi|aBivi|sam|anusam|aBisam
cae,5030,iz,4,anu|pra|anupra|saMpra
cae,5031,iz,7,anu|paryanu|samanu|aBi|pari|prati|vi
cae,5077,Ikz,25,apa|aBi|ava|anvava|pratyava|samava|ud|samud|upa|samupa|nis|pari|pra|aBipra|utpra|upapra|aBisaMpra|prati|saMprati|vi|anuvi|aBivi|udvi|sam|aBisam
cae,5087,INK,1,pra
cae,5089,Ij,1,sam
cae,5090,Iq,4,pra|upapra|prati|sam
cae,5099,Ips,2,aBi|pari
cae,5104,Ir,7,A|nyA|ud|aByud|samud|pra|sam
cae,5135,Iz,3,apa|A|vi
cae,5160,ukz,9,anu|aBi|ava|A|pari|pra|saMpra|vi|sam
cae,5161,ukz,1,sam
cae,5179,uc,2,ni|sam
cae,5242,ujJ,1,pra
cae,5270,utkaRW,2,pra|sam
cae,5436,ud,4,anu|aBi|ni|vi
cae,5664,unmUl,1,sam
cae,5975,ubj,2,ni|nis
cae,5976,uB,2,ni|sam
cae,6062,uz,3,ud|ni|prati
cae,6141,UrRu,2,apa|aBi
cae,6198,Uh,17,aDi|apa|vyapa|aBi|ava|ud|aByud|vyud|upa|samupa|nis|pari|prati|vi|prativi|sam|parisam
cae,6199,Uh,2,api|aBi
cae,6208,f,12,anu|apa|aBi|A|ud|upa|ni|nis|pra|prati|vi|sam
cae,6231,fc,3,aBi|pra|sam
cae,6236,fj,5,aBi|A|ni|pra|sam
cae,6237,fj,3,ati|anu|upa
cae,6309,fd,3,aBi|vi|sam
cae,6314,fD,3,anu|vi|sam
cae,6328,fz,5,anu|aBi|pari|vi|sam
cae,6329,fz,1,ni
cae,6520,ej,3,apa|ud|sam
cae,6560,eD,1,sam
cae,6922,katT,1,vi
cae,6932,kaTay,4,pari|pra|vi|sam
cae,7064,kamp,5,anu|aBi|pra|vi|sam
cae,7254,kal,5,A|upa|pari|pra|sam
cae,7375,kaz,3,apa|ud|ni
cae,7412,kANkz,6,anu|A|pratyA|samA|pra|prati
cae,7718,kAS,6,aBi|ava|nis|saMpra|vi|sam
cae,7846,kIrtay,3,anu|pari|sam
cae,7870,kuc,1,sam
cae,7938,kutsay,1,aBi
cae,7957,kup,3,pari|pra|sam
cae,8130,kuz,1,nis
cae,8181,kUj,1,anu
cae,8198,kUq,1,upa
cae,8199,kUR,2,ni|vi
cae,8214,kUrd,2,ud|pra
cae,8222,kUl,1,ava
cae,8251,kft,8,apa|ava|ud|ni|pari|pra|vi|sam
cae,8341,kfp,1,anu
cae,8350,kfpAy,1,anu
cae,8372,kfz,19,ati|anu|apa|vyapa|ava|A|apA|vyA|samA|ud|ni|saMni|nis|pari|pra|vipra|saMpra|vi|sam
cae,8407,kxp,8,aBi|ava|upa|pari|pra|vi|sam|upasam
cae,8610,krand,6,aBi|ava|A|pra|vi|sam
cae,8616,kram,29,ati|aByati|vyati|aDi|anu|apa|aBi|samaBi|ava|aDyA|samA|ud|vyud|upa|samupa|ni|nis|aBinis|upanis|parA|pari|pra|saMpra|prati|vi|anuvi|nirvi|sam|anusam
cae,8671,krI,8,apa|aBi|ava|A|nis|pari|vi|sam
cae,8695,kruD,3,aBi|prati|sam
cae,8701,kruS,8,anu|aBi|A|ud|upa|pra|vi|sam
cae,8735,klam,2,pari|vi
cae,8743,kliS,1,ati
cae,8755,kvaR,1,ud
cae,8789,kzap,1,sam
cae,8800,kzam,2,aBi|sam
cae,8822,kzar,9,aBi|anu|aBi|A|upa|prati|pra|vi|sam
cae,8824,kzal,1,pra
cae,8827,kzA,2,pra|sam
cae,8843,kzi,6,aDi|A|upa|pari|prati|sam
cae,8844,kzi,2,apa|pari
cae,8861,kzip,19,aDi|apa|aBi|ava|A|vyA|samA|ud|samud|upa|ni|upani|vini|pari|pra|prati|vi|pravi|sam
cae,8901,kzud,2,ava|pra
cae,8907,kzuD,1,vi
cae,8915,kzuB,1,pra vi
cae,8985,kzRu,2,ava|sam
cae,9042,KaRqay,1,vi
cae,9049,Kan,8,aBi|ud|prod|ni|nis|pari|pra|vi
cae,9093,KAd,1,pra
cae,9113,Kid,7,A|ud|ni|nis|pari|vi|sam
cae,9186,gaRay,2,ava|pari
cae,9240,gad,3,ni|praRi|vini
cae,9285,gam,40,acCa|acCA|ati|aDi|samaDi|anu|samanu|antar|apa|vyapa|api|aBi|ava|A|aDyA|anvA|aByA|upA|nyA|paryA|pratyA|samA|ud|apod|aByud|pratyud|upa|aByupa|samupa|ni|upani|nis|vinis|parA|pari|pra|pra/ti|vi|sam|aBisam
cae,9314,garj,6,anu|aBi|pra|prati|vi|sam
cae,9355,garh,2,*ni|vi
cae,9362,gal,4,ava|pra|vi|pravi
cae,9398,gA,19,acCa|ati|aDi|anu|antar|apa|api|aBi|ava|A|upA|paryA|ud|upa|nis|pari|pra|vi|sam
cae,9399,gA,11,acCa|anu|aBi|A|ud|upa|ni|pra|aBipra|vi|sam
cae,9458,gAh,7,ati|aBi|ava|ud|upa|pra|vi
cae,9562,guRW,3,ava|samava|A
cae,9574,gur,4,apa|ava|A|ud
cae,9614,guh,5,apa|ava|ud|upa|ni
cae,9631,gf,8,anu|aBi|A|pratyA|upa|pra|prati|sam
cae,9641,gfD,2,anu|prati
cae,9654,gfBAya,3,anu|ud|sam
cae,9772,gopAy,1,aBi
cae,9865,graT,2,ud|vi
cae,9881,graB,19,anu|apa|aBi|ava|A|ud|upa|ni|saMni|pari|saMpari|pra|saMpra|prati|vi|sam|anusam|upasam|pratisam
cae,9884,gras,5,A|upa|pari|pra|sam
cae,9951,glA,1,pra
cae,9958,Gaw,4,ud|pra|vi|sam
cae,9967,Gaww,4,ava|pari|vi|sam
cae,10029,GAtay,4,vyA|ni|prati|vi
cae,10039,Guz,5,ava|A|ud|vi|sam
cae,10043,GUrR,4,ava|A|pari|vi
cae,10047,Gf,1,vyA
cae,10077,Gfz,4,ava|ud|ni|nis
cae,10103,GrA,3,ava|A|samA
cae,10139,cakz,12,anu|aBi|ava|A|pratyA|vyA|pari|pra|saMpra|prati|vi|sam
cae,10165,caw,2,ud|vi
cae,10327,cam,1,A
cae,10347,car,24,a/cCa|ati|aDi|anu|antar|apa|aBi|vyaBi|ava|A|samA|aByud|prod|vyud|upa|nis|parA|pari|pra|saMpra|vi|pravi|sam|anusam
cae,10403,cal,8,A|ud|samud|pari|pra|vi|pravi|sam
cae,10452,cAy,2,apa|ni
cae,10484,ci,12,aDi|apa|ava|A|ud|samud|samupa|pari|pra|vi|saMvi|sam
cae,10504,cit,4,A|pra|vi|sam
cae,10574,cint,6,anu|samanu|pari|pra|vi|sam
cae,10638,cud,5,aBi|pari|pra|aBi|sam
cae,10641,cumb,2,vyati|pari
cae,10662,cUrRay,1,ava
cae,10690,cezw,4,A|pari|vi|sam
cae,10745,cyu,6,A|ud|pari|pra|anupra|vi
cae,10763,Cad,2,upa|sam
cae,10799,Calay,1,upa
cae,10803,CA,3,ava|A|pra
cae,10831,Cid,8,antar|ava|vyava|A|samud|pari|pra|vi
cae,10852,Cur,2,A|vi
cae,10855,Cfd,3,A|pra|vi
cae,10871,jakz,1,pra
