dict,L,k1,n_preverb_sub,preverbs
cae,10957,jan,11,aDi|anu|aBi|A|ud|upa|samupa|pra|prati|vi|sam
cae,11030,jap,3,A|upa|sam
cae,11181,jalp,6,aBi|upa|pari|pra|vi|sam
cae,11198,jas,2,ud|ni
cae,11331,ji,12,apa|aBi|ava|A|nis|vinis|parA|pari|pra|prati|vi|sam
cae,11362,jinv,2,pra|upapra
cae,11397,jIv,8,ati|anu|A|ud|upa|pratyupa|vi|sam
cae,11465,juz,3,aBi|upa|prati
cae,11475,jU,1,pra
cae,11487,jUrv,2,ni|sam
cae,11488,jf,1,sam
cae,11489,jf,2,prati|sam
cae,11490,jfmB,5,ud|pari|pra|vi|sam
cae,11504,jeh,1,vi
cae,11528,jYA,18,anu|aByanu|aBi|pratyaBi|samaBi|ava|A|samA|upa|nis|pari|pra|prati|saMprati|vi|aBivi|sam|aBisam
cae,11576,jyA,1,aDi
cae,11625,jvar,2,sam|anusam
cae,11629,jval,5,aBi|ud|aBipra|aBivi|sam
cae,11712,qI,3,ud|prod|pra
cae,11726,QOk,1,upa
cae,11729,taMs,3,aBi|pari|vi
cae,11730,tak,1,nis
cae,11738,takz,8,anu|apa|A|ud|nis|pra|vi|sam
cae,11752,taYc,1,A
cae,11890,tan,13,aDi|anu|aBi|ava|A|anvA|vyA|samA|pari|pra|vi|sam|anusam
cae,11956,tap,15,ati|anu|pratyanu|aBi|A|aByA|ud|upa|nis|pari|pra|prati|vi|sam|aBisam
cae,12003,tam,3,A|ud|pra
cae,12075,taruz,1,A
cae,12082,tark,3,pari|vi|sam
cae,12087,tarj,3,aBi|pari|sam
cae,12302,tij,1,ud
cae,12411,tu,1,ud
cae,12440,tud,4,A|ni|pra|vi
cae,12483,tul,3,A|ud|sam
cae,12522,tuS,1,ni
cae,12524,tuz,3,upa|pari|sam
cae,12587,tf,13,ati|aBi|ava|A|ud|aByud|samud|ni|nis|pra|vipra|vi|sam
cae,12627,tfd,5,anu|aBi|A|vi|sam
cae,12629,tfp,6,aBi|A|pari|pra|vi|sam
cae,12640,tfz,1,vi
cae,12654,tfh,1,vi
cae,12755,tyaj,4,aBi|samaBi|pari|sam
cae,12768,trap,1,apa
cae,12788,tras,7,apa|ud|samud|nis|parA|pra|vi
cae,12795,trA,1,pari
cae,13071,tvar,3,ati|pari|pra
cae,13112,daMS,3,nis|pari|sam
cae,13179,daG,1,ati
cae,13305,daB,2,A|upa
cae,13336,day,2,ava|vi
cae,13394,dal,3,ava|ud|vi
cae,13447,daSasy,1,A
cae,13479,dah,11,ati|anu|upa|ni|nis|vinis|pari|pra|prati|vi|sam
cae,13483,dA,18,anu|aBi|A|apA|aByA|upA|samupA|pratyA|vyA|samA|ud|parA|pari|pra|saMpra|prati|vi|sam
cae,13485,dA,5,ava|nis|samava|A|vi
cae,13486,dA,3,A|vi|sam
cae,13706,div,3,ati|prati|vi
cae,13707,div,1,pari
cae,13769,diS,23,ati|anu|samanu|apa|vyapa|A|upA|pratyA|vyA|samA|ud|samud|upa|pratyupa|samupa|nis|aBinis|vinis|pari|pra|saMpra|sam|pratisam
cae,13776,dih,1,aBi
cae,13777,dI,2,nis|pari
cae,13779,dIkz,1,aBi
cae,13794,dIDi,6,anu|aBi|A|ud|prati|vi
cae,13857,du,5,aBi|A|pari|pra|vi
cae,14063,durmanAy,1,ati
cae,14178,duz,3,pra|vi|sam
cae,14237,duh,4,nis|vipra|vi|sam
cae,14295,dUzay,3,pra|vi|sam
cae,14303,df,6,ava|A|nis|pari|pra|vi
cae,14304,df,2,atyA|pratyA
cae,14332,dfB,1,sam
cae,14698,dyut,5,aBi|ud|pra|vi|sam
cae,14791,drA,3,apa|aBi|vi
cae,14792,drA,2,ava|ni
cae,14806,dru,15,ati|aDi|anu|apa|aBi|A|samA|ud|upa|nis|pari|pra|vipra|vi|sam
cae,14823,druh,1,aBi
cae,14995,dviz,2,pra|vi
cae,15138,Danv,4,acCa|anu|pra|sam
cae,15299,Dav,1,ava
cae,15311,DA,43,aDi|anu|antar|apa|api|aBi|pratyaBi|ava|vyava|A|atyA|aDyA|anvA|aByA|upA|vyA|samA|upasamA|ud|upa|tiras|ni|aDini|apani|aBini|upani|praRi|vini|saMni|nis|pari|vipari|puras|pra|prati|vi|prativi|saMvi|sam|anusam|aBisam|upasam|pratisam
cae,15313,DA,2,upa|nis
cae,15393,DAv,15,ati|anu|apa|api|aBi|ava|A|upa|nis|pari|pra|prati|vi|anuvi|sam
cae,15394,DAv,5,A|ni|pra|vi|sam
cae,15462,DU,12,apa|aBi|ava|vyava|A|ud|samud|nis|vinis|pra|vi|sam
cae,15467,DUnay,1,ava
cae,15471,DUpay,4,ava|A|upa|pra
cae,15541,Dfz,7,apa|aBi|A|pra|saMpra|prati|vi
cae,15581,DyA,9,anu|samanu|apa|aBi|ava|ni|nis|pra|sam
cae,15614,DvaMs,5,apa|ava|ni|vini|pra
cae,15627,Dvan,1,aBi
cae,15670,nakz,4,aBi|ava|pari|pra
cae,15730,naw,1,*ud
cae,15746,nad,7,anu|ud|upa|ni|prati|vi|sam
cae,15777,nand,5,aBi|pratyaBi|samaBi|A|prati
cae,15801,naB,1,ud
cae,15830,nam,13,ati|anu|aBi|ava|A|ud|samud|ni|pari|pra|aBipra|prati|vi
cae,15841,namasy,1,sam
cae,15929,nard,4,aBi|prati|vi|sam
cae,16027,nas,1,sam
cae,16038,nah,8,apa|api|ava|A|ud|upa|pari|sam
cae,16121,nAT,1,anu
cae,16298,nikz,1,vi
cae,16381,nid,1,prati
cae,17164,nI,30,acCa|ati|anu|pratyanu|apa|vyapa|aBi|ava|aByava|vyava|samava|A|udA|upA|paryA|pratyA|samA|ud|samud|upa|samupa|ni|nis|parA|pari|pra|saMpra|prati|vi|sam
cae,17233,nu,7,acCa|anu|aBi|A|pra|aBipra|sam
cae,17234,nu,2,apa|aBi
cae,17237,nud,11,apa|vyapa|apA|vyapA|nis|parA|pra|prati|vi|sam|upasam
cae,17252,nft,6,anu|A|upa|pari|pra|sam
cae,17527,pac,2,pari|vi
cae,17631,paw,3,ava|ud|vi
cae,17664,paW,4,anu|pari|pra|vi
cae,17673,paR,1,vi
cae,17706,pat,23,acCa|ati|anu|antar|aBi|samaBi|ava|A|aByA|samA|ud|aByud|samud|ni|praRi|vini|saMni|nis|parA|pari|pra|vi|sam
cae,17727,patay,2,acCa|vi
cae,17814,pad,31,ati|anu|apa|api|aBi|ava|A|aByA|pratyA|vyA|samA|ud|vyud|samud|upa|aByupa|ni|anuni|nis|aBinis|pra|anupra|aBipra|saMpra|prati|viprati|saMprati|vi|sam|aBisam|upasam
cae,17887,pan,2,A|vi
cae,18568,palAy,2,pra|vi
cae,18671,pA,6,A|ni|pari|pra|vi|sam
cae,18673,pA,5,aBi|ni|nis|pari|pra
cae,19029,pAlay,6,anu|aBi|pari|pra|prati|sam
cae,19189,pinv,1,pra
cae,19216,piS,1,aBi
cae,19233,piz,5,nis|pra|prati|vi|sam
cae,19249,pI,2,aBi|A
cae,19256,pIq,10,aBi|ava|A|ud|upa|ni|nis|pari|pra|sam
cae,19580,puz,2,ud|upa
cae,19639,pU,9,ati|aBi|A|ud|nis|parA|pari|vi|sam
cae,19644,pUj,5,aBi|pari|pra|prati|sam
cae,19806,pf,6,aBi|A|ni|pari|pra|sam
cae,19807,pf,2,ati|nis
cae,19812,pfc,4,A|upa|vi|sam
cae,20044,pyA,3,A|samA|pra
cae,20170,praC,7,anu|A|upA|pari|prati|vi|sam
cae,20600,praT,5,anu|aBi|A|prati|vi
cae,21450,prI,2,A|sam
cae,21465,pru,5,ati|apa|aBi|ud|ni
cae,21466,pruT,1,pra
cae,21467,pruz,3,aBi|pari|vi
cae,21587,plu,12,aBi|samaBi|ava|A|upanyA|samA|ud|upa|pari|pra|vi|sam
cae,21621,Pal,3,ud|prati|vi
cae,21622,Pal,1,prati
cae,21740,banD,11,anu|ava|A|ud|upa|ni|pari|pra|prati|sam|aBisam
cae,21986,bAD,13,ati|apa|aBi|ava|A|ud|ni|nis|pari|pra|prati|vi|sam
cae,22186,buD,10,anu|ava|samava|A|ud|ni|pra|prati|vi|sam
cae,22212,bfh,5,aBi|upa|samupa|pari|sam
cae,22473,brU,13,acCA|ati|aDi|anu|apa|A|ud|upa|nis|pra|prati|vi|sam
cae,22494,Bakz,2,pari|sam
cae,22537,Baj,10,apa|A|anvA|nis|pari|prati|vi|pravi|saMvi|sam
cae,22543,BaYj,6,aBi|ava|nis|pra|vi|sam
cae,22559,BaR,1,prati
cae,22735,BA,12,ati|anu|aBi|ava|A|ud|nis|pra|prati|saMprati|vi|sam
cae,22862,BAz,10,anu|apa|aBi|A|vyA|pari|pra|prati|vi|sam
cae,22876,BAs,9,ava|A|ud|samud|nis|pari|pra|prati|vi
cae,22917,Bid,8,ava|ud|pari|pra|prati|vi|sam|anusam
cae,22947,BI,2,ni|vi
cae,22987,Buj,5,ava|ni|nis|pari|pra
cae,22988,Buj,5,anu|aBi|upa|pari|sam
cae,23018,Bur,1,pari
cae,23040,BU,20,ati|anu|samanu|antar|apa|aBi|A|anvA|aByA|ud|samud|upa|tiras|nis|parA|pari|pra|prati|sam|aBisam
cae,23194,BUz,5,A|upa|pari|prati|vi
cae,23205,Bf,13,apa|ava|A|paryA|samA|ud|upa|nis|pari|pra|aBipra|vi|sam
cae,23218,Bfjj,3,ava|pari|sam
cae,23320,BraMS,3,pra|vi|sam
cae,23325,Bram,5,ud|pari|pra|vi|sam
cae,23458,majj,6,ud|upa|ni|saMni|nis|pra
cae,23508,maRq,1,pari
cae,23575,maT,8,aBi|A|ud|upa|nis|pra|vi|sam
cae,23583,mad,8,anu|aBi|ud|upa|pra|aBipra|vi|sam
cae,23774,man,10,ati|anu|ava|aBi|ava|aByava|pari|prati|vi|sam
cae,23894,mantray,9,anu|aBi|A|upA|upa|ni|pari|prati|sam
cae,24138,mah,1,sam
cae,24469,mA,9,anu|upa|nis|aBinis|vinis|pari|pra|vi|sam
cae,24779,mi,5,ud|ni|pra|vi|sam
cae,24875,mil,1,sam
cae,24885,miSray,1,vi
cae,24888,miz,2,ud|ni
cae,24893,mih,4,aBi|ava|ni|pra
cae,24897,mI,3,A|ud|pra
cae,24907,mIl,5,A|ud|prod|ni|sam
cae,24910,mIv,3,A|pra|prati
cae,24998,muc,15,ati|aBi|ava|A|ud|upa|nis|vinis|pari|pra|vipra|prati|vi|pravi|sam
cae,25016,mud,2,anu|prati
cae,25027,mudray,2,ud|vi
cae,25067,muzAy,1,A
cae,25085,muh,4,ati|vyA|pra|vi
cae,25104,mUtray,1,ava
cae,25113,mUrC,1,sam
cae,25155,mf,3,anu|aBi|pari
cae,25156,mf,3,upa|ni|pra
cae,25159,mfkz,2,aBi|ni
cae,25174,mfgay,2,pari|vi
cae,25217,mfj,12,anu|apa|ava|A|ud|upa|ni|nis|pari|pra|vi|sam
cae,25227,mfR,4,ni|pra|vi|sam
cae,25265,mfd,7,aBi|ava|ud|ni|pari|pra|vi
cae,25287,mfD,1,pari
cae,25296,mfS,9,anu|aBi|ava|A|parA|pari|pra|vi|sam
cae,25297,mfz,4,api|A|upa|pra
cae,25417,mokzay,1,vi
cae,25497,myakz,5,apa|A|ni|parA|sam
cae,25507,mlA,3,pari|pra|vi
cae,25513,mluc,4,anu|upa|ni|aBini
cae,25546,yaj,8,anu|apa|api|ava|A|pari|pra|sam
cae,25639,yat,12,aDi|A|anvA|upa|ni|nis|pratinis|pari|pra|prati|vi|sam
cae,25828,yantray,3,upa|ni|sam
cae,25833,yam,17,aDi|anu|antar|A|aByA|samA|ud|prod|samud|upa|ni|vini|pra|pratipra|saMpra|vi|sam
cae,25929,yas,2,A|pra
cae,25934,yA,35,acCa|ati|anu|apa|pratyapa|vyapa|aBi|ava|A|atyA|aByA|upA|pratyA|samA|ud|pratyud|upa|aByupa|pratyupa|samupa|ni|nis|aBinis|pari|pra|anupra|aBipra|pratipra|saMpra|prati|vi|sam|anusam|aBisam|pratisam
cae,25937,yAc,6,anu|aBi|A|nis|pra|saMpra
cae,26068,yu,5,A|paryA|ni|pra|sam
cae,26070,yu,4,apa|nis|pra|vi
cae,26105,yuj,16,anu|aBi|pratyaBi|A|samA|ud|upa|ni|vini|saMni|pra|anupra|vipra|saMpra|vi|sam
cae,26119,yuD,7,aBi|A|ud|ni|pra|prati|sam
cae,26169,yez,1,nis
cae,26282,rakz,8,anu|aBi|A|pari|pra|prati|vi|sam
cae,26349,rac,3,A|upa|vi
cae,26354,raj,6,anu|apa|aBi|upa|vi|sam
cae,26399,raw,1,A
cae,26560,rad,2,pra|vi
cae,26567,raD,1,ni
cae,26586,rapS,2,pra|vi
cae,26590,raB,10,anu|A|anvA|samanvA|aByA|prA|pari|saMpari|sam|aBisam
cae,26600,ram,10,anu|aBi|upAva|A|upA|upa|vyupa|ni|pari|vi
cae,26667,ras,2,aBi|A
cae,26704,rah,1,vi
cae,26718,rA,1,sam
cae,26720,rA,1,aBi
cae,26746,rAj,7,anu|nis|pari|vi|ativi|anuvi|sam
cae,26930,rAD,8,apa|aBi|ava|A|upA|samA|vi|sam
cae,26999,ri,6,anu|A|ni|nis|vi|sam
cae,27025,riP,2,ava|A
cae,27042,rih,3,A|pari|sam
cae,27046,ru,3,aBi|pra|vi
cae,27066,ruc,8,ati|aBi|ud|upa|pra|prati|vi|sam
cae,27078,ruj,4,ava|A|pra|vi
cae,27089,rud,3,anu|pra|vi
cae,27104,ruD,1,vi
cae,27105,ruD,13,anu|apa|ava|samava|A|upa|ni|saMni|pari|pra|prati|vi|sam
cae,27135,ruh,18,ati|aDi|anu|api|aBi|ava|A|atyA|aDyA|anvA|aByA|upA|samA|upa|pra|prati|vi|sam
cae,27161,rUpay,1,ni
cae,27186,rej,2,pra|sam
cae,27335,lakzay,7,aBi|A|upA|upa|samupa|vi|sam
cae,27354,lag,3,ava|A|vi
cae,27393,laNG,4,ati|aBi|ud|vi
cae,27398,lajj,1,vi
cae,27425,lap,8,apa|aBi|A|ud|samud|pra|vi|sam
cae,27443,laB,13,anu|aBi|A|anvA|upA|samA|upa|pratyupa|samupa|pra|vipra|vi|sam
cae,27450,lamb,10,ava|A|vyA|samA|ud|pari|pra|prati|vi|pravi
cae,27515,laz,3,aBi|samaBi|A
cae,27516,las,4,ud|prod|samud|vi
cae,27573,liK,11,aBi|A|samA|ud|prod|samud|pari|pra|prati|vi|sam
cae,27595,lip,8,anu|ava|A|upa|ni|pra|vi|sam
cae,27606,lih,8,ava|A|ud|upa|nis|pari|vi|sam
cae,27609,lI,12,aBi|ava|vyava|A|ni|saMni|pra|saMpra|prati|vi|pravi|sam
cae,27629,luYc,1,ava
cae,27632,luW,3,ud|pari|pra
cae,27633,luW,1,nis
cae,27642,lup,10,apa|ava|A|vyA|ud|pari|pra|vipra|vi|sam
cae,27650,luB,10,anu|aBi|A|upa|pari|pra|vipra|saMpra|prati|sam
cae,27658,lU,9,ava|A|nyA|vyA|nis|pari|pra|vipra|vi
cae,27695,lok,6,aBi|ava|A|pari|vi|pravi
cae,27899,vac,14,acCa|aDi|anu|aByanu|aBi|A|upa|nis|pra|pratipra|saMpra|prati|vi|sam
cae,27941,vaYc,7,acCa|aBi|A|upa|pari|pra|sam
cae,27992,vad,17,acCa|ati|anu|ava|aBi|pratyaBi|ava|vyava|A|ud|pratyud|nis|pari|pra|prati|vi|sam
cae,28006,vaD,10,apa|aBi|A|ud|upa|ni|nis|parA|pra|vi
cae,28048,van,6,aBi|A|aByA|upa|pra|sam
cae,28124,vand,4,aBi|pari|pra|prati
cae,28144,vap,2,pari|pra
cae,28145,vap,12,anu|apa|api|A|ud|upa|ni|nis|parA|pari|pra|prati
cae,28170,vam,2,aBi|ud
cae,28319,varRay,8,anu|samanu|aBi|vyA|upa|nis|vinis|sam
cae,28409,val,1,vi
cae,28439,valg,6,aBi|ava|A|vyA|pra|sam
cae,28466,vaS,1,aBi
cae,28494,vas,2,apa|vi
cae,28495,vas,9,aDi|anu|aBi|ni|pari|pra|prati|vi|sam
cae,28496,vas,16,aDi|anu|A|aDyA|samA|ud|upa|ni|saMni|nis|pari|pra|vipra|prati|vi|sam
cae,28602,vah,20,ati|anu|apa|aBi|A|anvA|udA|samA|ud|ud|upa|samupa|ni|nis|parA|pari|pra|prati|vi|sam
cae,28629,vA,7,A|samA|ud|pari|pra|vi|sam
cae,28630,vA,9,anu|aBi|ava|upa|nis|parA|pra|vi|sam
cae,28730,vAYC,3,aBi|samaBi|sam
cae,29016,vAsay,1,aDi
cae,29257,viGnay,1,sam
cae,29263,vic,2,apa|vi
cae,29314,vij,5,ud|samud|pra|vi|sam
cae,29438,vid,9,anu|A|ni|vini|pari|pra|prati|vi|sam
cae,29440,vid,7,aDi|anu|aBi|A|nis|pari|sam
cae,29547,viD,1,upa
cae,29682,vip,5,ud|pari|pra|vi|sam
cae,30370,viz,2,upa|pari
cae,30616,vI,9,ati|apa|aBi|ava|A|upa|ni|pra|prati
cae,30627,vIj,7,anu|aBi|A|ud|upa|pari|sam
cae,30710,vf,18,anu|apa|api|aBi|A|apA|prA|samA|ni|vini|nis|pari|saMpari|pra|prati|vi|sam|aBisam
cae,30741,vfj,12,apa|api|ava|A|vyA|samA|ud|ni|parA|pari|pra|sam
cae,30744,vft,45,acCa|ati|vyati|aDi|anu|samanu|antar|apa|vyapa|aBi|samaBi|A|anvA|apA|aByA|upA|aByupA|paryA|anuparyA|aBiparyA|pratyA|vyA|samA|aBisamA|ud|upa|ni|aBini|upani|pratini|vini|saMni|nis|aBinis|parA|pari|vipari|saMpari|pra|atipra|aBipra|saMpra|vi|sam|aBisam
cae,30809,vfD,11,ati|anu|aBi|A|pari|pra|atipra|saMpra|vi|saMvi|sam
cae,30826,vfz,5,aBi|ava|pra|prati|vi
cae,31015,ven,2,anu|apa
cae,31034,vell,2,ud|vi
cae,31063,vezw,11,anu|apa|aBi|A|ud|upa|ni|nis|pari|vi|sam
cae,31236,vyac,1,sam
cae,31259,vyaT,3,pra|saMpra|vi
cae,31267,vyaD,15,ati|vyati|anu|apa|aBi|ava|A|ni|nis|parA|pari|pra|prati|vi|sam
cae,31348,vyA,7,apa|api|A|upa|ni|pari|sam
cae,31482,vraj,16,ati|anu|apa|aBi|A|pratyA|ud|pratyud|upa|pratyupa|pari|pra|aBipra|sam|anusam|upasam
cae,31526,vraSc,8,api|ava|A|ni|pari|pra|vi|sam
cae,31554,SaMs,10,ati|anu|aBi|A|samA|ud|pra|vi|sam|upasam
cae,31565,Sak,6,anu|A|upa|pari|pra|sam
cae,31581,Sakalay,1,vi
cae,31629,SaNk,7,ati|aBi|A|upa|pari|vi|sam
cae,31678,Sat,6,apa|vyava|ni|pra|vi|sam
cae,31811,Sap,4,aBi|pari|prati|sam
cae,31832,Sabday,3,anu|aBi|sam
cae,31844,Sam,7,aBi|samava|upa|vyupa|ni|pra|sam
cae,31846,Sam,7,anuni|samanuni|aBini|upani|praRi|vini|saMni
cae,32117,Sas,1,vi
cae,32144,SA,5,ati|ava|A|ni|sam
cae,32337,SAs,10,anu|aByanu|samanu|aBi|A|ud|pra|saMpra|vi|sam
cae,32379,Sikz,6,anu|aBi|A|prati|vi|sam
cae,32409,SiYj,2,vi|sam
cae,32594,Siz,6,ati|apa|ava|Ud|vi|pravi
cae,32610,SI,12,ati|vyati|aDi|anu|aBi|A|anvA|pratyA|upa|pari|pra|sam
