dict,field_key,field_order,kanda,varga,upavarga,amar_lemmas,covered_lemmas,coverage_pct,covered_examples,missing_examples
abch,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,0,0.0000,,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
acc,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,131,0.1944,amara|deva|vibuDa|leKa|Aditya|viSva|rudra|vidyADara,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
acph,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,0,0.0000,,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
acsj,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,0,0.0000,,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
ae,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,2,0.0030,brahman|meru,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
ap,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,315,0.4674,svar|nAka|dyo|div|amara|deva|suparvan|sumanas,svarga|tridiva|tridaSAlaya|suraloka|trivizwapa|nirjaras|tridaSa|vibuDa
ap90,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,186,0.2760,svar|nAka|dyo|div|amara|deva|Aditeya|Aditya,svarga|tridiva|tridaSAlaya|suraloka|trivizwapa|nirjaras|tridaSa|vibuDa
armh,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,429,0.6365,svar|svarga|nAka|tridiva|tridaSAlaya|dyo|trivizwapa|amara,suraloka|div|nirjaras|tridiveSa|divOkas|Aditeya|divizad|aditinandana
ben,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,304,0.4510,svar|svarga|nAka|dyo|div|amara|deva|tridaSa,tridiva|tridaSAlaya|suraloka|trivizwapa|nirjaras|suparvan|sumanas|tridiveSa
bhs,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,139,0.2062,amara|deva|Aditya|viSva|tuzita|ABAsvara|mahArAjika|vidyADara,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
bop,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,283,0.4199,svar|svarga|nAka|tridiva|tridaSAlaya|dyo|div|trivizwapa,suraloka|nirjaras|suparvan|tridiveSa|aditinandana|fBava|amftAnDas|barhirmuKa
bor,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,0,0.0000,,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
bur,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,300,0.4451,svar|nAka|tridiva|suraloka|dyo|div|trivizwapa|amara,svarga|tridaSAlaya|nirjaras|tridiveSa|divizad|aditinandana|fBava|amftAnDas
cae,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,438,0.6499,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|div|trivizwapa,dyo|nirjaras|tridiveSa|aditinandana|fBava|asvapna|amftAnDas|barhirmuKa
ccs,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,399,0.5920,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|div|trivizwapa,dyo|nirjaras|tridiveSa|aditinandana|fBava|asvapna|amartya|amftAnDas
fri,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,179,0.2656,svar|svarga|nAka|tridiva|div|amara|deva|tridaSa,tridaSAlaya|suraloka|dyo|trivizwapa|nirjaras|vibuDa|suparvan|tridiveSa
gra,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,157,0.2329,svar|svarga|nAka|tridiva|dyo|div|deva|sumanas,tridaSAlaya|suraloka|trivizwapa|amara|nirjaras|tridaSa|vibuDa|sura
gst,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,31,0.0460,aditinandana|anila|apsaras|advayavAdin|abjayoni|aRqaja|acyuta|aDokzaja,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
ieg,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,88,0.1306,svarga|amara|deva|tridaSa|sura|leKa|Aditya|viSva,svar|nAka|tridiva|tridaSAlaya|suraloka|dyo|div|trivizwapa
inm,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,353,0.5237,svar|svarga|nAka|tridiva|suraloka|trivizwapa|amara|deva,tridaSAlaya|dyo|div|nirjaras|suparvan|divOkas|divizad|aditinandana
krm,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,17,0.0252,vasu|yakza|rakza|pUrva|bala|mA|gada|ISa,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
lan,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,149,0.2211,svar|svarga|nAka|tridiva|dyo|div|amara|deva,tridaSAlaya|suraloka|trivizwapa|nirjaras|suparvan|tridiveSa|Aditeya|divizad
lrv,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,545,0.8086,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,nirjaras|aditinandana|fBava|vfndAraka|rakza|ganDarva|kinnara|ditisuta
mci,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,73,0.1083,nAka|trivizwapa|sumanas|anila|sADya|piSAca|sidDa|nArAyaRa,svar|svarga|tridiva|tridaSAlaya|suraloka|dyo|div|amara
md,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,322,0.4777,svar|svarga|nAka|tridiva|dyo|div|amara|deva,tridaSAlaya|suraloka|trivizwapa|nirjaras|suparvan|sumanas|tridiveSa|aditinandana
mw,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,643,0.9540,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,nirjaras|fBava|kinnara|rajomUrtin|saNkarzaRa|kzIrasAgarakanyakA|mftyuYjaya|mAtaraH
mw72,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,323,0.4792,svar|svarga|nAka|dyo|div|amara|nirjaras|deva,tridiva|tridaSAlaya|suraloka|trivizwapa|tridaSa|suparvan|sumanas|tridiveSa
mwe,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,5,0.0074,brahman|vasudeva|indra|meru|yama,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
pe,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,230,0.3412,trivizwapa|deva|suparvan|sumanas|leKa|Aditya|vfndAraka|viSva,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
pgn,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,19,0.0282,deva|viSva|budDa|prajApati|vizRu|kfzRa|mADava|acyuta,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div
pui,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,323,0.4792,svarga|nAka|amara|deva|vibuDa|sura|sumanas|leKa,svar|tridiva|tridaSAlaya|suraloka|dyo|div|trivizwapa|nirjaras
pw,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,589,0.8739,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,fBava|kinnara|SAstf|svayamBU|DAtf|srazwf|viDAtf|rajomUrtin
pwg,praTamaM kARqam|svargavargaH|,1,praTamaM kARqam,svargavargaH,,674,580,0.8605,svar|svarga|nAka|tridiva|tridaSAlaya|suraloka|dyo|div,fBava|kinnara|Bagavat|SAstf|mAyAdevIsuta|svayamBU|DAtf|srazwf
