lemma,raw_forms,genders,field_key,kanda,varga,upavarga,first_amar_L,first_eid,occurrences
vidyADara,vidyADara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,13,1
apsaras,apsaras,strIba,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,14,2
yakza,yakza,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,15,2
rakza,rakza,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,16,1
ganDarva,ganDarva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,17,2
kinnara,kinnara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,18,2
piSAca,piSAca,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,19,1
guhyaka,guhyaka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,20,1
sidDa,sidDa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,21,1
BUta,BUta,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,22,1
devayoni,devayoni,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,4,23,1
asura,asura,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
dEtya,dEtya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
dEteya,dEteya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
danuja,danuja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
indrAri,indrAri,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
dAnava,dAnava,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
SukraSizya,SukraSizya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
ditisuta,ditisuta,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
pUrvadeva,pUrvadeva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
suradviz,suradviz,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,5,24,1
sarvajYa,sarvajYa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,2
sugata,sugata,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
budDa,budDa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
DarmarAja,DarmarAja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,2
taTAgata,taTAgata,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
samantaBadra,samantaBadra,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
Bagavat,Bagavat,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
mArajit,mArajit,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
lokajit,lokajit,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
jina,jina,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
zaqaBijYa,zaqaBijYa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
daSabala,daSabala,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
advayavAdin,advayavAdin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
vinAyaka,vinAyaka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,2
munIndra,munIndra,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
SrIGana,SrIGana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
SAstf,SAstf,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
muni,muni,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,25,1
SAkyamuni,SAkyamuni,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,26,1
SAkyasiMha,SAkyasiMha,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,26,1
sarvArTasidDa,sarvArTasidDa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,26,1
SOdDodani,SOdDodani,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,26,1
gOtama,gOtama,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,26,1
arkabanDu,arkabanDu,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,26,1
mAyAdevIsuta,mAyAdevIsuta,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,6,26,1
brahman,brahman,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
AtmaBU,AtmaBU,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,2
surajyezWa,surajyezWa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
paramezWin,paramezWin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
pitAmaha,pitAmaha,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
hiraRyagarBa,hiraRyagarBa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
lokeSa,lokeSa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
svayamBU,svayamBU,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
caturAnana,caturAnana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
DAtf,DAtf,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
abjayoni,abjayoni,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
druhiRa,druhiRa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
viriYci,viriYci,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
kamalAsana,kamalAsana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
srazwf,srazwf,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
prajApati,prajApati,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
veDas,veDas,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
viDAtf,viDAtf,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
viSvasfj,viSvasfj,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
viDi,viDi,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
nABijanman,nABijanman,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
aRqaja,aRqaja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
pUrva,pUrva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
niDana,niDana,puMklI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
kamalodBava,kamalodBava,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
sadAnanda,sadAnanda,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
rajomUrtin,rajomUrtin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
satyaka,satyaka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
haMsavAhana,haMsavAhana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,7,27,1
vizRu,vizRu,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
nArAyaRa,nArAyaRa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
kfzRa,kfzRa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
vEkuRWa,vEkuRWa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
vizwaraSravas,vizwaraSravas,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
dAmodara,dAmodara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
hfzIkeSa,hfzIkeSa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
keSava,keSava,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
mADava,mADava,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
svaBU,svaBU,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
dEtyAri,dEtyAri,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
puRqarIkAkza,puRqarIkAkza,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
govinda,govinda,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
garuqaDvaja,garuqaDvaja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
pItAmbara,pItAmbara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
acyuta,acyuta,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
SArNgin,SArNgin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
vizvaksena,vizvaksena,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
janArdana,janArdana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
upendra,upendra,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
indrAvaraja,indrAvaraja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
cakrapARi,cakrapARi,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
caturBuja,caturBuja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
padmanABa,padmanABa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
maDuripu,maDuripu,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
vAsudeva,vAsudeva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
trivikrama,trivikrama,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
devakInandana,devakInandana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
SOri,SOri,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
SrIpati,SrIpati,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
puruzottama,puruzottama,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
vanamAlin,vanamAlin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
baliDvaMsin,baliDvaMsin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
kaMsArAti,kaMsArAti,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
aDokzaja,aDokzaja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
viSvamBara,viSvamBara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
kEwaBajit,kEwaBajit,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
viDu,viDu,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
SrIvatsalAYCana,SrIvatsalAYCana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
purARapuruza,purARapuruza,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
yajYapuruza,yajYapuruza,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
narakAntaka,narakAntaka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
jalaSAyin,jalaSAyin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
viSvarUpa,viSvarUpa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
mukunda,mukunda,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,2
muramardana,muramardana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
lakzmIpati,lakzmIpati,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
murAri,murAri,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,28,1
vasudeva,vasudeva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,29,1
AnakadunduBi,AnakadunduBi,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,8,29,1
balaBadra,balaBadra,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
pralambaGna,pralambaGna,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
baladeva,baladeva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
acyutAgraja,acyutAgraja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
revatIramaRa,revatIramaRa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
rAma,rAma,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
kAmapAla,kAmapAla,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
halAyuDa,halAyuDa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
nIlAmbara,nIlAmbara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
rOhiReya,rOhiReya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
tAlANka,tAlANka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
musalin,musalin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
halin,halin,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
saNkarzaRa,saNkarzaRa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
sIrapARi,sIrapARi,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
kAlindIBedana,kAlindIBedana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
bala,bala,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,9,30,1
madana,madana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
manmaTa,manmaTa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
mAra,mAra,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
pradyumna,pradyumna,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
mInaketana,mInaketana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
kandarpa,kandarpa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
darpaka,darpaka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
anaNga,anaNga,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
kAma,kAma,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,2
paYcaSara,paYcaSara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
smara,smara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
SambarAri,SambarAri,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
manasija,manasija,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
kusumezu,kusumezu,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
ananyaja,ananyaja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
puzpaDanvan,puzpaDanvan,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
ratipati,ratipati,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
makaraDvaja,makaraDvaja,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
paYcabARa,paYcabARa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,31,1
aravinda,aravinda,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,32,1
aSoka,aSoka,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,33,1
cUta,cUta,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,34,1
navamallikA,navamallikA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,35,1
nIlotpala,nIlotpala,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,36,1
unmAdana,unmAdana,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,37,1
tApana,tApana,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,38,1
SozaRa,SozaRa,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,39,1
stamBana,stamBana,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,40,1
sammohana,sammohana,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,10,41,1
brahmasU,brahmasU,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,11,42,1
viSvaketu,viSvaketu,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,11,42,1
anirudDa,anirudDa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,11,43,1
uzApati,uzApati,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,11,43,1
lakzmI,lakzmI,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
padmAlayA,padmAlayA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
padmA,padmA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
kamalA,kamalA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
SrI,SrI,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
haripriyA,haripriyA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
indirA,indirA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
lokamAtf,lokamAtf,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
mA,mA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
kzIrodatanayA,kzIrodatanayA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
ramA,ramA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
BArgavI,BArgavI,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
lokajananI,lokajananI,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
kzIrasAgarakanyakA,kzIrasAgarakanyakA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,12,44,1
pAYcajanya,pAYcajanya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,45,1
sudarSana,sudarSana,puMklI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,46,1
kOmodakI,kOmodakI,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,47,1
nandaka,nandaka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,48,1
kOstuBa,kOstuBa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,49,1
SArNga,SArNga,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,50,1
SrIvatsa,SrIvatsa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,51,1
SEbya,SEbya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,52,1
sugrIva,sugrIva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,53,1
meGapuzpa,meGapuzpa,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,54,1
balAhaka,balAhaka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,13,55,1
