lemma,raw_forms,genders,field_key,kanda,varga,upavarga,first_amar_L,first_eid,occurrences
svar,svar,a,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
svarga,svarga,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
nAka,nAka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
tridiva,tridiva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
tridaSAlaya,tridaSAlaya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
suraloka,suraloka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
dyo,dyo,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
div,div,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
trivizwapa,trivizwapa,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,1,1,1
amara,amara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
nirjaras,nirjaras,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
deva,deva,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
tridaSa,tridaSa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
vibuDa,vibuDa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
sura,sura,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
suparvan,suparvan,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
sumanas,sumanas,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
tridiveSa,tridiveSa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
divOkas,divOkas,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
Aditeya,Aditeya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
divizad,divizad,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
leKa,leKa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
aditinandana,aditinandana,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
Aditya,Aditya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,2
fBava,fBava,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
asvapna,asvapna,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
amartya,amartya,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
amftAnDas,amftAnDas,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
barhirmuKa,barhirmuKa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
kratuBuj,kratuBuj,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
gIrvARa,gIrvARa,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
dAnavAri,dAnavAri,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
vfndAraka,vfndAraka,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
dEvata,dEvata,puMklI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
devatA,devatA,strI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,2,2,1
viSva,viSva,klI,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,4,1
vasu,vasu,puMba,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,5,1
tuzita,tuzita,puMba,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,6,1
ABAsvara,ABAsvara,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,7,1
anila,anila,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,8,2
mahArAjika,mahArAjika,puMba,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,9,1
sADya,sADya,puMba,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,10,1
rudra,rudra,puM,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,11,2
gaRadevatA,gaRadevatA,strIba,praTamaM kARqam|svargavargaH|,praTamaM kARqam,svargavargaH,,3,12,1
