dict	canonical_text	count
ap	Raghuvaṃśa	5536
ap	Manusmṛti	4473
ap	Mahābhārata	4042
ap	Bhāgavata	2914
ap	Śiśupālavadha	2572
ap	Śakuntalā	2505
ap	Rāmāyaṇa	2407
ap	Kumārasambhava	2361
ap	Kirātārjunīya	1703
ap	Pañcatantra	1591
ap	Uttararāmacarita	1508
ap	Ṛgveda	1455
ap	Mālatīmādhava	1368
ap	Bhagavadgītā	1343
ap	Bhaṭṭikāvya	1337
ap	Pāṇini's Aṣṭādhyāyī	1240
ap	Meghadūta	1087
ap	Kādambarī	1065
ap	Bhartṛhari's three Śatakas	998
ap	Yājñavalkya	996
ap	Vikramorvaśīyam	831
ap	Uṇādisūtras	805
ap	Hitopadeśa	726
ap	Mudrārākṣasa	698
ap	Naiṣadhacarita	688
ap	Daśakumāracarita	674
ap	Mālavikāgnimitra	629
ap	Mṛcchakaṭikā	609
ap	Mahāvīracarita	590
ap	Bhāminīvilāsa	558
ap	Gītagovinda	482
ap	Veṇīsaṃhāra	455
ap	Atharvaveda	419
ap	Siddhāntakaumudi	395
ap	Bṛhadāraṇyakopaniṣad	392
ap	Sāhityadarpaṇa	389
ap	Kāvyaprakāśa	358
ap	Tārānātha's Vācaspatyam	304
ap	Kathāsaritsāgara	289
ap	Chāndogyopaniṣad	266
ap	Mahābhāṣya	241
ap	Amaruśataka	235
ap	Ratnāvalī	196
ap	Amarakoṣa	187
ap	Suśruta	180
ap	Rājataraṅgiṇī	171
ap	Udbhaṭa	170
ap	Bṛhatsaṃhitā	146
ap	Mallinātha	135
ap	Vājasaneyi Saṃhitā	129
ap	Nāgānanda	114
ap	Vikramāṅkadevacarita	109
ap	Nirukta	99
ap	Śatapatha-Brāhmaṇa	98
ap	Kāvyādarśa	96
ap	Kaṭhopaniṣad	88
ap	Kullūka	85
ap	Bhāvaprakāśa	76
ap	Harivaṃśa	59
ap	Rasagaṅgādhara	58
ap	Medinīkośa	56
ap	Bhāṣāpariccheda	55
ap	Gaṅgālaharī	53
ap	Muṇḍakopaniṣad	49
ap	Bālarāmāyaṇa	47
ap	Sāyaṇa	46
ap	Tarkasaṃgraha	45
ap	Śvetāśvataropaniṣad	43
ap	Kāśikāvṛtti	39
ap	Gaṇaratnamahodadhi of Vardhamāna	38
ap	Viddhaśālabhañjikā	34
ap	Kāmandakinītisāra	34
ap	Mitākṣarā	33
ap	Tarkakaumudī	32
ap	Prasannarāghava	32
ap	Śṛṅgāratilaka	31
ap	Viṣṇu Purāṇa	28
ap	Sarvadarśanasaṃgraha	28
ap	Mārkandeyapuraṇa	28
ap	Praśnopaniṣad	28
ap	Līlāvatī	25
ap	Vāsavadattā	25
ap	Nalopākhyāna	24
ap	Śabdakalpadruma	23
ap	Prabodhacandrodaya	22
ap	Viṣṇusahasranāman	22
ap	Ghaṭakarparakāvya	22
ap	Vopadeva	21
ap	Yajurveda	19
ap	Āśvalāyana's Sūtras	19
ap	Anargharāghava	19
ap	Brahmasūtras	19
ap	Śikṣā	18
ap	Vṛttaratnākara	18
ap	Kuvalayānanda	17
ap	Mohamudgara	14
ap	Trikāṇḍaśeṣa	13
ap	Nalodaya	13
ap	Kenopaniṣad	12
ap	Sūryasiddhānta	12
ap	Āryāsaptaśatī	12
ap	Gautamasūtra	10
ap	Aśvadhāṭī	10
ap	Hemacandra	9
ap	Yogasūtras	9
ap	Śrutabodha	8
ap	Jaiminīyanyāyamālāvistara	8
