canonical_text	total_cites	n_dicts	variant_forms
MADANAPĀLA'S MADANAVINODA	120	1	MADANAPĀLA'S MADANAVINODA
E	119	1	E
Rasagaṅgādhara	115	2	Rasagaṅgādhara
Asiatick Researches; or	114	1	Asiatick Researches; or
PRĀTIŚĀKHYA zur TS	110	1	PRĀTIŚĀKHYA zur TS
Ghaṭakarpara	109	3	GHAṬAKARPARA; Ghaṭakarpara
Tarkasaṃgraha	108	3	Tarkasaṃgraha; TARKASAM5GRAHA
Nalodaya	108	4	Nalodaya
Panchatantra	108	1	Panchatantra
BĀLABODHANĪ in WINDISCHMANN'S Sancara	106	1	BĀLABODHANĪ in WINDISCHMANN'S Sancara
DHŪRTANATAKA	103	1	DHŪRTANATAKA
SKANDAPURĀṆA	103	1	SKANDAPURĀṆA
Hiḍimbavadha	102	2	Hiḍimbavadha; HIḌIMBAVADHA
PRĀTIŚĀKHYA zur TAITTIRĪYASAM̃HITĀ	101	1	PRĀTIŚĀKHYA zur TAITTIRĪYASAM̃HITĀ
DAŚAKUMĀRAK4ARITA	100	1	DAŚAKUMĀRAK4ARITA
Vajracchedikā	98	1	Vajracchedikā
Kenopaniṣad	97	5	KENOPANIṢAD; Kenopaniṣad
KĀLIKĀPURĀṆA	97	1	KĀLIKĀPURĀṆA
Alexandre Langlois	96	1	Alexandre Langlois
STENZLER	95	1	STENZLER
Suttanipāta	93	1	Suttanipāta
Aṅguttaranikāya	93	1	Aṅguttaranikāya
Jäschke	93	1	Jäschke
RAMĀNĀTHA	93	1	RAMĀNĀTHA
Kāmandakīya Nītisāra	92	1	Kāmandakīya Nītisāra
Śāntiśataka	92	2	Śāntiśataka
Asaṅga	92	1	Asaṅga
RĀJAVALLABHA	92	1	RĀJAVALLABHA
Matsyopākhyāna	91	2	MATSYOPĀKHYĀNA; Matsyopākhyāna
Dhātupāṭha	91	2	DHĀTUPĀṬHA; Dhātupāṭha
Katyāyana	91	4	KĀTYĀYANA; Katyāyana
DHANVANTARI'S Wörterbuch	90	1	DHANVANTARI'S Wörterbuch
KAPISHṬHALAKAṬHASAM5HITA	90	1	KAPISHṬHALAKAṬHASAM5HITA
MĀLAVIKĀGNIMITR	86	1	MĀLAVIKĀGNIMITR
FRID	86	1	FRID
Śiva Purāṇa	85	5	ŚIVAPURĀṆA; Śiva Purāṇa
PRĀTIŚĀKHYA zum ṚGVEDA	85	1	PRĀTIŚĀKHYA zum ṚGVEDA
GAṆITĀDHĀYA in BHĀSKARA'S SIDDHĀNTA ŚIROMAṆI	85	1	GAṆITĀDHĀYA in BHĀSKARA'S SIDDHĀNTA ŚIROMAṆI
Hāsyārṇava	84	2	HĀSYĀRṆAVA; Hāsyārṇava
VṚDDHACĀṆAKYA	84	1	VṚDDHACĀṆAKYA
A Dictionary Bengali and Sanskrit	82	1	A Dictionary Bengali and Sanskrit
PRAK4AṆḌAPĀṆḌAVA	81	1	PRAK4AṆḌAPĀṆḌAVA
Bhadracarī	79	1	Bhadracarī
LASSEN'S Anthologie 3te Ausg	78	1	LASSEN'S Anthologie 3te Ausg
Siddhāntaśiromaṇi	76	4	SIDDHĀNTAŚIROMAṆI; Siddhāntaśiromaṇi
Cāṇakya	76	1	Cāṇakya
Gaṇaratnamahodadhi of Vardhamāna	75	2	Gaṇaratnamahodadhi of Vardhamāna
BHĀSKARA'S GOLĀDHYĀYA	75	1	BHĀSKARA'S GOLĀDHYĀYA
GĀRUḌA-PURĀṆA	75	1	GĀRUḌA-PURĀṆA; GARUḌA-PURĀṆA
Padma-Purāṇa	71	2	PADMAPURĀṆA; Padma-Purāṇa
ĀRYABHAṬA Ausg	71	1	ĀRYABHAṬA Ausg
ĀRYAVIDĀSUDHĀKARA	69	1	ĀRYAVIDĀSUDHĀKARA
Viddhaśālabhañjikā	68	3	Viddhaśālabhañjikā; Viddhasālabhanjikā
ADBHUTABRĀHMAṆA	68	1	ADBHUTABRĀHMAṆA
SaMyuttanikāya	66	1	SaMyuttanikāya
PRABODHAK4ANDRODAYA	66	1	PRABODHAK4ANDRODAYA
DEVĪPURĀṆA	65	1	DEVĪPURĀṆA
GOPATHABRĀHMAṆA	65	3	GOPATHABRĀHMAṆA
BĀDARĀYAṆA'S BRAHMASŪTRA	64	1	BĀDARĀYAṆA'S BRAHMASŪTRA
Mélanges asiatiques tirés du Bulletin historico-philologique de l'Académie Impériale des sciences de St	64	1	Mélanges asiatiques tirés du Bulletin historico-philologique de l'Académie Impériale des sciences de St
Tarkakaumudī	63	3	Tarkakaumudī
GṚHYĀSAM5GRAHA	61	1	GṚHYĀSAM5GRAHA
Gedicht vom Vogel Cātaka	61	1	Gedicht vom Vogel Cātaka
MAŚAKA'S KALPASŪTRĀṆI	61	1	MAŚAKA'S KALPASŪTRĀṆI
A Dictionary Murathee and English by YAMES T	61	1	A Dictionary Murathee and English by YAMES T
Daśakumāracharita	60	1	Daśakumāracharita
SĀRASUNDARI	60	2	SĀRASUNDARĪ; SĀRASUNDARI
Mahāsamājasūtra	59	1	Mahāsamājasūtra
GAUḌAPĀDA'S Kārikā zur MĀṆḌ	59	3	GAUḌAPĀDA'S Kārikā zur MĀṆḌ
ŚĀŚVATA'S ANEKĀRTHASAMUCCAVA	58	1	ŚĀŚVATA'S ANEKĀRTHASAMUCCAVA
BÖHTLINGK'S Verzeichniss der Petersburger Sanskrit- Handschriften in: DORN	57	1	BÖHTLINGK'S Verzeichniss der Petersburger Sanskrit- Handschriften in: DORN
Bhaviṣya-Purāṇa	56	2	BHAVIṢYAPURĀṆA; Bhaviṣya-Purāṇa
Mūla-Madhyamaka-kārikās	56	1	Mūla-Madhyamaka-kārikās
ĪŚOPANIṢAD	56	1	ĪŚOPANIṢAD
Kāmandakinītisāra	55	2	Kāmandakinītisāra
Rasangangādhara	55	1	Rasangangādhara
ITIHĀSA	55	1	ITIHĀSA
BALLANTYNE	55	1	BALLANTYNE
Mahāvīracharita	54	1	Mahāvīracharita
VIŚVAKARMA'S VĀSTUVIDYĀ	54	1	VIŚVAKARMA'S VĀSTUVIDYĀ
KAIYAṬA	54	1	KAIYAṬA
Prasannarāghava	53	3	Prasannarāghava
MANTRABRĀHMAṆA	53	1	MANTRABRĀHMAṆA
Līlāvatī	52	5	Līlāvatī; LĪLĀVATĪ
Śṛingāratilaka	52	1	Śṛingāratilaka
MAITRYUPANISHAD	52	1	MAITRYUPANISHAD
Akademische Vorlesung über Indische Literaturgeschichte	52	1	Akademische Vorlesung über Indische Literaturgeschichte
JYOTIṢA	51	1	JYOTIṢA
Trikāṇḍaśesha	50	2	TRIKĀṆḌAŚESHA; Trikāṇḍaśesha
SĀMAVIDHĀNABRĀHMAṆA	50	1	SĀMAVIDHĀNABRĀHMAṆA
Priyadarśikā	49	2	PRIYADARŚIKĀ; Priyadarśikā
Brāhmaṇavilāpa	49	1	Brāhmaṇavilāpa
VOPADEVA'S MUGDHABODHA	49	1	VOPADEVA'S MUGDHABODHA
ANUKRAMAṆIKĀ	48	3	ANUKRAMAṆIKĀ
Cāṇakyaśataka	47	1	Cāṇakyaśataka
Deśīnāmamālā	47	1	Deśīnāmamālā
MITĀ SHABĀ	46	1	MITĀ SHABĀ
AŚOKĀVADĀNA	46	1	AŚOKĀVADĀNA
Vikramānkadevacharita	45	1	Vikramānkadevacharita
Zeitschrift für vergleichende Sprachforschung auf dem Gebiete des Deutschen	45	1	Zeitschrift für vergleichende Sprachforschung auf dem Gebiete des Deutschen
VAIDYAKA	44	1	VAIDYAKA
TANTRASĀRA	44	2	TANTRASĀRA
MADHYAMAKAVṚTTI	44	1	MADHYAMAKAVṚTTI
Renaissanśe of Sanskrit Literature in M	43	1	Renaissanśe of Sanskrit Literature in M
VĀCASPATI	43	1	VĀCASPATI
Ghaṭakarparakāvya	42	2	Ghaṭakarparakāvya
YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVAS	42	1	YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVAS
LIṄGAPURĀṆA	42	1	LIṄGAPURĀṆA
Vopadeva	41	3	Vopadeva
Nalopākhyāna	41	2	Nalopākhyāna
SŪRYASDDHĀNTA	41	1	SŪRYASDDHĀNTA
NAISHADHAK4ARITA	41	1	NAISHADHAK4ARITA
Kārikā	41	4	Kārikā
UTTARARĀMAK4RIRA	40	1	UTTARARĀMAK4RIRA
VYAVAHĀRATATTVA	40	1	VYAVAHĀRATATTVA
Sacred Books of the East	39	1	Sacred Books of the East
Chaurapanchaśika	39	1	Chaurapanchaśika
ŚĀRṄGADHARA'S PADDHATI; vgl	39	2	ŚĀRṄGADHARA'S PADDHATI; vgl
bhakti-sūtra	39	3	bhakti-sūtra
Āśvalāyana's Sūtras	38	2	Āśvalāyana's Sūtras
KATUARANĀKARA	37	1	KATUARANĀKARA
Hand-Book for the student of Chinese Buddhism	37	1	Hand-Book for the student of Chinese Buddhism
MĀNAVA-KALPA-SŪTRA; being a portion of this ancient work on Vaidik rites	37	1	MĀNAVA-KALPA-SŪTRA; being a portion of this ancient work on Vaidik rites
SOM	37	1	SOM
Mahānāṭaka	36	2	MAHĀNĀṬAKA; Mahānāṭaka
Meghasūtra	36	1	Meghasūtra
Śārīrabhāshya	36	1	Śārīrabhāshya
Candrāloka	35	1	Candrāloka
KIELHORN'S Ausg	35	1	KIELHORN'S Ausg
Śikṣā	34	2	Śikṣā
Mohamudgara	34	3	Mohamudgara
Petavatthu	34	1	Petavatthu
KUMĀRASVĀMIN	34	1	KUMĀRASVĀMIN
VIVĀDACINTĀMAṆI	34	1	VIVĀDACINTĀMAṆI
Brahmasūtras	33	2	Brahmasūtras
ŚVETĀŚVATAROPANISHAD	32	1	ŚVETĀŚVATAROPANISHAD
BṚHASPATI	32	4	BṚHASPATI
Zur Literatur und Geschichte des Weda	32	1	Zur Literatur und Geschichte des Weda
RATIMAÑJARĪ	32	1	RATIMAÑJARĪ
Anargharāghava	31	3	Anargharāghava
Aśvadhāṭī	31	3	Aśvadhāṭī
NĀRADA'S DHARMAŚĀSTRA	30	1	NĀRADA'S DHARMAŚĀSTRA
R	29	1	R
DURGĀDĀSA	29	2	DURGĀDĀSA
Yajurveda	28	3	Yajurveda; YAJURVEDA
Bhaviṣyottara Purāṇa	28	2	BHAVIṢYOTTARAPURĀṆA; Bhaviṣyottara Purāṇa
Vimānavatthu	28	1	Vimānavatthu
TATTVASAM7SA	28	1	TATTVASAM7SA
VĀSANTIKĀ	28	1	VĀSANTIKĀ
BṚHADDEVATĀ; S	28	1	BṚHADDEVATĀ; S
ĀNANDALAHARĪ in HAEB	28	3	ĀNANDALAHARĪ in HAEB
Kullūka Schol	27	1	Kullūka Schol
Śālistambasūtra	27	1	Śālistambasūtra
KŪRMAPURĀṆA	27	1	KŪRMAPURĀṆA
KOṢṬHĪPRADĪPA	27	1	KOṢṬHĪPRADĪPA
Vārttika von KĀTYĀYANA in BÖHTLINGK'S Ausg	27	2	Vārttika von KĀTYĀYANA in BÖHTLINGK'S Ausg
BHĀG	27	3	BHĀG
UPALEKHA de KRAMAPĀṬHA libellus	26	1	UPALEKHA de KRAMAPĀṬHA libellus
MAHĀNĀRĀYAṆOPANIṢAD	26	1	MAHĀNĀRĀYAṆOPANIṢAD
Sage von NALA und DAMAYANTI	26	1	Sage von NALA und DAMAYANTI
Viṣṇusahasranāman	25	2	Viṣṇusahasranāman
PATANAMĀLĀ	25	1	PATANAMĀLĀ
Vārttika	25	1	Vārttika
PRĀTIŚĀKHYA zu VS in Ind	25	1	PRĀTIŚĀKHYA zu VS in Ind
PISCHEL	25	1	PISCHEL
KAVIKALPADRUMA	24	1	KAVIKALPADRUMA
VETĀLAPAN7K4AVIM5ŚATI in LA	23	1	VETĀLAPAN7K4AVIM5ŚATI in LA
ŚĀRṄGADHARA	23	2	ŚĀRṄGADHARA
VAHNIPURĀṆA	23	1	VAHNIPURĀṆA
NYĀYAMĀLĀVISTARA	23	3	NYĀYAMĀLĀVISTARA
Iconographie	22	1	Iconographie
Lotus de la Bonne Loi - translation of the Saddharmapuṇḍarīka by E	22	1	Lotus de la Bonne Loi - translation of the Saddharmapuṇḍarīka by E
Kosmographie der Inder	22	1	Kosmographie der Inder
GOLDSTÜCKER'S Wörterbuch	22	1	GOLDSTÜCKER'S Wörterbuch
HALĀYUDHA'S Wörterbuch	22	1	HALĀYUDHA'S Wörterbuch
KALPASŪTRA	22	1	KALPASŪTRA
KAUṢĪTAKIBRĀHMAṆA	22	1	KAUṢĪTAKIBRĀHMAṆA
HORĀŚĀSTRA	21	1	HORĀŚĀSTRA
GOTAMA'S NYĀYASŪTRĀṆI	21	1	GOTAMA'S NYĀYASŪTRĀṆI
Vṛttaratnākara	20	2	Vṛttaratnākara
KAṆĀDA'S VAIŚESHIKADABŚANA	20	1	KAṆĀDA'S VAIŚESHIKADABŚANA
BENFEY'S Chrestomathie	20	1	BENFEY'S Chrestomathie
ANUKRAMAṆIKĀ des [Cologne addition]	20	1	ANUKRAMAṆIKĀ des [Cologne addition]
GARBHOPANIṢAD	20	3	GARBHOPANIṢAD
NĀRĀYAṆA	20	3	NĀRĀYAṆA
KĀLASAṂKALITA	20	1	KĀLASAṂKALITA
Kāvya Sangraha	19	2	Kāvya Sangraha; KĀVYA-SANGRAHA
Theragāthā	19	1	Theragāthā
ŚATRUM5G7AYAHĀTMYA	19	1	ŚATRUM5G7AYAHĀTMYA
PARIBHĀSHĀ in PARIBHĀSHENDUŚEKHARA	19	1	PARIBHĀSHĀ in PARIBHĀSHENDUŚEKHARA
Bhāshāparichchheda	18	1	Bhāshāparichchheda
MUṆḌAKOPANISHAD	18	1	MUṆḌAKOPANISHAD
Rasamañjarī	17	2	RASAMAÑJARĪ; Rasamañjarī
TAITTIRIYOPANISHAD	17	1	TAITTIRIYOPANISHAD
LAGHUK	17	1	LAGHUK
VYUPATITI	17	1	VYUPATITI
Materia indica	17	1	Materia indica
MALAMĀSATATTVA	17	1	MALAMĀSATATTVA
UDVĀHATATTVA	17	1	UDVĀHATATTVA
Gautamasūtra	16	3	Gautamasūtra
Mitākshara	16	1	Mitākshara
MĀDHAVAKĀRA	16	1	MĀDHAVAKĀRA
ŚAṂKARA o= ŚAṂKARA	16	2	ŚAṂKARA o= ŚAṂKARA
Journal asiatique	16	2	Journal asiatique
Scriptorum Arabum de Rebus Indi- cis loci et opuscula inedita	16	1	Scriptorum Arabum de Rebus Indi- cis loci et opuscula inedita
NĀṬYAŚĀSTRA	16	1	NĀṬYAŚĀSTRA
Jaiminīyanyāyamālāvistara	15	2	Jaiminīyanyāyamālāvistara
Kīrtikaumudī	15	2	Kīrtikaumudī
NYĀYAKOSA or Dictionary of the technical Terms of the NYĀYA Philosphy	15	1	NYĀYAKOSA or Dictionary of the technical Terms of the NYĀYA Philosphy
BRAHMĀṆḌAPURĀṆA	15	1	BRAHMĀṆḌAPURĀṆA
SAM̃GĪTADĀMODARA	15	1	SAM̃GĪTADĀMODARA
Mél	15	1	Mél
UPAGUPTĀVADĀNA	15	1	UPAGUPTĀVADĀNA
Edward Byles Cowell	15	2	Edward Byles Cowell
ŚABDĀRṆAVA	14	1	ŚABDĀRṆAVA
PURĀṆA	14	1	PURĀṆA
Böthlingk and Roth	13	2	Böthlingk and Roth
Bodhicaryāvatāra-ṭīkā	13	1	Bodhicaryāvatāra-ṭīkā
COBHANAMUNI'S ŚOBHANASTUTAYAS in Z	13	1	COBHANAMUNI'S ŚOBHANASTUTAYAS in Z
Select specimens of the Theatre of the Hindus	13	1	Select specimens of the Theatre of the Hindus
ANUKRAMAṆIKĀ des ATHARVAVEDA	13	3	ANUKRAMAṆIKĀ des ATHARVAVEDA
PARĀŚARAPADDHATI	13	1	PARĀŚARAPADDHATI
Dialogues on the Hindu Philosophy	13	1	Dialogues on the Hindu Philosophy
Mugdhabodha	12	3	Mugdhabodha
Kusumāñjali	12	4	Kusumāñjali; Kusumānjali
Āryāsaptaśatī	12	1	Āryāsaptaśatī
Monier Williams	12	1	Monier Williams
Jagannātha	12	1	Jagannātha
KARMAPRADIPA	12	2	KARMAPRADIPA; KARMAPRADĪPA
A Catalogue of Sanskrit Mss	12	1	A Catalogue of Sanskrit Mss
MAITRĀYAṆYUPANIṢAD	12	1	MAITRĀYAṆYUPANIṢAD
AITAREYĀRAṆYAKA	12	3	AITAREYĀRAṆYAKA
DAŚABHŪMĪŚVARA	12	1	DAŚABHŪMĪŚVARA
Mīmāṃsā	11	2	Mīmāṃsā
Yogasūtras	11	2	Yogasūtras
Uddhavasaṃdeśa	11	2	Uddhavasaṃdeśa
SĀRĀVALI	11	1	SĀRĀVALI
WESTERGAARD'S Verzeichniss der Kopenhagener Sanskrit-Handschriften in: Codices orientales bibliothecae regiae Havniensis yussu et auspiciis regis Daniae augustissimi Christiani octavi enumerati et descripti	11	1	WESTERGAARD'S Verzeichniss der Kopenhagener Sanskrit-Handschriften in: Codices orientales bibliothecae regiae Havniensis yussu et auspiciis regis Daniae augustissimi Christiani octavi enumerati et descripti
ĀRUṆIKOPANIṢAD	11	1	ĀRUṆIKOPANIṢAD
ĀHNIKATATTVA	11	1	ĀHNIKATATTVA
BENFEY	11	1	BENFEY
BṚHADDHARMAPURĀṆA	11	1	BṚHADDHARMAPURĀṆA
ŚRĀDDHATATTVA	11	1	ŚRĀDDHATATTVA
NĀNĀRTHADHVANIMAÑJARĪ	11	1	NĀNĀRTHADHVANIMAÑJARĪ
BÖHTLINGK usu	11	2	BÖHTLINGK usu
Vetālapañca vimśati	10	2	Vetālapañca vimśati
Ujjvaladatta	10	3	Ujjvaladatta
Itivuttaka	10	1	Itivuttaka
Saṃyuktāgama; fragments from Stein mss	10	1	Saṃyuktāgama; fragments from Stein mss
Tarkasangraha	10	1	Tarkasangraha
VĀLAHILYA	10	1	VĀLAHILYA
DHYĀNABINDŪPANISHAD	10	1	DHYĀNABINDŪPANISHAD
VIŚVAKOŚA	10	1	VIŚVAKOŚA
PRĀTIŚĀKHYA	10	1	PRĀTIŚĀKHYA
PARĀŚARA	10	3	PARĀŚARA
AGNISVĀMIN	10	1	AGNISVĀMIN
Vaiśeṣika	9	2	Vaiśeṣika
Māṇḍūkyopaniṣad	9	3	Māṇḍūkyopaniṣad; MĀṆḌŪKYOPANIṢAD
Buddhacarita	9	1	Buddhacarita
PAŚNOPANISHAD	9	1	PAŚNOPANISHAD
VĀGBHAṬA'S ĀYURVEDARŚANA	9	1	VĀGBHAṬA'S ĀYURVEDARŚANA
RATNAKOṢA	9	1	RATNAKOṢA
DRĀHYĀYAṆA	9	1	DRĀHYĀYAṆA
DEVĪBHĀGAVATAPURĀṆA	9	1	DEVĪBHĀGAVATAPURĀṆA
Karpūramañjarī	8	2	Karpūramañjarī
Haṃsadūta	8	2	Haṃsadūta
Vīramitrodaya	8	4	VĪRAMITRODAYA; Vīramitrodaya
Prabodhachandrodaya	8	1	Prabodhachandrodaya
GARBHOPANISHAD in Bibl	8	1	GARBHOPANISHAD in Bibl
PRATĀPARUDRIYA	8	1	PRATĀPARUDRIYA
ŚIRAUPANISHAD	8	1	ŚIRAUPANISHAD
SŪRYADEVAYAG7VAN	8	1	SŪRYADEVAYAG7VAN
A History of Ancient Sanskrit Literature	8	1	A History of Ancient Sanskrit Literature
BHĀNUDĪKṢITA	8	1	BHĀNUDĪKṢITA
Bulletin historico-philologique de l'Académie Im- périale des sciences de St	8	1	Bulletin historico-philologique de l'Académie Im- périale des sciences de St
KĀṬAVEMA	8	1	KĀṬAVEMA
MATHURĀNĀTHA	8	1	MATHURĀNĀTHA
PRĀYAŚCITTAVIVEKA	8	3	PRĀYAŚCITTAVIVEKA
Upaniṣad	7	2	Upaniṣad
Subhāṣitaratnabhāṇḍāgāra	7	1	Subhāṣitaratnabhāṇḍāgāra
Yogasūtrāṇi	7	1	Yogasūtrāṇi
Kāśikā	7	1	Kāśikā
Therīgāthā	7	1	Therīgāthā
Patanjalamahābhāshya	7	1	Patanjalamahābhāshya
BRAHMABINDŪPANISHAD	7	1	BRAHMABINDŪPANISHAD
Aphorisms of SĀṆḌILYA	7	1	Aphorisms of SĀṆḌILYA
BRAHMOPANISHAD	7	1	BRAHMOPANISHAD
KĀṬHAKAGṚHYASŪTRA	7	1	KĀṬHAKAGṚHYASŪTRA
BHĀMATI	7	1	BHĀMATI
GOBHILA'S ŚRĀDDHAKALPA	7	1	GOBHILA'S ŚRĀDDHAKALPA
HILLEBRANDT'S altindisches Neu- und Vollmondsopfer	7	1	HILLEBRANDT'S altindisches Neu- und Vollmondsopfer
TĀRAN7THA'S Geschichte des Buddhismus in Indien	7	1	TĀRAN7THA'S Geschichte des Buddhismus in Indien
KAIVALYOPANIṢAD	7	1	KAIVALYOPANIṢAD
YAVANEŚVARA	7	1	YAVANEŚVARA
ŚATARUDRIYOPANIṢAD	7	1	ŚATARUDRIYOPANIṢAD
BṚHANNĀRADAPURĀṆA	7	1	BṚHANNĀRADAPURĀṆA
Sarasvatīkaṇṭhābharaṇa	6	3	Sarasvatīkaṇṭhābharaṇa
Nītisāra	6	2	Nītisāra
Vākyapadīya	6	3	Vākyapadīya
Nītipradīpa	6	3	Nītipradīpa
Golādhyāya	6	2	Golādhyāya
Padāṅkadūta	6	2	Padāṅkadūta
Apte	6	1	Apte
Dīpavaṃsa	6	1	Dīpavaṃsa
Introduction à lʼhistoire du bouddhisme indien	6	1	Introduction à lʼhistoire du bouddhisme indien
BṚHADDEVATĀ	6	1	BṚHADDEVATĀ
PARĀŚARA'S DHARMAŚĀSTRA	6	1	PARĀŚARA'S DHARMAŚĀSTRA
A Dictionary	6	1	A Dictionary
A Catalogue of Sanskrit Manuscripts contained	6	1	A Catalogue of Sanskrit Manuscripts contained
Radices Linguae Sanscrite by N	6	1	Radices Linguae Sanscrite by N
JĀBĀLOPANIṢAD	6	1	JĀBĀLOPANIṢAD
NAVARATNA in HAEB	6	1	NAVARATNA in HAEB
YĀJÑIKADEVA'S PADDHATI zu KĀTYĀYANA'S ŚRAUTASŪTRA	6	1	YĀJÑIKADEVA'S PADDHATI zu KĀTYĀYANA'S ŚRAUTASŪTRA
JYOTIṢATATTVA	6	1	JYOTIṢATATTVA
Franz Miklosich	6	1	Franz Miklosich
Mādhavanidāna	5	2	Mādhavanidāna
Uddhavadūta	5	3	Uddhavadūta
Siddhāntamuktāvalī	5	3	Siddhānta Muktāvali; Siddhāntamuktāvalī; Siddhāntamuktāvali
Friedrich Schlegel	5	1	Friedrich Schlegel
Boehtlingk	5	1	Boehtlingk
Dictionary	5	1	Dictionary
Khuddaka-pāṭha	5	1	Khuddaka-pāṭha
Dhammasaṃgani	5	1	Dhammasaṃgani
Chhandomanjarī	5	1	Chhandomanjarī
HARISVĀMIN	5	2	HARISVĀMIN
VIVEKAVILĀSA	5	1	VIVEKAVILĀSA
MEDHĀTITHI	5	1	MEDHĀTITHI
Monatsberichte der Königlich Preussichen Akademie der Wissenschaften in Berlin	5	1	Monatsberichte der Königlich Preussichen Akademie der Wissenschaften in Berlin
WEBER'S Ausg	5	1	WEBER'S Ausg
Śloka	5	1	Śloka
NĪLAKAṆṬHA	5	1	NĪLAKAṆṬHA
BRAHMASŪTRA	5	1	BRAHMASŪTRA
ĀRYAMAÑJUŚRĪNĀMASAM̃GĪTI	5	1	ĀRYAMAÑJUŚRĪNĀMASAM̃GĪTI
PUṢPASŪTRA	5	1	PUṢPASŪTRA
{1	5	1	{1
KĀVYACANDRIKĀ	5	1	KĀVYACANDRIKĀ
ŚĀKAṬĀYANA	5	1	ŚĀKAṬĀYANA
RAGHUNANDANABHAṬṬĀCĀRYA	5	1	RAGHUNANDANABHAṬṬĀCĀRYA
Transactions of the Royal Asiatic Society of Great Britain and Ireland	5	1	Transactions of the Royal Asiatic Society of Great Britain and Ireland
Serampore	5	1	Serampore
ĀGNEYAPURĀṆA	5	1	ĀGNEYAPURĀṆA
Vedāntaparibhāṣā	4	2	Vedāntaparibhāṣā
Cātakāṣṭaka	4	1	Cātakāṣṭaka
Dhūrtasamāgama	4	2	Dhūrtasamāgama
Dharmaviveka	4	2	Dharmaviveka
Kāvyālaṃkāra	4	2	Kāvyālaṃkāra
Dṛṣṭāntaśataka	4	2	Dṛṣṭāntaśataka
Rājapraśasti	4	2	Rājapraśasti
Śukasaptati	4	1	Śukasaptati
Sten Konow	4	1	Sten Konow
Sukumar Sen	4	1	Sukumar Sen
Nettipakaraṇa	4	1	Nettipakaraṇa
Mahāvaṃsa	4	1	Mahāvaṃsa
Ausgewählte Erzählungen in Māhārāṣṭrī	4	1	Ausgewählte Erzählungen in Māhārāṣṭrī
Kaṭhopanishad	4	1	Kaṭhopanishad
KUSUMĀN7G7ALI	4	1	KUSUMĀN7G7ALI
UṆĀDISŪTRA	4	1	UṆĀDISŪTRA
ĀRUṆEYOPANISHAD	4	1	ĀRUṆEYOPANISHAD
BRAMAPURĀṆA	4	1	BRAMAPURĀṆA
AINSLIE	4	2	AINSLIE
UTTARA-RĀMACARITRA	4	1	UTTARA-RĀMACARITRA
YOGATATTVA	4	1	YOGATATTVA
NĪTIPRADĪPA in HAEB	4	1	NĪTIPRADĪPA in HAEB
Friedrich Heinrich Hugo Windischmann	4	1	Friedrich Heinrich Hugo Windischmann
WILKINS Ms	4	1	WILKINS Ms
YUKTIKALPATARU von BHOJARĀJA	4	1	YUKTIKALPATARU von BHOJARĀJA
Original Sanskrit Texts on the origin and progress of the Religion and Institutions of India; collected	4	1	Original Sanskrit Texts on the origin and progress of the Religion and Institutions of India; collected
ATHARVAŚIKHĀ	4	1	ATHARVAŚIKHĀ
KĀD	4	1	KĀD
Padapāṭha	4	1	Padapāṭha
Bṛhatkathā	3	2	Bṛhatkathā
Dhanaṃjayavijaya	3	2	Dhanaṃjayavijaya
Brockhaus	3	1	Brockhaus
Cātaka	3	1	Cātaka
Govardhana Āryāsaptaśatī	3	1	Govardhana Āryāsaptaśatī
Whitney; Gr	3	1	Whitney; Gr
Gaekwadʼs Oriental Series	3	1	Gaekwadʼs Oriental Series
Kathā-vatthu	3	1	Kathā-vatthu
Śikshā	3	1	Śikshā
Chāṇakya	3	1	Chāṇakya
Harshacharita	3	1	Harshacharita
CHILDERS' Pali-Wörterbuch	3	1	CHILDERS' Pali-Wörterbuch
SĀVITRI	3	1	SĀVITRI
KENOPANISHAD	3	1	KENOPANISHAD
HAUG	3	1	HAUG
ŚĀNTANAVA'S PHIṬSŪTRA	3	1	ŚĀNTANAVA'S PHIṬSŪTRA
SARVOPANISHATSĀRA	3	1	SARVOPANISHATSĀRA
Darstellung der Lehre von den Schriften in BṚHASPATI'S DHARMAŚĀSTRA	3	1	Darstellung der Lehre von den Schriften in BṚHASPATI'S DHARMAŚĀSTRA
MAHĀŚĀNTI	3	1	MAHĀŚĀNTI
KAIVALYOPANISHAD	3	1	KAIVALYOPANISHAD
Govardhana's SAPTAŚATI	3	1	Govardhana's SAPTAŚATI
SUVAPNAK4NTĀṆI	3	1	SUVAPNAK4NTĀṆI
SUVARṆAPRABHĀSA	3	1	SUVARṆAPRABHĀSA
AMARADATTA	3	1	AMARADATTA
GOVINDABHAṬṬA	3	1	GOVINDABHAṬṬA
SAUNĀGA	3	1	SAUNĀGA
KĀLIDĀSA	3	1	KĀLIDĀSA
YAJÑNADATTABADHA	3	1	YAJÑNADATTABADHA
PURUṢOTTAMA	3	1	PURUṢOTTAMA
avyaya	3	1	avyaya
Zeitschrift für die Wissenschaft der Sprache	3	1	Zeitschrift für die Wissenschaft der Sprache
SUBRŪTI	3	1	SUBRŪTI
PARAMAHAṂSOPANIṢAD	3	1	PARAMAHAṂSOPANIṢAD; PARAMAHAM̃SOPANIṢAD
COLEBR	3	1	COLEBR
DHARMAPURĀṆA	3	1	DHARMAPURĀṆA
