dict	canonical_text	count
ap90	Raghuvaṃśa	5306
ap90	Manusmṛti	2685
ap90	Śakuntalā	2445
ap90	Kumārasambhava	2299
ap90	Śiśupālavadha	2081
ap90	Pañcatantra	1508
ap90	Uttararāmacarita	1464
ap90	Mālatīmādhava	1285
ap90	Kirātārjunīya	1226
ap90	Meghadūta	1047
ap90	Kādambarī	1032
ap90	Bhaṭṭikāvya	1011
ap90	Bhagavadgītā	885
ap90	Bhartṛhari's three Śatakas	878
ap90	Yājñavalkya	809
ap90	Vikramorvaśīyam	804
ap90	Pāṇini's Aṣṭādhyāyī	663
ap90	Hitopadeśa	649
ap90	Mudrārākṣasa	645
ap90	Mālavikāgnimitra	621
ap90	Mṛcchakaṭikā	525
ap90	Bhāminīvilāsa	522
ap90	Daśakumāracarita	507
ap90	Uṇādisūtras	485
ap90	Siddhāntakaumudi	456
ap90	Gītagovinda	451
ap90	Mahāvīracarita	435
ap90	Mahābhārata	406
ap90	Veṇīsaṃhāra	387
ap90	Rāmāyaṇa	356
ap90	Kāvyaprakāśa	348
ap90	Sāhityadarpaṇa	340
ap90	Tārānātha's Vācaspatyam	308
ap90	Naiṣadhacarita	296
ap90	Amaruśataka	224
ap90	Ṛtusaṃhāra	204
ap90	Ṛgveda	202
ap90	Ratnāvalī	168
ap90	Mallinātha	133
ap90	Amarakoṣa	125
ap90	Vikramāṅkadevacarita	85
ap90	Suśruta	84
ap90	Nirukta	77
ap90	Kāvyādarśa	65
ap90	Udbhaṭa	64
ap90	Śatapathabrāhmaṇa	63
ap90	Rasagaṅgādhara	57
ap90	Kullūka	54
ap90	Caurapañcāśikā	54
ap90	Mahābhāṣya	52
ap90	Bhāgavata	51
ap90	Kathāsaritsāgara	49
ap90	Cāṇakyaśataka	47
ap90	Gaṅgālaharī	45
ap90	Sāyaṇa	43
ap90	Bhāṣāpariccheda	38
ap90	Gaṇaratnamahodadhi of Vardhamāna	37
ap90	Tarkasaṃgraha	37
ap90	Candrāloka	35
ap90	Viddhaśālabhañjikā	32
ap90	Tarkakaumudī	30
ap90	Mitākṣarā	29
ap90	Śṛṅgāratilaka	29
ap90	Varāhamihira's Bṛhatsaṃhitā	28
ap90	Śabdakalpadruma	22
ap90	Harivaṃśa	21
ap90	Kāmandakinītisāra	21
ap90	Chāndogyopaniṣad	20
ap90	Ghaṭakarparakāvya	20
ap90	Āśvalāyana's Sūtras	19
ap90	Vopadeva	19
ap90	Vāsavadattā	18
ap90	Prabodhacandrodaya	17
ap90	Nalopākhyāna	17
ap90	Bālarāmāyaṇa	17
ap90	Śikṣā	16
ap90	Sarvadarśanasaṃgraha	16
ap90	Nāgānanda	16
ap90	Mohamudgara	14
ap90	Brahmasūtras	14
ap90	Prasannarāghava	14
ap90	Nalodaya	12
ap90	Aśvadhāṭī	11
ap90	Anargharāghava	10
ap90	Trikāṇḍaśeṣa	10
ap90	Rājataraṅgiṇī	10
ap90	Līlāvatī	9
ap90	Kaṭhopaniṣad	9
ap90	Kuvalayānanda	8
ap90	Kāśikāvṛtti	8
ap90	Mārkandeyapuraṇa	8
ap90	Vaiśeṣika	8
ap90	Viṣṇu Purāṇa	8
ap90	Śrutabodha	8
ap90	Mīmāṃsā	7
ap90	Jaiminīyanyāyamālāvistara	7
ap90	Kīrtikaumudī	7
ap90	Böthlingk and Roth	6
ap90	Halāyudha	6
ap90	Bhāvaprakāśa	6
ap90	Kenopaniṣad	5
ap90	Upaniṣad	5
ap90	Mugdhabodha	5
ap90	Bṛhadāraṇyakopaniṣad	5
ap90	Śvetāśvataropaniṣad	5
ap90	Gautamasūtra	5
ap90	Dāyabhāga	5
ap90	Uddhavasaṃdeśa	5
ap90	Yajurveda	4
ap90	Medinīkośa	4
ap90	Atharvaveda	4
ap90	Cātakāṣṭaka	4
ap90	Vetālapañca vimśati	4
ap90	Daśarūpa	4
ap90	Karpūramañjarī	4
ap90	Haṃsadūta	4
ap90	Muṇḍakopaniṣad	3
ap90	Nītisāra	3
ap90	Sūryasiddhānta	3
ap90	Ujjvaladatta	3
ap90	Viṣṇusahasranāman	3
ap90	Padāṅkadūta	3
ap90	Sarasvatīkaṇṭhābharaṇa	2
ap90	Siddhāntaśiromaṇi	2
ap90	Yogasūtras	2
ap90	Vṛttaratnākara	2
ap90	Nītipradīpa	2
ap90	Dharmaviveka	2
ap90	Hemacandra	2
ap90	Vājasaneyi Saṃhitā	2
ap90	Uddhavadūta	2
ap90	Dṛṣṭāntaśataka	2
ap90	Rājapraśasti	2
ap90	Vedāntaparibhāṣā	1
ap90	Śiva Purāṇa	1
ap90	Bṛhatkathā	1
ap90	Mādhavanidāna	1
ap90	Vākyapadīya	1
ap90	Dhūrtasamāgama	1
ap90	Golādhyāya	1
ap90	Māṇḍūkyopaniṣad	1
ap90	Kauśikasūtra	1
ap90	Dhanaṃjayavijaya	1
ap90	Vāgbhaṭa	1
ap90	Kusumāñjali	1
ap90	Vaiśeṣikasūtras	1
ap90	Vyavahāramayūkha	1
ap90	Kāvyālaṃkāra	1
ap90	Harṣacarita	1
ben	Mahābhārata	7384
ben	Mānavadharmaśāstra	6058
ben	Rāmāyaṇa	5162
ben	Pañcatantra	4825
ben	my Sanskrit Chrestomathy	3017
ben	Bhāgavata-Purāṇa	1896
ben	Hitopadeśa	1831
ben	Rājataraṅgiṇī	1326
ben	Vikramorvaśī	1162
ben	Śakuntalā	1106
ben	Daśakumāracarita	1098
ben	Raghuvaṃśa	936
ben	Bhartṛhari	792
ben	Suśruta	776
ben	Rigveda	770
ben	Lassen	761
ben	Uttararāmacarita	725
ben	Kathāsaritsāgara	722
ben	Harivaṃśa	697
ben	Meghadūta	501
ben	Yājñavalkya	494
ben	Nala	479
ben	Śiśupālavadha	467
ben	Kirātārjunīya	431
ben	Vedāntasāra	422
ben	Böhtlingk	415
ben	Bhagavadgītā	413
ben	Mālatīmādhava	352
ben	Gaspare Gorresio	347
ben	Bhāṣāpariccheda	316
ben	Ṛtusaṃhāra	244
ben	Mṛcchakaṭikā	237
ben	Johnson's Selections from the Mahābhārata	230
ben	Prabodhacandrodaya	217
ben	Mālavikāgnimitra	195
ben	Bhaṭṭikāvya	171
ben	Mārkandeyapuraṇa	158
ben	Kumārasambhava	155
ben	Draupadīpramātha	142
ben	Indralokāgamana	129
ben	Arjunasamāgama	128
ben	Sāvitryupākhyāna	122
ben	Gītagovinda	121
ben	Hiḍimbavadha	98
ben	Kāmandakīya Nītisāra	92
ben	Amaruśataka	78
ben	Cāṇakya	76
ben	Nalodaya	68
ben	Sundopasundopākhyāna	62
ben	Sāhityadarpaṇa	57
ben	Devīmāhātmya	52
ben	Brāhmaṇavilāpa	49
ben	Pāṇini	49
ben	Śṛṅgāratilaka	45
ben	Caurapañcāśikā	32
ben	Naiṣadhacarita	30
ben	Kullūka Schol	27
ben	Śabdakalpadruma	27
ben	Matsyopākhyāna	22
ben	Varāhamihira's Bṛhatsaṃhitā	21
ben	Śatruṃjayamāhātmya	19
ben	Mahāvīracarita	16
ben	Śāntiśataka	16
ben	Śrutabodha	13
ben	Kāvyaprakāśa	12
ben	Kāvya Sangraha	11
ben	Ghaṭakarpara	11
ben	Weber	11
ben	Kusumāñjali	8
ben	Padma-Purāṇa	8
ben	Yogasūtrāṇi	7
ben	Friedrich Schlegel	5
ben	Mitākṣarā	4
ben	Śukasaptati	4
ben	Ujjvaladatta	4
ben	Brockhaus	3
ben	Cātaka	3
ben	Ratnāvalī	3
ben	Siddhāntakaumudi	3
ben	Siddhāntamuktāvali	3
ben	Govardhana Āryāsaptaśatī	3
ben	Ānandalaharī	2
ben	Mudrārākṣasa	2
ben	Sāṅkhya Sūtras	2
ben	Lalitavistara	2
ben	Daśarūpa	2
ben	Vārtika	2
ben	Vopadeva	1
ben	Śvetāśvataropaniṣad	1
ben	Upakośa	1
ben	Varāhamihira's Bṛhajjātaka	1
ben	Nyāya-Sūtrāṇi of Gotama	1
ben	Śārṅgadhara-Paddhati	1
