headword,n_matched,mw_senses,pwg_senses,concordance
arjuna,7,13,14,0.571
SI,9,10,31,0.556
Sam,9,11,28,0.556
Bid,18,27,62,0.549
AdAna,6,9,8,0.533
SuD,9,14,42,0.528
A,7,20,15,0.524
Atman,7,8,17,0.524
DU,7,10,45,0.524
Gaw,7,14,30,0.524
aS,7,10,39,0.524
anta,10,14,23,0.511
aNka,8,15,19,0.5
Adya,4,5,5,0.5
BaNgi,4,8,8,0.5
Bakti,4,11,8,0.5
Davala,4,7,9,0.5
GrA,4,5,27,0.5
SUla,4,6,9,0.5
SiSira,4,7,4,0.5
SlAG,4,6,7,0.5
Suz,4,7,16,0.5
apas,4,6,4,0.5
avaroDana,4,5,5,0.5
BAvana,7,12,17,0.476
Baga,7,9,9,0.476
Bojana,6,8,6,0.467
BA,7,11,33,0.429
BUta,7,15,15,0.429
Sri,9,10,151,0.417
Ap,10,11,97,0.4
Sap,6,9,19,0.4
aNga,6,17,15,0.4
Ikz,5,6,120,0.4
Pal,5,10,8,0.4
Dam,8,10,28,0.393
Pala,8,17,17,0.393
as,9,11,129,0.389
Sru,11,15,60,0.364
BraMS,9,13,28,0.333
SaMs,7,12,35,0.333
SAnta,6,13,8,0.333
BrAmara,4,5,6,0.333
SAnti,4,9,5,0.333
Sak,4,8,17,0.333
agni,4,8,10,0.333
arDa,4,8,9,0.333
Odumbara,5,6,11,0.3
BAs,6,8,17,0.267
Denu,5,5,6,0.2
SaNk,5,5,26,0.2
BaraRa,4,5,8,0.167
Sama,4,10,5,0.167
Svitra,4,4,4,0.167
antya,4,7,6,0.167
anuttara,4,8,8,0.167
DvaMs,6,9,31,0.067
Suzka,4,6,4,0.0
aDizWAna,4,10,9,0.0
