dict,headword,shared_sources
PWG,ADAra,MBH SUŚR YĀJÑ RAGH
PWG,AScarya,PRAB RAGH R BHAG
PWG,Ahuti,AV TS MBH HARIV
PWG,AhvAna,MBH HIT R MṚCCH
PWG,Amoda,R RAGH MEGH KATHĀS
PWG,AnfRya,MBH R RAGH PAÑCAT
PWG,Antarikza,VS TS MBH SUŚR
PWG,ApIqa,SUŚR MBH R RAGH
PWG,ArAma,BHAG BHARTṚ YĀJÑ MBH R MṚCCH KATHĀS
PWG,ArAt,AV MBH KATHĀS RAGH PRAB
PWG,Askanda,KATHĀS VS TS LĀṬY
PWG,Asura,VS AV PRAB DAŚ SŪRYAS
PWG,AvaraRa,RAGH SUŚR MBH R
PWG,Avftti,TS BHAG KATHĀS KĀVYĀD
PWG,AyAma,SUŚR MBH BHAG R MEGH
PWG,Ayuzya,MBH R AV VS
PWG,AzAQa,SUŚR MEGH KATHĀS MBH
PWG,BAgya,VOP MBH R HIT
PWG,BAj,MBH RAGH KIR BHAG BHAṬṬ
PWG,BUDara,R MBH HARIV SŪRYAS
PWG,BUmicala,KAUŚ GOBH MBH R
PWG,Barga,KATHĀS PRAB HARIV MBH
PWG,Bava,VOP YĀJÑ MBH KĀṬH AV VP
PWG,Beda,YĀJÑ MBH SUŚR KATHĀS AV
PWG,Bedana,MBH R PAÑCAR SUŚR KATHĀS
PWG,Bfgu,AV KAUŚ MBH HARIV SŪRYAS
PWG,Bojana,MBH R AV NAIGH
PWG,DAraRa,MBH SUŚR YĀJÑ R HARIV
PWG,DAtu,KAUŚ TS MBH HARIV SUŚR NIR
PWG,DaraRa,VS ŚATR YĀJÑ SUŚR
PWG,Darman,VP VS AV MBH KAP
PWG,Dava,AV MBH SUŚR NAIGH HARIV VP
PWG,Dfzwaketu,MBH R VP HARIV
PWG,DunDumAra,MBH HARIV R DAŚ
PWG,Gana,SUŚR BHARTṚ PAÑCAT. III MBH HARIV SŪRYAS
PWG,IS,MBH BHAṬṬ AV TS RAGH VS
PWG,IdfS,VS TS PAÑCAT AV
PWG,Ikz,AV KATHĀS MBH BHAG
PWG,IkzaRa,PAÑCAT MBH R SUŚR
PWG,KaRqana,GĪT PAÑCAT CAURAP MĀLAV RAGH
PWG,Kalati,UṆ VS TS SĀY
PWG,Kid,DHĀTUP BHAṬṬ R PAÑCAT MEGH
PWG,Odumbara,AV YĀJÑ MBH HARIV SUŚR
PWG,PAla,KĀṬH KAUŚ YĀJÑ R NAIṢ
PWG,SAkala,KĀŚ KAUŚ MBH PAT KATHĀS
PWG,SAkvara,VS AV TBR TS SUŚR
PWG,SArNga,SUŚR YĀJÑ BHAṬṬ MBH HARIV
PWG,SIGraga,MBH HARIV R PAÑCAT
PWG,SaMkara,NIR MBH VS VP
PWG,SaNkukarRa,MBH R HARIV PAÑCAT
PWG,Samala,AV TS KĀṬH KAUŚ
PWG,SaravaRa,MBH R KATHĀS SUŚR
PWG,SatAyus,KĀṬH MBH HARIV VP KATHĀS
PWG,SatamAna,VS TS KĀṬH YĀJÑ
PWG,SatruGna,PAÑCAR R RAGH HARIV
PWG,SiKaRqin,AV MBH R KATHĀS LALIT
PWG,SiKin,AV MBH YĀJÑ VP
PWG,SitikaRWa,KĀṬH VS MBH ŚIŚ
PWG,SrI,TS VS AV KATHĀS
PWG,Srutasena,VS MBH HARIV KATHĀS
PWG,SudDi,TBR YĀJÑ KATHĀS MĀLATĪM
PWG,Svasana,SUŚR MBH R ŚIŚ
PWG,aBiBu,AV VS KĀṬH TS
PWG,aBijit,AV HARIV VP KAUŚ
PWG,ambA,VS MBH TS KĀṬH TBR
PWG,ambarIza,UṆ MBH R KATHĀS
PWG,aparAjita,SUŚR HARIV MBH KATHĀS
PWG,arDacandra,R KATHĀS PAÑCAT VET
PWG,araRya,UṆ AV VS HARIV
PWG,aruRa,UṆ ŚĀK SUŚR TS TBR
PWG,asura,UṆ AV VS NAIGH
PWG,avani,NAIGH R PAÑCAT MEGH SŪRYAS
PWG,avaroDa,SUŚR HIT R RAGH
PWG,bADa,HARIV MBH PAÑCAT KAP BHĀṢĀP SĀY
PWG,baBru,MBH HARIV VP R
