headword_slp1,cited_verse,category,delta,n_loci
devavrata,2,corroborated,-3,6
nimnagA,27,corroborated,-2,1
BArata,28,corroborated,-2,249
smar,32,corroborated,-2,13
mahAvrata,57,corroborated,0,5
mahApraBAva,59,corroborated,0,2
yama,68,corroborated,0,32
marzaRIya,70,corroborated,0,2
SirastrARa,74,corroborated,0,4
rOkma,76,corroborated,0,1
gAtrAvaraRa,79,corroborated,0,1
mahIpa,82,corroborated,0,11
samfdDimant,85,corroborated,0,1
pAtana,94,corroborated,0,15
praharaRa,100,corroborated,-1,5
trAsa,108,corroborated,0,15
pratizWA,117,corroborated,0,9
rAjapura,119,corroborated,0,1
utkala,122,corroborated,0,1
mekala,122,corroborated,0,1
nAyaka,143,corroborated,-1,2
vESezika,148,corroborated,1,1
Darmendra,160,corroborated,0,1
sOraBeya,163,corroborated,0,1
sEnApatya,174,corroborated,0,3
gAnDAraka,180,corroborated,0,2
prapakza,180,corroborated,0,2
prapakza,182,corroborated,0,2
malada,183,corroborated,0,1
pariveza,207,corroborated,0,3
rukmaraTa,253,corroborated,-2,15
dUrezupAtin,264,corroborated,0,1
pAraga,264,corroborated,0,6
visarpaRa,272,corroborated,0,3
pAtana,273,corroborated,0,15
sEnDava,276,corroborated,0,121
hrezin,276,corroborated,0,1
vihvala,277,corroborated,0,4
rukmaraTa,279,corroborated,0,15
Suzmin,286,corroborated,0,6
timi,294,corroborated,0,1
pratIpa,300,corroborated,0,7
SUnya,302,corroborated,0,7
cakzurhan,316,corroborated,-1,2
mantraDArin,365,corroborated,0,1
sikatA,370,corroborated,0,3
tyaktar,378,corroborated,0,1
vyapASraya,379,corroborated,0,4
govinda,382,corroborated,0,16
jamBa,386,corroborated,0,3
pIWa,386,corroborated,0,1
pralamba,386,corroborated,0,1
vEvAhika,392,corroborated,0,1
sOBa,395,corroborated,0,25
daSeraka,397,corroborated,0,2
cola,398,corroborated,0,1
yavana,399,corroborated,0,11
makarAvAsa,400,corroborated,0,1
paYcajana,401,corroborated,0,8
pAYcajanya,401,corroborated,0,12
vidUraTa,408,corroborated,0,1
samIka,409,corroborated,0,8
pratyanIka,417,corroborated,0,1
viparyAsa,424,corroborated,0,2
duScintya,433,corroborated,-1,1
jIvagrAham,439,corroborated,0,3
sujAta,445,corroborated,0,1
sAntara,452,corroborated,0,5
grahaRa,458,corroborated,0,8
nigraha,462,corroborated,0,6
sAntara,462,corroborated,0,5
sAntara,465,corroborated,-1,5
SucisaMkzaya,499,corroborated,0,1
rOdra,502,corroborated,0,25
sutara,508,corroborated,0,1
Sakuni,516,corroborated,0,17
nimeza,568,corroborated,0,2
vikoSa,573,corroborated,0,3
puzkala,578,corroborated,0,8
sacakzus,582,corroborated,0,2
maRqala,595,corroborated,1,12
viBAvasu,602,corroborated,0,1
maRqala,608,corroborated,0,12
nAkuli,625,corroborated,0,7
SatAnIka,625,corroborated,0,10
kAlasUrya,633,corroborated,0,3
SoRahaya,637,corroborated,0,2
saMprepsu,647,corroborated,0,1
siMhasena,650,corroborated,0,2
paYcASat,652,corroborated,0,17
vyAGradatta,652,corroborated,3,1
vyAGradatta,655,corroborated,0,1
viSasana,661,corroborated,0,2
Sibira,673,corroborated,0,12
SUnya,679,corroborated,0,7
vinikAra,685,corroborated,0,1
putrin,696,corroborated,0,2
lokya,696,corroborated,0,1
pratijYA,699,corroborated,0,40
saMSaptaka,711,corroborated,0,8
satyajit,716,corroborated,1,4
sTAtavya,717,corroborated,0,1
dOryoDana,720,corroborated,0,5
rudra,755,corroborated,0,26
nArAyaRa,759,corroborated,0,16
pratilakzaRa,762,corroborated,0,1
Brukuwi,762,corroborated,0,1
vicaraRa,779,corroborated,0,16
drumavant,782,corroborated,0,2
rudra,787,corroborated,0,26
yoga,793,corroborated,1,5
suparRa,795,corroborated,1,9
siMhala,798,corroborated,0,1
haMsapaTa,798,corroborated,1,1
pArSva,800,corroborated,2,9
somadatta,800,corroborated,0,25
Sakuna,802,corroborated,1,19
BUmiMjaya,804,corroborated,1,1
cUqAmaRi,826,corroborated,0,1
SArada,832,corroborated,0,7
saMplava,833,corroborated,0,1
viSasana,840,corroborated,0,2
vicakra,846,corroborated,0,2
sacakra,846,corroborated,0,1
nimajjana,897,corroborated,0,1
trAtavya,908,corroborated,0,1
cEtraseni,916,corroborated,0,1
suvarcas,916,corroborated,0,4
senAbindu,916,corroborated,0,1
maRqalIBU,933,corroborated,0,2
droRamaya,936,corroborated,0,1
nirASa,936,corroborated,0,7
rAjata,1030,corroborated,0,11
saBApati,1085,corroborated,0,1
sutasoma,1087,corroborated,0,3
prativinDya,1092,corroborated,0,4
drORAyani,1095,corroborated,-1,3
purujit,1103,corroborated,0,1
sOmadatti,1116,corroborated,0,15
vfzasena,1121,corroborated,-1,39
saYj,1127,corroborated,1,327
govfza,1132,corroborated,-2,5
Bram,1151,corroborated,2,4
Brama,1154,corroborated,-1,4
sapakza,1163,corroborated,0,3
Sliz,1168,corroborated,-1,4
ruciparvan,1177,corroborated,1,1
pratigaja,1199,corroborated,0,3
Sreyaskara,1207,corroborated,0,1
vAsavi,1209,corroborated,0,13
sukalpita,1216,corroborated,0,1
dvEDIBU,1229,corroborated,0,2
parvata,1242,corroborated,0,52
vAsavi,1250,corroborated,0,13
mftyusAt,1254,corroborated,0,1
saYj,1257,corroborated,0,327
pAkaSAsani,1263,corroborated,0,5
vyaBra,1264,corroborated,0,1
parvateSvara,1266,corroborated,0,2
sudfzwa,1269,corroborated,0,2
tURIra,1271,corroborated,0,2
jagat,1285,corroborated,-3,21
saMpAta,1355,corroborated,0,7
GUrR,1358,corroborated,0,1
sunasa,1368,corroborated,0,4
pratiGAta,1373,corroborated,0,4
vivarman,1386,corroborated,0,2
muzwiyudDa,1399,corroborated,0,2
SAsana,1408,corroborated,0,8
durnivAra,1411,corroborated,0,3
vipAwa,1433,corroborated,1,2
candravarman,1437,corroborated,1,1
sAtyaka,1441,corroborated,3,217
sukalila,1447,corroborated,0,1
pramodana,1451,corroborated,0,1
rajasvala,1454,corroborated,1,3
durdfSa,1470,corroborated,1,2
durBida,1471,corroborated,1,4
nipAtana,1479,corroborated,0,4
nEBftya,1487,corroborated,0,1
pratirUpya,1487,corroborated,0,1
sPIta,1489,corroborated,0,1
durDara,1493,corroborated,0,32
nivartana,1506,corroborated,0,6
SESupAli,1511,corroborated,0,1
durBida,1514,corroborated,0,4
prativAraRa,1517,corroborated,0,1
Beda,1520,corroborated,0,2
dvAra,1526,corroborated,0,4
sarvatomuKa,1527,corroborated,0,2
vara,1529,corroborated,0,163
suBadra,1533,corroborated,0,10
zoqaSa,1544,corroborated,1,6
hAyana,1546,corroborated,1,38
yuyutsA,1550,corroborated,0,25
hUMkAra,1555,corroborated,0,2
marmajYa,1558,corroborated,0,2
vivaSa,1559,corroborated,0,2
paYcAsya,1565,corroborated,0,2
pArvatIya,1574,corroborated,0,8
vAnAyu,1574,corroborated,0,2
lalitTa,1610,corroborated,3,2
vfndAraka,1610,corroborated,3,4
triveRu,1626,corroborated,0,3
cakragoptar,1627,corroborated,0,1
sADvasa,1638,corroborated,0,1
Darmin,1663,corroborated,3,1
paramaka,1761,corroborated,0,3
vasAtIya,1789,corroborated,2,3
dUrapAtin,1791,corroborated,2,1
vasAtIya,1792,corroborated,-1,3
rukmaraTa,1811,corroborated,2,15
jIvagrAham,1816,corroborated,-2,3
rukmaraTa,1816,corroborated,2,15
pratipatti,1835,corroborated,2,1
nirutsAha,1836,corroborated,2,11
vizvagvAta,1842,corroborated,2,2
sudfzwa,1847,corroborated,2,2
vfndAraka,1872,corroborated,1,4
dvAviMSati,1878,corroborated,1,1
candraketu,1899,corroborated,0,1
meGavega,1899,corroborated,0,1
suvarcas,1899,corroborated,0,4
sUryaBAs,1900,corroborated,0,1
duHsamIkzya,1928,corroborated,0,1
vasAtIya,1934,corroborated,0,3
vyAyAma,1939,corroborated,0,2
dAva,1942,corroborated,0,1
nirjIva,1954,corroborated,0,1
SiSuka,1959,corroborated,0,1
glAni,1968,corroborated,-1,2
vapA,1976,corroborated,-1,2
puras,1993,corroborated,0,6
puraskArya,1993,corroborated,0,1
Bojya,1993,corroborated,0,3
saMbADa,1994,corroborated,0,3
salokatA,2002,corroborated,0,2
niraBImAna,2019,corroborated,1,1
SravaRIya,2028,corroborated,0,1
saMhAra,2042,corroborated,0,9
niHSeza,2057,corroborated,0,3
susvara,2071,corroborated,0,1
vicAraRa,2082,corroborated,0,16
padma,2089,corroborated,0,3
nanda,2092,corroborated,0,2
paYcagaNga,2095,corroborated,0,1
vetasaka,2095,corroborated,0,1
niScezwa,2096,corroborated,0,4
gokarRa,2098,corroborated,0,1
nEmiza,2098,corroborated,0,1
malaya,2098,corroborated,0,1
nandana,2127,corroborated,-2,2
SravaRa,2128,corroborated,-2,2
SrAvaRa,2128,corroborated,-2,2
SEbya,2138,corroborated,0,5
sfYjaya,2138,corroborated,0,56
yaTepsayA,2147,corroborated,0,1
nizWa,2149,corroborated,0,5
saptapada,2149,corroborated,0,1
sTAla,2159,corroborated,0,2
suvarRazWIvin,2163,corroborated,0,1
sava,2172,corroborated,0,12
hEma,2172,corroborated,0,3
yajYavAwa,2173,corroborated,0,2
parivezwar,2176,corroborated,0,1
puRyaduh,2181,corroborated,0,1
suhotra,2184,corroborated,0,1
parivatsara,2188,corroborated,0,2
pOrava,2196,corroborated,-3,13
nawa,2199,corroborated,-3,3
gANga,2215,corroborated,0,6
sikatA,2215,corroborated,0,3
vanita,2226,corroborated,0,1
viviDa,2231,corroborated,0,27
nirargala,2232,corroborated,0,1
sahavAsa,2236,corroborated,0,1
dIrGAyus,2238,corroborated,0,1
SyAma,2243,corroborated,0,8
rAma,2246,corroborated,0,13
cayana,2249,corroborated,0,1
BagIraTa,2249,corroborated,0,4
caturyuj,2251,corroborated,0,1
samudraga,2256,corroborated,0,4
dilIpa,2263,corroborated,0,3
cazAla,2266,corroborated,0,1
pracazAla,2266,corroborated,0,1
hiraRmaya,2266,corroborated,0,5
dfQaDanvan,2268,corroborated,1,4
yuvanASva,2274,corroborated,0,1
sUnutA,2274,corroborated,0,1
yOvanASva,2279,corroborated,0,2
gaya,2281,corroborated,0,12
bfhadraTa,2281,corroborated,0,1
suDanvan,2281,corroborated,0,3
nfga,2282,corroborated,0,1
nAhuza,2292,corroborated,-1,3
yayAti,2292,corroborated,-1,3
prAjya,2294,corroborated,-2,1
devayAna,2297,corroborated,-1,1
pUru,2301,corroborated,-1,18
SaraRa,2306,corroborated,0,56
pfTumfdvIkA,2309,corroborated,0,1
modaka,2309,corroborated,0,1
SazkulI,2309,corroborated,0,1
pAna,2312,corroborated,0,4
pAnapa,2312,corroborated,0,1
mAdanIya,2312,corroborated,0,1
vArkza,2329,corroborated,0,1
gaya,2334,corroborated,-1,12
parisaMvatsara,2341,corroborated,-1,2
sOvarRa,2344,corroborated,-2,13
paScAt,2349,corroborated,-2,3
brahmasaras,2353,corroborated,-2,1
rantideva,2356,corroborated,0,4
sUda,2356,corroborated,0,12
parivezaka,2357,corroborated,0,1
nizka,2361,corroborated,0,5
yajYopakaraRa,2366,corroborated,0,1
sTAla,2367,corroborated,0,2
Barata,2377,corroborated,0,249
manaHSilA,2379,corroborated,0,1
supratIka,2380,corroborated,0,1
sfmara,2382,corroborated,0,1
viSvajit,2386,corroborated,0,2
SAkuntala,2387,corroborated,0,1
jAmbUnada,2388,corroborated,0,4
pariRAha,2388,corroborated,0,1
pfTu,2394,corroborated,0,7
vEnya,2394,corroborated,0,2
rAjan,2396,corroborated,-2,327
puwaka,2397,corroborated,0,1
praviBAga,2401,corroborated,0,2
puRyajana,2403,corroborated,0,1
viSvaruci,2418,corroborated,0,1
dantakrUram,2431,corroborated,-2,1
rakzovAha,2436,corroborated,0,1
parivAha,2439,corroborated,0,1
nirdasyu,2443,corroborated,0,1
mArIca,2445,corroborated,0,3
vAsa,2478,corroborated,-1,48
Sliz,2481,corroborated,-1,4
maNgalya,2487,corroborated,0,2
maNgalya,2488,corroborated,-1,2
Sibira,2494,corroborated,-2,12
suBadra,2501,corroborated,-1,10
saMyamana,2520,corroborated,-1,2
paritrARa,2526,corroborated,-1,2
svasrIya,2527,corroborated,-1,3
svasrIya,2530,corroborated,-1,3
SuB,2532,corroborated,0,38
suparRa,2572,corroborated,1,9
jayadraTa,2574,corroborated,1,70
sEnDavaka,2574,corroborated,1,5
puRyakft,2590,corroborated,0,5
parivAdin,2592,corroborated,0,1
prAtiveSya,2602,corroborated,0,1
dfQaveDana,2635,corroborated,0,1
nEHSreyasa,2659,corroborated,0,1
saMviDAna,2672,corroborated,0,1
sUci,2674,corroborated,0,6
prApya,2676,corroborated,0,48
pariGa,2708,corroborated,3,8
puRyakft,2720,corroborated,3,5
viSoka,2729,corroborated,-1,6
nirvraRa,2742,corroborated,-1,1
Denuka,2748,corroborated,0,1
nEveSika,2754,corroborated,0,1
cAturASramin,2757,corroborated,0,1
saMviBAgin,2758,corroborated,0,1
svaka,2762,corroborated,0,7
prakAma,2767,corroborated,0,2
visaMjYa,2767,corroborated,0,9
sTaRqila,2775,corroborated,0,1
trEyambaka,2778,corroborated,0,1
nESa,2778,corroborated,1,14
pfTu,2783,corroborated,0,7
prajAgara,2784,corroborated,0,1
meGapuzpa,2812,corroborated,0,1
balAhaka,2812,corroborated,0,9
SEbya,2812,corroborated,0,5
pEtfzvaseya,2815,corroborated,0,1
pratyutTAna,2822,corroborated,0,1
hIna,2834,corroborated,0,9
pASupata,2838,corroborated,0,2
sanAtana,2838,corroborated,0,12
maRimant,2843,corroborated,0,1
nalina,2846,corroborated,0,3
vihAra,2846,corroborated,0,1
mandara,2848,corroborated,0,4
SataSfNga,2851,corroborated,0,1
vfzadaMSa,2852,corroborated,0,1
vizRupada,2855,corroborated,0,1
SUlin,2858,corroborated,0,2
pArvata,2859,corroborated,0,52
lokAdi,2863,corroborated,0,1
prakfti,2864,corroborated,0,3
sADana,2864,corroborated,0,4
srazwar,2864,corroborated,0,3
nIlagrIva,2876,corroborated,0,1
vilohita,2877,corroborated,0,1
havizya,2877,corroborated,-1,1
vasuretas,2878,corroborated,0,1
vyADa,2878,corroborated,0,4
sevya,2881,corroborated,-1,1
sarvArTasADaka,2894,corroborated,0,1
Bava,2898,corroborated,0,157
Satarudriya,2898,corroborated,0,3
pAraRa,2907,corroborated,0,35
pARisvanika,2912,corroborated,0,1
maDuparkika,2912,corroborated,0,1
raktakaRWin,2913,corroborated,0,1
JarJara,2914,corroborated,0,1
Aqambara,2914,corroborated,0,1
snAnagfha,2917,corroborated,0,1
sADivAsa,2920,corroborated,0,1
suganDi,2920,corroborated,0,2
hari,2922,corroborated,0,4
sOra,2926,corroborated,0,13
svastika,2930,corroborated,0,1
rucaka,2931,corroborated,0,1
maNgala,2932,corroborated,0,2
maNgalya,2932,corroborated,0,2
hrAda,2940,corroborated,0,2
vandanIya,2941,corroborated,0,1
nirAkriyA,2956,corroborated,0,1
viSAtana,2963,corroborated,0,1
rAjaDAnI,2972,corroborated,0,1
saMkula,2972,corroborated,0,4
sajja,2986,corroborated,1,4
jEtra,2989,corroborated,1,1
vijaya,2998,corroborated,1,27
parideva,3014,corroborated,0,1
manogrAhya,3015,corroborated,0,1
yAjaka,3027,corroborated,0,1
saptatantu,3027,corroborated,0,1
dyUta,3035,corroborated,1,10
sOmaki,3049,corroborated,0,1
jijIvizu,3051,corroborated,0,1
mAmaka,3057,corroborated,3,25
setubanDa,3065,corroborated,0,1
yadi,3069,corroborated,0,80
vikoSa,3090,corroborated,0,3
gavyUti,3100,corroborated,0,2
varmin,3103,corroborated,2,1
garBavyUha,3110,corroborated,0,1
garBasTa,3110,corroborated,0,1
sudurBida,3110,corroborated,0,3
sUcIpadma,3110,corroborated,0,1
patAkin,3117,corroborated,0,3
dakziRena,3125,corroborated,0,2
nIrada,3153,corroborated,0,1
parjanya,3153,corroborated,0,14
virAva,3190,corroborated,0,2
pratiBaya,3191,corroborated,0,2
dantavezwa,3201,corroborated,0,1
nivedana,3203,corroborated,0,1
nivedana,3203,corroborated,0,1
drumavant,3206,corroborated,0,2
durBida,3219,corroborated,-1,4
nArAyaRa,3255,corroborated,-1,16
mAvellaka,3255,corroborated,-1,1
lalitTa,3255,corroborated,-1,2
parRASa,3305,corroborated,-1,2
pratIpa,3311,corroborated,-1,7
moktavya,3311,corroborated,-1,3
SOri,3313,corroborated,-1,4
duraDizWita,3314,corroborated,-1,1
parRASa,3319,corroborated,-1,2
viSakala,3330,corroborated,-1,2
Dvaja,3332,corroborated,-1,67
sparDin,3345,corroborated,0,4
kzAra,3351,corroborated,0,6
Dvajayazwi,3351,corroborated,0,4
mlecCa,3379,corroborated,1,6
SoRita,3388,corroborated,2,21
nimna,3389,corroborated,0,2
saMbADa,3396,corroborated,0,3
vipriya,3421,corroborated,1,4
grAhya,3431,corroborated,1,2
BaganetranipAtana,3465,corroborated,1,1
durnivArya,3470,corroborated,0,1
mantramaya,3475,corroborated,0,1
brahmasUtra,3479,corroborated,0,1
prabala,3497,corroborated,0,1
govAsana,3552,corroborated,0,2
pratigaja,3552,corroborated,0,3
mandIBU,3666,corroborated,0,1
dIrGagAmin,3672,corroborated,0,1
vinda,3691,corroborated,0,5
jyAyizWa,3701,corroborated,0,1
sraMs,3763,corroborated,0,1
sTirIBU,3764,corroborated,0,3
nAstika,3766,corroborated,0,1
praBAkara,3767,corroborated,0,1
maruDanvan,3781,corroborated,0,1
ruru,3792,corroborated,0,3
sarpaRa,3848,corroborated,0,1
viqambana,3852,corroborated,0,1
SakalIkar,3872,corroborated,0,1
niHsattva,3882,corroborated,1,1
sasattva,3882,corroborated,1,2
duzprekza,3893,corroborated,0,2
patAka,3930,corroborated,-3,10
SuB,3942,corroborated,-3,38
kzemaDUrta,4013,corroborated,0,2
niramitra,4037,corroborated,0,2
sAhadevi,4062,corroborated,0,2
BEma,4069,corroborated,0,2
mAruti,4071,corroborated,0,4
alambuza,4072,corroborated,0,11
vidrava,4092,corroborated,0,11
hEqimbi,4097,corroborated,0,9
pratiBaya,4098,corroborated,0,2
hEqimba,4101,corroborated,0,22
hEqimba,4117,corroborated,0,22
hEqimba,4120,corroborated,0,22
SAlakawaNkawa,4127,corroborated,0,1
mAdfS,4242,corroborated,0,5
nirapekza,4250,corroborated,0,1
vyarTa,4257,corroborated,0,1
pratiyodDar,4260,corroborated,0,1
gupti,4274,corroborated,0,3
rukmaraTa,4310,corroborated,1,15
pAra,4311,corroborated,-1,167
saMpAta,4312,corroborated,1,7
mahAmAtra,4320,corroborated,1,4
grAhya,4337,corroborated,1,2
kElAtaka,4353,corroborated,0,1
tadAtva,4363,corroborated,0,1
dAkziRAtya,4408,corroborated,3,4
vatsadanta,4421,corroborated,-2,2
dehAvaraRa,4422,corroborated,-2,3
paryavaskanda,4444,corroborated,0,1
paryavaskanda,4444,corroborated,0,1
vyapayAna,4444,corroborated,0,1
saraRa,4444,corroborated,0,56
sAntarapluta,4444,corroborated,0,1
dvEDIBAva,4490,corroborated,0,2
nirguRatA,4490,corroborated,0,2
pakzapAta,4490,corroborated,0,1
matsara,4490,corroborated,0,1
nirRaya,4495,corroborated,0,1
Satacandra,4521,corroborated,0,6
durnivAra,4555,corroborated,0,3
laGuveDin,4561,corroborated,0,1
tapanIyamaya,4571,corroborated,0,1
svarasa,4613,corroborated,0,1
maRimaya,4622,corroborated,0,3
pratimAna,4632,corroborated,0,1
BrAjizRu,4698,corroborated,0,2
nirhrIka,4806,corroborated,0,1
pESAca,4819,corroborated,0,1
vAnAyu,4831,corroborated,1,2
lampAka,4847,corroborated,1,1
zaRQatila,4868,corroborated,-3,1
durodara,4870,corroborated,-3,2
nAyaka,4875,corroborated,-3,2
maDyama,4890,corroborated,0,14
lohitArdra,4900,corroborated,0,1
vEtastika,4920,corroborated,1,2
pARqava,4999,corroborated,3,363
jYAtavya,5141,corroborated,0,2
saMvid,5143,corroborated,-1,2
saMvid,5145,corroborated,0,2
Sliz,5161,corroborated,0,4
salilaja,5164,corroborated,0,1
nidarSana,5166,corroborated,0,1
durvimocana,5178,corroborated,0,1
glaha,5331,corroborated,1,2
dyUta,5331,corroborated,1,10
glah,5333,corroborated,-1,2
bAhya,5337,corroborated,1,3
Pull,5375,corroborated,0,2
dvEraTa,5379,corroborated,0,6
SvAviD,5403,corroborated,0,3
vEklavya,5412,corroborated,0,3
durnaya,5461,corroborated,0,1
bila,5527,corroborated,0,1
nirviza,5539,corroborated,0,3
saMramBin,5551,corroborated,0,1
pratyAKyAna,5554,corroborated,0,1
jaya,5564,corroborated,0,59
durDara,5564,corroborated,0,32
durmada,5564,corroborated,0,2
durmarzaRa,5564,corroborated,0,7
duHsaha,5564,corroborated,0,4
SreRikfta,5724,corroborated,0,2
vEhAyasa,5766,corroborated,0,1
smar,5780,corroborated,3,13
yogya,5787,corroborated,0,2
yogya,5790,corroborated,2,2
mallayudDa,5799,corroborated,0,1
tvaraRIya,5842,corroborated,0,1
rakzitavya,5869,corroborated,0,5
jYAtavya,5871,corroborated,0,2
lamb,5872,corroborated,0,2
gozpada,5875,corroborated,0,1
saMyamana,5888,corroborated,-2,2
Suzmin,5898,corroborated,-2,6
raRakft,5916,corroborated,-2,1
paYcAsya,5952,corroborated,2,2
cicCitsu,6001,corroborated,0,1
BUridakziRa,6002,corroborated,0,6
pratIGAta,6015,corroborated,0,4
vAlmIki,6019,corroborated,0,1
yaTA,6027,corroborated,0,348
soma,6028,corroborated,0,27
nahuza,6029,corroborated,0,3
yayAti,6029,corroborated,0,3
devamIQa,6030,corroborated,0,1
vasudeva,6031,corroborated,0,66
SUra,6031,corroborated,0,173
devaka,6033,corroborated,0,3
devaka,6034,corroborated,0,3
vasudeva,6034,corroborated,-3,66
somadatta,6035,corroborated,0,25
lohitAy,6100,corroborated,0,1
SAradvata,6107,corroborated,0,17
Sliz,6110,corroborated,0,4
mohanIya,6146,corroborated,0,1
prahartavya,6321,corroborated,1,2
vAsava,6331,corroborated,1,28
vijetavya,6337,corroborated,0,1
gAnDarva,6348,corroborated,0,17
Suzmin,6353,corroborated,0,6
pawwa,6379,corroborated,0,5
vyAyAma,6511,corroborated,0,2
druh,6512,corroborated,0,1
vivara,6512,corroborated,0,7
salokatA,6519,corroborated,1,2
yadi,6579,corroborated,1,80
SiSira,6645,corroborated,0,3
