headword_slp1,cited_verse,category,delta,n_loci
tumula,6661,corroborated,0,35
parANmuKa,6731,corroborated,1,8
patanIya,6733,corroborated,1,1
tAra,6737,corroborated,1,14
trAsana,6793,corroborated,1,2
triveRu,6811,corroborated,1,3
nikumBa,6850,corroborated,0,1
parAkrama,6850,corroborated,0,33
jaya,6851,corroborated,0,59
dfQaraTa,6851,corroborated,0,2
vijaya,6851,corroborated,0,27
hemakampana,6851,corroborated,0,1
piprIzu,6855,corroborated,0,1
daSanacCada,6883,corroborated,0,3
suraTa,6910,corroborated,-1,1
jayAnIka,6911,corroborated,-1,2
balAnIka,6911,corroborated,-1,2
candrasena,6912,corroborated,0,1
cetas,6935,corroborated,1,1
dfQa,6938,corroborated,1,22
dfQaraTa,6938,corroborated,0,2
suhasta,6938,corroborated,1,2
BArasADana,6939,corroborated,0,1
vfkaraTa,6942,corroborated,0,1
Satacandra,6943,corroborated,1,6
viBu,6944,corroborated,1,13
SaraBa,6944,corroborated,1,9
suBaga,6944,corroborated,1,1
gavAkza,6944,corroborated,1,1
palAy,6985,corroborated,1,9
garj,6989,corroborated,1,7
garj,6990,corroborated,0,7
garj,6990,corroborated,0,7
garj,6991,corroborated,-1,7
dAmacandra,7009,corroborated,1,1
Dara,7009,corroborated,0,56
Druva,7009,corroborated,0,27
rudrasena,7009,corroborated,0,1
vasucandra,7009,corroborated,1,1
siMhacandra,7009,corroborated,1,1
sutejana,7009,corroborated,1,2
jayAnIka,7011,corroborated,1,2
balAnIka,7011,corroborated,1,2
SrutaDvaja,7011,corroborated,0,1
SrutAnIka,7011,corroborated,0,1
candrodaya,7012,corroborated,0,1
jayASva,7012,corroborated,0,2
raTavAhana,7012,corroborated,0,1
jalaDara,7163,corroborated,0,2
muhUrta,7174,corroborated,-1,15
vidveza,7180,corroborated,-1,1
tumula,7193,corroborated,0,35
tumula,7193,corroborated,0,35
SEneya,7242,corroborated,0,70
yAvanmAtra,7274,corroborated,0,1
BUri,7397,corroborated,0,6
zaRmuKa,7412,corroborated,0,2
mahiza,7412,corroborated,0,2
hAhAkfta,7429,corroborated,0,6
nirviza,7622,corroborated,0,3
lakzya,7662,corroborated,0,3
viDanuzka,7702,corroborated,0,2
vEtaraRa,7730,corroborated,0,2
nivartana,7785,corroborated,1,6
vAsava,7812,corroborated,1,28
pAra,7831,corroborated,0,167
skanda,7837,corroborated,0,5
hariSmaSru,7894,corroborated,0,1
viBIzaRa,7903,corroborated,-1,3
sawa,7904,corroborated,-1,131
virUpAkza,7905,corroborated,-1,4
varman,7916,corroborated,0,6
BAskara,7938,corroborated,0,29
svarBAnu,7938,corroborated,0,2
BArasaha,7974,corroborated,0,1
BuSuRqi,8023,corroborated,0,1
prasveda,8104,corroborated,0,1
varAhakarRa,8128,corroborated,0,1
mayUKin,8141,corroborated,0,1
SUla,8141,corroborated,0,7
SUla,8151,corroborated,0,7
visarpaRa,8187,corroborated,0,3
vimada,8204,corroborated,-1,1
nEzAdi,8214,corroborated,-1,1
naBas,8221,corroborated,-1,3
rohiRinandana,8222,corroborated,-1,1
sTURAkarRa,8222,corroborated,3,1
jara,8224,corroborated,0,1
suvikrama,8224,corroborated,-1,2
sTURAkarRa,8226,corroborated,-1,1
loptar,8240,corroborated,-1,1
parAyaRa,8252,corroborated,0,7
parAyaRa,8252,corroborated,0,7
Svapaca,8254,corroborated,0,1
parAyaRa,8270,corroborated,0,7
yuD,8287,corroborated,0,133
mAhendra,8408,corroborated,3,7
marzaRIya,8420,corroborated,0,2
Gaw,8428,corroborated,0,7
puraHsara,8458,corroborated,0,3
tApanIya,8459,corroborated,0,2
SapaTa,8509,corroborated,0,2
niHSeza,8511,corroborated,-1,3
purA,8511,corroborated,-1,102
nilayana,8540,corroborated,1,1
sEnika,8576,corroborated,0,32
pratinipAta,8591,corroborated,0,1
vizama,8622,corroborated,0,13
sumahAraTa,8635,corroborated,0,2
pUti,8639,corroborated,0,1
suyudDa,8640,corroborated,0,6
vasudAna,8724,corroborated,0,5
garga,8728,corroborated,0,1
marIcipa,8728,corroborated,0,1
vAlaKilya,8728,corroborated,0,1
sikatA,8728,corroborated,0,3
parivezin,8759,corroborated,0,1
vAraRa,8762,corroborated,0,32
miSra,8774,corroborated,0,6
raTezA,8781,corroborated,0,6
vEtastika,8796,corroborated,0,2
durvAraRa,8838,corroborated,0,3
DAraRa,8859,corroborated,0,8
smar,8860,corroborated,0,13
lohitANga,8877,corroborated,0,2
sEnika,8877,corroborated,0,32
vijayin,8889,corroborated,0,2
rajasvala,8896,corroborated,0,3
viparyAsa,8899,corroborated,0,2
grAha,8918,corroborated,-1,14
viDarmaka,8989,corroborated,0,1
nirbanDu,8996,corroborated,0,1
visarjana,9014,corroborated,0,1
praSamana,9015,corroborated,0,1
jAlmaka,9023,corroborated,0,1
samudraga,9030,corroborated,0,4
nirmama,9066,corroborated,0,1
drORAyani,9109,corroborated,0,3
viDarmin,9114,corroborated,0,1
vivitsA,9135,corroborated,-1,1
SvapAka,9135,corroborated,0,1
SlAG,9138,corroborated,0,1
pAYcAla,9145,corroborated,2,134
pAYcAlaka,9148,corroborated,-1,1
pApaniScaya,9153,corroborated,-1,2
vaktavya,9153,corroborated,0,3
pApa,9154,corroborated,-2,40
prAyagata,9154,corroborated,1,2
prAyagata,9156,corroborated,-1,2
durjYeya,9170,corroborated,-1,1
durvida,9170,corroborated,-1,1
