parvan,cited_verse,L,headword_slp1,parvan_robust_fence
13,73001,115989,han,15706
2,17286,37910,nalina,14333
14,16950,27572,jIv,6792
6,16942,39824,nivArya,14394
13,15829,19867,krIqa,15706
6,15748,103473,saMkula,14394
2,15221,57513,mantray,14333
2,14885,91355,vijYa,14333
4,14668,39171,niraBImAna,5445
9,12049,86437,lih,9156
4,8396,51703,badara,5445
14,7740,32146,darS,6792
4,6825,74945,tAta,5445
