ref_id,parvan,verse,headword_slp1,marker,confidence,edition_ref,evidence_tier,bori_locus,verdict,cascade_tier,retrieved_form_slp1,quote
PWG-L68680-MBH1.2988,1,2988,Uru,lies,high,Bomb,quote-exact,"01,65.13",confirmed,local-GRETIL,nAganAsoru,"{#Uru#}¦ 1〉 Z. 15. {#vAmorUH#} MBH. 1,2988, ed. Bomb. Z. 17 lies {#nAganAsoru#} st. {#nagna˚#}. — 2〉 ein Āṅgirasa, Verfasser"
PWG-L68680-MBH1.2988,1,2988,Uru,st.,medium,Bomb,quote-exact,"01,65.13",confirmed,local-GRETIL,nAganAsoru,"{#Uru#}¦ 1〉 Z. 15. {#vAmorUH#} MBH. 1,2988, ed. Bomb. Z. 17 lies {#nAganAsoru#} st. {#nagna˚#}. — 2〉 ein Āṅgirasa, Verfasser von ṚV. 9,108,4</ls"
PWG-L37847-MBH1.3140,1,3140,narizyant,zu lesen,high,,quote-exact,"01,70.13",confirmed,local-GRETIL,narizyantam,"zyatprAMSu˚#} zu lesen ist). 641. {#narizyantam#} MBH. 1,3140 könnte auch auf das T"
PWG-L53862-MBH1.3260,1,3260,Baj,zu lesen,high,Bomb,quote-exact,"01,72.5",confirmed,local-GRETIL,mAM BaktAM Bajitumarhasi,", v. l. LA. (II) 36,2. {#mAM BaktAM Bajitumarhasi#} MBH. 1,3260. act.: {#kanyAM BajantImutkfzwaM na kiMcidapi dApayet#} M. 8,365. {#BajantIM#} (so ist mit der ed. Bomb. zu lesen) MBH. 1,3871. {#BaktAM"
PWG-L88293-MBH1.3492,1,3492,varIyaMs,zu lesen,high,,quote-exact,"01,79.24",confirmed,local-GRETIL,tvaMmepriyaHputrastvaMvarIyAnBavizyasi,yaH putrastvaM varIyAnBavizyasi#} {%du wirst mir noch lieber werden%}
PWG-L36186-MBH1.3581,1,3581,Dar,fehlerhaft,high,,quote-exact,"01,84.5",confirmed,local-GRETIL,evaM praDArya,". 5,4120. — 4〉 {%bei sich denken%}: {#evaM praDArya#} MBH. 1,3581. — {#praDArayantu#} ĀŚV. GṚHY. 3,12 fehlerhaft für {#pra DArA yantu#}. [Page3-0876] — {#saMpra#} 1〉 {%übergeben%}: {#drOpadIm"
PWG-L50463-MBH1.3765,1,3765,prAcinvant,fälschlich,medium,,quote-exact,"01,119.20",confirmed,local-GRETIL,pracinvant,"= {#pracinvant#} N. pr. eines Sohnes des Janamejaya MBH. 1,3765. fg. Der Name wird hier fälschlich mit {#prAcI#} in Verbindung gebracht."
PWG-L36862-MBH1.4162,1,4162,DUmaketu,lies,high,,quote-exact,"01,97.17",confirmed,local-GRETIL,taTozRatAm,"{#praBAM samutsfjedarko DUmaketustaTozmatAm#} (lies: {#taTozRatAm#}) MBH. 1,4162. — b〉 {%Komet%} AK. H. 126<"
PWG-L106569-MBH1.4205,1,4205,sarj,zu lesen,high,,quote-exact,"07,34.12",confirmed,local-GRETIL,guruM BAraM sOBadre samavAsfjat,"BH. 1,6749. {#(tam) badDvoqupe parikzipya gaNgAyAM samavAsfjan#} 4205. — 3〉 {%weglassen%} AIT. BR. 4,13. — 4〉 {%aufbürden%}: {#guruM BAraM sOBadre samavAsfjat#} (wohl {#˚sajat#} zu lesen; vgl. {#sarj#"
PWG-L53686-MBH1.4245,1,4245,brU,falsch,medium,,quote-exact,"01,99.22",confirmed,local-GRETIL,vedAnvibruvan,"praSnAnkAMScidvibruvARam#} 1,166. {#vedAnvibruvan#} 4245. {#na vibrUyAnnfpo Darmam#} M. 8,390. — 2〉 {%falsch aussagen%}: {#abruvanvibruvanvApi naro Bavati kilvizI#} M. 8,13. 1"
