ref_id,parvan,verse,headword_slp1,marker,confidence,edition_ref,evidence_tier,bori_locus,verdict,cascade_tier,retrieved_form_slp1,quote
PWG-L74383-MBH12.765,12,765,ji,lies,high,,quote-exact,"12,25.32",confirmed,local-GRETIL,jitvA saMgrAmAn,"1. {#ji#}¦ 1〉 {#jitvA saMgrAmAn#} MBH. 12,765. Z. 4 lies 3,34,4 st. 8,34,4. — 2〉 {#yaTA pipAsAM jayate#} ({#jayati#} ed. B"
PWG-L74383-MBH12.765,12,765,ji,st.,medium,Bomb,quote-exact,"12,25.32",confirmed,local-GRETIL,jitvA saMgrAmAn,"1. {#ji#}¦ 1〉 {#jitvA saMgrAmAn#} MBH. 12,765. Z. 4 lies 3,34,4 st. 8,34,4. — 2〉 {#yaTA pipAsAM jayate#} ({#jayati#} ed. Bomb.) {#pu"
PWG-L96281-MBH12.1213,12,1213,vyaD,st.,medium,Bomb,quote-exact,"12,35.8",confirmed,local-GRETIL,apaviDyeta,"ssigen, sich nicht kümmern um%}: {#trInagnIn#} MBH. 13,4523. 12,1213 ({#apaviDyeta#} st. {#parimucyeta#} ed. Bomb.) M. 11,41. {#apavidDAstu yErvedA vahnaya"
PWG-L37814-MBH12.1383,12,1383,narayAna,zu lesen,high,,quote-exact,"01,16.6",confirmed,local-GRETIL,nArAyaRena,"nara#} + {#yAna#}) n. {%ein von Menschen gezogener Wagen%} MBH. 12,1383. {#narayARa#} (!) {%ein als Reitthier dienender Mensch%}: {#na taTA kariRA yAnaM turageRa raTena vA . narayARena#} (wofür {#nArA"
PWG-L92206-MBH12.1734,12,1734,viparyaya,zu schreiben,high,,quote-exact,"12,49.19",confirmed,local-GRETIL,viparyayeRa,"71,13. {#viparyayeRa#} <"
PWG-L69116-MBH12.1812,12,1812,oGavant,fälschlich,medium,,quote-exact,"12,50.7",confirmed,local-GRETIL,nadImoGavatImanu,"{#oGavant#}¦ 3〉b〉 MBH. 6,329. {#nadImoGavatImanu#} 12,1812, welches in LIA. I, 699 fälschlich in {#nadI — mo˚#} zerlegt wird."
PWG-L54387-MBH12.1878,12,1878,BA,zu lesen,high,Bomb,quote-exact,"03,135.26",confirmed,local-GRETIL,pratiBAsyanti,". 1,696 (= 739). 3,13510. 12,1878 (wo mit der ed. Bomb. {#pratiBAsyanti#} zu lesen ist). {#nottaraM pratiBAti me#} {%es fällt mir keine Antwort ein%} HARIV. 9972."
PWG-L47926-MBH12.2274,12,2274,prajana,st.,medium,,quote-exact,"12,21.11",confirmed,local-GRETIL,prajanaH svezu dArezu,"n=""M."">12,121. MBH. 3,12648. {#prajanaH svezu dArezu#} 12,2274. (st. {#prajanaH#} das neutr. {#prajanaM#} 626). <ls n=""M"
PWG-L103218-MBH12.2420,12,2420,saMhanana,zu lesen,high,,quote-exact,"01,1.94",confirmed,local-GRETIL,parasparaM,"s>NĪLAK. 43. — f〉 etwa {%Harmonie, Uebereinstimmung%} MBH. 12,2420 (wo vielleicht {#parasparaM#} zu lesen ist). — 9〉 {%Harnisch%} ({#daMSa#}) TRIK. 3,3,427. MBH. 7,79"
PWG-L24556-MBH12.2425,12,2425,caturASrAmya,fehlerhaft,high,,quote-exact,"03,148.20",confirmed,local-GRETIL,caturASrAmya,"{#caturASrAmya#}¦ MBH. 12,2425 fehlerhaft für {#cA˚#}."
PWG-L61106-MBH12.2562,12,2562,muz,zu lesen,high,,quote-exact,"03,188.37",confirmed,local-GRETIL,hasto hastaM,">3,13030. {#hasto hastaM parimuzet#} 13047. 12,2562 (hier wohl auch {#hasto hastaM#} zu lesen). {#dasyuBiH parimuzyatAm#} (partic. pass.) — {#prajAnAm#} <ls n=""MBH."
PWG-L104720-MBH12.2662,12,2662,saMDAna,zu lesen,high,,quote-exact,"12,69.65",confirmed,local-GRETIL,saMDAyAsana,AtrAsaMDAna#} so v. a. {#saMDAyAsana#} und {#saMDAyagamana#} MBH. 12
