dict_a,dict_b,shared_cited_lemmas,mean_source_jaccard,shared_exact_refs,b_truncates_a,a_truncates_b,comparable_sources
PW,PWKVN,12914,0.8688,16651,5,0,14694
PWKVN,SCH,11717,0.8353,10828,15,2,12046
AP,AP90,8031,0.7643,25467,159,15,20527
PW,SCH,13987,0.6199,10167,26,2,11397
MW,PW,46061,0.1791,2430,3,11424,13919
MW,PWKVN,7826,0.1771,145,0,1752,1916
BEN,PWG,15451,0.16,1586,18,2,11387
MW,PWG,80600,0.1579,3132,4,41571,44289
AP90,LRV,3213,0.1486,14,1597,0,1609
AP,LRV,3589,0.1472,10,1545,0,1554
PW,PWG,25734,0.1349,3781,3158,1058,12426
MW,SCH,11609,0.1236,213,1,1766,2015
BEN,MW,15977,0.1016,129,4831,1,5008
BEN,PW,8386,0.046,35,94,0,1236
LRV,PWG,6437,0.0434,45,0,3574,3582
AE,BOR,77,0.0426,0,7,0,7
GRA,MW,1331,0.0417,207,93,0,293
BOR,SCH,5,0.04,0,0,1,1
BEN,PWKVN,1593,0.0385,2,0,0,108
GRA,PWG,1269,0.0379,198,1,110,299
PWG,PWKVN,3333,0.0303,172,14,32,508
AP,PWG,8242,0.0279,63,3,216,1786
GRA,PW,799,0.0277,29,2,5,44
AP90,BOR,5,0.0243,0,2,0,2
BEN,LRV,5068,0.0229,0,383,0,383
LRV,MW,7089,0.0227,936,0,30,963
PWG,SCH,6596,0.0212,156,92,27,783
BEN,SCH,2912,0.0201,2,0,0,107
AP90,PWG,4170,0.0197,39,1,159,1648
AP,BEN,4507,0.0178,0,0,74,269
AP,BOR,6,0.0165,0,2,0,2
AP,MW,12402,0.0163,159,948,5,1109
AP90,MW,5675,0.0151,65,750,3,816
BHS,GRA,123,0.0134,4,0,0,4
LRV,PWKVN,964,0.0132,0,0,26,26
AP,GRA,543,0.0106,0,5,0,13
LRV,PW,4402,0.0102,8,0,154,162
AP,PW,4943,0.0079,1,7,32,110
LRV,SCH,1785,0.0067,1,0,24,25
AP90,BEN,2964,0.0064,1,0,75,110
BOR,PWG,13,0.0048,0,0,4,4
AP,PWKVN,1183,0.0043,1,0,1,9
BHS,MW,5647,0.0038,96,0,61,157
AP90,PW,2895,0.0034,0,1,14,72
BHS,PWG,4390,0.0022,11,0,115,121
AP,SCH,2027,0.0019,0,2,1,15
AP90,SCH,1285,0.0016,0,3,1,13
BHS,PW,3460,0.0013,6,0,22,28
AP,BHS,911,0.0012,0,8,0,8
BHS,SCH,1941,0.0012,1,0,11,12
AP90,GRA,448,0.0011,0,1,0,1
GRA,PWKVN,255,0.0011,0,0,1,2
AP90,BHS,634,0.001,0,9,0,9
BEN,BHS,1592,0.001,0,10,0,10
BHS,LRV,1031,0.001,1,0,0,1
AP90,PWKVN,794,0.0009,0,0,1,4
BHS,PWKVN,1411,0.0008,3,0,4,7
AP,IEG,620,0.0004,0,1,0,1
GRA,SCH,346,0.0004,1,0,0,1
AE,AP,5,0.0,0,0,0,0
AE,AP90,3,0.0,0,0,0,0
AE,BEN,4,0.0,0,0,0,0
AE,BHS,2,0.0,0,0,0,0
AE,GRA,3,0.0,0,0,0,0
AE,IEG,3,0.0,0,0,0,0
AE,LAN,2,0.0,0,0,0,0
AE,LRV,4,0.0,0,0,0,0
AE,MW,14,0.0,0,0,0,0
AE,PW,4,0.0,0,0,0,0
AE,PWG,13,0.0,0,0,0,0
AE,PWKVN,2,0.0,0,0,0,0
AE,SCH,2,0.0,0,0,0,0
AP,LAN,1000,0.0,0,0,0,0
AP90,IEG,494,0.0,0,0,0,0
AP90,LAN,843,0.0,0,0,0,0
BEN,BOR,5,0.0,0,0,0,0
BEN,GRA,695,0.0,0,0,0,0
BEN,IEG,1341,0.0,0,0,0,0
BEN,LAN,1552,0.0,0,0,0,0
BHS,BOR,2,0.0,0,0,0,0
BHS,IEG,608,0.0,0,0,0,0
BHS,LAN,341,0.0,0,0,0,0
BOR,GRA,6,0.0,0,0,0,0
BOR,IEG,1,0.0,0,0,0,0
BOR,LAN,5,0.0,0,0,0,0
BOR,LRV,4,0.0,0,0,0,0
BOR,MW,12,0.0,0,0,0,0
BOR,PW,6,0.0,0,0,0,0
BOR,PWKVN,4,0.0,0,0,0,0
GRA,IEG,133,0.0,0,0,0,0
GRA,LAN,429,0.0,0,0,0,0
GRA,LRV,522,0.0,0,0,0,0
IEG,LAN,376,0.0,0,0,0,0
IEG,LRV,926,0.0,0,0,0,0
IEG,MW,2571,0.0,0,0,0,0
IEG,PW,1583,0.0,0,0,0,0
IEG,PWG,2249,0.0,0,0,0,0
IEG,PWKVN,389,0.0,0,0,0,0
IEG,SCH,813,0.0,0,0,0,0
LAN,LRV,1116,0.0,0,0,0,0
LAN,MW,2172,0.0,0,0,0,0
LAN,PW,1405,0.0,0,0,0,0
LAN,PWG,2085,0.0,0,0,0,0
LAN,PWKVN,377,0.0,0,0,0,0
LAN,SCH,558,0.0,0,0,0,0
