L,headword_slp1,parvan,verse,marker,confidence,category,delta
9989,icCaka,3,238,druckfehler,high,absent,
82186,yuj,3,258,statt,medium,absent,
59392,mA,3,286,fehlerhaft,high,absent,
77582,nI,3,286,fehlerhaft,high,absent,
16988,kAS,3,438,zu lesen,high,absent,
21814,gam,3,453,zu lesen,high,absent,
107462,sah,3,535,zu schreiben,high,absent,
107412,saSeza,3,541,zu schreiben,high,absent,
100213,Suc,3,590,fälschlich,medium,absent,
106410,sar,3,665,fehlerhaft,high,absent,
40628,nud,3,679,zu lesen,high,absent,
27108,javana,3,756,zu lesen,high,absent,
81815,yA,3,775,zu lesen,high,absent,
81815,yA,3,775,zu lesen,high,absent,
57948,mard,3,874,zu lesen,high,absent,
32475,dAtyUha,3,936,lies,high,absent,
85042,ruD,3,962,fehlerhaft,high,absent,
72578,gam,3,1049,lies,high,absent,
72578,gam,3,1049,st.,medium,absent,
64130,aparADin,3,1054,zu lesen,high,absent,
115989,han,3,1091,zu lesen,high,absent,
38048,naS,3,1098,zu lesen,high,absent,
117917,hval,3,1155,zu lesen,high,absent,
118649,aSreyaMs,3,1195,zu lesen,high,absent,
63862,antatas,3,1228,lies,high,absent,
63862,antatas,3,1228,lies,high,absent,
115989,han,3,1273,zu lesen,high,absent,
22667,gup,3,1288,zu lesen,high,absent,
25297,ci,3,1319,falsch,medium,absent,
92465,viBAvaka,3,1347,fehlerhaft,high,absent,
58004,marS,3,1369,zu lesen,high,absent,
25297,ci,3,1378,zu lesen,high,absent,
64054,apacaya,3,1380,lies,high,absent,
45464,pIWasarpa,3,1397,zu lesen,high,absent,
104809,saMnikarza,3,1533,fälschlich,medium,absent,
106410,sar,3,1739,fälschlich,medium,absent,
92620,vimahant,3,1747,st.,medium,absent,
117299,huhu,3,1769,zu lesen,high,absent,
117299,huhu,3,1769,st.,medium,absent,
93196,viS,3,1775,zu lesen,high,absent,
91742,vidyAvant,3,1802,st.,medium,absent,
22733,gulPa,3,1828,st.,medium,absent,
114392,spaS,3,1855,fehlerhaft,high,absent,
104247,sad,3,1860,zu lesen,high,absent,
55166,BU,3,2112,statt,medium,absent,
116085,har,3,2177,fehlerhaft,high,absent,
91581,vid,3,2203,zu lesen,high,absent,
106569,sarj,3,2218,fehlerhaft,high,absent,
91581,vid,3,2246,st.,medium,absent,
15071,kar,3,2289,lies,high,absent,
100350,SuD,3,2289,fehlerhaft,high,absent,
104247,sad,3,2322,zu lesen,high,absent,
47920,praC,3,2392,zu lesen,high,absent,
32377,dah,3,2400,lies,high,absent,
42000,pad,3,2426,zu lesen,high,absent,
42000,pad,3,2426,st.,medium,absent,
86354,liK,3,2453,zu lesen,high,absent,
86354,liK,3,2453,fehlerhaft,high,absent,
86354,liK,3,2453,st.,medium,absent,
15071,kar,3,2469,zu lesen,high,absent,
21814,gam,3,2555,fälschlich,medium,absent,
42307,par,3,2595,zu lesen,high,absent,
102199,SvApada,3,2651,zu lesen,high,absent,
104028,sattvavant,3,2678,fehlerhaft,high,absent,
116887,hi,3,2716,st.,medium,absent,
33063,diS,3,2727,zu lesen,high,absent,
53686,brU,3,2729,statt,medium,absent,
57252,man,3,2759,fehlerhaft,high,absent,
49552,pramuKa,3,3062,st.,medium,absent,
64180,apaSrayin,3,3076,fehlerhaft,high,absent,
64244,apASrayin,3,3076,fälschlich,medium,absent,
101797,Sru,3,3084,st.,medium,absent,
116085,har,3,3993,zu lesen,high,absent,
4111,apAvftta,3,4052,zu lesen,high,absent,
93196,viS,3,4082,st.,medium,absent,
81526,yam,3,5001,st.,medium,absent,
49254,pranftyavant,3,6087,fehlerhaft,high,absent,
53875,BaYj,3,7214,zu lesen,high,absent,
103326,sakfnnandA,3,8137,st.,medium,absent,
87589,vataraRI,3,8148,fehlerhaft,high,absent,
15073,kar,3,8260,st.,medium,absent,
38048,naS,3,8494,zu lesen,high,absent,
46289,puroravas,3,8504,fehlerhaft,high,absent,
88102,var,3,8567,zu lesen,high,absent,
99812,Siz,3,8603,zu lesen,high,absent,
99812,Siz,3,8603,statt,medium,absent,
41788,pat,3,8717,zu lesen,high,absent,
12103,upaSama,3,8753,lies,high,absent,
116374,hartar,3,8756,st.,medium,absent,
22362,gAh,3,8772,lies,high,absent,
81827,yAc,3,8780,st.,medium,absent,
112232,sUd,3,8814,lies,high,absent,
56165,makzika,3,9972,zu lesen,high,absent,
19226,kESika,3,10095,fehlerhaft,high,absent,
57948,mard,3,10203,st.,medium,absent,
95668,vEqUrya,3,10306,fehlerhaft,high,absent,
116085,har,3,10385,zu lesen,high,absent,
101574,Sri,3,10456,fehlerhaft,high,absent,
44971,pAvin,3,10543,zu lesen,high,absent,
13901,Ottara,3,10546,zu lesen,high,absent,
71181,kuvartman,3,10571,st.,medium,absent,
40379,nI,3,10656,fehlerhaft,high,absent,
53686,brU,3,10657,fälschlich,medium,absent,
108175,sAdyaHkra,3,10663,fehlerhaft,high,absent,
91583,vid,3,10676,fehlerhaft,high,absent,
25298,ci,3,10676,fälschlich,medium,absent,
30296,tUzRIMgaNgam,3,10698,zu lesen,high,absent,
81648,yavakrin,3,10733,st.,medium,absent,
86488,luYc,3,10760,zu lesen,high,absent,
17687,kutra,3,10953,st.,medium,absent,
103164,saMsTAna,3,11017,zu schreiben,high,absent,
11415,udDara,3,11188,fehlerhaft,high,absent,
10490,Iti,3,11258,zu lesen,high,absent,
42000,pad,3,11312,zu lesen,high,absent,
107462,sah,3,11388,st.,medium,absent,
50316,prahlAdana,3,11446,zu lesen,high,absent,
50316,prahlAdana,3,11446,st.,medium,absent,
6879,aS,3,11477,zu lesen,high,absent,
40626,nuq,3,11477,druckfehler,high,absent,
6879,aS,3,11477,statt,medium,absent,
109668,sIv,3,11495,druckfehler,high,absent,
116085,har,3,11517,zu lesen,high,absent,
52795,bIjapUra,3,11568,fälschlich,medium,absent,
74187,jambu,3,11569,st.,medium,absent,
15351,karRapUra,3,11589,lies,high,absent,
15351,karRapUra,3,11589,st.,medium,absent,
26086,Cadana,3,11595,lies,high,absent,
10470,Ikz,3,11657,lies,high,absent,
10470,Ikz,3,11657,st.,medium,absent,
85093,ruh,3,11906,statt,medium,absent,
110176,sutasoma,3,11913,zu lesen,high,absent,
88853,vaSaMkara,3,11943,fehlerhaft,high,absent,
42633,parAhRa,3,11998,zu schreiben,high,absent,
42633,parAhRa,3,11998,st.,medium,absent,
48918,pratyarTam,3,12052,fehlerhaft,high,absent,
57252,man,3,12069,zu lesen,high,absent,
57252,man,3,12069,st.,medium,absent,
83258,ratnadruma,3,12198,zu lesen,high,absent,
1122,awwAlaka,3,12199,fälschlich,medium,absent,
60962,mud,3,12225,fehlerhaft,high,absent,
22333,gArDravAjita,3,12230,fehlerhaft,high,absent,
60962,mud,3,12235,st.,medium,absent,
73883,cud,3,12235,statt,medium,absent,
115989,han,3,12270,zu lesen,high,absent,
85093,ruh,3,12274,fälschlich,medium,absent,
55166,BU,3,12275,zu lesen,high,absent,
81815,yA,3,12358,zu lesen,high,absent,
60883,muc,3,12381,st.,medium,absent,
72200,kzveqana,3,12389,zu lesen,high,absent,
72200,kzveqana,3,12389,st.,medium,absent,
85042,ruD,3,12728,fälschlich,medium,absent,
101797,Sru,3,12772,st.,medium,absent,
93103,vivAdin,3,13048,fehlerhaft,high,absent,
58711,mahAbrAhmaRa,3,13248,zu lesen,high,absent,
44894,pArzRi,3,13309,statt,medium,absent,
80347,maT,3,13322,st.,medium,absent,
48720,pratisrotas,3,13473,fälschlich,medium,absent,
93931,vizuvant,3,13477,zu schreiben,high,absent,
68875,ekapatnI,3,13632,zu lesen,high,absent,
68875,ekapatnI,3,13632,st.,medium,absent,
101574,Sri,3,13658,st.,medium,absent,
23861,glA,3,13730,zu lesen,high,absent,
88101,var,3,13755,fehlerhaft,high,absent,
88101,var,3,13755,fehlerhaft,high,absent,
69139,ozaDi,3,13827,fehlerhaft,high,absent,
77496,nizkala,3,13851,zu lesen,high,absent,
66094,Akranda,3,13859,st.,medium,absent,
79566,prAkkfta,3,13864,fehlerhaft,high,absent,
93846,vizayIBAva,3,13928,fehlerhaft,high,absent,
85093,ruh,3,13929,statt,medium,absent,
39280,nirASin,3,13994,zu lesen,high,absent,
21814,gam,3,14044,lies,high,absent,
99812,Siz,3,14107,zu lesen,high,absent,
103165,saMsTAnacArin,3,14113,fehlerhaft,high,absent,
111673,suveza,3,14168,st.,medium,absent,
46404,puzwimati,3,14176,fehlerhaft,high,absent,
81094,yat,3,14417,zu lesen,high,absent,
87008,lohitAyani,3,14494,st.,medium,absent,
34063,duHsTita,3,14669,lies,high,absent,
88916,vas,3,14758,fehlerhaft,high,absent,
45466,pIq,3,14759,fehlerhaft,high,absent,
114765,sru,3,14767,zu lesen,high,absent,
82167,yugma,3,14922,fehlerhaft,high,absent,
114190,sTUlAkarRa,3,14995,fehlerhaft,high,absent,
100884,SEGrya,3,15101,fehlerhaft,high,absent,
81526,yam,3,15131,zu lesen,high,absent,
103800,saMcaya,3,15160,zu lesen,high,absent,
89801,vAtika,3,15327,st.,medium,absent,
72578,gam,3,15399,zu lesen,high,absent,
117242,hu,3,15593,zu lesen,high,absent,
59390,mA,3,15637,zu lesen,high,absent,
106569,sarj,3,15655,druckfehler,high,absent,
9940,i,3,15674,zu lesen,high,absent,
9940,i,3,15674,st.,medium,absent,
93196,viS,3,15681,zu lesen,high,absent,
121547,mA,3,15688,lies,high,absent,
36484,DA,3,15726,lies,high,absent,
40628,nud,3,15739,st.,medium,absent,
101797,Sru,3,15786,st.,medium,absent,
100007,SIrzan,3,15815,falsch,medium,absent,
15099,karaja,3,15837,fälschlich,medium,absent,
63662,anuBAga,3,15936,fehlerhaft,high,absent,
43927,pAMsana,3,15978,fehlerhaft,high,absent,
89199,vah,3,16129,fehlerhaft,high,absent,
29396,tArApati,3,16130,fälschlich,medium,absent,
98374,SaSalakzmaRa,3,16198,fehlerhaft,high,absent,
102918,saMviDi,3,16324,zu lesen,high,absent,
118931,iz,3,16487,st.,medium,absent,
94610,vIryamattva,3,16610,fehlerhaft,high,absent,
87302,vac,3,16670,statt,medium,absent,
116085,har,3,16692,st.,medium,absent,
88916,vas,3,16699,fehlerhaft,high,absent,
86156,laz,3,16703,fälschlich,medium,absent,
95788,vEDavya,3,16725,fälschlich,medium,absent,
82108,yu,3,16781,fehlerhaft,high,absent,
47244,peSala,3,16783,st.,medium,absent,
83005,raj,3,16788,st.,medium,absent,
86635,lok,3,16854,fehlerhaft,high,absent,
101574,Sri,3,16871,fehlerhaft,high,absent,
93067,vivartin,3,16913,fehlerhaft,high,absent,
11759,upajihIrzA,3,16929,zu lesen,high,absent,
104702,saMdezwavya,3,17019,zu lesen,high,absent,
15749,kalp,3,17144,fälschlich,medium,absent,
89199,vah,3,17151,zu lesen,high,absent,
39766,nirhAda,3,17249,fehlerhaft,high,absent,
64242,apASraya,3,17262,st.,medium,absent,
88916,vas,4,24,fehlerhaft,high,absent,
117919,hvA,4,36,zu lesen,high,absent,
116886,hi,4,69,st.,medium,absent,
117919,hvA,4,114,zu lesen,high,absent,
54771,BAzitar,4,165,zu lesen,high,absent,
103843,saYj,4,174,zu lesen,high,absent,
104247,sad,4,198,st.,medium,absent,
117216,hInatas,4,226,fehlerhaft,high,absent,
81815,yA,4,234,fehlerhaft,high,absent,
103843,saYj,4,266,st.,medium,absent,
47920,praC,4,278,fehlerhaft,high,absent,
41250,pakzman,4,390,zu lesen,high,absent,
41250,pakzman,4,390,st.,medium,absent,
59392,mA,4,394,zu lesen,high,absent,
95151,vegita,4,399,zu lesen,high,absent,
109440,siD,4,468,zu lesen,high,absent,
64055,apacAyin,4,595,fälschlich,medium,absent,
64055,apacAyin,4,595,st.,medium,absent,
57252,man,4,695,fehlerhaft,high,absent,
16988,kAS,4,755,fälschlich,medium,absent,
106497,sarAga,4,777,st.,medium,absent,
36484,DA,4,964,zu lesen,high,absent,
45466,pIq,4,980,fehlerhaft,high,absent,
119329,kar,4,982,zu lesen,high,absent,
93196,viS,4,1052,st.,medium,absent,
85042,ruD,4,1053,zu lesen,high,absent,
36484,DA,4,1347,zu lesen,high,absent,
49117,praTivI,4,1387,fehlerhaft,high,absent,
104806,saMnAha,4,1418,st.,medium,absent,
81526,yam,4,1445,fehlerhaft,high,absent,
32377,dah,4,1520,zu lesen,high,absent,
32377,dah,4,1520,st.,medium,absent,
33916,duz,4,1557,fehlerhaft,high,absent,
114773,sruc,4,1639,fälschlich,medium,absent,
81815,yA,4,1669,zu lesen,high,absent,
81815,yA,4,1727,zu lesen,high,absent,
89199,vah,4,1757,fehlerhaft,high,absent,
48093,pratardana,4,1768,zu lesen,high,absent,
81283,yaTABAgam,4,1771,zu schreiben,high,absent,
114447,sPar,4,1852,zu lesen,high,absent,
81526,yam,4,1960,zu lesen,high,absent,
81526,yam,4,1960,zu lesen,high,absent,
114447,sPar,4,2022,zu lesen,high,absent,
116719,hA,4,2086,st.,medium,absent,
91581,vid,4,2213,fehlerhaft,high,absent,
81815,yA,4,2356,st.,medium,absent,
99812,Siz,5,63,fehlerhaft,high,absent,
75195,tEkzRya,5,68,st.,medium,absent,
116842,hAva,5,243,st.,medium,absent,
81526,yam,5,426,zu lesen,high,absent,
43745,palvala,5,493,fälschlich,medium,absent,
82186,yuj,5,532,st.,medium,absent,
59321,mahendrARI,5,547,fälschlich,medium,absent,
86471,lIlAyuDa,5,592,fehlerhaft,high,absent,
31650,dakziRApaTa,5,593,lies,high,absent,
85042,ruD,5,648,lies,high,absent,
85042,ruD,5,648,st.,medium,absent,
93006,vilopa,5,813,zu schreiben,high,absent,
116085,har,5,850,zu lesen,high,absent,
116085,har,5,850,st.,medium,absent,
68365,upaSruti,5,871,st.,medium,absent,
114549,sma,5,877,zu lesen,high,absent,
25075,caSAti,5,889,fehlerhaft,high,absent,
95536,veSmastrI,5,904,fehlerhaft,high,absent,
87647,vad,5,923,st.,medium,absent,
102918,saMviDi,5,1220,fehlerhaft,high,absent,
119329,kar,5,1225,fehlerhaft,high,absent,
47920,praC,5,1226,druckfehler,high,absent,
47920,praC,5,1226,fälschlich,medium,absent,
81179,yaTAkfta,5,1226,falsch,medium,absent,
88004,vap,5,1292,fehlerhaft,high,absent,
98307,Salyakarttar,5,1401,fehlerhaft,high,absent,
63750,anuSAsitar,5,1440,st.,medium,absent,
39528,nirBfta,5,1493,fehlerhaft,high,absent,
65058,arc,5,1532,fehlerhaft,high,absent,
88413,varjin,5,1557,zu lesen,high,absent,
68789,fta,5,1692,lies,high,absent,
88101,var,5,1692,fehlerhaft,high,absent,
68789,fta,5,1692,st.,medium,absent,
88101,var,5,1692,st.,medium,absent,
66247,AYjana,5,1708,lies,high,absent,
117242,hu,5,1734,fehlerhaft,high,absent,
104852,saMniveSa,5,1825,fehlerhaft,high,absent,
68681,UrugrAha,5,2024,st.,medium,absent,
48165,pratikfti,5,2222,zu lesen,high,absent,
54387,BA,5,2412,zu schreiben,high,absent,
99812,Siz,5,2638,zu lesen,high,absent,
36704,DAv,5,2763,lies,high,absent,
51365,plu,5,2765,lies,high,absent,
25874,ced,5,2775,zu lesen,high,absent,
78844,pUti,5,2776,zu lesen,high,absent,
42000,pad,5,2809,falsch,medium,absent,
41788,pat,5,3051,zu lesen,high,absent,
41788,pat,5,3051,st.,medium,absent,
116549,has,5,3120,zu lesen,high,absent,
51077,prI,5,3261,fehlerhaft,high,absent,
51077,prI,5,3261,fälschlich,medium,absent,
51094,prItiBojya,5,3261,st.,medium,absent,
50157,prasfti,5,3588,fehlerhaft,high,absent,
87393,vajranizkamBa,5,3595,fehlerhaft,high,absent,
61880,meGahft,5,3597,fehlerhaft,high,absent,
61164,muharaparRaka,5,3629,fehlerhaft,high,absent,
114814,srOva,5,3779,fehlerhaft,high,absent,
29639,timiMgila,5,3859,zu lesen,high,absent,
55166,BU,5,3926,lies,high,absent,
50526,prAYc,5,4145,fehlerhaft,high,absent,
50694,prAtikUlya,5,4146,zu lesen,high,absent,
99828,SI,5,4248,falsch,medium,absent,
37271,nakiMcana,5,4522,zu lesen,high,absent,
74434,jIv,5,4538,lies,high,absent,
37587,nandi,5,4600,zu lesen,high,absent,
96302,vyapanaya,5,4761,st.,medium,absent,
50196,prastotar,5,4788,zu lesen,high,absent,
99142,SAs,5,4998,fehlerhaft,high,absent,
88101,var,5,5062,statt,medium,absent,
103786,sajjay,5,5209,zu lesen,high,absent,
100652,SUrpa,5,5249,unrichtig,medium,absent,
41867,patti,5,5270,zu lesen,high,absent,
41867,patti,5,5270,st.,medium,absent,
93197,viS,5,5960,fehlerhaft,high,absent,
93197,viS,5,5960,st.,medium,absent,
75670,dASeya,5,5966,fälschlich,medium,absent,
91581,vid,5,5971,zu lesen,high,absent,
91581,vid,5,5971,st.,medium,absent,
58704,mahAbudDi,5,5982,st.,medium,absent,
37260,na,5,6032,zu lesen,high,absent,
37260,na,5,6032,statt,medium,absent,
37260,na,5,6032,statt,medium,absent,
85093,ruh,5,6042,zu lesen,high,absent,
64005,anyonya,5,6060,lies,high,absent,
64005,anyonya,5,6060,st.,medium,absent,
81815,yA,5,6065,zu lesen,high,absent,
59895,mAnin,5,6094,fehlerhaft,high,absent,
32377,dah,5,7016,lies,high,absent,
84934,rud,5,7025,zu lesen,high,absent,
104247,sad,5,7072,zu lesen,high,absent,
53648,brAhmaRabruva,5,7087,zu lesen,high,absent,
