L,headword_slp1,parvan,verse,marker,confidence,category,delta
71585,kErava,1,86,fälschlich,medium,absent,
90623,vAsin,1,146,zu lesen,high,absent,
90623,vAsin,1,146,statt,medium,absent,
117917,hval,1,216,zu lesen,high,absent,
31849,daDi,1,257,lies,high,absent,
47588,pOzpa,1,312,fehlerhaft,high,absent,
48347,pratipAdana,1,375,fehlerhaft,high,absent,
90706,vAhatva,1,399,fehlerhaft,high,absent,
45544,pItin,1,445,fehlerhaft,high,absent,
112859,somadatti,1,536,fehlerhaft,high,absent,
96501,vyAGAta,1,569,zu lesen,high,absent,
115989,han,1,570,fehlerhaft,high,absent,
78881,pUrvaga,1,722,zu lesen,high,absent,
96461,vyA,1,723,fehlerhaft,high,absent,
96461,vyA,1,723,zu lesen,high,absent,
40379,nI,1,736,statt,medium,absent,
114795,srotas,1,814,zu lesen,high,absent,
27503,jihmaga,1,982,zu lesen,high,absent,
27503,jihmaga,1,982,statt,medium,absent,
95577,vE,1,986,zu schreiben,high,absent,
1087,aw,1,1031,zu lesen,high,absent,
63029,atisarga,1,1075,lies,high,absent,
63029,atisarga,1,1075,st.,medium,absent,
62472,akUpAra,1,1122,lies,high,absent,
88042,vam,1,1170,zu lesen,high,absent,
43801,paS,1,1248,zu lesen,high,absent,
81526,yam,1,1274,lies,high,absent,
36831,DU,1,1336,zu lesen,high,absent,
36831,DU,1,1336,st.,medium,absent,
41788,pat,1,1366,lies,high,absent,
88522,vartikA,1,1443,statt,medium,absent,
54863,Bid,1,1490,zu lesen,high,absent,
9095,Ara,1,1498,druckfehler,high,absent,
81094,yat,1,1591,lies,high,absent,
64499,aBiBAzin,1,1697,zu lesen,high,absent,
106569,sarj,1,1699,zu lesen,high,absent,
106569,sarj,1,1703,zu lesen,high,absent,
106569,sarj,1,1973,fehlerhaft,high,absent,
59943,mApana,1,2030,druckfehler,high,absent,
101832,SrutaSravas,1,2049,zu lesen,high,absent,
101836,SrutaSruvas,1,2049,fehlerhaft,high,absent,
32377,dah,1,2120,zu lesen,high,absent,
68313,uparisTa,1,2347,fälschlich,medium,absent,
100123,Suktimant,1,2367,zu lesen,high,absent,
100123,Suktimant,1,2367,st.,medium,absent,
98109,SaravaRa,1,2587,fälschlich,medium,absent,
45159,piRqaPala,1,2632,st.,medium,absent,
63235,aDiraTi,1,2775,fehlerhaft,high,absent,
62766,ac,1,2792,zu lesen,high,absent,
62766,ac,1,2792,st.,medium,absent,
113516,sKalana,1,2987,druckfehler,high,absent,
68680,Uru,1,2988,lies,high,absent,
68680,Uru,1,2988,st.,medium,absent,
45776,put,1,3026,zu lesen,high,absent,
27838,jYA,1,3060,st.,medium,absent,
97843,Sabday,1,3215,zu lesen,high,absent,
34083,duhyu,1,3433,fehlerhaft,high,absent,
48950,pratyavekzya,1,3459,zu lesen,high,absent,
99363,SiTilIkar,1,3471,zu lesen,high,absent,
88293,varIyaMs,1,3492,zu lesen,high,absent,
43412,parc,1,3613,fehlerhaft,high,absent,
61448,mfgacArin,1,3644,lies,high,absent,
115989,han,1,3687,fehlerhaft,high,absent,
65767,aSvavant,1,3740,st.,medium,absent,
101797,Sru,1,3740,st.,medium,absent,
50463,prAcinvant,1,3765,fälschlich,medium,absent,
91581,vid,1,3895,statt,medium,absent,
71756,kOmArika,1,4054,lies,high,absent,
12676,uzmatA,1,4162,fehlerhaft,high,absent,
36862,DUmaketu,1,4162,lies,high,absent,
106569,sarj,1,4205,zu lesen,high,absent,
53686,brU,1,4245,falsch,medium,absent,
62460,akAlika,1,4265,zu lesen,high,absent,
62460,akAlika,1,4265,st.,medium,absent,
107462,sah,1,4265,st.,medium,absent,
106569,sarj,1,4350,zu lesen,high,absent,
11130,utseka,1,4364,zu lesen,high,absent,
67775,utseka,1,4364,zu lesen,high,absent,
67775,utseka,1,4364,st.,medium,absent,
32399,dA,1,4375,fehlerhaft,high,absent,
36484,DA,1,4505,zu lesen,high,absent,
96765,vyUQa,1,4553,st.,medium,absent,
88916,vas,1,4583,lies,high,absent,
88916,vas,1,4583,st.,medium,absent,
117242,hu,1,4623,st.,medium,absent,
99812,Siz,1,4684,st.,medium,absent,
38684,nikAya,1,4804,falsch,medium,absent,
116719,hA,1,4946,zu lesen,high,absent,
96626,vyAyAma,1,5014,fehlerhaft,high,absent,
99828,SI,1,5033,fehlerhaft,high,absent,
7743,aho,1,5156,zu lesen,high,absent,
7743,aho,1,5156,st.,medium,absent,
89199,vah,1,5337,zu lesen,high,absent,
36484,DA,1,5442,lies,high,absent,
114394,spaSa,1,5792,zu lesen,high,absent,
114394,spaSa,1,5792,st.,medium,absent,
84911,ruj,1,5884,statt,medium,absent,
81985,yAmana,1,5912,zu lesen,high,absent,
81985,yAmana,1,5912,st.,medium,absent,
79775,Penin,1,5936,fehlerhaft,high,absent,
36606,DAman,1,5974,zu lesen,high,absent,
87611,vatsabanDA,1,6120,fehlerhaft,high,absent,
67140,i,1,6390,lies,high,absent,
67140,i,1,6390,zu lesen,high,absent,
67140,i,1,6390,st.,medium,absent,
86404,lip,1,6391,st.,medium,absent,
101517,SrA,1,6392,fehlerhaft,high,absent,
62616,agnivESya,1,6465,fehlerhaft,high,absent,
116719,hA,1,6566,st.,medium,absent,
113579,staB,1,6694,statt,medium,absent,
33916,duz,1,6841,zu lesen,high,absent,
81815,yA,1,6925,zu lesen,high,absent,
7766,A,1,6965,zu lesen,high,absent,
62070,mezasaMDi,1,6988,fehlerhaft,high,absent,
103165,saMsTAnacArin,1,7044,fehlerhaft,high,absent,
106211,saMbADa,1,7125,zu lesen,high,absent,
93713,viz,1,7182,st.,medium,absent,
82187,yuj,1,7343,zu lesen,high,absent,
82187,yuj,1,7343,st.,medium,absent,
39805,nivarhaRa,1,7410,zu lesen,high,absent,
101797,Sru,1,7460,fälschlich,medium,absent,
97640,Satahan,1,7578,zu lesen,high,absent,
70409,kAmin,1,7648,st.,medium,absent,
114781,sruva,1,7669,fehlerhaft,high,absent,
23301,gorakza,1,7675,zu lesen,high,absent,
106699,sarvakAmya,1,7717,fehlerhaft,high,absent,
33916,duz,1,7802,zu lesen,high,absent,
82186,yuj,1,7948,zu lesen,high,absent,
82186,yuj,1,7948,fehlerhaft,high,absent,
109679,su,1,8042,fehlerhaft,high,absent,
88101,var,1,8064,zu lesen,high,absent,
104247,sad,1,8077,st.,medium,absent,
30686,toza,1,8258,fehlerhaft,high,absent,
101574,Sri,1,8274,st.,medium,absent,
115989,han,1,8300,fehlerhaft,high,absent,
88101,var,1,8343,fehlerhaft,high,absent,
94755,vfti,1,8350,fehlerhaft,high,absent,
32399,dA,1,8437,fälschlich,medium,absent,
32399,dA,1,8437,st.,medium,absent,
14219,kakzya,2,32,zu lesen,high,absent,
98968,SArNga,2,34,fälschlich,medium,absent,
120719,pad,2,235,lies,high,absent,
89527,vAjarzi,2,319,fehlerhaft,high,absent,
44927,pAlASa,2,343,fehlerhaft,high,absent,
99205,SiMSapA,2,343,fehlerhaft,high,absent,
62343,mOlin,2,368,fehlerhaft,high,absent,
95218,veRvA,2,371,fehlerhaft,high,absent,
104762,saMDya,2,375,fehlerhaft,high,absent,
107776,sahasrika,2,427,fehlerhaft,high,absent,
12092,upaveda,2,450,st.,medium,absent,
42000,pad,2,475,fehlerhaft,high,absent,
42000,pad,2,475,zu lesen,high,absent,
42000,pad,2,475,st.,medium,absent,
84174,rAjaloka,2,479,fälschlich,medium,absent,
114351,sparD,2,485,zu lesen,high,absent,
61264,mUrCana,2,526,zu lesen,high,absent,
61264,mUrCana,2,526,st.,medium,absent,
50797,prApti,2,595,fehlerhaft,high,absent,
63183,aDi,2,619,zu lesen,high,absent,
63183,aDi,2,619,lies,high,absent,
63183,aDi,2,619,st.,medium,absent,
63183,aDi,2,619,st.,medium,absent,
22170,gA,2,696,lies,high,absent,
22170,gA,2,696,fehlerhaft,high,absent,
14219,kakzya,2,827,zu lesen,high,absent,
65220,arvAYc,2,831,lies,high,absent,
65220,arvAYc,2,831,st.,medium,absent,
106569,sarj,2,856,fehlerhaft,high,absent,
38095,nah,2,894,zu lesen,high,absent,
95148,vegAtiga,2,895,fehlerhaft,high,absent,
107848,sahma,2,1029,fehlerhaft,high,absent,
95219,veRvAtawa,2,1117,fehlerhaft,high,absent,
44627,pAradArika,2,1130,zu lesen,high,absent,
87340,vaj,2,1142,fehlerhaft,high,absent,
65669,avyaya,2,1214,fälschlich,medium,absent,
9940,i,2,1219,zu lesen,high,absent,
117726,hotraga,2,1240,fehlerhaft,high,absent,
64294,apyaya,2,1391,st.,medium,absent,
64294,apyaya,2,1391,fälschlich,medium,absent,
14857,kapAlin,2,1641,st.,medium,absent,
69132,odana,2,1733,lies,high,absent,
69132,odana,2,1733,st.,medium,absent,
69132,odana,2,1733,st.,medium,absent,
117919,hvA,2,1765,zu lesen,high,absent,
28360,takzan,2,1774,zu lesen,high,absent,
28360,takzan,2,1774,st.,medium,absent,
86045,lal,2,1797,fehlerhaft,high,absent,
25411,citraka,2,1804,st.,medium,absent,
80108,BarukacCa,2,1830,st.,medium,absent,
14146,OzRIka,2,1837,fehlerhaft,high,absent,
87278,vaNkU,2,1846,st.,medium,absent,
68692,UrRa,2,1847,st.,medium,absent,
114837,svakza,2,1915,st.,medium,absent,
26237,Cid,2,1942,lies,high,absent,
99812,Siz,2,1964,fehlerhaft,high,absent,
99828,SI,2,1964,zu lesen,high,absent,
99828,SI,2,1964,st.,medium,absent,
47410,pozaka,2,2123,zu lesen,high,absent,
20274,kzi,2,2127,st.,medium,absent,
99162,SAstar,2,2128,fälschlich,medium,absent,
10470,Ikz,2,2158,zu lesen,high,absent,
106026,saMpatti,2,2175,zu lesen,high,absent,
27412,ji,2,2204,zu lesen,high,absent,
40622,nu,2,2204,zu lesen,high,absent,
27932,jyAyaMs,2,2316,zu lesen,high,absent,
114357,sparS,2,2346,zu schreiben,high,absent,
32377,dah,2,2394,zu lesen,high,absent,
87647,vad,2,2396,zu lesen,high,absent,
87647,vad,2,2396,st.,medium,absent,
54863,Bid,2,2443,fälschlich,medium,absent,
54863,Bid,2,2483,zu lesen,high,absent,
54863,Bid,2,2483,fehlerhaft,high,absent,
98029,Sar,2,2695,zu lesen,high,absent,
27838,jYA,3,34,zu lesen,high,absent,
97760,Sap,3,37,zu lesen,high,absent,
13825,ozaDi,3,138,lies,high,absent,
106186,saMplava,3,188,st.,medium,absent,
