locus_a,locus_b,n_a,n_b,intersection,share_of_a
L-ORD-ENTRY,L-CIT-LEMMA,3583,80600,3583,1.0
L-RARE-EVENT-lemmas,L-ORD-ENTRY,513,3583,133,0.2593
L-ANCHOR-WORD,L-CIT-LEMMA,6941,80600,3697,0.5326
L-ANCHOR-WORD,L-ORD-ENTRY,6941,3583,340,0.049
