stratum,headword,sim_mw,sim_ap,sim_random,mw_minus_ap
PHIL,upAdAnalakzaRA,0.0417,0.0,0.0,0.0417
PHIL,yaSas,0.1525,0.1111,0.0,0.0414
PHIL,bADana,0.1,0.0588,0.0,0.0412
VERB,stim,0.1176,0.0769,0.0,0.0407
PHIL,taras,0.1053,0.0645,0.0,0.0407
VERB,stuB,0.0404,0.0,0.0,0.0404
PHIL,stuB,0.0404,0.0,0.0,0.0404
PHIL,kaluza,0.1212,0.0811,0.0,0.0401
PHIL,savikalpa,0.04,0.0,0.0,0.04
PHIL,vyagra,0.1111,0.0714,0.0,0.0397
VERB,guRq,0.1818,0.1429,0.0,0.039
PHIL,BArata,0.1014,0.0625,0.0,0.0389
VERB,rAs,0.0385,0.0,0.0,0.0385
VERB,pI,0.0385,0.0,0.0,0.0385
VERB,yaB,0.0385,0.0,0.0,0.0385
VERB,tsar,0.0385,0.0,0.0,0.0385
PHIL,tadvat,0.0385,0.0,0.0,0.0385
PHIL,pAzaRqa,0.0385,0.0,0.0,0.0385
PHIL,saMskAraka,0.0385,0.0,0.0,0.0385
PHIL,manda,0.1458,0.1077,0.0,0.0381
PHIL,ulbaRa,0.1212,0.0833,0.0,0.0379
VERB,luq,0.1,0.0625,0.0,0.0375
PHIL,meDA,0.1163,0.0789,0.027,0.0373
PHIL,samUQa,0.0667,0.0294,0.0,0.0373
VERB,can,0.037,0.0,0.0,0.037
PHIL,vEkArika,0.037,0.0,0.0,0.037
PHIL,mohana,0.0366,0.0,0.0,0.0366
VERB,jap,0.0364,0.0,0.0,0.0364
PHIL,nizad,0.0364,0.0,0.0,0.0364
PHIL,yavAgU,0.1316,0.0952,0.0,0.0363
PHIL,upamA,0.0875,0.0517,0.0,0.0358
VERB,cAy,0.0357,0.0,0.0,0.0357
PHIL,hfdayaMgama,0.0833,0.0476,0.0,0.0357
PHIL,kzepa,0.0357,0.0,0.0,0.0357
PHIL,nitarAm,0.0769,0.0417,0.0,0.0353
PHIL,sTUla,0.1351,0.1,0.0,0.0351
PHIL,Slezman,0.0938,0.0588,0.0,0.0349
PHIL,nIcEs,0.0889,0.0541,0.0,0.0348
VERB,jU,0.0824,0.0476,0.0,0.0347
PHIL,sadfSa,0.0345,0.0,0.0,0.0345
PHIL,vyaBicArin,0.0615,0.027,0.0,0.0345
PHIL,pUjA,0.1176,0.0833,0.0,0.0343
PHIL,ka,0.0446,0.0104,0.0,0.0342
VERB,SrA,0.0339,0.0,0.0,0.0339
PHIL,raYjana,0.0926,0.0588,0.0,0.0338
PHIL,sOmya,0.0723,0.0385,0.0,0.0338
PHIL,svecCA,0.1765,0.1429,0.0,0.0336
PHIL,samAna,0.087,0.0536,0.0,0.0334
VERB,Sriz,0.0333,0.0,0.0,0.0333
PHIL,pratIkAra,0.0333,0.0,0.0,0.0333
PHIL,SUlin,0.0333,0.0,0.0,0.0333
PHIL,BErava,0.033,0.0,0.0,0.033
VERB,SuB,0.0775,0.0448,0.0,0.0327
PHIL,lOkika,0.1754,0.1429,0.0,0.0326
VERB,Cur,0.0323,0.0,0.0,0.0323
VERB,Svas,0.0323,0.0,0.0,0.0323
VERB,truw,0.0323,0.0,0.0,0.0323
PHIL,bADya,0.0323,0.0,0.0,0.0323
PHIL,lIna,0.0323,0.0,0.0,0.0323
PHIL,nIla,0.125,0.093,0.0,0.032
PHIL,vimuKa,0.0845,0.0526,0.0,0.0319
PHIL,vIta,0.0317,0.0,0.0,0.0317
PHIL,vAgurA,0.1429,0.1111,0.0,0.0317
