stratum,headword,sim_mw,sim_ap,sim_random,mw_minus_ap
PHIL,Basman,0.2,0.087,0.0,0.113
PHIL,utkawa,0.1127,0.0,0.0,0.1127
PHIL,vyAvahArika,0.1556,0.0435,0.0323,0.1121
VERB,kzamp,0.1111,0.0,0.0,0.1111
PHIL,avaBAsaka,0.1111,0.0,0.0,0.1111
PHIL,paTikft,0.1111,0.0,0.0,0.1111
PHIL,sahakfta,0.1111,0.0,0.0,0.1111
PHIL,AptADIna,0.1111,0.0,0.0,0.1111
PHIL,rAzwrI,0.1111,0.0,0.0,0.1111
PHIL,Akzepin,0.1111,0.0,0.0,0.1111
PHIL,itaratra,0.1111,0.0,0.0,0.1111
PHIL,pracaya,0.1111,0.0,0.0,0.1111
PHIL,aNkapAlI,0.3333,0.2222,0.0,0.1111
PHIL,yaTAkarma,0.1111,0.0,0.0,0.1111
PHIL,karmanASA,0.1111,0.0,0.0,0.1111
PHIL,sOvarRa,0.2778,0.1667,0.0,0.1111
PHIL,Opanizada,0.1818,0.0714,0.0,0.1104
PHIL,doza,0.1101,0.0,0.0,0.1101
PHIL,prasAdana,0.225,0.1154,0.0,0.1096
PHIL,yOvana,0.1923,0.0833,0.0,0.109
PHIL,pravara,0.1613,0.0526,0.0,0.1087
PHIL,vatsala,0.1087,0.0,0.0,0.1087
PHIL,sAraRa,0.1087,0.0,0.0,0.1087
PHIL,maKa,0.1087,0.0,0.0,0.1087
PHIL,svacCanda,0.1081,0.0,0.0,0.1081
PHIL,nAra,0.1515,0.0435,0.0,0.108
PHIL,sadyas,0.25,0.1429,0.0,0.1071
PHIL,upasTa,0.1071,0.0,0.0,0.1071
PHIL,mala,0.1818,0.075,0.0,0.1068
PHIL,vikaca,0.1481,0.0417,0.0,0.1065
VERB,Dru,0.1053,0.0,0.0,0.1053
PHIL,mahAvrata,0.1053,0.0,0.0,0.1053
PHIL,mArjita,0.1053,0.0,0.0,0.1053
PHIL,prakASa,0.197,0.0921,0.0,0.1049
PHIL,kuSa,0.1047,0.0,0.0,0.1047
PHIL,satya,0.121,0.0164,0.0,0.1046
VERB,tvakz,0.1667,0.0625,0.0,0.1042
PHIL,sOra,0.1408,0.037,0.0,0.1038
PHIL,akzara,0.1481,0.0444,0.0,0.1037
PHIL,sarvatomuKa,0.1034,0.0,0.0,0.1034
PHIL,nirvacana,0.1481,0.0455,0.0,0.1027
PHIL,vAsara,0.1923,0.0909,0.0,0.1014
PHIL,OpADika,0.1538,0.0526,0.0,0.1012
PHIL,yena,0.1481,0.0476,0.0,0.1005
PHIL,pfTivI,0.1373,0.037,0.0,0.1002
VERB,dAs,0.1,0.0,0.0,0.1
VERB,kzan,0.1,0.0,0.0,0.1
PHIL,Sepas,0.1,0.0,0.0,0.1
PHIL,prAtItika,0.1,0.0,0.0,0.1
PHIL,prakIrRaka,0.1,0.0,0.0,0.1
PHIL,dvidala,0.1,0.0,0.0,0.1
PHIL,vimohana,0.1,0.0,0.0,0.1
PHIL,nirlepa,0.1,0.0,0.0,0.1
PHIL,sajjana,0.1489,0.05,0.0,0.0989
PHIL,Sveta,0.1271,0.0286,0.0,0.0985
PHIL,nAqI,0.098,0.0,0.0,0.098
PHIL,pratisara,0.098,0.0,0.0,0.098
PHIL,snigDa,0.1795,0.082,0.0,0.0975
PHIL,sTavira,0.1429,0.0455,0.0,0.0974
PHIL,trivft,0.2222,0.125,0.0,0.0972
PHIL,maDura,0.1216,0.0244,0.0,0.0972
PHIL,maNgala,0.0971,0.0,0.0,0.0971
PHIL,asta,0.0959,0.0,0.0,0.0959
VERB,sPar,0.0952,0.0,0.0,0.0952
PHIL,pratiSruta,0.0952,0.0,0.0,0.0952
PHIL,vEzuvata,0.0952,0.0,0.0,0.0952
PHIL,avarArDya,0.2941,0.2,0.0,0.0941
PHIL,kzaya,0.0938,0.0,0.0,0.0938
PHIL,mArIca,0.0938,0.0,0.0,0.0938
PHIL,sAmagrI,0.0938,0.0,0.0,0.0938
PHIL,suDA,0.2333,0.1395,0.0323,0.0938
PHIL,upavAsa,0.0938,0.0,0.0,0.0938
PHIL,udaya,0.1287,0.0351,0.0,0.0936
PHIL,EReya,0.1765,0.0833,0.0,0.0931
PHIL,SoDana,0.1429,0.05,0.0,0.0929
VERB,aww,0.1818,0.0909,0.0,0.0909
VERB,niz,0.0909,0.0,0.0,0.0909
PHIL,apArTa,0.0909,0.0,0.0,0.0909
PHIL,SfNgagrAhikA,0.0909,0.0,0.0,0.0909
PHIL,ujjvala,0.0909,0.0,0.0,0.0909
PHIL,mfgaSiras,0.0909,0.0,0.0,0.0909
PHIL,japya,0.0909,0.0,0.0,0.0909
PHIL,vyaya,0.0909,0.0,0.0,0.0909
PHIL,avama,0.2195,0.129,0.0,0.0905
PHIL,pAraRa,0.125,0.0345,0.0,0.0905
PHIL,tAraka,0.0893,0.0,0.0,0.0893
PHIL,purohita,0.1481,0.0588,0.0,0.0893
PHIL,aBiGAta,0.0889,0.0,0.0,0.0889
PHIL,peSala,0.2222,0.1333,0.0,0.0889
PHIL,sADanatA,0.2222,0.1333,0.0,0.0889
PHIL,Sruta,0.2031,0.1143,0.0,0.0888
PHIL,namra,0.2609,0.1724,0.0,0.0885
PHIL,styAna,0.0882,0.0,0.0,0.0882
PHIL,veDas,0.1569,0.069,0.0,0.0879
PHIL,tAqana,0.1538,0.0667,0.0,0.0872
PHIL,keta,0.087,0.0,0.0,0.087
PHIL,amukta,0.087,0.0,0.0,0.087
PHIL,aDas,0.2,0.1136,0.0,0.0864
PHIL,havis,0.125,0.04,0.0,0.085
PHIL,yatna,0.0845,0.0,0.0,0.0845
PHIL,Apya,0.1463,0.0625,0.0,0.0838
VERB,jAtavedas,0.0833,0.0,0.0,0.0833
PHIL,upamardaka,0.0833,0.0,0.0,0.0833
PHIL,AdarSa,0.0833,0.0,0.0,0.0833
PHIL,viSezya,0.0833,0.0,0.0,0.0833
PHIL,uttAna,0.25,0.1667,0.0,0.0833
PHIL,nizpraBa,0.0833,0.0,0.0,0.0833
PHIL,viplava,0.0833,0.0,0.0,0.0833
PHIL,anarha,0.0833,0.0,0.0,0.0833
PHIL,buBUzA,0.0833,0.0,0.0,0.0833
PHIL,nirvicikitsa,0.0833,0.0,0.0,0.0833
PHIL,hAsya,0.1739,0.0909,0.0,0.083
PHIL,dfzad,0.2,0.1176,0.0,0.0824
PHIL,mandra,0.1622,0.08,0.0,0.0822
PHIL,sPuwa,0.1,0.0185,0.0,0.0815
PHIL,utTAna,0.0814,0.0,0.0,0.0814
VERB,kfp,0.0811,0.0,0.0,0.0811
PHIL,kAMsya,0.0811,0.0,0.0,0.0811
PHIL,dIkzA,0.16,0.0789,0.0,0.0811
PHIL,hEmana,0.1579,0.0769,0.0,0.081
VERB,aj,0.1154,0.0345,0.0,0.0809
PHIL,mOhUrtika,0.08,0.0,0.0,0.08
PHIL,Burij,0.2,0.12,0.0,0.08
PHIL,hari,0.1295,0.05,0.0,0.0795
PHIL,nakzatriya,0.2222,0.1429,0.0,0.0794
PHIL,sevya,0.1,0.0213,0.0,0.0787
PHIL,BIru,0.2326,0.1538,0.0,0.0787
PHIL,ekAnta,0.125,0.0465,0.0,0.0785
PHIL,indriya,0.0784,0.0,0.0175,0.0784
PHIL,bAla,0.129,0.0508,0.0,0.0782
PHIL,padmakara,0.3636,0.2857,0.0,0.0779
PHIL,karAla,0.1833,0.1064,0.0,0.077
VERB,Barv,0.0769,0.0,0.0,0.0769
PHIL,ADidEvika,0.0769,0.0,0.0,0.0769
PHIL,sOraBa,0.0769,0.0,0.0,0.0769
PHIL,utkarza,0.0769,0.0,0.0,0.0769
PHIL,vfzaRa,0.0769,0.0,0.0,0.0769
PHIL,GrARa,0.0769,0.0,0.0,0.0769
PHIL,sTitisTApaka,0.0769,0.0,0.0,0.0769
PHIL,Asanna,0.0769,0.0,0.0,0.0769
PHIL,lalajjihva,0.1875,0.1111,0.0,0.0764
PHIL,pAta,0.0762,0.0,0.0,0.0762
PHIL,aliNga,0.1429,0.0667,0.0,0.0762
PHIL,nizkala,0.1081,0.0323,0.0213,0.0759
PHIL,vAta,0.0755,0.0,0.0,0.0755
PHIL,nyUna,0.1228,0.0476,0.0,0.0752
VERB,wIk,0.2,0.125,0.0,0.075
PHIL,bahis,0.1395,0.0645,0.0,0.075
PHIL,param,0.1618,0.087,0.0,0.0748
VERB,mur,0.0741,0.0,0.0,0.0741
PHIL,SAkala,0.0741,0.0,0.0,0.0741
PHIL,zoqaSin,0.0741,0.0,0.0,0.0741
PHIL,kalpa,0.0909,0.0171,0.0,0.0738
PHIL,maDya,0.1286,0.0548,0.0159,0.0738
PHIL,pracaRqa,0.1081,0.0345,0.0,0.0736
VERB,iNg,0.1429,0.0714,0.0,0.0714
VERB,kzaj,0.0714,0.0,0.0,0.0714
VERB,kuq,0.0714,0.0,0.0,0.0714
PHIL,kampana,0.1714,0.1,0.0,0.0714
PHIL,taTAviDa,0.0714,0.0,0.0,0.0714
PHIL,lUtA,0.0714,0.0,0.0,0.0714
PHIL,utpAda,0.0714,0.0,0.0,0.0714
PHIL,sacetana,0.0714,0.0,0.0,0.0714
PHIL,kARqavIRA,0.0714,0.0,0.0,0.0714
PHIL,jYAnalakzaRA,0.0714,0.0,0.0,0.0714
PHIL,prARAtman,0.0714,0.0,0.0,0.0714
PHIL,rAQA,0.0714,0.0,0.0,0.0714
PHIL,kaTana,0.0714,0.0,0.0,0.0714
PHIL,vijfmBita,0.0714,0.0,0.0,0.0714
PHIL,Gana,0.152,0.0808,0.0,0.0712
PHIL,janya,0.1474,0.0769,0.0,0.0704
PHIL,SaraRa,0.0704,0.0,0.0,0.0704
PHIL,yAma,0.0702,0.0,0.0,0.0702
PHIL,viSiKa,0.0702,0.0,0.0,0.0702
PHIL,rakta,0.117,0.0469,0.0,0.0701
PHIL,deva,0.0825,0.0132,0.013,0.0693
VERB,day,0.069,0.0,0.0,0.069
PHIL,samudra,0.069,0.0,0.0,0.069
PHIL,sahakAra,0.069,0.0,0.0,0.069
PHIL,Endava,0.069,0.0,0.0,0.069
PHIL,sumanas,0.1781,0.1091,0.0,0.069
PHIL,svastika,0.0688,0.0,0.0,0.0688
PHIL,cara,0.1322,0.0635,0.0,0.0687
PHIL,sraj,0.1455,0.0769,0.0,0.0685
PHIL,jaraRa,0.1795,0.1111,0.0,0.0684
VERB,fc,0.125,0.0571,0.0,0.0679
PHIL,fc,0.125,0.0571,0.0,0.0679
PHIL,sTARu,0.0678,0.0,0.0,0.0678
PHIL,narya,0.1724,0.1053,0.0,0.0672
PHIL,nirviSeza,0.1579,0.0909,0.0,0.067
VERB,Gur,0.0667,0.0,0.0,0.0667
VERB,mluc,0.0667,0.0,0.0,0.0667
PHIL,Uma,0.0667,0.0,0.0,0.0667
PHIL,svedaja,0.1667,0.1,0.0,0.0667
PHIL,lokasidDa,0.0667,0.0,0.0,0.0667
PHIL,vAvAta,0.0667,0.0,0.0,0.0667
PHIL,acetana,0.0667,0.0,0.0,0.0667
PHIL,vipina,0.0667,0.0,0.0,0.0667
PHIL,SIta,0.1915,0.125,0.0,0.0665
PHIL,dIrGa,0.1094,0.0435,0.0,0.0659
PHIL,sTeya,0.0652,0.0,0.0,0.0652
PHIL,varUTin,0.1316,0.0667,0.0,0.0649
VERB,sriD,0.0645,0.0,0.0,0.0645
VERB,drAG,0.0645,0.0,0.0,0.0645
PHIL,ijya,0.0645,0.0,0.0,0.0645
PHIL,mImAMsA,0.08,0.0159,0.0,0.0641
PHIL,grEva,0.2308,0.1667,0.0,0.0641
VERB,tvac,0.1613,0.0976,0.0,0.0637
PHIL,tvac,0.1613,0.0976,0.0,0.0637
PHIL,BAgya,0.0633,0.0,0.0,0.0633
PHIL,vena,0.0633,0.0,0.0,0.0633
PHIL,Savas,0.1739,0.1111,0.0,0.0628
VERB,mUz,0.0625,0.0,0.0,0.0625
VERB,ven,0.0625,0.0,0.0,0.0625
PHIL,asi,0.0625,0.0,0.0,0.0625
PHIL,EtihAsika,0.0625,0.0,0.0,0.0625
PHIL,rakzas,0.0625,0.0,0.0,0.0625
PHIL,ahetu,0.0625,0.0,0.0,0.0625
PHIL,BUtikarman,0.0625,0.0,0.0,0.0625
PHIL,anavasTAna,0.0625,0.0,0.0,0.0625
PHIL,Arya,0.0882,0.026,0.0,0.0623
PHIL,AScarya,0.1622,0.1,0.0,0.0622
VERB,vip,0.0612,0.0,0.0,0.0612
VERB,hval,0.0612,0.0,0.0,0.0612
PHIL,guRa,0.0612,0.0,0.0,0.0612
PHIL,Bujizya,0.1087,0.0476,0.0,0.0611
PHIL,SyAma,0.1562,0.0952,0.0,0.061
PHIL,vidUra,0.0606,0.0,0.0,0.0606
PHIL,karmaRya,0.0606,0.0,0.0,0.0606
PHIL,BArya,0.0606,0.0,0.0,0.0606
PHIL,viDura,0.0606,0.0,0.0,0.0606
PHIL,karuRa,0.1714,0.1111,0.0,0.0603
PHIL,kUwa,0.078,0.0179,0.0,0.0602
PHIL,avaDAraRa,0.06,0.0,0.0,0.06
PHIL,avaSa,0.2308,0.1714,0.0,0.0593
PHIL,vESvAnara,0.1528,0.0938,0.0,0.059
VERB,kUR,0.0588,0.0,0.0,0.0588
VERB,guRW,0.0588,0.0,0.0,0.0588
PHIL,daBra,0.0588,0.0,0.0,0.0588
PHIL,ukTya,0.1176,0.0588,0.0,0.0588
PHIL,sAra,0.0882,0.0299,0.0,0.0584
PHIL,hrasva,0.1633,0.1053,0.0,0.058
PHIL,kArin,0.1034,0.0455,0.0,0.058
PHIL,pOruza,0.127,0.069,0.0,0.058
PHIL,kAvya,0.0787,0.0208,0.0,0.0578
PHIL,SAnta,0.1261,0.069,0.0,0.0572
PHIL,kAmika,0.0571,0.0,0.0,0.0571
PHIL,tripad,0.0571,0.0,0.0,0.0571
PHIL,vEvAhya,0.1818,0.125,0.0,0.0568
PHIL,DUrta,0.093,0.037,0.0,0.056
VERB,yam,0.0706,0.0147,0.0,0.0559
PHIL,yam,0.0706,0.0147,0.0,0.0559
PHIL,pArSvatas,0.2222,0.1667,0.0,0.0556
PHIL,mahAkula,0.1667,0.1111,0.0,0.0556
PHIL,Bara,0.0556,0.0,0.0,0.0556
