L,headword_slp1,parvan,verse,marker,confidence,printed_slp1,corrected_slp1,edition_ref,quote
117624,heramba,1,75,fehlerhaft,high,,heramBa,,"an. 3,450. MED. b. 15. HALĀY. 1,18. MBH. 1,75. KATHĀS. 20,100. 24,1. 50,176. 55,158. fg. (fehlerhaft {#heramBa#}). 57,1. PAÑCAR. 1,7,86. SARVADARŚANAS. 44,1"
90623,vAsin,1,146,zu lesen,high,pARqara˚,malina˚,,"aSa˚#} {%schwärzlich gekleidet%} AIT. BR. 5,14. {#pARqara˚#} MBH. 1,146. {#nIla˚#} (so ist statt {#lIna#} zu lesen) R. GORR. 2,8,43. {#malina˚#} 19. {#rOravAjina˚#} <ls"
117917,hval,1,216,zu lesen,high,manovihvalatIvame,manovihvalatIvame,,", da hier {#vihvalaM tam#} zu lesen ist. {#mano vihvalatIva me#} MBH. 1,216. 4,1953. HARIV. 46"
45711,puRqra,1,228,zu lesen,high,,pundraH,,"/ls>. VP. 444. BHĀG. P. 9,23,4. Vielleicht ist auch MBH. 1,228 {#puRqraH#} st. {#pundraH#} zu lesen. Nach dem VĀYU-P. (s. VP. 231, N. 4) N. einer mythisc"
45941,pundra,1,228,fehlerhaft,high,pundra,puRqra,,"{#pundra#}¦ MBH. 1,228 wohl fehlerhaft für {#puRqra#}."
31849,daDi,1,257,lies,high,,daDanIva,,"3,226"
84468,rAma,1,272,zu lesen,high,,rAmaHSastraBftAmaham,,HARIV. 5869) sagt Kṛṣṇa
47588,pOzpa,1,312,fehlerhaft,high,pOzya,pOzya,,"ls>. KĀLIKĀ-P. 67_im_ŚKDR. Fehlerhaft für {#pOzya#} MBH. 1,312. — 2〉 f. {#I#} = {#puzpapura#} <l"
95950,vErAwa,1,328,zu lesen,high,I,vErAwi,Bomb,". 6,4349. f. {#I#} {%eine Tochter%} Virāṭaʼs MBH. 1,328 ({#vErAwyAH parva#} mit der ed. Bomb. zu lesen). 7,2766. 14,1836 ({#vErAwi#} mit der ed. Bomb.</"
52834,bIBatsa,1,347,zu lesen,high,su˚,ati˚,,"4. {#ati˚#} R. 3,1,21. M"
50205,prasTAnika,1,356,fehlerhaft,high,mahA˚,prAsTAnika,,"ka#}¦ SUND. 2,2. {#kfta˚#} KATHĀS. 31,38. {#mahA˚#} MBH. 1,356 fehlerhaft für {#prAsTAnika#}."
48347,pratipAdana,1,375,fehlerhaft,high,sa˚,saM˚,,"2,5332. — 7〉 = {#pratipatti#} MED. — {#sa˚#} MBH. 1,375 fehlerhaft für {#saM˚#}."
90706,vAhatva,1,399,fehlerhaft,high,vAhatva,grAhatva,Bomb,"{#vAhatva#}¦ MBH. 1,399 fehlerhaft für {#grAhatva#}, wie die ed. Bomb. liest."
45544,pItin,1,445,fehlerhaft,high,soma˚,pITin,,"ab> {%getrunken [Page4-0746] habend%}): {#soma˚#} AK. 2,7,8. MBH. 1,445. Wohl nur fehlerhaft für {#pITin#}."
112859,somadatti,1,536,fehlerhaft,high,somadatti,sO˚,Bomb,"{#somadatti#}¦ MBH. 1,536 fehlerhaft für {#sO˚#} (so ed. Bomb.)."
96501,vyAGAta,1,569,zu lesen,high,tenavyAGAtamastrARAMkriyamARamavekzya,˚prahArayoH,,"u lesen {#˚prahArayoH#}). {#tena vyAGAtamastrARAM kriyamARamavekzya#} MBH. 1,569. {#Sara"
115989,han,1,570,fehlerhaft,high,ni—han,ni—han,,"fehlerhaft für {#ni — han#} (wie die v. l. fast überall hat) MBH. 1,570. ARJ."
102991,saMSaya,1,608,zu lesen,high,,tizWantaMsaMSaye,Bomb,". Verz. d. Oxf. H. 204,a,32. — 2〉 {%Gefahr%} MBH. 1,608 ({#darSitaH#} mit der ed. Bomb. zu lesen). Spr. (II) 3997. {#tizWantaM saMSaye#} R. 3,41,3. {#na saSayamaByApady"
58678,mahAprasTAnika,1,629,fehlerhaft,high,,,Bomb,"erklärt worden ist. Die ed. Bomb. des MBH. hat auch 1,629<"
34957,dEvaraTa,1,634,fehlerhaft,high,raTa,devaraTa,,"araTa#}¦ ({#dEva#} + {#raTa#}) m. {%ein göttlicher Wagen%} MBH. 1,634. Viell. nur fehlerhaft für {#devaraTa#}."
49320,prapUrvaga,1,722,zu schreiben,high,prapUrvaga,pra,,"{#prapUrvaga#}¦ scheinbar MBH. 1,722; es ist aber {#pra pU˚#} zu schreiben und {#pra#} mit {#SaMsAmi#} zu verbinden."
78881,pUrvaga,1,722,zu lesen,high,pUrvaga,prapUrvagOsfzweHprAgvidyamAnO,Bomb,"{#pUrvaga#}¦ MBH. 1,722, wo {#pra#} (gehört zu {#SaMsAmi#}) {#pUrvagO#} (so die ed. Bomb.) zu lesen ist; NĪLAK.: {#prapUrvagO sfzweH prAgvidyamAnO#}."
97001,SaMs,1,722,zu lesen,high,SaMsAmi,vA,,"traBAnU girA vAM#} (wohl so zu lesen st. {#vA#}) {#SaMsAmi#} MBH. 1,722. 2,1536. <ls n=""MB"
96461,vyA,1,723,fehlerhaft,high,aDivyayantO,ava,,"wickelt%}: {#ahIndraBogEH#} BHĀG. P. 3,8,29. {#aDivyayantO#} MBH. 1,723 fehlerhaft; s. u. {#ava#}. — {#apa#} 1〉 {%abziehen, abdecken%}: {#apo\ mahi^ vya"
96461,vyA,1,723,zu lesen,high,,,,"tAvasitam#} (so ist zu lesen) {%das schwarze%} (Gewebe) {%abdeckend%} MBH. 1,723. — {#A#} {%umnehm"
114357,sparS,1,764,zu lesen,high,apa,anapaspfS,Bomb,"nuspfSatAt#} BHĀG. P. 3,9,22. — {#apa#} scheinbar MBH. 1,764, da st. {#apo 'paspfSya#} mit der ed. Bomb. {#apa upa˚#} zu lesen ist. Vgl. {#anapaspfS#}. — {#aBi#} 1〉 {%berühren%}: {#kaTamasmadviDA"
114795,srotas,1,814,zu lesen,high,SePa˚,,,"R."">239,17. {#SePa˚#} (so zu lesen) 1,35,1. — MBH. 1,814. 3,15995. <ls n=""MBH."
15789,kalya,1,865,lies,high,kaTayasvakaTAmetAMkalyAHsmaSrAvaRetava,sajja,,>st. {#sayya#}). {#kaTayasva kaTAmetAM kalyAH sma SrAvaRe tava#} MB
27503,jihmaga,1,982,zu lesen,high,,,,"AK. 1,2,1,9. H. 1304."
95577,vE,1,986,zu schreiben,high,,AtmanoragavEkftam,,"s n=""MBH. 3,"">2793. R. 1,9,64. nach einem voc. MBH. 1,986 (zu schreiben {#Atmanoraga vE kftam#}). Sehr beliebt ist {#vE#} am Ende eines Pāda M. 2,3."
1087,aw,1,1031,zu lesen,high,awatisarvaSaH,,,"reifzug unternehmen, herumschweifen, durchirren%}: {#a"
63029,atisarga,1,1075,lies,high,atisarga,,,"{#atisarga#}¦ *Z. 3 lies 5,53. MBH. 1,1075 st. 8,53."
62472,akUpAra,1,1122,lies,high,akUpAra,saptApyakUpArAH,,"{#akUpAra#}¦ 1〉 lies 5,39,2. — 2〉a〉 MBH. 1,1122. {#saptApyakUpArAH#} Spr. 2606. <"
40779,netra,1,1124,zu lesen,high,manTAnaMmandaraMkftvAtaTAnetraMcavAsukim,manTAnaMmandaraMkftvAtaTAnetraMcavAsukim,,"e#} zu lesen ist). {#manTAnaM mandaraM kftvA taTA netraM ca vAsukim#} MBH. 1,1124. HARIV."
88042,vam,1,1170,zu lesen,high,vamantoruDiraMbahu,ava˚,,"1,38,21. 101,16. {#vamanto ruDiraM bahu#} MBH. 1,1170. HARIV. 15919 ({#ava˚#} mit der neueren Ausg. zu lesen). R. 1,28,26. 3,8,9. BHĀG. P. 9,10,23. Verz. d. Oxf"
46044,purAtana,1,1204,zu lesen,high,,,,"7388. 7955. so ist wohl auch MBH. 1,1204 zu lesen. n. {%eine alte Sage%}: {#AKyAtuM tatsamAreBe viSAlAyAH purAtanam#} R. 1,4"
23367,govinda,1,1216,lies,high,vindatABagavatAgovindena(varAharUpiRA),avindaM,,"{#gAM#} ({%die Erde%}) {#vindatA BagavatA govindena (varAharUpiRA)#} 1,1216. {#nazwAM DaraRIM pUrvamavindan#} (lies: {#avindaM#}) {#vE guhAgatAm .. govinda iti tenAhaM devErvAgBiraBizwutaH .#} <ls n=""MBH."""
54780,BAs,1,1241,zu lesen,high,agnirASirivodBAsansamidDaH,savitA,Bomb,"{%aufleuchten, zu scheinen beginnen%}: {#agnirASirivodBAsansamidDaH#} MBH. 1,1241. {#udaBAsaddivA candraH#} R. 3,29,10. {#udBAsitaSca#} (so mit der ed. Bomb. zu lesen) {#savitA#} MBH. 13,7302. {%in die Augen fallen, auffallen%}: {#udBAsate "
43801,paS,1,1248,zu lesen,high,paSyetarAjAnam,paSyetarAjAnam,,"na#} (so ist zu lesen) {#paSyeta rAjAnam#} VET. in LA. 2,14. MBH. 1,1248. {#asAvatraBavAnvarR"
81526,yam,1,1274,lies,high,udgantumu˚,udgantumu˚,,"i#}): {#eza lokavinASAya ravirudyantumudyataH#} (lies {#udgantumu˚#}) MBH. 1,1274. {#udyacCantaM#} (d. i. {#udgacCantaM#}) {#"
66880,Alaya,1,1321,lies,high,nizAdAlayamuttamam,drumAlayam,,"{#Alaya#}¦ n.: {#nizAdAlayamuttamam#} MBH. 1,1321. {#izwakAlayam#} Spr. 710. {#drumAlayam#} 2727. Sp. 701, Z. 3 v. u. lies 10,17 st. 11,17. Bei den Buddhisten Bez. {%der Seele%} WASSILJEW 13"
