variant	canonical	tier	variant_cites	variant_dicts	canonical_dicts
Raghuvanśa	Raghuvaṃśa	named	4101	lrv	ap,ap90,ben,pw,pwg,pwkvn,sch
Bhāgavata	Bhāgavata-Purāṇa	named	2968	ap,ap90,lrv	ben,bhs,pwg,pwkvn,sch
Manusmṛiti	Manusmṛti	named	1762	lrv	ap,ap90,ben,pw,pwg,pwkvn,sch
Rigveda	Ṛgveda	named	837	ben,bhs,lrv,md	ap,ap90,mw,pw,pwg,pwkvn,sch
VISHṆUPURĀṆA	Viṣṇu Purāṇa	ascii	929	pw	ap,ap90,pwg,pwkvn,sch
TAITTIRYASAM5HITĀ	Taittirīya Saṃhitā	ascii	619	pw	bhs,md,pwg,pwkvn,sch
LĀṬYĀYANA'S ŚRAUTASŪTRA	Lāṭyāyana-Śrautasūtra	ascii	388	pw	bhs,pwg,pwkvn,sch
Nirukta	Nirukta (Yāska)	ascii	300	ap,ap90,pw	pwg,pwkvn,sch
Bhāminīivilāsa	Bhāminīvilāsa	ascii	299	lrv	ap,ap90,pw,pwg,pwkvn,sch
Mudrārākshasa	Mudrārākṣasa	ascii	256	lrv,pw	ap,ap90,ben,pwg,pwkvn,sch
Uttararāmacharita	Uttararāmacarita	ascii	179	lrv	ap,ap90,ben,pwg,pwkvn,sch
Naishadhacharita	Naiṣadhacarita	ascii	159	lrv	ap,ap90,ben,pwg,pwkvn,sch
Panchatantra	Pañcatantra	ascii	108	lrv	ap,ap90,ben,pwg,pwkvn,sch
Daśakumāracharita	Daśakumāracarita	ascii	60	lrv	ap,ap90,ben,bhs,pwg,pwkvn,sch
Mahāvīracharita	Mahāvīracarita	ascii	54	lrv	ap,ap90,ben,pwg,sch
Śṛingāratilaka	Śṛṅgāratilaka	ascii	52	lrv	ap,ap90,ben,pwg,sch
Trikāṇḍaśesha	Trikāṇḍaśeṣa	ascii	50	lrv,pw	ap,ap90,bhs,pwg,pwkvn,sch
Vikramānkadevacharita	Vikramāṅkadevacarita	ascii	45	lrv	ap,ap90
Chaurapanchaśika	Caurapañcāśikā	ascii	39	lrv	ap90,ben,pwg,pwkvn,sch
ŚVETĀŚVATAROPANISHAD	Śvetāśvataropaniṣad	ascii	32	pw	ap,ap90,ben,pwg,pwkvn,sch
MUṆḌAKOPANISHAD	Muṇḍakopaniṣad	ascii	18	pw	ap,ap90,pwg,pwkvn,sch
TAITTIRIYOPANISHAD	TAITTIRĪYOPANIṢAD	ascii	17	pw	pwg,pwkvn,sch
Mitākshara	Mitākṣarā	ascii	16	lrv	ap,ap90,ben,pwg,pwkvn
Mugdhabodha	Mugdhabodha (Vopadeva)	ascii	12	ap,ap90,lrv	pwg,pwkvn,sch
Prabodhachandrodaya	Prabodhacandrodaya	ascii	8	lrv	ap,ap90,ben,pwg,pwkvn,sch
Kaṭhopanishad	Kaṭhopaniṣad	ascii	4	lrv	ap,ap90,pwg,pwkvn,sch
Śikshā	Śikṣā	ascii	3	lrv	ap,ap90
KENOPANISHAD	Kenopaniṣad	ascii	3	pw	ap,ap90,pwg,pwkvn,sch
Chāṇakya	Cāṇakya	ascii	3	lrv	ben
KAIVALYOPANISHAD	KAIVALYOPANIṢAD	ascii	3	pw	pwg
Chandrāloka	Candrāloka	ascii	2	lrv	ap90
Vārtika	Vārttika	ascii	2	ben	pw
SARVOPANIṢATSĀRA	SARVOPANISHATSĀRA	ascii	2	pwg	pw
Chātakāshṭaka	Cātakāṣṭaka	ascii	1	lrv	ap90
Harṣacarita	Harshacharita	ascii	1	ap90	lrv
BRAHMOPANIṢAD	BRAHMOPANISHAD	ascii	1	pwg	pw
WILSON	Wilson (dictionary)	ascii	1	pw	pwg
