lemma,cited_N,category,delta,n_loci,source_dict,inheritor,corpus_n
CAndasa,12284,displaced,151,2,PWG,MW,2
triSiKa,12292,displaced,490,3,PW,MW,3
caturmuKa,12344,displaced,-1712,5,PWG,MW,1
citi,12360,displaced,-6038,2,PWG,MW,1
dakziRa,12390,displaced,11,51,PWG,MW,1
jalaDAra,12405,displaced,-8583,1,PWG,MW,2
tArkzya,12468,displaced,2027,3,PWG,MW,3
jAmbUnada,12829,displaced,-3847,4,PWG,MW,4
kzIroda,12834,displaced,-1420,4,PWG,MW,2
tamAla,12837,displaced,-155,1,PWG,MW,4
caturhotra,12884,displaced,-10716,1,PWG,MW,3
jaya,13093,displaced,4,73,PWG,MW,2
jAmbUnada,13099,displaced,-4117,4,PWG,MW,1
jamBa,13227,displaced,129,4,PWG,MW,1
DaraRIBft,13616,displaced,-6862,2,PWG,MW,1
amfta,14095,displaced,-164,10,PWG,MW,1
tArkzya,14175,displaced,320,3,PWG,MW,4
jaleSaya,14348,displaced,-5,1,PWG,MW,2
candraSeKara,14838,displaced,27,2,PWG,MW,2
tattva,14840,displaced,184,44,PWG,MW,2
tuzya,14882,displaced,-7167,2,PWG,MW,4
vilocana,14943,displaced,1050,2,PWG,MW,1
janArdana,15397,displaced,-6,188,PWG,MW,1
dAru,15522,displaced,-6,44,PWG,MW,4
janman,15718,displaced,-743,5,PWG,MW,1
