lemma,cited_N,category,delta,n_loci,source_dict,inheritor,corpus_n
kulya,2098,absent,,0,PW,MW,2
jArUTya,2344,absent,,0,PWG,MW,1
jAtUkarRa,2364,absent,,0,PWG,MW,2
tan,2386,absent,,0,PWG,MW,2
trAsanIya,2430,absent,,0,PWG,MW,3
gavAkza,2439,absent,,0,PWG,MW,3
cal,2697,absent,,0,PWG,MW,1
calatva,2893,absent,,0,PWG,MW,2
go,2943,absent,,0,PWG,MW,1
tizya,3019,absent,,0,PWG,MW,3
garBavasati,3312,absent,,0,PWG,MW,2
gosTAna,3397,absent,,0,PWG,MW,3
govAwa,3397,absent,,0,PWG,MW,3
cakramOlin,3415,absent,,0,PW,MW,4
govAwa,3485,absent,,0,PWG,MW,2
gfhakzetrin,3493,absent,,0,PW,MW,3
Jilli,3497,absent,,0,PWG,MW,1
daSabadDa,3507,absent,,0,PW,MW,4
CAdana,3537,absent,,0,PWG,MW,4
GarmamAsa,3545,absent,,0,PWG,MW,2
kfzwi,3588,absent,,0,PWG,MW,4
car,3602,absent,,0,PWG,MW,2
prativyUha,3605,absent,,0,PWG,MW,1
prativyUha,3605,absent,,0,PW,MW,1
nirvizaya,3645,absent,,0,PWG,MW,2
nirvizaya,3645,absent,,0,PW,MW,2
GrARatarpaRa,3710,absent,,0,PWG,MW,1
tIkzRaraSmi,3839,absent,,0,PWG,MW,2
kESoraka,4081,absent,,0,PWG,MW,2
dinAgama,4287,absent,,0,PWG,MW,2
kAryAntara,4339,absent,,0,PWG,MW,3
devasaMgItayonin,4347,absent,,0,PWG,MW,1
kAzWaBAra,4356,absent,,0,PWG,MW,3
upanAyika,4417,absent,,0,PWG,MW,3
upanAyika,4417,absent,,0,PW,MW,3
jIvaka,4484,absent,,0,PWG,MW,2
capalaka,4546,absent,,0,PWG,MW,2
javanikA,4648,absent,,0,PWG,MW,2
avaGawwita,4720,absent,,0,PW,MW,3
avantipura,4906,absent,,0,PWG,MW,2
avanAmin,4947,absent,,0,PWG,MW,1
tapovAsa,5168,absent,,0,PWG,MW,1
taskara,5180,absent,,0,PWG,MW,3
titIrzu,5182,absent,,0,PWG,MW,1
Kagata,5336,absent,,0,PW,MW,3
jambUla,5371,absent,,0,PWG,MW,2
tAmarasa,5771,absent,,0,PWG,MW,1
celakaRWin,6046,absent,,0,PW,MW,4
aSocya,6062,absent,,0,PW,MW,2
avaDAraRIya,6252,absent,,0,PWG,MW,1
guggula,6283,absent,,0,PWG,MW,1
aSvaSakft,6445,absent,,0,PWG,MW,2
jiGfkzu,6463,absent,,0,PWG,MW,3
AjYApaka,6518,absent,,0,PWG,MW,3
jYApaka,6518,absent,,0,PWG,MW,3
DaraRIDft,6766,absent,,0,PWG,MW,2
dah,7040,absent,,0,PWG,MW,1
kONkuma,7072,absent,,0,PWG,MW,2
janyu,7092,absent,,0,PWG,MW,2
jYA,7095,absent,,0,PWG,MW,2
jyAyizWa,7265,absent,,0,PWG,MW,1
zaqgaRa,7432,absent,,0,PWG,MW,3
zaqgaRa,7432,absent,,0,PW,MW,3
