parvan,cited_verse,pratika_folded_len,outcome,found_address,found_calibrated_N,delta,coverage
1,197,24,retrieved,1.1.199,153,44,1.0
3,14853,16,probe-too-short,,,,
1,4220,20,probe-too-short,,,,
12,981,16,probe-too-short,,,,
3,14224,16,probe-too-short,,,,
1,7703,21,probe-too-short,,,,
1,7770,47,retrieved,1.213.29,7838,-68,0.902
2,2122,27,retrieved,2.64.2,2122,0,0.792
3,15964,21,probe-too-short,,,,
1,1031,12,probe-too-short,,,,
3,1568,22,probe-too-short,,,,
3,1908,24,retrieved,3.47.30,1908,0,0.81
3,8471,29,retrieved,3.93.14,8471,0,0.692
3,13707,46,retrieved,3.207.7,13707,0,0.93
1,4173,24,retrieved,1.104.2,4171,2,1.0
3,10734,19,probe-too-short,,,,
1,2882,45,retrieved,1.70.39,2882,0,0.857
12,13259,13,probe-too-short,,,,
3,15797,18,probe-too-short,,,,
1,3451,40,retrieved,1.83.28,3431,20,1.0
1,7144,34,retrieved,1.191.14,7212,-68,0.903
1,7166,51,retrieved,1.192.11,7234,-68,1.0
3,121,76,retrieved,3.2.75,121,0,1.0
7,2384,78,retrieved,7.68.8,2384,0,1.0
1,2294,76,retrieved,1.62.12,2294,0,1.0
1,103,40,retrieved,1.1.104,58,45,1.0
3,4030,42,retrieved,3.82.5,4947,-917,0.846
1,7760,36,retrieved,1.213.19,7828,-68,0.879
3,15596,41,retrieved,3.265.9,15596,0,1.0
1,3762,23,probe-too-short,,,,
3,8330,39,retrieved,3.88.5,8330,0,1.0
12,16113,43,retrieved,12.47.26,1613,14500,1.0
2,114,21,probe-too-short,,,,
1,7772,35,retrieved,1.213.32,7841,-69,0.903
1,7742,32,retrieved,1.212.31,7809,-67,1.0
2,578,17,probe-too-short,,,,
12,1737,15,probe-too-short,,,,
1,1341,13,probe-too-short,,,,
3,4052,19,probe-too-short,,,,
1,4491,59,retrieved,1.115.9,4490,1,0.722
12,228,41,retrieved,12.8.23,224,4,0.789
1,7807,20,probe-too-short,,,,
1,4644,21,probe-too-short,,,,
13,6252,77,retrieved,13.137.8,6252,0,1.0
1,3773,117,retrieved,1.95.20,3773,0,1.0
12,12072,17,probe-too-short,,,,
1,6978,36,retrieved,1.185.35,7044,-66,1.0
1,3022,25,retrieved,1.74.35,3022,0,1.0
3,7078,18,probe-too-short,,,,
1,716,86,retrieved,1.3.51,716,0,1.0
1,715,44,retrieved,1.3.50,715,0,1.0
2,1383,20,probe-too-short,,,,
1,3203,22,probe-too-short,,,,
3,169,12,probe-too-short,,,,
2,517,38,retrieved,2.13.4,517,0,0.939
1,7211,27,retrieved,1.194.9,7279,-68,0.917
3,10190,13,probe-too-short,,,,
3,10190,23,probe-too-short,,,,
1,3203,22,probe-too-short,,,,
4,1059,21,probe-too-short,,,,
3,2166,13,probe-too-short,,,,
4,907,12,probe-too-short,,,,
3,11875,39,retrieved,3.163.35,11875,0,0.944
3,11726,62,retrieved,3.160.65,11725,1,0.845
3,17226,14,probe-too-short,,,,
2,1222,21,probe-too-short,,,,
3,12681,42,retrieved,3.185.5,12682,-1,1.0
1,8127,28,retrieved,1.223.48,8213,-86,1.0
3,16989,36,retrieved,3.302.13,16989,0,0.939
3,1037,30,retrieved,3.28.9,1037,0,1.0
1,5126,33,retrieved,1.130.60,5127,-1,0.9
3,12334,30,retrieved,3.176.19,12334,0,1.0
1,4666,38,retrieved,1.120.27,4666,0,1.0
3,16450,54,retrieved,3.288.13,16448,2,1.0
3,2505,15,probe-too-short,,,,
3,717,20,probe-too-short,,,,
3,761,40,retrieved,3.19.12,761,0,0.892
2,1693,21,probe-too-short,,,,
3,8488,31,retrieved,3.94.2,8490,-2,1.0
2,1960,23,probe-too-short,,,,
2,1119,21,probe-too-short,,,,
3,15224,31,retrieved,3.253.17,15223,1,1.0
3,1580,29,retrieved,3.39.30,1580,0,1.0
1,6456,41,retrieved,1.170.22,6517,-61,1.0
3,10019,13,probe-too-short,,,,
1,4941,14,probe-too-short,,,,
1,5300,15,probe-too-short,,,,
3,8236,41,retrieved,3.85.93,8235,1,0.811
1,6144,13,probe-too-short,,,,
3,15393,12,probe-too-short,,,,
1,3089,17,probe-too-short,,,,
3,1207,31,retrieved,3.32.6,1207,0,1.0
3,14686,36,retrieved,3.233.38,14686,0,1.0
3,12614,19,probe-too-short,,,,
3,12631,29,retrieved,3.183.75,12631,0,1.0
3,8083,40,retrieved,3.84.105,8083,0,1.0
3,13352,20,probe-too-short,,,,
12,1592,15,probe-too-short,,,,
3,16834,13,probe-too-short,,,,
1,5623,75,retrieved,1.140.83,5672,-49,0.887
2,197,39,retrieved,2.5.63,197,0,1.0
3,123,20,probe-too-short,,,,
3,10674,13,probe-too-short,,,,
3,10284,52,retrieved,3.120.26,10348,-64,1.0
3,10627,14,probe-too-short,,,,
1,8173,14,probe-too-short,,,,
1,7942,15,probe-too-short,,,,
3,1450,27,retrieved,3.36.40,1450,0,0.739
2,256,71,retrieved,2.5.121,255,1,0.952
3,430,16,probe-too-short,,,,
2,1805,76,retrieved,2.50.21,1805,0,1.0
3,434,74,not-retrieved,,,,0.538
2,564,19,probe-too-short,,,,
3,9922,20,probe-too-short,,,,
1,4948,35,not-retrieved,,,,0.594
3,11551,34,retrieved,3.158.28,11551,0,0.968
3,16708,25,retrieved,3.295.18,16678,30,0.818
3,740,26,retrieved,3.18.24,740,0,0.826
1,2502,43,retrieved,1.64.48,2481,21,1.0
3,295,14,probe-too-short,,,,
2,1898,37,retrieved,2.52.40,1896,2,1.0
1,4236,18,probe-too-short,,,,
3,14380,18,probe-too-short,,,,
2,944,51,retrieved,2.24.22,944,0,1.0
3,14133,41,retrieved,3.219.4,14133,0,1.0
3,4093,50,retrieved,3.82.52,4994,-901,0.622
1,6371,40,retrieved,1.167.16,6428,-57,1.0
1,3984,26,retrieved,1.100.18,3984,0,0.895
2,1934,21,probe-too-short,,,,
3,12203,16,probe-too-short,,,,
1,140,29,retrieved,1.1.142,96,44,0.962
1,5545,16,probe-too-short,,,,
4,99,32,retrieved,4.4.17,99,0,1.0
3,13768,19,probe-too-short,,,,
1,142,40,retrieved,1.1.144,98,44,1.0
3,15053,30,retrieved,3.248.1,15054,-1,0.889
3,13722,70,not-retrieved,,,,0.463
1,4697,74,not-retrieved,,,,0.507
1,6058,19,probe-too-short,,,,
3,12253,31,retrieved,3.173.56,12286,-33,1.0
2,1694,39,retrieved,2.47.33,1694,0,1.0
3,16065,26,retrieved,3.279.21,16063,2,0.955
3,4069,30,retrieved,3.82.27,4969,-900,1.0
3,11206,28,retrieved,3.148.6,11252,-46,0.96
1,8252,37,retrieved,1.227.20,8348,-96,0.735
1,301,22,probe-too-short,,,,
1,5515,20,probe-too-short,,,,
5,3899,20,probe-too-short,,,,
1,5156,22,probe-too-short,,,,
3,1385,14,probe-too-short,,,,
1,6965,16,probe-too-short,,,,
2,531,16,probe-too-short,,,,
1,3756,16,probe-too-short,,,,
3,1403,24,retrieved,3.35.28,1403,0,0.857
3,16302,14,probe-too-short,,,,
2,2116,17,probe-too-short,,,,
1,7109,19,probe-too-short,,,,
3,13373,15,probe-too-short,,,,
2,475,60,retrieved,2.11.59,476,-1,0.887
3,17304,39,retrieved,3.313.17,17302,2,1.0
3,401,44,retrieved,3.11.17,402,-1,0.9
3,13711,39,retrieved,3.207.11,13711,0,1.0
3,15530,33,retrieved,3.263.10,15530,0,0.821
1,4649,41,retrieved,1.120.11,4650,-1,1.0
1,3557,75,retrieved,1.87.7,3538,19,1.0
3,12608,28,retrieved,3.183.51,12607,1,1.0
3,1808,39,retrieved,3.45.8,1808,0,0.914
3,8868,20,probe-too-short,,,,
3,88,39,retrieved,3.2.42,88,0,0.778
2,1210,19,probe-too-short,,,,
1,2912,38,retrieved,1.71.18,2894,18,1.0
3,11175,22,probe-too-short,,,,
1,2876,17,probe-too-short,,,,
1,3025,37,retrieved,1.74.38,3025,0,0.882
2,861,19,probe-too-short,,,,
1,442,20,probe-too-short,,,,
2,1154,20,probe-too-short,,,,
14,610,21,probe-too-short,,,,
3,15120,47,retrieved,3.250.10,15119,1,0.93
1,5092,35,retrieved,1.130.22,5089,3,1.0
3,11034,41,retrieved,3.145.21,11083,-49,0.972
13,3,15,probe-too-short,,,,
1,3756,38,retrieved,1.95.3,3756,0,1.0
14,956,18,probe-too-short,,,,
14,1330,19,probe-too-short,,,,
3,8452,41,retrieved,3.92.21,8452,0,1.0
14,722,39,retrieved,14.24.12,720,2,1.0
3,11587,33,retrieved,3.158.64,11587,0,1.0
3,1420,48,retrieved,3.36.10,1420,0,0.975
3,12819,22,probe-too-short,,,,
15,926,19,probe-too-short,,,,
1,4712,34,retrieved,1.121.34,4712,0,0.897
1,6086,19,probe-too-short,,,,
1,2485,38,retrieved,1.64.31,2464,21,1.0
3,10966,19,probe-too-short,,,,
2,1542,36,retrieved,2.44.24,1542,0,1.0
17,25,37,retrieved,17.1.25,25,0,1.0
1,7537,22,probe-too-short,,,,
1,6080,37,retrieved,1.155.39,6131,-51,1.0
3,493,20,probe-too-short,,,,
2,218,15,probe-too-short,,,,
3,971,19,probe-too-short,,,,
2,1205,19,probe-too-short,,,,
3,1211,38,retrieved,3.32.10,1211,0,1.0
2,2008,35,retrieved,2.58.17,2008,0,0.906
1,2603,38,retrieved,1.66.39,2603,0,1.0
3,15834,31,not-retrieved,,,,0.536
1,864,46,retrieved,1.5.2,864,0,1.0
1,8130,39,retrieved,1.223.51,8216,-86,1.0
3,195,38,retrieved,3.3.65,195,0,1.0
3,69,20,probe-too-short,,,,
1,3031,40,retrieved,1.74.44,3031,0,0.889
1,4486,18,probe-too-short,,,,
1,7190,26,retrieved,1.193.17,7258,-68,0.957
3,1242,19,probe-too-short,,,,
3,1258,34,retrieved,3.32.57,1258,0,0.871
17,79,17,probe-too-short,,,,
