sim_floor,n_paired,pwg,ap,pwg_minus_ap
0.0,660,0.7161,0.7129,0.0032
0.05,560,0.7212,0.7243,-0.003
0.1,373,0.7328,0.7383,-0.0055
0.15,214,0.7637,0.7359,0.0278
0.2,76,0.8346,0.7302,0.1044
0.3,22,0.8939,0.7138,0.1801
