source,inheritor,source_lang,shared_glossed_lemmas,pearson_loglen,spearman_loglen
PWG,MW,de,67198,0.6576,0.5641
PW,MW,de,92347,0.6424,0.5488
AP,MW,en,38197,0.6314,0.5763
BEN,MW,de,22699,0.2279,0.1341
