vs,is_null,shared_headwords,entries_with_order_signal,mean_citation_order_agreement,pct_identical_order,mean_content_jaccard,apparatus_size_spearman
PWKVN,False,9758,5,0.8667,80.0,0.0991,0.2504
SCH,False,14523,5,0.8667,80.0,,0.2497
PWG,False,94779,3583,0.8108,47.7,0.1036,0.6748
PW,False,129005,183,0.7303,46.4,0.1417,0.4747
BEN,True,22737,116,0.7045,34.5,0.143,0.569
AP,True,38207,8,0.4167,12.5,0.0947,0.5197
