parvan,adhyaya,verse,continuous_sloka,adhyaya_offset,adhyaya_n_anchors
7,1,1,-1,-2,3
7,1,2,0,-2,3
7,1,3,1,-2,3
7,1,4,2,-2,3
7,1,5,3,-2,3
7,1,6,4,-2,3
7,1,7,5,-2,3
7,1,8,6,-2,3
7,1,9,7,-2,3
7,1,10,8,-2,3
7,1,11,9,-2,3
7,1,12,10,-2,3
7,1,13,11,-2,3
7,1,14,12,-2,3
7,1,15,13,-2,3
7,1,16,14,-2,3
7,1,17,15,-2,3
7,1,18,16,-2,3
7,1,19,17,-2,3
7,1,20,18,-2,3
7,1,21,19,-2,3
7,1,22,20,-2,3
7,1,23,21,-2,3
7,1,24,22,-2,3
7,1,25,23,-2,3
7,1,26,24,-2,3
7,1,27,25,-2,3
7,1,28,26,-2,3
7,1,29,27,-2,3
7,1,30,28,-2,3
7,1,31,29,-2,3
7,1,32,30,-2,3
7,1,33,31,-2,3
7,1,34,32,-2,3
7,1,35,33,-2,3
7,1,36,34,-2,3
7,1,37,35,-2,3
7,1,38,36,-2,3
7,1,39,37,-2,3
7,1,40,38,-2,3
7,1,41,39,-2,3
7,1,42,40,-2,3
7,1,43,41,-2,3
7,1,44,42,-2,3
7,1,45,43,-2,3
7,1,46,44,-2,3
7,1,47,45,-2,3
7,1,48,46,-2,3
7,1,49,47,-2,3
7,1,50,48,-2,3
7,1,51,49,-2,3
7,1,52,50,-2,3
7,1,53,51,-2,3
7,2,1,52,-2,3
7,2,2,53,-2,3
7,2,3,54,-2,3
7,2,4,55,-2,3
7,2,5,56,-2,3
7,2,6,57,-2,3
7,2,7,58,-2,3
7,2,8,59,-2,3
7,2,9,60,-2,3
7,2,10,61,-2,3
7,2,11,62,-2,3
7,2,12,63,-2,3
7,2,13,64,-2,3
7,2,14,65,-2,3
7,2,15,66,-2,3
7,2,16,67,-2,3
7,2,17,68,-2,3
7,2,18,69,-2,3
7,2,19,70,-2,3
7,2,20,71,-2,3
7,2,21,72,-2,3
7,2,22,73,-2,3
7,2,23,74,-2,3
7,2,24,75,-2,3
7,2,25,76,-2,3
7,2,26,77,-2,3
7,2,27,78,-2,3
7,2,28,79,-2,3
7,2,29,80,-2,3
7,2,30,81,-2,3
7,2,31,82,-2,3
7,2,32,83,-2,3
7,2,33,84,-2,3
7,2,34,85,-2,3
7,2,35,86,-2,3
7,2,36,87,-2,3
7,2,37,88,-2,3
7,3,1,89,-2,2
7,3,2,90,-2,2
7,3,3,91,-2,2
7,3,4,92,-2,2
7,3,5,93,-2,2
7,3,6,94,-2,2
7,3,7,95,-2,2
7,3,8,96,-2,2
7,3,9,97,-2,2
7,3,10,98,-2,2
7,3,11,99,-2,2
7,3,12,100,-2,2
7,3,13,101,-2,2
7,3,14,102,-2,2
7,3,15,103,-2,2
7,3,16,104,-2,2
7,3,17,105,-2,2
7,3,18,106,-2,2
7,3,19,107,-2,2
7,3,20,108,-2,2
7,3,21,109,-2,2
7,3,22,110,-2,2
7,3,23,111,-2,2
7,3,24,112,-2,2
7,3,25,113,-2,2
7,4,1,115,-1,4
7,4,2,116,-1,4
7,4,3,117,-1,4
7,4,4,118,-1,4
7,4,5,119,-1,4
7,4,6,120,-1,4
