ref_id,L_id,page,headword_iast,headword_slp1,raw_tag,edition_cited,verse_num,quoted_iast,quoted_slp1,boesp2_verse_iast,boesp2_verse_slp1,evidence_tier,verdict,edition_swap_candidate,cascade_tier
H611-000029,39805,4-0220,nivarhaṇa,nivarhaRa,Spr. 365,I,365,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000030,39811,4-0220,nivaha,nivaha,Spr. 660,I,660,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000031,39831,4-0223,nivāsabhūmi,nivAsaBUmi,Spr. 298,I,298,bhū˚,BU˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000032,39851,4-0225,nivedana,nivedana,Spr. 417,I,417,kavitva˚,kavitva˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000033,39948,4-0233,niścala,niScala,Spr. 217,I,217,mati,mati,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000034,39966,4-0234,niśchidra,niSCidra,Spr. 122,I,122,stambhāḥ,stamBAH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000035,39966,4-0234,niśchidra,niSCidra,Spr. 122,I,122,mantrin,mantrin,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000036,39978,4-0235,niḥśaṅka,niHSaNka,Spr. 406,I,406,niḥśaṅkasupta,niHSaNkasupta,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000037,39991,4-0236,niḥśeṣa,niHSeza,Spr. 508,I,508,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000038,40153,4-0250,niṣṭhīvana,nizWIvana,Spr. 620,I,620,˚śarāva,˚SarAva,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000039,40155,4-0250,niṣṭhura,nizWura,Spr. 114,I,114,śaṅkha,SaNKa,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000040,40155,4-0250,niṣṭhura,nizWura,Spr. 178,I,178,niṣṭhurāṇyapi ca bruvan,nizWurARyapi ca bruvan,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000041,40157,4-0250,niṣṭhuratā,nizWuratA,Spr. 275,I,275,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000042,40325,4-0260,niḥsaṅga,niHsaNga,Spr. 364,I,364,parityāga,parityAga,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000043,40327,4-0261,niḥsaṃjña,niHsaMjYa,Spr. 197,I,197,draviṇamadaniḥsaṃ jñamanas,draviRamadaniHsaM jYamanas,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000044,40356,4-0263,niḥspṛha,niHspfha,Spr. 224,I,224,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000045,40356,4-0263,niḥspṛha,niHspfha,Spr.541,I,541,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000046,40360,4-0263,niḥsva,niHsva,Spr. 221,I,221,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000047,40388,4-0281,nīca,nIca,Spr. 661,I,661,sindhuṣu tathā nīceṣu,sinDuzu taTA nIcezu,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000048,40388,4-0281,nīca,nIca,Spr. 466,I,466,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000049,40388,4-0281,nīca,nIca,Spr. 443,I,443,uttamasyāpi varṇasya nīco 'pi gṛhamāgataḥ,uttamasyApi varRasya nIco 'pi gfhamAgataH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000050,40409,4-0283,nīcais,nIcEs,Spr. 861,I,861,nīcairāsanasaṃsthitaḥ,nIcErAsanasaMsTitaH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000051,40414,4-0283,nīḍa,nIqa,Spr. 411,I,411,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000052,40422,4-0284,nīti,nIti,Spr. 335,I,335,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000053,40442,4-0286,nīra,nIra,Spr. 294,I,294,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000054,40442,4-0286,nīra,nIra,Spr.661,I,661,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000055,40579,4-0294,nīlābja,nIlAbja,Spr. 342,I,342,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000056,40656,4-0306,nṛtya,nftya,Spr. 434,I,434,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000057,40915,4-0322,naipuṇa,nEpuRa,Spr. 482,I,482,paro 'rtho karmanaipuṇam,paro 'rTo karmanEpuRam,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000058,40924,4-0323,naimittika,nEmittika,Spr. 430,I,430,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000059,41021,4-0328,naisargika,nEsargika,Spr. 660,I,660,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000060,41027,4-0329,no,no,Spr. 622,I,622,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000061,41027,4-0329,no,no,Spr. 564,I,564,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000062,41027,4-0329,no,no,Spr.885,I,885,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000063,41128,4-0336,nyāsa,nyAsa,Spr. 170,I,170,apragalbhapadanyāsa,apragalBapadanyAsa,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000064,41185,4-0344,pakṣa,pakza,Spr. 822,I,822,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000065,41252,4-0350,pakṣmala,pakzmala,Spr. 421,I,421,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000066,41256,4-0351,paṅka,paNka,Spr. 117,I,117,yaḥ kumbhakārapavanopari paṅkalepaḥ,yaH kumBakArapavanopari paNkalepaH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000067,41265,4-0351,paṅkaja,paNkaja,Spr. 750,I,750,paṅkajākṣi,paNkajAkzi,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000068,41271,4-0351,paṅkajinī,paNkajinI,Spr. 185,I,185,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000069,41291,4-0352,paṅkti,paNkti,Spr. 472,I,472,akṣara˚,akzara˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000070,41291,4-0352,paṅkti,paNkti,Spr. 431,I,431,kāka˚,kAka˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000071,41293,4-0353,paṅktikā,paNktikA,Spr. 472,I,472,akṣara˚,akzara˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000072,41615,4-0376,pañceṣu,paYcezu,Spr. 866,I,866,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000073,41643,4-0380,paṭala,pawala,Spr. 36,I,36,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000074,41643,4-0380,paṭala,pawala,Spr. 806,I,806,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000075,41661,4-0382,paṭu,pawu,Spr. 188,I,188,granthiprabhedapaṭīyasī,granTipraBedapawIyasI,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000076,41712,4-0387,paṭhana,paWana,Spr. 664,I,664,purāṇapaṭhanaiḥ,purARapaWanEH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000077,41753,4-0390,paṇḍita,paRqita,Spr. 507,I,507,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000078,41783,4-0392,paṇyastrī,paRyastrI,Spr. 184,I,184,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000079,41796,4-0406,pataṃga,pataMga,Spr. 248,I,248,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000080,41812,4-0408,patana,patana,Spr. 902,I,902,caraṇa˚,caraRa˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000081,41812,4-0408,patana,patana,Spr. 944,I,944,gireḥ,gireH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000082,41812,4-0408,patana,patana,Spr. 346,I,346,bhūmau sthitasya patanādbhayameva nāsti,BUmO sTitasya patanAdBayameva nAsti,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000083,41812,4-0408,patana,patana,Spr. 422,I,422,stana˚,stana˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000084,41812,4-0408,patana,patana,Spr. 704,I,704,kula˚,kula˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000085,41828,4-0410,pati,pati,Spr. 280,I,280,bhṛtya,Bftya,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000086,41828,4-0410,pati,pati,Spr. 608,I,608,kūrma˚,kUrma˚,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000087,41853,4-0412,pativrata,pativrata,Spr. 741,I,741,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000088,41862,4-0413,pattana,pattana,Spr. 392,I,392,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000089,41862,4-0413,pattana,pattana,Spr.557,I,557,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000090,41902,4-0416,pattrabhaṅga,pattraBaNga,Spr. 622,I,622,kastūrīvarapattrabhaṅganikaro bhraṣṭo na gaṇḍasthale,kastUrIvarapattraBaNganikaro Brazwo na gaRqasTale,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000091,41938,4-0417,pattrālī,pattrAlI,Spr. 597,I,597,"pattrabhaṅga, pattrāvalīḥ kapole","pattraBaNga, pattrAvalIH kapole",,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000092,41945,4-0418,pattrin,pattrin,Spr. 419,I,419,śikharipattriṇaḥ,SiKaripattriRaH,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000093,41980,4-0422,pathika,paTika,Spr. 491,I,491,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
H611-000094,41980,4-0422,pathika,paTika,Spr.677,I,677,,,,,none,range-only-unverifiable,,unresolved (no ed.I e-text; would require boesp1 scan tier)
