siglum	count	ctx1	ctx2	ctx3
RājTa.	1840	RājTa.(Ka.) 8. 151;	RājTa.(Ka.) 1. 13;	RājTa.(Ka.) 2. 16;
TātpaṬ.	1836	TātpaṬ.(U.) 251. 19 ( 8. 44);	TātpaṬ.(U.) 115. 15	part and whole TātpaṬ.(U.) 154. 17 ( 4. 135);
BṛĀraUBhVā.	1805	BṛĀraUBhVā. iii. 2. 127. IṣṭaSi 8. 3; 221. 16;	BṛĀraUBhVā. iii. 9. 40;	BṛĀraUBhVā. 1. 1073; {@2@} division into
TilaMañ.	1771	TilaMañ. 181. 21;	TilaMañ. 92. 3;	TilaMañ. 123. 18; TriṣaŚaPuC.
BālamBha.	1741	BālamBha. ii. 141. 22 ( 2. 117)	2. 122); 54. 32 ( 2. 124); BālamBha. ii. 158. 22 ( 2. 124)	BālamBha. ii. 156. 22 ( 2. 124); ii. 160. 26 ( 2. 12
CaraS.	1730	CaraS. ii. 6. 5 (1922);	CaraS. iii. 2. 3;	CaraS. i. 5. 67;
NyāyMañ.	1730	NyāyMañ. i. 332. 3; i. 311. 18;	NyāyMañ. ii. 5. 11;	NyāyMañ. i. 92. 10.
II.	1718	TaiS. II. v. 4. 3.	NayaMañ. II. iii. 17. 33;	NayaMañ. II. iii. 17. 33; VedāntPāSau.
KathāSaSāg.	1715	KathāSaSāg. vi. 7. 34;	KathāSaSāg. vi. 7. 48;	BṛKathāMañ. xv. 1. 233; KathāSaSāg. iii.
YaśasCam.	1691	SiddhāKau. 447B. 6; Arhat, YaśasCam. i. 53. 3	YaśasCam. i. 364. 4;	TattvSaṃ. 2221; YaśasCam. ii.
TriṣaŚaPuC.	1578	TriṣaŚaPuC. i. 5. 289;	TriṣaŚaPuC. iii. i. 402; RāghPāṇ.(Ka.)	ŚiPa. ii. 28. 83; TriṣaŚaPuC. ii. 3. 542;
SmṛtiCan.	1570	ManuSm. 9. 47; SmṛtiCan. i. 218. 4; SūktiRa. 163. 88;	SmṛtiCan. iv. 608. 10;	SmṛtiCan. iv. 623. 17; ManvaVi. 1140. 1 (
TaiS.	1559	TaiS. V. v. 1. 6; BṛĀraU. i. 4. 16; ChāndoU. v	4; ix. 108. 4; ṚV. viii. 68. 8; ix. 48. 5; TaiS.	TaiS. II. v. 4. 3.
ĀpaŚS.	1559	ĀpaŚS. xxiii. 7. 5; BṛDe. 5. 147;	ĀpaŚS. xii. 10. 11;	ĀpaŚS. x. 24. 8; x. 24. 14; xii. 8. 4; etc.
BhaviP.	1558	BhaviP. i. 52. 44 (96B. 14);	BhaviP. 465B. 3 (iii(3). 1. 32);	BhaviP. 497B. 29 (iii(3). 20. 52);
AṣṭāSaṃ.	1515	i. 8. 46; AṣṭāSaṃ. i. 68. 24 (1. 10);	AṣṭāSaṃ. i. 150. 8 (1. 28); {@2@} one of the equal di	AṣṭāSaṃ. ii. 27. 10 (4. 5);
BhāṭṭDī.	1470	BhāṭṭDī. iii. 118. 1 ( ix. 2. 9);	158. 5 ( i. 4. 1); iii. 44. 3 ( ii. 1. 5); BhāṭṭDī. ii. 220. 15 (	AṇuBh. 127. 7 ( ii. 1. 26); BhāṭṭDī. ii. 58. 6 ( iii. 7. 22); ii. 103. 3
YogVā.	1396	YogVā. iv. 36. 17.	YogVā. ii. 18. 67;	AhirbuS. 28. 75; YogVā. v. 2. 4;
Kāśi.	1380	Kāśi.(Su.) i. 172. 16 ( 2. 208); {@2B@} two parts	Kāśi.(Su.) ii. 149. 10 ( 5. 126);	Kāśi. ii. 130. 2 ( 5. 70);
KośaKaTa.	1379	KośaKaTa. 2. 3018; PrakriKau. i. 308. 1; as SiddhāKa	(DharK. 2441, KośaKaTa. ii. 8677), (NānārthaMa. 1893). Curiously	AṣṭāHṛ. iii. 1. 10; = KośaKaTa. i. 7261; cf.
ŚāstrDī.	1375	ŚāstrDī. 26. 13 ( i. 3. 3);	ŚāstrDī. 45. 11 ( i. 1. 5); (i. e.	ŚāstrDī. 82. 5 ( i. 1. 5);
CaturCin.	1363	CaturCin. iii(1). 176. 5; Subhāṣi.	AdbhuSāg. 137. 15; CaturCin. i. 75. 6;	CaturCin. iii(2). 420. 3.
