siglum	count	ctx1	ctx2	ctx3
VaiP.	41	VaiP. i. 1. 22; YātrāPra. 3. 218. {@5A@} a Vedic	VaiP. i. 10. 169.	VaiP. iii. 4. 54; VarāP. 55. 3;
So.	41	(So.) 72. 2 ( i. 2. 19);	So. ii. 20. 1213; ii. 20. 1065; TriṣaŚa-	NyāySu (So.) 71. 22 ( i. 2. 19);
TripuMāPūSt.	41	TripuMāPūSt. 38;	TripuMāPūSt.(Śaṅ.)	EI. i. 141. 6; TripuMāPūSt.(Sā.) 60.
PraśnaU.	41	PraśnaU. 6. 5 (Śaṅ.	PraśnaU. 4. 10 (comm. Śaṅ. );	PraśnaU. 5. 7; ŚvetāU. 3. 21;
MāVi.	41	MāVi. 701. 2 ( xii. 4. 10);	MāVi. 186. 18 ( iii. 6. 12);	MāVi. 181. 14 ( iii. 6. 4);
PārāŚi.	41	AmoghŚi. 29; NāraŚi. ii. 1. 3; PārāŚi. 82; BhārŚi. 2; MāṇḍūŚi. 7. 3; Yājña	PārāŚi. 89; ArthŚā. i	PārāŚi.
Śe.	41	Śe. i. 375. 8.	Śe. ii. 1008. 8.	Śe. ii. 158. 8; RasiRañ. 5;
VarāU.	41	VarāU. 4. 1.	VarāU. 3. 8.	VarāU. 5. 36; {@C@} burning with fire
Ubhayābhi.	41	Ubhayābhi. 13. 5;	Ubhayābhi. 15. 11; {@3@} not produced, not caused (by	Ubhayābhi. 5. 3.
PañcTaPra.	41	SaK. 122. 8; ParyāŚaRa. 2. 263; PañcTaPra. 2. 27.	Lingānu.(Ha.) 8. 10 (comm.) = PañcTaPra. 2. 17 = LaŚabdeŚe. i. 401. 8;	PañcTaPra. 13. 8.
JainaL.	41	soul) in the immediately next birth JainaL.	JainaL.	and cleansing (of the floor), JainaL.
AlaṅkāCin.	40	(comm.); cause ( ) AlaṅkāCin. 50. 18 (comm.	AlaṅkāCin. 29. 22;	ously, to move with a zig-zag course AlaṅkāCin.
ChandoMa.	40	ChandoMa. 6. 5; LakṣmīT. 7. 11;	of) syllables ChandoMa. 1. 4.	Yādavā. 6. 4; ŚaṅkaDigVi.(Mā.) 14. 10; ChandoMa. 2. 121;
PrasthāBhe.	40	PrasthāBhe. 18. 12.	(1. 28); SkandP. i(3B). 3. 13; PrasthāBhe. 14. 14; {@xi@} name	NyāyRaMā. 111. 19; PrasthāBhe. 4. 1;
AparoAnu.	40	AparoAnu. 125; TejoBiU. 1. 38.	AparoAnu. 13.	AparoAnu. 111; CaitaCa. 56. 19 (3)
KaTa.	40	KaTa. i. 6174; {@1E@} a cart NānārthRaMā. 1163; Me	KaTa. 1. 4553; KalpaK. 337. 117; {@2@} might or po	KaTa. 1. 3436; KalpaK. 66. 415; 269. 191.
CaitaCan.	40	CaitaCan. 200. 6 (8)	CaitaCan. 62. 5 (3)	Ra. iv. 56. 6 (7. 207); SūktiRa. 102. 3; CaitaCan. 211. 16 (9);
SuvṛTi.	40	RāmC. 2. 20; SuvṛTi. 2. 8;	VakroJī. 176. 17; SuvṛTi. 3. 18 (2);	SuvṛTi. 3. 13; KathāSaSāg. x. 9. 176; TriṣaŚaPuC.
Dhūrtā.	39	Dhūrtā. 368;	Dhūrtā. 338; Prasā. i. 713. 8.	Dhūrtā. 403.
KāvyālaṅSāSaṃ.	39	KāvyālaṅSāSaṃ.	KāvyālaṅSāSaṃ. 2. 13. 13;	KāvyālaṅSāSaṃ. 1. 21*; PāraS. 7. 417;
NṛtyaK.	39	NṛtyaK. i.	NṛttaRa. 2. 333; Nṛtyā. 367; NṛtyaK. i. 1. 810;	iv. 183. 1 (7. 536); Nṛtyā. 597; NṛtyaK. i. 4. 30.
MahāVīSt.	39	MahāVīSt.(H.) 1. 4;	MahāVīSt.(H.) 2. 1.	MahāVīSt.(J.) 2; MāyāKha. 2A. 11;
NṛsiṃhoTāU.	38	NṛsiṃhoTāU.	NṛsiṃhoTāU. 9;	NṛsiṃhoTāU. 9;
SāṃkhyaTaPra.	38	SāṃkhyaTaPra. 169. 3; NyāyKu. 100. 16; NyāyPari. 383. 16;	SāṃkhyaTaPra. 174. 4;	NaiṣC. 17. 5; 16. 38; PṛthvīVi. 12. 14; SāṃkhyaTaPra.
KulaCūT.	38	KulaCūT. 1. 1; LalitāSa. 88;	KulaCūT. 2. 36.	KulaCūT. 7. 26.
LaṭaMe.	38	LaṭaMe. 1. 32;	RāmC. 12. 47; LaṭaMe. 1. 2;	LaṭaMe. 1. 6.
BṛSarvaAnu.	38	BṛSarvaAnu. 5. 5 (7. 37)	BṛSarvaAnu. 1. 6 (1. 9);	BṛSarvaAnu.
LaJāta.	37	Bṛhajjā. 26. 14; LaJāta. 14. 6;	LaJāta. x. 6. 3.	LaJāta. i. 0. 7;
DevīŚ.	37	DevīŚ. 39 (comm.	3. 89; KośaKaTa. i. 6901; {@6@} manifest DevīŚ.	DevīŚ. 91 (comm. )
Add.	37	, or with the suffix , Uṇā. 4. 66; MAYR. Add. i. p. 545/	Add. 8. 10; {@1H@} name of a Ṛṣi. VṛGauta-	JayāS. 1. 126 (Add. verses); {@Bvi@} to apply by transfer (i. e.
ParamāSā.	37	ParamāSā. 50; {@G@} not contracting (enmity)	ParamāSā. 78;	RāghPāṇ.(Dha.) 5. 58; ParamāSā. 98;
Laghīya.	37	VāsaDa. 276. 4; Laghīya. 1. 50;	able Laghīya. 1. 77;	Laghīya. 1. 25; TattvPradī.(Ci.) 169. 11;
SundaŚ.	37	SundaŚ. 8;	SundaŚ. 41.	SundaŚ. 58;
MādhavāĀ.	37	MādhavāĀ. 34;	MādhavāĀ. 25; RasGaṅ. 296. 5; ŚivLī. 19. 65;	293 = Subhāṣi. 253 = MādhavāĀ. 39.
VasiDS.	37	VasiDS. 1. 6 = VasiSm. 1. 5;	VasiDS. 8. 8;	ŚāṅkhāGS. ii. 12. 6; VasiDS. 2. 12;
BhāṣāPa.	37	BhāṣāPa. 94.	BhāṣāPa. 137;	ĪśvaSi.(U.) 2. 35; BhāṣāPa. 36.
ŚivāL.	37	ŚivāL. 55.	ŚivāL. 27.	ŚivāL. 70.
DhanvaNi.	37	etc.) Vaija. 57. 148; DhanvaNi. 155. 24; RājNi.	752; DhanvaNi. 8. 24; AbhidhāMañ. 103. 3.	DhanvaNi. 151. 3.
BhaṭṭaBhā.	37	(BhaṭṭaBhā. ); {@B@} the state of being proportionate	Sāy. , BhaṭṭaBhā.	TaiBr. I. ii. 1. 7 (BhaṭṭaBhā.
ĀpaManPāṭha.	36	VājaS. 34. 54; ĀpaManPāṭha.	4. 106; ĀpaManPāṭha. i. 12. 5;	ĀpaManPāṭha. ii. 5. 21.
BṛBrahmS.	36	BṛBrahmS. i. 12. 79; iv. 9. 70;	BrahmS. i. 1. 10; BṛBrahmS.	BṛBrahmS. iv. 6. 13;
NṛttaRa.	36	NṛttaRa. 6. 168.	NṛttaRa. 2. 333; Nṛtyā. 367; NṛtyaK. i. 1. 810;	Bhā. i. 137. 18 ( 4. 168); NṛttaRa. 2. 323.
BhVā.	36	BhVā. ii. 3. 184; TattvVai. 17. 25	BhVā. iv. 3. 1865; AnuVyā. 55A. 5	BhVā. iv. 3. 759; i. 2. 37; i. 2. 130;
ŚloSaṃ.	36	ŚloSaṃ. 20. 154.	ŚloSaṃ. 18. 235;	ŚloSaṃ. 1. 13; {@4@} unattainable, difficult to get
KaviKaṇṭhā.	36	HarVi. 14. 57; KaviKaṇṭhā. iv. 1. 13.	KaviKaṇṭhā. 5. 1 (34);	KaviKaṇṭhā. 1. 11.
AnekāNā.	36	ŚabdaRa.(Vā.) 4048; ŚabdaRaSaK. 261. 16; AnekāNā.(Dha.) 35; Viśva-	southern direction AnekāNā.(Dha.) 21.	2. 7; Vaija. 230. 4; AnekāNā.(Dha.) 22; DharK. 416; MediK. 31. 2;
Mugdhopa.	36	ŚāṃkhyaTaPra. 174. 1; Mugdhopa. 51;	Mugdhopa. 17;	Mugdhopa. 58.
C.	36	1 ¦ (akṣ-) I.P. [ DhātuPā. 1. 684; Sāy. C.	HariVaṃ. App. i. 29C. 177; {@C@} name of a disease	C. 8. 16.
GautPiMe.	36	GautPiMe. ii. 6. 13.	GautPiMe. ii. 4. 1; TaiUBh. 213. 2 ( 1. 10) TaiUBhāVā	GautPiMe. i.
PāṇiŚi.	36	PāṇiŚi. 27; LomŚi. 1. 8;	PāṇiŚi. 24 = LomŚi. 3. 7; ŚaiśiŚi. 49.	PāṇiŚi. 33; YājñaŚi. 199.
PraSaṃ.	36	PraSaṃ. 96. 6; {@7@} series of syllables	PraSaṃ. 101. 17; KathāK. 39. 14.	PraSaṃ. 198. 22; ŚivārkaMaDī. i. 279. 9 ( i. 1. 2
Ḍamaru.	36	Ḍamaru. 41.	Ḍamaru. 112(14)	brother Ḍamaru. 3.
Kṣudra.	36	14. 2; Kṣudra. 82. 85;	eight Vairūpa Kṣudra. 91.	PañcBr. ix. 3. 8 = Kṣudra. i. 7 (176. 20);
Hārāva.	35	Hārāva. 37 (L)	Vaija. 69. 52; Hārāva. 79.	dog Hārāva. 221; {@2@} a tree in general
Bhū.	35	Bhū. 47 (1); {@1D@} not doing (an act beneficial	Bhū. 86. 14 ( 22); {@2@} the possibility of not	Bhū. 88. 4 (22); PṛthvīVi. 5. 160;
SāṃkhyaKā.	35	non-doer SāṃkhyaKā. 19;	Yuktidīpikā 84. 2 ( SāṃkhyaKā.	cause, to become not productive SāṃkhyaKā. 67;
SaundL.	35	SaundL. I;	SaundL. 31;	SaundL. 58.
KaliViḍ.	35	KaliViḍ. 90; ŚabdaRa-	VedāntRaMañ. 3. 8 (102. 10); KaliViḍ. 9.	( i. 1. 2); KaliViḍ. 8;
DvirūK.	35	DvirūK.(Ha.) 85.	DvirūK.(Ha.) 85.	ParaNā. 332; ParyāMu. 11. 8; DvirūK.(Ha.) 6; RājNi. 369. 4; Abhidhā
PriyDa.	35	PriyDa. 4. 10; PāraS. 6. 10;	PriyDa. 3. 15;	PriyDa. 3. 5;
NāṭyaDa.	35	NāṭyaDa. 26. 2.	NāṭyaDa. 32. 27 (15); {@ii@} not dropping or falling	NāṭyaDa. 198. 18 (166);
NyāyBi.	35	NyāyBi. 3. 62;	NyāyBi. 3. 60; BṛKathāŚloSaṃ. 12. 73;	NyāyBi. 2. 23;
AOR.	35	eaning being ‘watery course’, cf. MEHENDALE, AOR., 1975, pp. 481-	Kā. i. 2. 9 (AOR.);	SaṅkarKā. ii. 3. 3 (AOR.); ii. 4. 15 (AOR.);
DigVi.	34	DigVi.(Mā.) 6. 41; Vādā. 150. 8;	DigVi.(Mā.) 2. 75;	DigVi.(Mā.) 10. 50.
AṣṭāNi.	34	ghŚe. 2160; RājNi. 38. 4; BhāvPraNi. 49. 31; AṣṭāNi. 3. 10;	AṣṭāNi. 10. 8.	SaduktiKa. 69. 19; AṣṭāNi. 21. 19;
NānārthaRaMā.	34	38; NānārthaRaMā. 52. cf. 10 {@ @}.	NānārthaMa. 72; NānārthaRaMā. 198.	NānārthaMa. 257; NānārthaRaMā. 232; ViśvaLoK. 47. 3; ParaNā. 2600;
KarṇaSu.	34	KarṇaSu. 4. 24.	KarṇaSu. 4. 9.	KarṇaSu. 3. 3;
Deśopa.	34	Deśopa. 3. 9.	Deśopa. 2. 2;	Deśopa. 8. 45; {@B@} destroying (the things
Sā.	34	Sā. 8. 5;	Sā.(K.) 48. 32.	Sā.(Rā.) 69. 7 ( i. 2. 13);
JayaChand.	34	JayaChand. 7. 19;	JayaChand. 8. 6;	1. 18; ChandasSū. 3. 44; JayaChand.
SvapnVā.	34	SvapnVā. 1. 12.	SvapnVā.	SvapnVā. 1. 16
YogŚiU.	34	old age and death YogŚiU. 1. 161.	YogŚiU. 5. 59; {@2@} doctrine or theory of non-duali	YogŚiU. 1. 79; BṛParā-
JaimiUpaSū.	33	equal to five Ghaṭikās (= 2 hours) JaimiUpaSū. iv.	JaimiUpaSū. i. 3. 27; {@B@} in part, partly, pertain-	JaimiUpaSū. iv. 3. 3; iv. 3. 40; {@2@} different part, d
ŚabdaKaDru.	33	sharer quoted in ŚabdaKaDru.	437. 16; 473. 113. MediK. 176. 2; Viśva (in ŚabdaKaDru.); AnekāTi. 2. 5;	DharK. 2579; ViśvaPra. 168. 12; Viśva in ŚabdaKaDru.; comm. by
RaK.	33	RaK. 34. 9; RājTa.(Ka.) 3. 522; 4. 577; SaduktiKa	RaK. 4. 27; SaduktiKa. 3. 34.	RaK. 21. 47.
DhātuVṛ.	33	¦ (aṃs-) X.P. [so found in DhātuPra. x. 359; DhātuVṛ. x. 363;	ii. 1. 157; KaviKaDru. 344; DhātuVṛ. records the forms ,	DhātuVṛ. x. 196.
MattaVi.	33	MattaVi. 6.	MattaVi. 16.	MattaVi. 6;
RukmiHa.	33	RukmiHa. 4. 18; {@B@} not having an agent	RukmiHa. 1. 17; {@2@} unhampered, expert	9. 221; RukmiHa. 1. 10; Yādavā. 4. 106;
ĀpaSm.	33	( i. 175); ĀpaSm.	ĀpaSm. 2. 13; {@C@} not softened, not sticky, not m	ManuSm. 4. 58; ĀpaSm. 9. 21; GobhiSm. 3. 146;
BhagAjju.	33	BhagAjju. 47. 1.	BhagAjju. 25. 5; RāghPāṇ.(Dha.) 15. 42;	UjjvaNīMa. 212. 6; BhagAjju.
LaŚātāSm.	33	BaudhDS. i. 5. 82 = ManuSm. 3. 63; LaŚātāSm.	ManuSm. 3. 235; VasiSm. 11. 32; LaŚātāSm. 107;	LaŚātāSm. 45;
NāmŚil.	33	Bhā. iii. 191. 14; {@2@} the sea, ocean NāmŚil. 1846;	12. 41; NāmŚil. 1822; ŚabdaRa.(Su.) 3. 304; KośaKaTa. 1. 554	{@2@} elder brother NāmŚil. 1794; {@3@} front portion
MuṇḍaUBh.	33	MuṇḍaUBh. 322. 10 ( i. 2. 12); PraśnaUBh. 244. 8 ( 1	MuṇḍaUBh. 323. 14 ( i. 2. 13);	MuṇḍaUBh. iii. 2. 7;
UpadeŚ.	33	UpadeŚ. 68.	UpadeŚ. 14; {@2@} an addicted gambler	ŚivaP. v. 39. 27 (452A. 8); UpadeŚ.
VarivaRaha.	33	PāraS. 23. 61; VarivaRaha. 118; BhāṭṭDī. i. 14. 13 ( i. 1. 7);	VarivaRaha. 10.	VarivaRaha. 152; {@i@} form or nature without limitati
BhāP.	33	BhāP. ix. 34. 29; PadmP. iv.	BhāP. xi. 4. 5.	BhāP. vii. 4. 49.
SvātmNi.	33	SvātmNi. 140; {@2@} not being approached, unapproa-	in general), not an object SvātmNi. 119;	ŚvetāUBh. 50. 2 ( 1. 0); 93. 19 ( 1. 7); SvātmNi.
Lakṣaṇā.	33	portion Lakṣaṇā. 12. 7.	LalitāTriBh. 322. 6 ( 40); Lakṣaṇā.	Lakṣaṇā. 3. 15.
ŚriKaC.	32	thāSaSāg. v. 3. 32; xii. 7. 319; xiv. 3. 43; ŚriKaC. 18. 50; {@D@} without	ŚriKaC. 16. 16. (comm. )	14. 8; DvyāśraKā. 20. 92; ŚriKaC. 3. 17;
BṛYamaSm.	32	1. 7; LaŚaṅkhaSm. 46; BṛYamaSm. 3. 65; BṛParāSm. 8. 172;	AṅgiSm. 153; BṛYamaSm. 3. 69;	AṅgiSm. 163; BṛYamaSm. 4. 17;
ŚaiśiŚi.	32	YājñaŚi. 209; ŚaiśiŚi. 47; ĀpiŚi. 3. 12;	{@B@} the vowel etc. ŚaiśiŚi. 18;	PāṇiŚi. 24 = LomŚi. 3. 7; ŚaiśiŚi. 49.
Vītarā.	32	TriṣaŚaPuC. iii. 1. 342; Vītarā. 13. 1;	Vītarā. 13. 7; TriṣaŚaPuC. iii. 1. 348.	Mugdhopa. 15; Vītarā. 15. 3;
ViṭVṛ.	32	ViṣṇuP. iii. 18. 10; MatsyaP. 108. 13; ViṭVṛ. 15;	1. 82; MudrāRā. 5. 5 (42); ViṭVṛ. 28;	ŚatTrayī. 457; ViṭVṛ. 25;
Gaṅ.	32	Gaṅ. 9. 1.	Gaṅ. 107. 5.	Gaṅ. 227. 7.
ĀraUBhVā.	32	ĀraUBhVā. (Sambandha.) 62;	ĀraUBhVā. i. 4. 1085.	ĀraUBhVā. ii. 3. 43; GoviBh. 132. 12
NānārthMa.	32	rK. 2444; ViśvaPra. 152. 41; MediK. 160. 41; NānārthMa. 1648; Viśva-	25. 14; MediK. 22. 3; NānārthMa. 272; NānārthaRaMā. 267; ViśvaLoK.	. 716; ViśvaPra. 169. 20; ViśvaLoK. 375. 29; NānārthMa. 1811;
PramāLa.	32	PramāLa. 3A. 8.	PramāLa. 2B. 8; ViṣṇuTaNi. 2B. 6;	and Indra PramāLa. 3A. 8.
Krī.	32	Krī. i. 272. 8 ( 2. 203)	Krī. i. 59. 14 ( 1. 50);	Krī. i. 94. 17 ( 1. 102)
JaimiŚS.	32	JaimiŚS. 25; {@1Avii@} name of a Ṛṣi.(SV.)	JaimiŚS. 4; PuṣpSū. ii.	JaimiŚS. 23.
SubāU.	32	BrahmViU. 86; EkāU. 2; SubāU. 3; (v. l.	SubāU. 5;	SubāU. 2; ManuSm. 11. 136;
Ind.	32	six, eight and seven syllables respectively, Ind. St. 8. 239;	Ind. Spr. 3503.	Ind. Spr. 2706.
Dat.	31	ul, to have reached the goal (with Inst. and Dat.)	used with (Acc.) and the person (Abl. or Dat.): (caus.)	¦ (atikram-e) (Dat.) [according to P. iii. 4. 14 pot. par.
ŚiPa.	31	ŚiPa. ii. 28. 83; TriṣaŚaPuC. ii. 3. 542;	ŚiPa. ii. 67. 14; ĪśānŚīPa. ii. 67. 31.	ŚiPa. i. 26. 118; i. 29. 84.
VṛttaRa.	31	(i. e. ) VṛttaRa. 2. 3; {@Ci@} (Music) a predominant	VṛttaRa. 3. 71.	VṛttaRa. 3. 91; Bhāsv. 1. 7; 2. 3; 3. 7; 3. 10; 4. 14
Ku.	31	Ku. 2. 7.	Ku. 2. 19 (13); 2. 16 (17);	Ku. 220. 8.
NītiMañ.	31	NītiMañ. 132; {@B@} a river identified with Yamunā (b	PurāPraSaṃ. 13. 19; PālaGoKa. 38; NītiMañ. 47; ManvaMu.	8. 160; 13. 625; NītiMañ. 24;
Nom.	31	(Nom.) and the person (Acc.) in negative ṚV. ii. 2	indication of the Nom. Case. TaiPrāti. 1. 23	¦ (a-jasādi) other than (Nom. pl. suffix) etc.
ŚivaKePāSt.	31	P.(Ra.) 110. 50; ŚivaKePāSt. 7. 17; RāmC. 21. 61; RāghPāṇ.(Dha.) 4. 11;	4. 7; ŚivaKePāSt. 3;	ŚivaKePāSt. 16;
SaṃhiUBr.	31	SaṃhiUBr. 3. 16;	SaṃhiUBr. 3. 7; SaṃhiUBr. 3. 8.	SaṃhiUBr. 3. 7; SaṃhiUBr. 3. 8.
SaṃviSi.	31	SaṃviSi.	SaṃviSi. 82. 18.	ŚloSaṃ. 11. 26; SaṃviSi. 82. 21;
SiddhāSāU.	31	SiddhāSāU. 387. 2 (5); 389. 12 (6)	373. 22 (7); SiddhāSāU. 386. 18 (5)	SiddhāSāU. 6. 5.
BhramDū.	31	0. 246; VidhiRa. 5 (31. 15); Rāṣṭrau. 9. 62; BhramDū. 46; RasGaṅ.	BhramDū. 46; {@ii@} fiery,	BhramDū. 16.
KauṣīBrU.	31	KauṣīBrU. 2. 10; ChāndoU.	śatru (cf. KauṣīBrU. 4. 1-18) BṛĀra-	; ŚatBr. XIV. vii. 1. 41; BṛĀraU. iv. 3. 36; KauṣīBrU. 4. 19;
DS.	30	DS. 18. 36; BhagGī. 15. 7;	DS. ii. 1. 7; ii. 3. 5; MahāBhā. v. 149. 20;	DS. ii. 8. 7;
TattvSaṃkhyā.	30	ii. 1. 20); TattvSaṃkhyā. 50. 2;	TattvSaṃkhyā. 19. 3;	TattvSaṃkhyā. 46. 5;
KāvyaPra.	30	KāvyaPra. 734. 5 = SaduktiKa. 54. 30; AlaṅkāSa. 89. 10	coitus KāvyaPra. 56. 4 =	KāvyaPra. 428. 1 = Kāvyānu.(He.)
ṚTPrāti.	30	ṚTPrāti. 118; Kātan i. 1. 16 (comm.	ṚTPrāti. 231. (comm.	ṚTPrāti. 40; JaineVyā. 5. 3 ( i. 1. 11)
DaivaVyā.	30	80; DaivaVyā. 41;	DhātuPra. 1. 1012 (74. 13); DaivaVyā. 13;	DaivaVyā. 13; {@4@} name of the son of Yakṣa
Prā.	30	(Prā.) 902.	(Prā.) 849; SāṃkhyaPraBh. 164. 9	Prā. 20. 21;
BhāvŚ.	30	BhāvŚ. 72; HarṣaC. 87. 7 = AlaṅkāSa.	BhāvŚ. 102.	BhāvŚ. 33; {@C@} state of being a base (before a su
BhārŚi.	30	AmoghŚi. 29; NāraŚi. ii. 1. 3; PārāŚi. 82; BhārŚi. 2; MāṇḍūŚi. 7. 3; Yājña	of a syllable BhārŚi. 25.	BhārŚi. 90.
Dū.	30	Dū.(Vā.) 11.	Dū. 160. 4; AdvaiSi. 511. 5.	Dū.(Rū.) 123; ŚivLī. 5. 18; Vidvanmo. 2. 23;
BījGa.	30	BījGa. 1. 13.	BījGa. 6. 78; SiddhāTaVi. 389. 13; {@4@} (L) = de	BījGa. 5. 68; GrahaGa. 20. 21 (3. 15); {@Fiv@} tip
YogVār.	30	YogVār. 1. 1;	YogVār. 1. 4.	YogVār. 1. 4.
Tattvodyo.	30	good) powers Tattvodyo. 1A. 1.	Tattvodyo. 2A. 9; 3A. 6;	Tattvodyo. 5B. 3.
ASS.	30	( ASS. Ed.)	( viii. 1. 26) cf. ASS. Ed. 1933; BālaKrī. i. 24. 14 ( 1. 7);	TaiĀ. vi. 6. 1 (ASS. Ed.);
SuKa.	30	SuKa. 95. 3; TrikāŚe. iii. 3. 86;	SuKa. 25. 19.	SuKa. 107. 10.
Śrāddha.	29	(Śrāddha.) 9. 9; NirṇaSi. 271. 5;	(Śrāddha.) 15. 19; BālamBha. i. 574. 30 ( 1. 250);	ManvaMu. 226. 16 ( 5. 159); VīraMi(Śrāddha.) 84. 20;
ViṣṇuPādāSt.	29	ViṣṇuPādāSt. 49;	13. 6 ( 8); ViṣṇuPādāSt.	ViṣṇuPādāSt. 32;
MahāVīC.	29	MahāVīC. 2. 30 = KāvyaPra.	374. 4; MahāVīC. 6. 12(9); BālaBhā.	MālaMā. 2. 194; MahāVīC. 6. 36;
HaṃsSaṃ.	29	HaṃsSaṃ. 102; {@4@} unchallenged, unrefuted, not disp	HaṃsSaṃ. 6;	HaṃsSaṃ. 23; 85;
TriBrU.	29	TriBrU. 99; AdhyāRā. i. 1. 33;	TriBrU. 40;	TriBrU. 58;
SabhāŚ.	29	RasGaṅ. 327. 6; SabhāŚ. 79;	Mā. 33; SabhāŚ. 12.	SabhāŚ. 98.
VīraMī.	29	( 7. 32); VīraMī. 365. 26 (	VīraMī. 497. 16 ( 2. 68)	VīraMī. 645. 7 (2. 116); ŚukrNī. 2. 105;
LalitāStaRa.	29	LalitāStaRa. 190.	LalitāStaRa. 190.	LalitāStaRa. 173; one of the thousand names of
ĀryaŚāS.	29	ĀryaŚāS. 3. 14; {@1Bii@} not made or manufactured	ĀryaŚāS. 18. 11.	ĀryaŚāS. 4. 11;
Pāṇ.	29	Pāṇ.(Dhā.) 10. 11; RugVi. 4. 16;	Pāṇ.(Dha.) 16. 48; SkandP. i(1).	Pāṇ.(Ka.) 1. 26.
Anekā.	29	180. 3; {@4@} sky, Anekā.(Pa.) 2594; AnekāTi. 2. 4; {@5@} DharK.	{@6@} medicine ( ) AnekāTi. 4. 8; Anekā.(Pa.) 2671.	(Vā.) 726; ParaNā. 546; Anekā.(Pa.) 2930; ViśvaLoK. 339. 58; Kośa-
SarvaAnu.	29	SarvaAnu. x. 34 (comm.	culture SarvaAnu. x. 34 (comm.	or syllables SarvaAnu. 3. 46;
Bhāṭṭi.	29	Bhāṭṭi. 14. 68.	Bhāṭṭi. 6. 15 (comm. );	finger Bhāṭṭi. 11. 41.
PaiṅgU.	29	immutable principle PaiṅgU. 4. 17.	NirvāU. 347. 12; PaiṅgU. 425. 14 (4. 11);	PaiṅgU. 425. 14 (4. 11)
Mus.	28	AgniP. 97. 34; {@B@} (in Mus.) definition	¦ (aṃśa-vikalpana) (in Mus.) variety of (key-	¦ (an-apavādin) (Mus.) non-dissonant, non-dis-
S.	28	S. iii. 9. 73; ŚrīBh.	S. iii. 6. 4; CaraS. iii. 8. 117 (1941 Ed.);	S. 48. 16; PañcBr. xxi. 8. 4;
ĀpaŚuS.	28	ĀpaŚuS. i. 1. 19;	ĀpaŚS. ii. 3. 2 = ĀpaŚuS. ii.	ĀpaŚuS. iii. 9. 9; HirŚS. i. 8. 2; vii. 4. 14; xi.
ŚabdeŚe.	28	ŚabdeŚe. i. 203. 4; {@1N@} not doing (a physical act)	ŚabdeŚe. i. 539. 27.	ŚabdeŚe. i. 377. 15.
DurghVṛ.	28	ŚrīBh. 43. 6 ( i. 1. 1); DurghVṛ. ii. 2. 14;	DurghVṛ. iv. 1. 51.	DurghVṛ. vii. 4. 13; PariVṛ.(Sī.) 2. 8; 2. 15.
RasiJī.	28	PadyaVe. 138 = RasiJī. 139.	Govindabhaṭṭa RasiJī. 139.	RasiJī. 1204;
AtriSm.	28	AtriSm. 7. 14;	AtriSm. 8. 4;	AtriSm. 8. 11; ManuBh. i. 470. 17
ŚātāSm.	28	ŚātāSm. 6. 22;	ŚātāSm. 1. 7.	ŚātāSm. 6
DeviBhāP.	28	v. 18. 30; x. 40. 18; DeviBhāP. viii. 10. 2; (tortoise) TrikāŚe. 3. 328; Nān	1. 145; DeviBhāP. vi. 30. 7; PāṇḍaC. 1. 251;	v. 26. 27; DeviBhāP. viii. 22. 50; JaimiUpaSū. i. 2. 26; BālamBha
ṢaḍrasaNi.	28	in unploughed land ṢaḍrasaNi. 8. 12.	ṢaḍrasaNi. 23. 17.	AbhidhāMañ. 87. 9; ṢaḍrasaNi. 34. 9; ApūNā. 15; {@2@} sulphate of copper
Bhāsv.	28	BrāhmSphuSi. 22. 6; Bhāsv. 5. 7;	Bhāsv. 5. 4.	VṛttaRa. 3. 91; Bhāsv. 1. 7; 2. 3; 3. 7; 3. 10; 4. 14;
Astron.	28	mild, not cruel {@B@} (Math. Astron.) calculable, correct {@4@} not barren,	¦ (akhila-khecara) {@A@} (Astron.) all the sky-roamers	¦ (agnigola-ka) (Astron.) sphere or zone of fire (as
Sneha.	27	Sneha. 158. 4 ( i. 1. 7);	Sneha. 9. 34 ( i. 1. 1); PūrvottaVā-	Sneha. 81. 38 ( i. 1. 5); MīmāKau. i.
KhaṇḍKhā.	27	LaBhāska. 7. 1; KhaṇḍKhā. 2. 16;	KhaṇḍKhā. 149. 9;	KhaṇḍKhā. 2. 17.
ŚārṅgaP.	27	MārkP. 43. 3 = ŚārṅgaP. 4568.	ŚārṅgaP. 703 = Subhāṣi 299; DaṇḍaVi. 39. 4;	ŚārṅgaP. 1932;
TripuVePāSt.	27	TripuVePāSt.	TripuVePāSt. 2.	TripuVePāSt. 52;
CaturSaṃ.	27	CaturSaṃ. 4. 1.	CaturSaṃ. 2. 6;	CaturSaṃ. 3. 7; ĪśānŚiPa. ii.
Raha.	27	Raha. 71.	Raha. 105; SetuBa. 231. 18; {@5@} low family	Raha. 3. 4; BhāṭṭDī. i. 184. 11 ( iii. 1. 3)
PrasaPa.	27	PrasaPa.(VAIDYA) 116. 12.	PrasaPa. 93. 1; 32. 7;	PrasaPa. 248. 11; {@B@} not modifiable (said of Īśvar
ŪruBha.	27	ŪruBha. 40.	ŪruBha. 1. 63;	ŪruBha. 1. 47;
ĪśvaŚ.	27	ĪśvaŚ. 70; {@C@} not of a good family	worldly fetters) ĪśvaŚ. 32; {@2@} giver of sense-	organ ĪśvaŚ. 77.
