dcs_title	pd_sigla	pd_citations	dcs_tok_2021	dcs_tok_2026	dcs_chapters	coverage_grade
Taittirīyāraṇyaka	TaiĀ.	556	0	6957	0	present
Bṛhatkathāślokasaṃgraha	BṛKathāŚloSaṃ.	546	62090	62202	0	present
Kātyāyanaśrautasūtra	KātyŚS.	542	106	12528	0	present
Sarvadarśanasaṃgraha	SarvaDaSaṃ.	529	1048	1052	1	present
Pañcaviṃśabrāhmaṇa	PañcBr.	520	28696	29329	0	present
Kūrmapurāṇa	KūrmaP.	512	81766	81928	0	present
Kirātārjunīya	Kirātā.	505	18408	18439	18	present
Kauṣītakibrāhmaṇa	KauṣīBr.	490	0	15331	0	present
Varāhapurāṇa	VarāP.	483	621	622	0	present
Nirukta	Nir.	475	807	3713	0	present
Tattvavaiśāradī	TattvVai.	453	203	203	0	present
Śāṅkhāyanaśrautasūtra	ŚāṅkhāŚS.	448	0	20886	0	present
Tantrākhyāyikā	Tantrākhyā.	433	8301	8311	0	present
Hitopadeśa	Hitopa.	429	24958	25040	0	present
Gopathabrāhmaṇa	GopBr.	415	7468	30459	0	present
Śatakatraya	ŚatTrayī.	406	8688	8702	0	present
Saundarānanda	Saund.	393	18982	19008	0	present
Nyāyabhāṣya	NyāyBh.	393	952	958	0	present
Viṣṇusmṛti	ViṣṇuSm.	392	19168	19296	100	present
Kāvyālaṃkāra	Kāvyālaṅ.	387	5584	5593	0	present
Bhāradvājaśrautasūtra	BhārŚS.	373	0	22148	0	present
Baudhāyanadharmasūtra	BaudhDS.	358	1680	14751	0	present
Vaikhānasaśrautasūtra	VaikhāŚS.	357	0	26794	0	present
Rasaratnasamuccaya	RasRaSa.	343	28084	28096	18	present
Yājñavalkyasmṛti	YājñaSm.	340	14205	14280	3	present
Buddhacarita	BuddhaC.	320	19017	19065	14	present
Aitareya-Āraṇyaka	AitĀ.	316	0	10283	0	present
Trikāṇḍaśeṣa	TrikāŚe.	314	904	904	1	present
Kauśikasūtra	KauśiSū.	301	5213	22833	0	present
Abhidharmakośabhāṣya	AbhidhKoBh.	293	107	118	0	present
Kumārasaṃbhava	KumāSaṃ.	292	10237	10261	0	present
Mṛgendratantra	MṛgendraT.	270	3308	3328	12	present
Rājanighaṇṭu	RājNi.	268	49954	49969	0	present
Chāndogyopaniṣad	ChāndoU.	247	15570	15905	153	present
Bṛhadāraṇyakopaniṣad	BṛĀraU.	241	18821	19014	0	present
Śārṅgadharasaṃhitā	ŚārṅgaS.	240	5617	5617	0	present
Gautamadharmasūtra	GautDS.	235	5613	5696	0	present
Āpastambadharmasūtra	ĀpaDS.	227	0	9297	0	present
Drāhyāyaṇaśrautasūtra	DrāhyŚS.	215	0	10724	0	present
Kāvyādarśa	Kāvyāda.	211	4445	4462	2	present
Vārāhaśrautasūtra	VārāŚS.	206	0	25108	0	present
Vetālapañcaviṃśatikā	VetāPañ.	205	975	814	2	present
Lalitavistara	LaliVi.	192	25216	25309	0	present
Yogasūtrabhāṣya	YogBh.	189	9976	10012	0	present
Jaiminīya-Upaniṣad-Brāhmaṇa	JaimiUBr.	188	0	22367	0	present
Śāṅkhāyanāraṇyaka	ŚāṅkhāĀ.	187	12700	12747	0	present
Baudhāyanagṛhyasūtra	BaudhGS.	168	2648	14999	0	present
Vasiṣṭhadharmasūtra	VāsiDS.	168	0	10009	0	present
Abhidharmakośa	AbhidhK.	166	1331	1091	0	present
Gobhilagṛhyasūtra	GobhiGS.	163	1317	7399	0	present
Śāṅkhāyanagṛhyasūtra	ŚāṅkhāGS.	159	750	8282	0	present
Kauṣītakagṛhyasūtra	KauṣīGS.	158	0	641	0	present
Vaikhānasagṛhyasūtra	VaikhāGS.	155	7752	8163	0	present
Parāśaradharmasaṃhitā	ParāSm.	152	8176	8183	0	present
Sāṃkhyatattvakaumudī	SāṃkhyaTaKau.	152	5848	5937	0	present
Āśvalāyanagṛhyasūtra	ĀśvaGS.	139	1088	7046	0	present
Gītagovinda	GītGo.	137	6020	6020	0	present
Mānavagṛhyasūtra	MānGS.	127	81	7957	0	present
Ṣaḍviṃśabrāhmaṇa	ṢaḍviBr.	126	0	7540	0	present
Bhāradvājagṛhyasūtra	BhārGS.	126	504	11643	0	present
Divyāvadāna	Divyāva.	126	67394	67449	0	present
Hiraṇyakeśigṛhyasūtra	HirGS.	123	1154	10383	0	present
Kātyāyanasmṛti	KātySm.	116	14266	14317	0	present
Pāraskaragṛhyasūtra	PāraGS.	113	661	8131	0	present
Sūryasiddhānta	SūrySi.	111	2138	2142	0	present
Vaitānasūtra	VaitāSū.	108	0	9422	0	present
Nāradasmṛti	NāraSm.	104	13275	13336	0	present
Sāṃkhyakārikābhāṣya	SāṃkhyaKāBh.	104	9955	9994	0	present
Kāṭhakagṛhyasūtra	KāṭhGS.	103	177	7324	0	present
Dhanvantarinighaṇṭu	DhanvNi.	102	6938	6939	0	present
Saddharmapuṇḍarīkasūtra	SaddhaPuṇ.	101	0	31908	0	present
Sāmavidhānabrāhmaṇa	SāmaViBr.	100	0	5185	0	present
Jaiminigṛhyasūtra	JaimiGS.	97	6778	7109	0	present
Meghadūta	MeghDū.	88	3387	3393	2	present
Śvetāśvataropaniṣad	ŚvetāU.	86	2100	2147	0	present
