siglum	count	class	match_type	dcs_title	display_title
MahāBhā.	9337	primary	covered	Mahābhārata	Mahābhārata
A.	6451	structural			
B.	6275	structural			
P.	4517	structural			
ṚV.	4088	primary	covered	Ṛgveda	Ṛgveda
I.	3874	structural			
PadmP.	3506	primary	residue		Padmapurāṇa
SkandP.	3335	primary	covered	Skandapurāṇa	Skandapurāṇa
EI.	3281	secondary			Epigraphia Indica (epigraphy journal)
VīraMi.	3274	primary	residue		
BrahmSūBh.	3204	primary	residue		
Rāmā.	3157	primary	covered	Rāmāyaṇa	Rāmāyaṇa
AV.	3001	primary	covered	Atharvaveda (Śaunaka)	Atharvaveda (Śaunaka)
ŚatBr.	2945	primary	covered	Śatapathabrāhmaṇa	Śatapathabrāhmaṇa
ManuBh.	2890	primary	residue		
NyāySu.	2581	primary	covered	Nyāyasūtra	Nyāyasūtra
TantrVā.	2384	primary	residue		
ŚivārkaMaDī.	2365	primary	residue		
ŚrutaPra.	2318	primary	residue		
BhāgP.	2137	primary	covered	Bhāgavatapurāṇa	Bhāgavatapurāṇa
MayūMāli.	1963	primary	residue		
Ed.	1944	structural			
MahāBh.	1934	primary	residue		Mahābhāṣya (Patañjali)
KāśiVṛ.	1888	primary	covered	Kāśikāvṛtti	Kāśikāvṛtti
MīmāKau.	1878	primary	residue		
BrahmāṇḍP.	1857	primary	residue		Brahmāṇḍapurāṇa
RājTa.	1840	primary	residue		Rājataraṅgiṇī
TātpaṬ.	1836	primary	residue		
BṛĀraUBhVā.	1805	primary	residue		
TilaMañ.	1771	primary	residue		
BālamBha.	1741	primary	residue		
CaraS.	1730	primary	covered	Carakasaṃhitā	Carakasaṃhitā
NyāyMañ.	1730	primary	residue		
II.	1718	structural			
KathāSaSāg.	1715	primary	covered	Kathāsaritsāgara	Kathāsaritsāgara
YaśasCam.	1691	primary	residue		
TriṣaŚaPuC.	1578	primary	residue		
SmṛtiCan.	1570	primary	residue		
TaiS.	1559	primary	covered	Taittirīyasaṃhitā	Taittirīyasaṃhitā
ĀpaŚS.	1559	primary	covered	Āpastambaśrautasūtra	Āpastambaśrautasūtra
BhaviP.	1558	primary	residue		Bhaviṣyapurāṇa
AṣṭāSaṃ.	1515	primary	covered	Aṣṭāṅgasaṃgraha	Aṣṭāṅgasaṃgraha
BhāṭṭDī.	1470	primary	residue		
YogVā.	1396	primary	residue		
Kāśi.	1380	primary	covered	Kāśikāvṛtti	Kāśikāvṛtti
KośaKaTa.	1379	primary	residue		
ŚāstrDī.	1375	primary	residue		
CaturCin.	1363	primary	residue		
Prasā.	1333	primary	residue		Prasāda (grammatical comm.)
ŚābaBh.	1329	primary	covered	Mīmāṃsāsūtrabhāṣya	Mīmāṃsāsūtrabhāṣya
Bhām.	1323	primary	residue		
LaCandr.	1322	primary	residue		
SaraKaṇṭhā.	1317	primary	residue		
KāṭhS.	1296	primary	covered	Kāṭhakasaṃhitā	Kāṭhakasaṃhitā
ĪśānŚiPa.	1293	primary	residue		
GuruCandr.	1293	primary	residue		
MaiS.	1283	primary	covered	Maitrāyaṇīsaṃhitā	Maitrāyaṇīsaṃhitā
RāmC.	1265	primary	residue		
BrahmP.	1249	primary	residue		Brahmapurāṇa
LaŚabdeŚe.	1239	primary	residue		
ViṣṇuP.	1235	primary	covered	Viṣṇupurāṇa	Viṣṇupurāṇa
III.	1217	structural			
App.	1205	structural			
JaimiBr.	1203	primary	covered	Jaiminīyabrāhmaṇa	Jaiminīyabrāhmaṇa
Aparā.	1200	primary	residue		
VedāntKa.	1196	primary	residue		
HarVi.	1195	primary	residue		
ŚivaP.	1190	primary	covered	Śivapurāṇa	Śivapurāṇa
VājaS.	1189	primary	covered	Vājasaneyisaṃhitā (Mādhyandina)	Vājasaneyisaṃhitā (Mādhyandina)
Subhāṣi.	1172	primary	residue		
PāṇḍaC.	1168	primary	residue		
MatsyaP.	1158	primary	covered	Matsyapurāṇa	Matsyapurāṇa
Vaija.	1155	primary	residue		Vaijayantī (kośa)
JaineVyā.	1154	primary	residue		
SuśruS.	1141	primary	covered	Suśrutasaṃhitā	Suśrutasaṃhitā
AgniP.	1136	primary	covered	Agnipurāṇa	Agnipurāṇa
Pradī.	1132	primary	residue		
Nyāyāmṛ.	1128	primary	residue		
TattvPrakā.	1119	primary	residue		
ŚatDū.	1106	primary	residue		
NyāyRa.	1087	primary	residue		
AdvaiSi.	1086	primary	residue		
ArthŚā.	1077	primary	covered	Arthaśāstra	Arthaśāstra
ManvaVi.	1068	primary	residue		
GītāBh.	1066	primary	residue		
RasGaṅ.	1062	primary	residue		
BaudhŚS.	1034	primary	covered	Baudhāyanaśrautasūtra	Baudhāyanaśrautasūtra
ManvaMu.	1022	primary	residue		
AbhinBhā.	1019	primary	residue		
MārkP.	1014	primary	residue		Mārkaṇḍeyapurāṇa
BālaKrī.	1005	primary	residue		
ŚabdaRa.	1000	primary	residue		
BhāvPra.	988	primary	covered	Bhāvaprakāśa	Bhāvaprakāśa
AṇuBh.	975	primary	residue		
AvantiKa.	964	primary	residue		
VāyuP.	961	primary	residue		Vāyupurāṇa
PāraS.	950	primary	residue		
SiddhāKau.	943	primary	residue		
DvyāśraKā.	930	primary	residue		
Yādavā.	928	primary	residue		
