dict	letter_slp1	letter_iast	alpha_rank	n_headwords	n_entries	pct_compound	n_upasarga_initial	pct_upasarga	top5_upasargas	mean_entry_chars	median_entry_chars
AP	p	p	29	9762	4329		3759	38.5	pra:2255(23.1%); pari:735(7.5%); prati:637(6.5%); parA:132(1.4%)	170	69
AP	P	ph	30	312	90		0	0.0		189	42
AP	b	b	31	1798	400		0	0.0		286	70
AP	B	bh	32	2137	622		0	0.0		237	74
AP	m	m	33	5098	1324		0	0.0		235	70
AP	y	y	34	1239	309		0	0.0		308	100
AP	r	r	35	1936	508		0	0.0		236	82
AP	l	l	36	1320	466		0	0.0		207	66
AP	v	v	37	7029	2909		2616	37.2	vi:2616(37.2%)	177	83
AP	S	ś	38	3464	1127		0	0.0		191	71
AP	z	ṣ	39	147	38		0	0.0		290	68
AP	s	s	40	7897	2858		2829	35.8	sam:1969(24.9%); su:860(10.9%)	192	86
AP	h	h	41	1433	448		0	0.0		186	64
PWG	a	a/ā	0	12156	15920		5308	43.7	A:2647(21.8%); anu:604(5.0%); ava:547(4.5%); aBi:488(4.0%); apa:441(3.6%)	178	90
PWG	i	i/ī	1	777	1003		0	0.0		390	87
PWG	u	u/ū	2	2903	3890		1760	60.6	ud:992(34.2%); upa:768(26.5%)	181	93
PWG	f	ṛ/ṝ	3	339	413		0	0.0		246	91
PWG	x	ḷ	4	3	3		0	0.0		137	105
PWG	e	e	5	473	635		0	0.0		207	100
PWG	E	ai	6	190	245		0	0.0		124	73
PWG	o	o	7	118	148		0	0.0		202	92
PWG	O	au	8	343	436		0	0.0		117	80
PWG	k	k	9	7979	9990		0	0.0		212	85
PWG	K	kh	10	658	795		0	0.0		174	79
PWG	g	g	11	2950	3553		0	0.0		237	86
PWG	G	gh	12	404	506		0	0.0		224	86
PWG	N	ṅ	13	2	2		0	0.0		98	98
PWG	c	c	14	2075	2520		0	0.0		229	85
PWG	C	ch	15	291	364		0	0.0		271	92
PWG	j	j	16	1996	2427		0	0.0		241	89
PWG	J	jh	17	93	104		0	0.0		122	75
PWG	Y	ñ	18	1	1		0	0.0		140	140
PWG	w	ṭ	19	84	104		0	0.0		123	75
PWG	W	ṭh	20	8	10		0	0.0		128	59
PWG	q	ḍ	21	88	115		0	0.0		152	77
PWG	Q	ḍh	22	17	21		0	0.0		155	90
PWG	R	ṇ	23	2	2		0	0.0		216	216
PWG	t	t	24	3461	4091		0	0.0		231	92
PWG	T	th	25	16	16		0	0.0		78	66
PWG	d	d	26	4695	5674		734	15.6	dus/dur:734(15.6%)	219	93
PWG	D	dh	27	1324	1628		0	0.0		336	93
PWG	n	n	28	4276	5201		1866	43.6	nis/nir:1245(29.1%); ni:621(14.5%)	218	91
PWG	p	p	29	10788	12754		3714	34.4	pra:2195(20.3%); pari:716(6.6%); prati:669(6.2%); parA:134(1.2%)	221	94
PWG	P	ph	30	307	342		0	0.0		168	76
PWG	b	b	31	2155	2383		0	0.0		219	88
PWG	B	bh	32	2458	2775		0	0.0		296	89
PWG	m	m	33	6350	7044		0	0.0		231	89
PWG	y	y	34	1809	1926		0	0.0		336	90
PWG	r	r	35	2903	3048		0	0.0		257	77
PWG	l	l	36	1464	1546		0	0.0		283	77
PWG	v	v	37	9658	10311		3500	36.2	vi:3500(36.2%)	270	86
PWG	S	ś	38	5302	5584		0	0.0		232	79
PWG	z	ṣ	39	302	324		0	0.0		163	86
PWG	s	s	40	12837	13420		4575	35.6	sam:2340(18.2%); su:2235(17.4%)	233	83
PWG	h	h	41	2027	2092		0	0.0		286	78
PWK	a	a/ā	0	21726	11644		8386	38.6	A:3952(18.2%); anu:979(4.5%); ati:886(4.1%); ava:802(3.7%); apa:779(3.6%)	39	34
PWK	i	i/ī	1	1155	337		0	0.0		45	37
PWK	u	u/ū	2	4303	1261		2556	59.4	ud:1523(35.4%); upa:1033(24.0%)	42	40
PWK	f	ṛ/ṝ	3	489	109		0	0.0		38	25
PWK	x	ḷ	4	5	0		0	0.0			
PWK	e	e	5	852	353		0	0.0		42	42
PWK	E	ai	6	233	42		0	0.0		34	27
PWK	o	o	7	172	35		0	0.0		46	42
PWK	O	au	8	419	68		0	0.0		41	34
PWK	k	k	9	11269	2109		0	0.0		42	35
PWK	K	kh	10	907	127		0	0.0		41	38
PWK	g	g	11	4155	768		0	0.0		42	32
PWK	G	gh	12	580	87		0	0.0		41	39
PWK	N	ṅ	13	2	0		0	0.0			
PWK	c	c	14	2988	590		0	0.0		41	36
PWK	C	ch	15	430	83		0	0.0		45	36
PWK	j	j	16	2768	446		0	0.0		43	35
PWK	J	jh	17	130	14		0	0.0		33	34
PWK	Y	ñ	18	1	0		0	0.0			
PWK	w	ṭ	19	108	9		0	0.0		39	39
PWK	W	ṭh	20	12	2		0	0.0		36	36
PWK	q	ḍ	21	112	9		0	0.0		28	24
PWK	Q	ḍh	22	33	7		0	0.0		43	54
PWK	R	ṇ	23	11	2		0	0.0		40	40
PWK	t	t	24	4873	637		0	0.0		45	40
PWK	T	th	25	21	1		0	0.0		55	55
PWK	d	d	26	6461	785		939	14.5	dus/dur:939(14.5%)	45	41
PWK	D	dh	27	1869	217		0	0.0		51	46
PWK	n	n	28	6001	737		2489	41.5	nis/nir:1639(27.3%); ni:850(14.2%)	47	43
PWK	p	p	29	14924	1567		5076	34.0	pra:2990(20.0%); prati:961(6.4%); pari:943(6.3%); parA:182(1.2%)	48	46
PWK	P	ph	30	404	24		0	0.0		51	54
PWK	b	b	31	2960	331		0	0.0		46	46
PWK	B	bh	32	3402	275		0	0.0		47	46
PWK	m	m	33	8501	587		0	0.0		49	46
PWK	y	y	34	2483	134		0	0.0		59	54
PWK	r	r	35	3911	190		0	0.0		49	46
PWK	l	l	36	1959	101		0	0.0		55	47
PWK	v	v	37	12740	583		4594	36.1	vi:4594(36.1%)	56	53
PWK	S	ś	38	7357	194		0	0.0		58	53
PWK	z	ṣ	39	431	9		0	0.0		62	62
PWK	s	s	40	17535	460		6206	35.4	sam:3216(18.3%); su:2990(17.1%)	64	56
PWK	h	h	41	2656	42		0	0.0		53	52
PWK	L	ḻ	42	1	0		0	0.0			
SKD	a	a/ā	0	3887	4018		1454	37.4	A:830(21.4%); ava:193(5.0%); apa:121(3.1%); anu:113(2.9%); aBi:93(2.4%)	330	168
SKD	i	i/ī	1	310	333		0	0.0		351	140
SKD	u	u/ū	2	966	999		540	55.9	ud:342(35.4%); upa:198(20.5%)	439	183
SKD	f	ṛ/ṝ	3	80	90		0	0.0		561	178
SKD	x	ḷ	4	3	6		0	0.0		515	94
SKD	e	e	5	137	141		0	0.0		457	199
SKD	E	ai	6	42	44		0	0.0		299	194
SKD	o	o	7	47	49		0	0.0		368	171
SKD	O	au	8	56	58		0	0.0		1311	180
SKD	k	k	9	3962	4159		0	0.0		427	170
SKD	K	kh	10	368	387		0	0.0		272	145
SKD	g	g	11	1340	1393		0	0.0		482	171
SKD	G	gh	12	214	229		0	0.0		611	167
SKD	N	ṅ	13	3	3		0	0.0		466	210
SKD	c	c	14	926	971		0	0.0		382	162
SKD	C	ch	15	166	172		0	0.0		780	150
SKD	j	j	16	867	902		0	0.0		524	165
SKD	J	jh	17	79	80		0	0.0		190	136
SKD	Y	ñ	18	4	4		0	0.0		534	247
SKD	w	ṭ	19	43	46		0	0.0		192	114
SKD	W	ṭh	20	5	5		0	0.0		330	117
SKD	q	ḍ	21	57	61		0	0.0		262	187
SKD	Q	ḍh	22	13	13		0	0.0		345	191
SKD	R	ṇ	23	33	38		0	0.0		220	155
SKD	t	t	24	1495	1570		0	0.0		382	160
SKD	T	th	25	10	10		0	0.0		210	108
SKD	d	d	26	1734	1789		128	7.4	dus/dur:128(7.4%)	384	169
SKD	D	dh	27	549	577		0	0.0		452	168
SKD	n	n	28	1576	1605		624	39.6	nis/nir:380(24.1%); ni:244(15.5%)	498	197
SKD	p	p	29	3830	3960		1015	26.5	pra:639(16.7%); pari:180(4.7%); prati:146(3.8%); parA:50(1.3%)	582	202
SKD	P	ph	30	198	203		0	0.0		281	142
SKD	b	b	31	791	826		0	0.0		598	141
SKD	B	bh	32	992	1039		0	0.0		622	174
SKD	m	m	33	2548	2659		0	0.0		558	186
SKD	y	y	34	526	547		0	0.0		816	237
SKD	r	r	35	1184	1234		0	0.0		649	162
SKD	l	l	36	625	678		0	0.0		428	142
SKD	v	v	37	3859	4037		1234	32.0	vi:1234(32.0%)	516	161
SKD	S	ś	38	2214	2309		0	0.0		503	135
SKD	z	ṣ	39	181	205		0	0.0		466	181
SKD	s	s	40	4041	4187		1164	28.8	su:642(15.9%); sam:522(12.9%)	463	168
SKD	h	h	41	855	894		0	0.0		405	142
SKD	L	ḻ	42	1	1		0	0.0		1237	1237
VCP	a	a/ā	0	8128	8222		3516	43.3	A:1857(22.8%); ava:389(4.8%); anu:348(4.3%); aBi:337(4.1%); apa:298(3.7%)	444	134
VCP	i	i/ī	1	506	534		0	0.0		1132	161
VCP	u	u/ū	2	1807	1843		1109	61.4	ud:608(33.6%); upa:501(27.7%)	798	174
VCP	f	ṛ/ṝ	3	206	221		0	0.0		1128	201
VCP	x	ḷ	4	2	8		0	0.0		1746	468
VCP	e	e	5	265	272		0	0.0		1292	250
VCP	E	ai	6	88	89		0	0.0		458	174
VCP	o	o	7	64	67		0	0.0		804	153
VCP	O	au	8	207	208		0	0.0		605	140
VCP	k	k	9	4998	5161		0	0.0		646	135
VCP	K	kh	10	431	457		0	0.0		610	106
VCP	g	g	11	1950	2016		0	0.0		594	133
VCP	G	gh	12	305	327		0	0.0		326	114
VCP	N	ṅ	13	2	3		0	0.0		444	118
VCP	c	c	14	1240	1299		0	0.0		527	126
VCP	C	ch	15	191	203		0	0.0		519	113
VCP	j	j	16	1195	1228		0	0.0		595	134
VCP	J	jh	17	73	76		0	0.0		153	88
VCP	Y	ñ	18	2	3		0	0.0		456	238
VCP	w	ṭ	19	47	48		0	0.0		171	96
VCP	W	ṭh	20	3	4		0	0.0		454	332
VCP	q	ḍ	21	59	64		0	0.0		166	111
VCP	Q	ḍh	22	15	16		0	0.0		258	134
VCP	R	ṇ	23	30	37		0	0.0		727	306
VCP	t	t	24	2190	2269		0	0.0		362	128
VCP	T	th	25	12	13		0	0.0		177	93
VCP	d	d	26	2838	2902		318	11.2	dus/dur:318(11.2%)	604	146
VCP	D	dh	27	810	834		0	0.0		435	132
VCP	n	n	28	2279	2305		861	37.8	nis/nir:537(23.6%); ni:324(14.2%)	444	144
VCP	p	p	29	5235	5339		1427	27.3	pra:866(16.5%); pari:257(4.9%); prati:239(4.6%); parA:65(1.2%)	285	98
VCP	P	ph	30	190	199		0	0.0		146	78
VCP	b	b	31	790	816		0	0.0		304	94
VCP	B	bh	32	1149	1193		0	0.0		323	88
VCP	m	m	33	1598	1675		0	0.0		130	83
VCP	y	y	34	344	359		0	0.0		180	94
VCP	r	r	35	752	791		0	0.0		169	86
VCP	l	l	36	376	423		0	0.0		181	83
VCP	v	v	37	2764	2910		780	28.2	vi:780(28.2%)	331	78
VCP	S	ś	38	1602	1691		0	0.0		216	78
VCP	z	ṣ	39	182	206		0	0.0		200	82
VCP	s	s	40	3065	3132		901	29.4	sam:451(14.7%); su:450(14.7%)	289	90
VCP	h	h	41	646	672		0	0.0		278	82
GRA	a	a/ā	0	1724	2038	53.1	453	26.3	A:237(13.7%); aBi:67(3.9%); ava:43(2.5%); anu:34(2.0%); apa:34(2.0%)	215	85
GRA	i	i/ī	1	172	230	28.7	0	0.0		494	87
GRA	u	u/ū	2	310	366	28.6	116	37.4	upa:64(20.6%); ud:52(16.8%)	248	84
GRA	f	ṛ/ṝ	3	144	180	45.2	0	0.0		223	84
GRA	e	e	5	55	74	31.1	0	0.0		306	85
GRA	E	ai	6	3	4	0.0	0	0.0		40	27
GRA	o	o	7	31	36	6.1	0	0.0		169	93
GRA	O	au	8	10	10	0.0	0	0.0		93	68
GRA	k	k	9	471	550	19.5	0	0.0		258	90
GRA	K	kh	10	38	42	18.4	0	0.0		175	90
GRA	g	g	11	256	302	41.4	0	0.0		330	96
GRA	G	gh	12	59	63	48.3	0	0.0		270	119
GRA	c	c	14	169	196	29.5	0	0.0		381	99
GRA	C	ch	15	17	21	11.1	0	0.0		215	109
GRA	j	j	16	238	289	19.4	0	0.0		339	96
GRA	t	t	24	442	530	32.3	0	0.0		265	93
GRA	d	d	26	620	687	38.9	73	11.8	dus/dur:73(11.8%)	265	105
GRA	D	dh	27	164	191	25.0	0	0.0		539	115
GRA	n	n	28	380	405	23.9	120	31.6	ni:80(21.1%); nis/nir:40(10.5%)	311	107
GRA	p	p	29	995	1053	31.0	252	25.3	pra:180(18.1%); pari:42(4.2%); prati:20(2.0%); parA:10(1.0%)	289	99
GRA	P	ph	30	14	14	0.0	0	0.0		174	128
GRA	b	b	31	148	156	39.6	0	0.0		342	103
GRA	B	bh	32	199	235	25.4	0	0.0		440	118
GRA	m	m	33	511	618	27.9	0	0.0		355	106
GRA	y	y	34	223	272	26.0	0	0.0		526	108
GRA	r	r	35	305	374	25.2	0	0.0		332	107
GRA	l	l	36	25	26	8.0	0	0.0		157	127
GRA	v	v	37	1027	1212	32.6	348	33.9	vi:348(33.9%)	321	103
GRA	S	ś	38	513	604	25.0	0	0.0		250	97
GRA	z	ṣ	39	9	9	55.6	0	0.0		124	100
GRA	s	s	40	1585	1735	51.9	578	36.5	su:452(28.5%); sam:126(7.9%)	254	102
GRA	h	h	41	251	263	41.4	0	0.0		367	101
PD	a	a/ā	0	104958	107629		26103	24.9	anu:13844(13.2%); ati:7539(7.2%); aDi:3847(3.7%); apa:873(0.8%)	355	191
PD	D	dh	27	1	1		0	0.0		436	436
