dict	letter_slp1	letter_iast	alpha_rank	n_headwords	n_entries	pct_compound	n_upasarga_initial	pct_upasarga	top5_upasargas	mean_entry_chars	median_entry_chars
MW	a	a/ā	0	22859	32759	83.1	10210	44.7	A:4384(19.2%); aBi:1408(6.2%); anu:1383(6.1%); ava:1116(4.9%); apa:893(3.9%)	56	47
MW	i	i/ī	1	1190	1698	63.1	0	0.0		61	46
MW	u	u/ū	2	5650	9187	79.5	3522	62.3	ud:1921(34.0%); upa:1601(28.3%)	62	48
MW	f	ṛ/ṝ	3	520	793	68.8	0	0.0		65	48
MW	x	ḷ	4	5	14	40.0	0	0.0		47	32
MW	e	e	5	917	1312	69.6	0	0.0		60	50
MW	E	ai	6	218	314	15.9	0	0.0		64	60
MW	o	o	7	164	247	43.2	0	0.0		60	48
MW	O	au	8	423	590	8.9	0	0.0		62	58
MW	k	k	9	12997	20502	56.4	0	0.0		55	45
MW	K	kh	10	1024	1563	46.2	0	0.0		51	43
MW	g	g	11	4835	7547	63.4	0	0.0		59	47
MW	G	gh	12	718	1101	51.0	0	0.0		57	47
MW	N	ṅ	13	3	7	33.3	0	0.0		59	36
MW	c	c	14	3489	5439	58.1	0	0.0		58	46
MW	C	ch	15	526	830	46.9	0	0.0		55	44
MW	j	j	16	3246	5077	57.9	0	0.0		55	45
MW	J	jh	17	155	214	19.2	0	0.0		40	33
MW	Y	ñ	18	2	7	50.0	0	0.0		26	22
MW	w	ṭ	19	117	168	28.2	0	0.0		41	34
MW	W	ṭh	20	17	24	41.2	0	0.0		47	40
MW	q	ḍ	21	124	187	17.7	0	0.0		45	35
MW	Q	ḍh	22	39	52	20.5	0	0.0		44	34
MW	R	ṇ	23	3	12	33.3	0	0.0		35	28
MW	t	t	24	5421	8185	62.7	0	0.0		55	45
MW	T	th	25	23	31	30.4	0	0.0		35	30
MW	d	d	26	7793	10874	71.9	1092	14.0	dus/dur:1092(14.0%)	54	47
MW	D	dh	27	2359	3587	61.0	0	0.0		53	44
MW	n	n	28	8330	11746	82.0	3698	44.4	nis/nir:2354(28.3%); ni:1344(16.1%)	55	45
MW	p	p	29	21051	31035	78.0	8126	38.6	pra:4749(22.6%); pari:1600(7.6%); prati:1487(7.1%); parA:290(1.4%)	58	48
MW	P	ph	30	536	761	54.8	0	0.0		50	44
MW	b	b	31	4055	5591	73.5	0	0.0		55	46
MW	B	bh	32	4598	6736	67.0	0	0.0		55	44
MW	m	m	33	11180	16215	67.5	0	0.0		53	44
MW	y	y	34	3218	4456	67.2	0	0.0		63	49
MW	r	r	35	5363	7742	67.3	0	0.0		54	43
MW	l	l	36	2714	3981	56.5	0	0.0		57	45
MW	v	v	37	18598	28396	75.5	7179	38.6	vi:7179(38.6%)	59	46
MW	S	ś	38	10215	14658	65.9	0	0.0		55	44
MW	z	ṣ	39	634	823	77.3	0	0.0		56	43
MW	s	s	40	25075	36866	77.9	9592	38.3	sam:5887(23.5%); su:3705(14.8%)	59	48
MW	h	h	41	3680	5198	63.2	0	0.0		54	43
AP	a	a/ā	0	15776	7967		6556	41.6	A:3060(19.4%); ava:839(5.3%); anu:808(5.1%); aBi:719(4.6%); apa:577(3.7%)	206	85
AP	i	i/ī	1	807	297		0	0.0		221	58
AP	u	u/ū	2	3632	2009		2261	62.3	ud:1296(35.7%); upa:965(26.6%)	174	82
AP	f	ṛ/ṝ	3	317	114		0	0.0		212	58
AP	x	ḷ	4	4	4		0	0.0		127	90
AP	e	e	5	534	106		0	0.0		327	58
AP	E	ai	6	145	91		0	0.0		100	68
AP	o	o	7	119	62		0	0.0		129	56
AP	O	au	8	272	183		0	0.0		93	73
AP	k	k	9	6547	2445		0	0.0		181	58
AP	K	kh	10	515	256		0	0.0		111	46
AP	g	g	11	2287	695		0	0.0		244	66
AP	G	gh	12	385	152		0	0.0		166	64
AP	N	ṅ	13	4	2		0	0.0		48	48
AP	c	c	14	1567	628		0	0.0		183	67
AP	C	ch	15	236	124		0	0.0		147	60
AP	j	j	16	1460	523		0	0.0		197	67
AP	J	jh	17	113	73		0	0.0		75	45
AP	Y	ñ	18	1	0		0	0.0			
AP	w	ṭ	19	60	44		0	0.0		68	33
AP	W	ṭh	20	6	4		0	0.0		155	94
AP	q	ḍ	21	64	45		0	0.0		92	47
AP	Q	ḍh	22	15	10		0	0.0		76	36
AP	R	ṇ	23	3	1		0	0.0		181	181
AP	t	t	24	2462	937		0	0.0		171	63
AP	T	th	25	11	9		0	0.0		57	51
AP	d	d	26	3347	915		428	12.8	dus/dur:428(12.8%)	239	68
AP	D	dh	27	1039	370		0	0.0		213	66
AP	n	n	28	3567	1388		1759	49.3	nis/nir:1148(32.2%); ni:611(17.1%)	206	75
