title	norm	dcs_siglum	tok_2021	tok_2026	in_2021	in_2026	title_2021
Kauṣītakibrāhmaṇa	kausitakibrahmana		0	15331	0	1	
Taittirīyabrāhmaṇa	taittiriyabrahmana		0	15064	0	1	
Baudhāyanagṛhyasūtra	baudhayanagrhyasutra		2648	14999	1	1	Baudhāyanagṛhyasūtra
Śārṅgadharasaṃhitādīpikā	sarngadharasamhitadipika	ŚdhSDī	14761	14766	1	1	Śārṅgadharasaṃhitādīpikā
Baudhāyanadharmasūtra	baudhayanadharmasutra	BauSū	1680	14751	1	1	Baudhāyanadharmasūtra
Gokarṇapurāṇasāraḥ	gokarnapuranasarah	GokP	14681	14697	1	1	Gokarṇapurāṇasāraḥ
Kātyāyanasmṛti	katyayanasmrti	KātSm	14266	14317	1	1	Kātyāyanasmṛti
Yājñavalkyasmṛti	yajnavalkyasmrti	YāSmṛ	14205	14280	1	1	Yājñavalkyasmṛti
Tantrasāra	tantrasara	TantS	14139	14215	1	1	Tantrasāra
Bodhicaryāvatāra	bodhicaryavatara	BoCA	13720	13770	1	1	Bodhicaryāvatāra
Laṅkāvatārasūtra	lankavatarasutra	LAS	13228	13599	1	1	Laṅkāvatārasūtra
Nāradasmṛti	naradasmrti	NāS	13275	13336	1	1	Nāradasmṛti
Rasendracintāmaṇi	rasendracintamani	RCint	13305	13310	1	1	Rasendracintāmaṇi
Bhāvaprakāśa	bhavaprakasa	BhPr	13054	13064	1	1	Bhāvaprakāśa
Śāṅkhāyanāraṇyaka	sankhayanaranyaka		12700	12747	1	1	Śāṅkhāyanāraṇyaka
Rasamañjarī	rasamanjari	RMañj	12578	12579	1	1	Rasamañjarī
Kātyāyanaśrautasūtra	katyayanasrautasutra		106	12528	1	1	Kātyāyanaśrautasūtra
Rasaratnasamuccayaṭīkā	rasaratnasamuccayatika	RRSṬī	12166	12180	1	1	Rasaratnasamuccayaṭīkā
Amarakośa	amarakosa	AmK	11967	11968	1	1	Amarakośa
Āryāsaptaśatī	aryasaptasati		11797	11811	1	1	Āryāsaptaśatī
Bhāradvājagṛhyasūtra	bharadvajagrhyasutra		504	11643	1	1	Bhāradvājagṛhyasūtra
Uḍḍāmareśvaratantra	uddamaresvaratantra	UḍḍT	10910	10923	1	1	Uḍḍāmareśvaratantra
Drāhyāyaṇaśrautasūtra	drahyayanasrautasutra		0	10724	0	1	
Spandakārikānirṇaya	spandakarikanirnaya	SpKāNi	10213	10650	1	1	Spandakārikānirṇaya
Hiraṇyakeśigṛhyasūtra	hiranyakesigrhyasutra		1154	10383	1	1	Hiraṇyakeśigṛhyasūtra
Aitareya-Āraṇyaka	aitareyaaranyaka		0	10283	0	1	
Kumārasaṃbhava	kumarasambhava	KumS	10237	10261	1	1	Kumārasaṃbhava
Sātvatatantra	satvatatantra	SātT	10044	10061	1	1	Sātvatatantra
Yogasūtrabhāṣya	yogasutrabhasya	YSBh	9976	10012	1	1	Yogasūtrabhāṣya
Vasiṣṭhadharmasūtra	vasisthadharmasutra		0	10009	0	1	
Sāṃkhyakārikābhāṣya	samkhyakarikabhasya	SKBh	9955	9994	1	1	Sāṃkhyakārikābhāṣya
Śukasaptati	sukasaptati		9668	9678	1	1	Śukasaptati
Vaitānasūtra	vaitanasutra		0	9422	0	1	
Āpastambadharmasūtra	apastambadharmasutra		0	9297	0	1	
Sarvāṅgasundarā	sarvangasundara	SaAHS	9063	9102	1	1	Sarvāṅgasundarā
Śatakatraya	satakatraya		8688	8702	1	1	Śatakatraya
Vaiśeṣikasūtravṛtti	vaisesikasutravrtti	VaiSūVṛ	8649	8680	1	1	Vaiśeṣikasūtravṛtti
Agnipurāṇa	agnipurana	AgniP	8333	8363	1	1	Agnipurāṇa
