upasarga	MW	MW_pct	AP	AP_pct	PWG	PWG_pct	PWK	PWK_pct	SKD	SKD_pct	VCP	VCP_pct	GRA	GRA_pct	PD	PD_pct
pra	4749	2.45	2255	2.54	2195	2.07	2990	1.98	639	1.57	866	1.78	180	1.62	0	0.00
parA	290	0.15	132	0.15	134	0.13	182	0.12	50	0.12	65	0.13	10	0.09	0	0.00
apa	893	0.46	577	0.65	441	0.42	779	0.51	121	0.30	298	0.61	34	0.31	873	0.83
sam	5887	3.03	1969	2.22	2340	2.21	3216	2.12	522	1.28	451	0.93	126	1.13	0	0.00
anu	1383	0.71	808	0.91	604	0.57	979	0.65	113	0.28	348	0.72	34	0.31	13844	13.19
ava	1116	0.58	839	0.94	547	0.52	802	0.53	193	0.47	389	0.80	43	0.39	0	0.00
nis/nir	2354	1.21	1148	1.29	1245	1.17	1639	1.08	380	0.93	537	1.10	40	0.36	0	0.00
dus/dur	1092	0.56	428	0.48	734	0.69	939	0.62	128	0.31	318	0.65	73	0.66	0	0.00
vi	7179	3.70	2616	2.94	3500	3.30	4594	3.04	1234	3.02	780	1.60	348	3.13	0	0.00
A	4384	2.26	3060	3.44	2647	2.50	3952	2.61	830	2.03	1857	3.82	237	2.13	0	0.00
ni	1344	0.69	611	0.69	621	0.59	850	0.56	244	0.60	324	0.67	80	0.72	0	0.00
aDi	333	0.17	185	0.21	177	0.17	262	0.17	27	0.07	96	0.20	19	0.17	3847	3.67
api	86	0.04	27	0.03	29	0.03	45	0.03	5	0.01	21	0.04	9	0.08	0	0.00
ati	607	0.31	341	0.38	375	0.35	886	0.59	72	0.18	170	0.35	10	0.09	7539	7.18
su	3705	1.91	860	0.97	2235	2.11	2990	1.98	642	1.57	450	0.93	452	4.07	0	0.00
ud	1921	0.99	1296	1.46	992	0.94	1523	1.01	342	0.84	608	1.25	52	0.47	0	0.00
aBi	1408	0.73	719	0.81	488	0.46	681	0.45	93	0.23	337	0.69	67	0.60	0	0.00
prati	1487	0.77	637	0.72	669	0.63	961	0.63	146	0.36	239	0.49	20	0.18	0	0.00
pari	1600	0.82	735	0.83	716	0.67	943	0.62	180	0.44	257	0.53	42	0.38	0	0.00
upa	1601	0.82	965	1.09	768	0.72	1033	0.68	198	0.49	501	1.03	64	0.58	0	0.00
ALL_upasarga_initial	43419		20208		21457		30246		6159		8912		1940		26103	
TOTAL_headwords	194084		88867		106082		151349		40817		48636		11108		104959	
