dict	scanSet	ref	image	caption
mw	mw-scan-pdf	1309	mw1309.pdf	S1309 agṛhīta
mw	mw-scan-pdf	1310	mw1310.pdf	S1310 atisvinna
mw	mw-scan-pdf	1311	mw1311.pdf	S1311 anaka
mw	mw-scan-pdf	1312	mw1312.pdf	S1312 anunadi
mw	mw-scan-pdf	1313	mw1313.pdf	S1313 antara
mw	mw-scan-pdf	1314	mw1314.pdf	S1314 apamud
mw	mw-scan-pdf	1315	mw1315.pdf	S1315 abjala
mw	mw-scan-pdf	1316	mw1316.pdf	S1316 ambujinī
mw	mw-scan-pdf	1317	mw1317.pdf	S1317 avagraha
mw	mw-scan-pdf	1318	mw1318.pdf	S1318 aṣvaka
mw	mw-scan-pdf	1319	mw1319.pdf	S1319 ākiṃcanya
mw	mw-scan-pdf	1320	mw1320.pdf	S1320 āmredita-yamaka
mw	mw-scan-pdf	1321	mw1321.pdf	S1321 indrāṇī
mw	mw-scan-pdf	1322	mw1322.pdf	S1322 udgāla
mw	mw-scan-pdf	1323	mw1323.pdf	S1323 ṛtavya-vat
mw	mw-scan-pdf	1324	mw1324.pdf	S1324 kapilāhvaya
mw	mw-scan-pdf	1325	mw1325.pdf	S1325 kuṭvudī
mw	mw-scan-pdf	1326	mw1326.pdf	S1326 khaḍgaka
mw	mw-scan-pdf	1327	mw1327.pdf	S1327 catur
mw	mw-scan-pdf	1328	mw1328.pdf	S1328 jhaṭiti
mw	mw-scan-pdf	1329	mw1329.pdf	S1329 dīpta
mw	mw-scan-pdf	1330	mw1330.pdf	S1330 notseka
mw	mw-scan-pdf	1331	mw1331.pdf	S1331 preṣhyāntevāsin
mw	mw-scan-pdf	1332	mw1332.pdf	S1332 raṣmi-dhāra
mw	mw-scan-pdf	1333	mw1333.pdf	S1333 sarṣapa-miṣra
pwg	pwg-csldoc	01	pwg1-0000--01.png	Title, vol. 1
pwg	pwg-csldoc	02	pwg1-0000--02.png	Foreword, 1
pwg	pwg-csldoc	03	pwg1-0000--03.png	Foreword, 2
pwg	pwg-csldoc	04	pwg1-0000--04.png	Foreword, 3
pwg	pwg-csldoc	05	pwg1-0000--05.png	Foreword, 4
pwg	pwg-csldoc	06	pwg1-0000--07.png	Foreword, 5
pwg	pwg-csldoc	07	pwg1-0000--06.png	Abbreviations, 1
pwg	pwg-csldoc	08	pwg1-0000--08.png	Abbreviations, 2
pwg	pwg-csldoc	09	pwg1-0000--09.png	Abbreviations, 3
pwg	pwg-csldoc	10	pwg1-0000--10.png	Abbreviations, 4
pwg	pwg-csldoc	11	pwg1-0000--11.png	Abbreviations, 5
pwg	pwg-csldoc	12	pwg2-0000--01.png	Title, vol. 2
pwg	pwg-csldoc	13	pwg2-0000--02.png	Addenda to vol. 1
pwg	pwg-csldoc	14	pwg2-0000--03.png	Addenda to vol. 2
pwg	pwg-csldoc	15	pwg2-0000--04.png	Foreword, 2-1
pwg	pwg-csldoc	16	pwg2-0000--05.png	Abbreviations, 2-1
pwg	pwg-csldoc	17	pwg3-0000--01.png	Title, vol. 3
pwg	pwg-csldoc	18	pwg3-0000--02.png	Foreword, 3-1
pwg	pwg-csldoc	19	pwg3-0000--03.png	Foreword, 3-2
pwg	pwg-csldoc	20	pwg4-0000--01.png	Title, vol. 4
pwg	pwg-csldoc	21	pwg4-0000--02.png	Foreword, 4-1
pwg	pwg-csldoc	22	pwg5-0000--01.png	Title, vol. 5
pwg	pwg-csldoc	23	pwg5-0000--02.png	Foreword, 5-1
pwg	pwg-csldoc	24	pwg5-0000--03.png	Foreword, 5-2
pwg	pwg-csldoc	25	pwg6-0000--01.png	Title, vol. 6
pwg	pwg-csldoc	26	pwg7-0000--01.png	Title, vol. 7
pwg	pwg-csldoc	27	pwg7-0000--02.png	Foreword, 7-1
pwg	pwg-scan-pdf	7-1821	pwg7-1821.pdf	printed pp. 1821-1822 (body tail + closing ornament)
pw	pw-csldoc	01	pw1-000-1.png	Title
pw	pw-csldoc	02	pw1-000-2.png	Foreword
pw	pw-csldoc	03	pw1-000-3.png	Abbreviations of Works, 1
pw	pw-csldoc	04	pw1-000-4.png	Abbreviations of Works, 2
pw	pw-csldoc	05	pw1-000-5.png	Abbreviations of Works, 3
