siglum	pd_citations	work
PadmP.	3506	Padmapurāṇa
MahāBh.	1934	Mahābhāṣya (Patañjali)
BrahmāṇḍP.	1857	Brahmāṇḍapurāṇa
RājTa.	1840	Rājataraṅgiṇī
BhaviP.	1558	Bhaviṣyapurāṇa
Prasā.	1333	Prasāda (grammatical comm.)
BrahmP.	1249	Brahmapurāṇa
Vaija.	1155	Vaijayantī (kośa)
MārkP.	1014	Mārkaṇḍeyapurāṇa
VāyuP.	961	Vāyupurāṇa
ŚiśuVa.	916	Śiśupālavadha (Māgha)
GaṇeP.	915	Gaṇeśapurāṇa
ViṣṇuDhaP.	912	Viṣṇudharmottarapurāṇa
BṛĀraUBh.	891	Bṛhadāraṇyakopaniṣadbhāṣya (Śaṅkara)
Kād.	884	Kādambarī (Bāṇa)
PañcT.	846	Pañcatantra
Vār.	798	Vārttika (Kātyāyana, on Pāṇini)
NānārthāSaṃ.	762	Nānārthasaṃgraha (kośa)
SāhiDa.	757	Sāhityadarpaṇa
DevīBhāP.	751	Devībhāgavatapurāṇa
NaiṣC.	694	Naiṣadhīyacarita
MediK.	640	Medinīkośa
AnekāSaṃ.	626	Anekārthasaṃgraha (kośa)
RaghuVa.	616	Raghuvaṃśa (Kālidāsa)
BṛSaṃ.	596	Bṛhatsaṃhitā (Varāhamihira)
ChāndoUBh.	583	Chāndogyopaniṣadbhāṣya (Śaṅkara)
KāśyaS.	566	Kāśyapasaṃhitā
ViśvaPra.	545	Viśvaprakāśa (kośa)
BrahmVaiP.	543	Brahmavaivartapurāṇa
VāmaP.	493	Vāmanapurāṇa
