dict	letter_slp1	letter_iast	n_entries	chars_mean	chars_median	sanskrit_spans_mean	sanskrit_spans_median	markup_tags_mean	markup_tags_median
AP	O	au	183	92.7	73.0	2.7	3.0	3.5	4.0
AP	k	k	2445	180.5	58.0	3.7	1.0	5.9	2.0
AP	K	kh	256	111.1	46.0	2.5	1.0	3.5	2.0
AP	g	g	695	244.1	66.0	4.9	2.0	7.2	2.0
AP	G	gh	152	166.3	63.5	3.8	2.0	5.2	2.0
AP	c	c	628	182.7	67.0	3.9	2.0	5.7	2.0
AP	C	ch	124	147.3	59.5	3.5	2.0	5.9	2.0
AP	j	j	523	196.9	67.0	4.0	2.0	5.6	2.0
AP	J	jh	73	74.7	45.0	1.5	1.0	1.6	0.0
AP	w	ṭ	44	68.3	33.0	1.5	1.0	1.6	1.0
AP	q	ḍ	45	92.4	47.0	2.0	2.0	2.2	0.0
AP	Q	ḍh	10	76.0	36.5	1.9	1.0	2.1	0.0
AP	t	t	937	170.7	63.0	3.6	2.0	5.8	2.0
AP	T	th	9	57.0	51.0	1.6	2.0	1.2	2.0
AP	d	d	915	238.6	68.0	4.8	2.0	7.9	2.0
AP	D	dh	370	213.1	66.0	4.1	2.0	7.0	2.0
AP	n	n	1388	205.9	75.0	3.7	1.0	7.1	2.0
AP	p	p	4329	170.1	69.0	3.0	1.0	5.5	2.0
AP	P	ph	90	189.3	42.5	4.0	1.0	5.8	1.5
AP	b	b	400	286.2	70.5	5.2	2.0	8.5	2.0
AP	B	bh	622	237.5	74.0	4.6	2.0	7.2	2.0
AP	m	m	1324	234.8	70.0	4.9	2.0	7.1	2.0
AP	y	y	309	308.4	100.0	6.0	2.0	10.0	4.0
AP	r	r	508	236.2	82.0	4.7	2.0	7.0	2.0
AP	l	l	466	206.8	66.5	4.1	2.0	6.5	2.0
AP	v	v	2909	176.6	83.0	3.2	1.0	5.8	2.0
AP	S	ś	1127	190.5	71.0	4.0	2.0	5.9	2.0
AP	z	ṣ	38	289.5	67.5	7.5	2.5	8.0	3.0
AP	s	s	2858	192.0	86.0	3.4	1.0	6.0	3.0
AP	h	h	448	185.7	64.5	3.8	2.0	6.0	2.0
PWG	ALL		123366	229.0	87.0	5.0	3.0	20.2	8.0
PWG	a	a/ā	15920	177.9	90.0	4.4	3.0	14.1	8.0
PWG	i	i/ī	1003	389.5	87.0	8.1	3.0	29.2	8.0
PWG	u	u/ū	3890	181.3	93.0	4.4	3.0	14.4	8.0
PWG	f	ṛ/ṝ	413	246.4	91.0	5.0	3.0	20.1	8.0
PWG	e	e	635	207.2	100.0	4.7	3.0	16.8	8.0
PWG	E	ai	245	123.6	73.0	3.1	3.0	12.4	8.0
PWG	o	o	148	201.8	91.5	4.8	3.0	16.3	8.0
PWG	O	au	436	116.7	80.5	3.0	3.0	10.9	8.0
PWG	k	k	9990	212.2	85.0	4.7	3.0	18.2	8.0
PWG	K	kh	795	173.5	79.0	4.2	3.0	15.5	8.0
PWG	g	g	3553	236.7	86.0	5.3	3.0	19.5	8.0
PWG	G	gh	506	224.4	86.0	5.4	3.0	19.2	8.0
PWG	c	c	2520	229.5	85.0	5.2	3.0	19.4	8.0
PWG	C	ch	364	270.9	92.0	6.1	3.0	21.5	8.0
PWG	j	j	2427	240.5	89.0	5.4	3.0	19.8	8.0
PWG	J	jh	104	122.1	75.0	3.0	2.0	12.1	8.0
PWG	w	ṭ	104	122.9	75.0	3.2	3.0	11.7	7.0
PWG	W	ṭh	10	127.8	59.0	2.1	1.5	9.7	5.0
PWG	q	ḍ	115	151.9	77.0	3.5	2.0	13.9	8.0
PWG	Q	ḍh	21	154.9	90.0	3.4	2.0	15.1	8.0
PWG	t	t	4091	231.1	92.0	5.2	3.0	19.3	8.0
PWG	T	th	16	77.6	66.0	2.3	2.0	7.0	6.0
PWG	d	d	5674	218.7	93.0	5.1	3.0	18.6	8.0
PWG	D	dh	1628	335.9	93.0	7.0	3.0	25.8	8.0
PWG	n	n	5201	218.1	91.0	5.0	3.0	18.1	8.0
PWG	p	p	12754	221.3	94.0	4.9	3.0	18.9	8.0
PWG	P	ph	342	168.1	76.0	4.4	3.0	16.0	8.0
PWG	b	b	2383	218.6	88.0	4.8	3.0	20.2	8.0
PWG	B	bh	2775	296.1	89.0	6.5	3.0	25.8	8.0
PWG	m	m	7044	231.3	89.0	5.2	3.0	21.1	8.0
PWG	y	y	1926	336.2	90.5	6.8	3.0	31.0	8.0
PWG	r	r	3048	257.5	77.0	5.0	2.0	24.1	8.0
PWG	l	l	1546	283.2	77.0	5.6	2.0	26.1	8.0
PWG	v	v	10311	270.2	86.0	5.5	2.0	25.2	8.0
PWG	S	ś	5584	232.3	79.0	4.7	2.0	23.9	8.0
PWG	z	ṣ	324	163.3	86.5	3.5	2.0	16.7	8.0
PWG	s	s	13420	233.3	83.0	4.8	2.0	22.9	8.0
PWG	h	h	2092	286.1	78.0	5.7	2.0	29.3	8.0
PWK	ALL		24976	42.7	40.0	1.2	1.0	3.0	2.0
PWK	a	a/ā	11644	39.1	34.0	1.2	1.0	2.6	2.0
PWK	i	i/ī	337	45.1	37.0	1.4	1.0	3.5	2.0
PWK	u	u/ū	1261	41.8	40.0	1.2	1.0	2.9	2.0
PWK	f	ṛ/ṝ	109	38.3	25.0	1.1	1.0	2.8	0.0
PWK	e	e	353	42.1	42.0	1.2	1.0	3.0	2.0
PWK	E	ai	42	33.8	27.0	1.2	1.0	2.6	2.0
PWK	o	o	35	45.7	42.0	1.4	1.0	3.3	2.0
PWK	O	au	68	41.0	34.0	1.2	1.0	2.8	2.0
PWK	k	k	2109	41.6	35.0	1.3	1.0	2.9	2.0
PWK	K	kh	127	41.4	38.0	1.3	1.0	3.1	4.0
PWK	g	g	768	42.3	32.0	1.3	1.0	2.8	2.0
PWK	G	gh	87	41.2	39.0	1.5	1.0	3.1	4.0
PWK	c	c	590	41.0	36.0	1.3	1.0	2.7	2.0
PWK	C	ch	83	45.2	36.0	1.3	1.0	3.1	2.0
PWK	j	j	446	43.2	35.0	1.3	1.0	3.0	2.0
PWK	J	jh	14	33.0	33.5	1.5	1.0	1.9	2.0
PWK	w	ṭ	9	39.3	39.0	1.4	1.0	2.9	2.0
PWK	q	ḍ	9	28.4	24.0	1.2	1.0	2.2	2.0
PWK	Q	ḍh	7	43.3	54.0	1.7	1.0	2.0	2.0
PWK	t	t	637	45.3	40.0	1.3	1.0	3.4	4.0
PWK	d	d	785	44.6	41.0	1.3	1.0	3.3	4.0
PWK	D	dh	217	50.8	46.0	1.5	1.0	3.9	4.0
PWK	n	n	737	46.6	43.0	1.3	1.0	3.4	4.0
PWK	p	p	1567	47.9	46.0	1.3	1.0	3.6	4.0
PWK	P	ph	24	51.4	53.5	1.4	1.0	3.7	4.0
PWK	b	b	331	46.1	46.0	1.3	1.0	3.5	4.0
PWK	B	bh	275	46.7	46.0	1.3	1.0	3.9	4.0
PWK	m	m	587	49.0	46.0	1.3	1.0	3.8	4.0
PWK	y	y	134	59.4	54.5	1.4	1.0	4.2	4.0
PWK	r	r	190	49.2	46.5	1.4	1.0	4.2	4.0
PWK	l	l	101	55.5	47.0	1.6	1.0	4.4	4.0
PWK	v	v	583	55.9	53.0	1.4	1.0	4.7	4.0
PWK	S	ś	194	57.7	53.0	1.5	1.0	5.3	4.0
PWK	z	ṣ	9	62.2	62.0	1.2	1.0	4.9	4.0
PWK	s	s	460	64.0	56.0	1.4	1.0	5.4	4.0
PWK	h	h	42	53.3	52.0	1.5	1.0	4.6	4.0
SKD	ALL		42531	478.5	169.0	0.0	0.0	0.1	0.0
SKD	a	a/ā	4018	330.4	167.5	0.0	0.0	0.0	0.0
SKD	i	i/ī	333	351.1	140.0	0.0	0.0	0.0	0.0
SKD	u	u/ū	999	439.3	183.0	0.0	0.0	0.1	0.0
SKD	f	ṛ/ṝ	90	560.7	178.0	0.0	0.0	0.0	0.0
SKD	x	ḷ	6	515.0	93.5	0.0	0.0	0.0	0.0
SKD	e	e	141	457.0	199.0	0.0	0.0	0.0	0.0
SKD	E	ai	44	299.5	194.5	0.0	0.0	0.0	0.0
SKD	o	o	49	367.6	171.0	0.0	0.0	0.0	0.0
SKD	O	au	58	1310.9	179.5	0.0	0.0	3.2	0.0
SKD	k	k	4159	427.3	170.0	0.0	0.0	0.2	0.0
SKD	K	kh	387	272.1	145.0	0.0	0.0	0.6	0.0
SKD	g	g	1393	482.2	171.0	0.0	0.0	0.1	0.0
SKD	G	gh	229	611.2	167.0	0.0	0.0	0.0	0.0
SKD	c	c	971	382.0	162.0	0.0	0.0	0.0	0.0
SKD	C	ch	172	780.0	150.5	0.0	0.0	0.4	0.0
SKD	j	j	902	523.6	165.0	0.0	0.0	0.1	0.0
SKD	J	jh	80	190.2	136.5	0.0	0.0	0.0	0.0
SKD	w	ṭ	46	191.7	114.5	0.0	0.0	0.0	0.0
SKD	W	ṭh	5	329.6	117.0	0.0	0.0	0.0	0.0
SKD	q	ḍ	61	261.8	187.0	0.0	0.0	0.0	0.0
SKD	Q	ḍh	13	345.0	191.0	0.0	0.0	0.0	0.0
SKD	R	ṇ	38	220.1	155.0	0.0	0.0	0.0	0.0
SKD	t	t	1570	382.5	160.0	0.0	0.0	0.0	0.0
SKD	T	th	10	210.0	108.5	0.0	0.0	0.0	0.0
SKD	d	d	1789	383.9	169.0	0.0	0.0	0.0	0.0
SKD	D	dh	577	451.7	168.0	0.0	0.0	0.0	0.0
SKD	n	n	1605	498.3	197.0	0.0	0.0	0.1	0.0
SKD	p	p	3960	581.8	202.0	0.0	0.0	0.9	0.0
SKD	P	ph	203	281.3	142.0	0.0	0.0	0.0	0.0
SKD	b	b	826	598.4	141.0	0.0	0.0	0.0	0.0
SKD	B	bh	1039	622.3	174.0	0.0	0.0	0.0	0.0
SKD	m	m	2659	558.3	186.0	0.0	0.0	0.1	0.0
SKD	y	y	547	816.4	237.0	0.0	0.0	0.0	0.0
SKD	r	r	1234	648.6	162.0	0.0	0.0	0.0	0.0
SKD	l	l	678	427.9	142.0	0.0	0.0	0.0	0.0
SKD	v	v	4037	516.2	161.0	0.0	0.0	0.0	0.0
SKD	S	ś	2309	502.5	135.0	0.0	0.0	0.0	0.0
SKD	z	ṣ	205	465.6	181.0	0.0	0.0	0.0	0.0
SKD	s	s	4187	462.8	168.0	0.0	0.0	0.0	0.0
SKD	h	h	894	405.2	142.5	0.0	0.0	0.0	0.0
VCP	ALL		50135	442.3	112.0	0.0	0.0	0.1	0.0
VCP	a	a/ā	8222	444.3	134.0	0.0	0.0	0.0	0.0
VCP	i	i/ī	534	1132.0	161.0	0.0	0.0	0.3	0.0
VCP	u	u/ū	1843	797.7	174.0	0.0	0.0	0.2	0.0
VCP	f	ṛ/ṝ	221	1128.4	201.0	0.0	0.0	0.2	0.0
VCP	x	ḷ	8	1745.6	467.5	0.0	0.0	0.4	0.0
VCP	e	e	272	1291.8	250.0	0.0	0.0	0.4	0.0
VCP	E	ai	89	458.1	174.0	0.0	0.0	0.1	0.0
VCP	o	o	67	803.9	153.0	0.0	0.0	0.2	0.0
VCP	O	au	208	604.6	140.0	0.0	0.0	2.1	0.0
VCP	k	k	5161	646.3	135.0	0.0	0.0	0.2	0.0
VCP	K	kh	457	609.6	106.0	0.0	0.0	0.2	0.0
VCP	g	g	2016	594.5	133.0	0.0	0.0	0.2	0.0
VCP	G	gh	327	326.5	114.0	0.0	0.0	0.1	0.0
VCP	c	c	1299	527.4	126.0	0.0	0.0	0.1	0.0
VCP	C	ch	203	519.4	113.0	0.0	0.0	0.1	0.0
VCP	j	j	1228	594.8	134.0	0.0	0.0	0.2	0.0
VCP	J	jh	76	153.2	87.5	0.0	0.0	0.0	0.0
VCP	w	ṭ	48	170.9	96.5	0.0	0.0	0.0	0.0
VCP	q	ḍ	64	165.8	111.0	0.0	0.0	0.0	0.0
VCP	Q	ḍh	16	257.6	133.5	0.0	0.0	0.1	0.0
VCP	R	ṇ	37	726.7	306.0	0.0	0.0	1.5	0.0
VCP	t	t	2269	362.0	128.0	0.0	0.0	0.1	0.0
VCP	T	th	13	177.2	93.0	0.0	0.0	0.2	0.0
VCP	d	d	2902	604.4	146.0	0.0	0.0	0.4	0.0
VCP	D	dh	834	435.1	132.0	0.0	0.0	0.1	0.0
VCP	n	n	2305	444.0	144.0	0.0	0.0	0.2	0.0
VCP	p	p	5339	285.3	98.0	0.0	0.0	0.0	0.0
VCP	P	ph	199	145.9	78.0	0.0	0.0	0.0	0.0
VCP	b	b	816	304.0	93.5	0.0	0.0	0.0	0.0
VCP	B	bh	1193	322.7	88.0	0.0	0.0	0.0	0.0
VCP	m	m	1675	130.3	83.0	0.0	0.0	0.0	0.0
VCP	y	y	359	180.5	94.0	0.0	0.0	0.1	0.0
VCP	r	r	791	169.1	86.0	0.0	0.0	0.0	0.0
VCP	l	l	423	181.1	83.0	0.0	0.0	0.0	0.0
VCP	v	v	2910	330.6	78.0	0.0	0.0	0.2	0.0
VCP	S	ś	1691	216.4	78.0	0.0	0.0	0.0	0.0
VCP	z	ṣ	206	200.1	82.5	0.0	0.0	0.1	0.0
VCP	s	s	3132	288.8	90.0	0.0	0.0	0.0	0.0
VCP	h	h	672	278.2	82.0	0.0	0.0	0.2	0.0
