dict	letter_slp1	letter_iast	n_entries	chars_mean	chars_median	sanskrit_spans_mean	sanskrit_spans_median	markup_tags_mean	markup_tags_median
MW	ALL		286525	56.7	46.0	1.2	1.0	9.3	9.0
MW	a	a/ā	32759	55.5	47.0	1.2	1.0	8.3	7.0
MW	i	i/ī	1698	61.4	46.0	1.3	1.0	9.5	8.0
MW	u	u/ū	9187	62.1	48.0	1.1	1.0	8.7	7.0
MW	f	ṛ/ṝ	793	64.8	48.0	1.1	1.0	9.5	8.0
MW	x	ḷ	14	47.1	32.5	1.0	1.0	6.7	5.5
MW	e	e	1312	59.7	50.0	1.1	1.0	8.4	7.0
MW	E	ai	314	64.2	60.0	1.4	1.0	10.8	11.0
MW	o	o	247	60.2	48.0	1.5	1.0	10.1	9.0
MW	O	au	590	61.6	58.0	1.5	1.0	10.5	11.0
MW	k	k	20502	55.5	45.0	1.2	1.0	9.0	8.0
MW	K	kh	1563	51.2	43.0	1.3	1.0	9.2	9.0
MW	g	g	7547	58.6	47.0	1.2	1.0	9.6	9.0
MW	G	gh	1101	57.4	47.0	1.3	1.0	9.6	9.0
MW	N	ṅ	7	58.6	36.0	1.1	1.0	7.6	7.0
MW	c	c	5439	57.6	46.0	1.3	1.0	9.8	9.0
MW	C	ch	830	54.9	44.0	1.3	1.0	9.8	9.0
MW	j	j	5077	54.9	45.0	1.2	1.0	9.6	9.0
MW	J	jh	214	39.7	33.0	1.2	1.0	8.1	7.5
MW	Y	ñ	7	25.6	22.0	0.6	0.0	4.9	4.0
MW	w	ṭ	168	40.9	33.5	1.2	1.0	8.4	7.5
MW	W	ṭh	24	46.8	39.5	1.2	1.0	8.1	8.5
MW	q	ḍ	187	45.3	35.0	1.4	1.0	9.2	8.0
MW	Q	ḍh	52	43.9	34.5	1.2	1.0	8.6	7.0
MW	R	ṇ	12	34.8	28.5	0.6	0.0	6.1	4.5
MW	t	t	8185	54.7	45.0	1.3	1.0	9.7	9.0
MW	T	th	31	35.1	30.0	1.2	1.0	7.1	7.0
MW	d	d	10874	54.4	47.0	1.3	1.0	9.7	9.0
MW	D	dh	3587	53.2	44.0	1.3	1.0	9.6	9.0
MW	n	n	11746	55.0	45.0	1.3	1.0	9.5	9.0
MW	p	p	31035	57.8	48.0	1.2	1.0	9.4	9.0
MW	P	ph	761	50.5	44.0	1.2	1.0	9.0	9.0
MW	b	b	5591	54.6	46.0	1.2	1.0	9.4	9.0
MW	B	bh	6736	54.7	44.0	1.2	1.0	9.7	9.0
MW	m	m	16215	52.9	44.0	1.2	1.0	9.4	9.0
MW	y	y	4456	62.9	49.0	1.3	1.0	10.1	9.0
MW	r	r	7742	53.7	43.0	1.2	1.0	9.5	9.0
MW	l	l	3981	57.3	45.0	1.2	1.0	9.4	9.0
MW	v	v	28396	59.4	46.0	1.2	1.0	9.4	9.0
MW	S	ś	14658	55.2	44.0	1.2	1.0	9.6	9.0
MW	z	ṣ	823	56.1	43.0	1.4	1.0	9.6	9.0
MW	s	s	36866	58.7	48.0	1.2	1.0	9.3	9.0
MW	h	h	5198	53.8	43.0	1.2	1.0	9.4	9.0
AP	ALL		34882	195.4	74.0	3.9	2.0	6.5	2.0
AP	a	a/ā	7967	206.0	85.0	4.4	2.0	7.4	3.0
AP	i	i/ī	297	221.4	58.0	4.5	2.0	6.9	2.0
AP	u	u/ū	2009	174.0	82.0	3.2	2.0	7.0	3.0
AP	f	ṛ/ṝ	114	211.9	58.5	3.8	1.0	7.5	2.5
AP	e	e	106	327.2	58.5	6.7	1.0	11.7	2.0
AP	E	ai	91	99.5	68.0	2.4	2.0	3.7	3.0
AP	o	o	62	129.2	56.5	2.5	2.0	4.0	2.0
